<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACB.US,D,20181024,000000,98.64,98.76,85.8,87.24,2306234,0
ACB.US,D,20181025,000000,84.96,92.28,84,89.88,1779049,0
ACB.US,D,20181026,000000,85.92,90.24,82.2,84.48,1123525,0
ACB.US,D,20181029,000000,85.08,86.04,69,70.92,2292444,0
ACB.US,D,20181030,000000,66.72,75.12,64.68,73.08,1700697,0
ACB.US,D,20181031,000000,76.68,82.08,74.28,81.6,1716789,0
ACB.US,D,20181101,000000,83.28,85.2,79.2,80.76,1408599,0
ACB.US,D,20181102,000000,81.6,84.24,80.04,84.24,1009250,0
ACB.US,D,20181105,000000,86.16,88.2,82.2,88.2,1052407,0
ACB.US,D,20181106,000000,88.08,92.16,85.32,88.8,1438636,0
ACB.US,D,20181107,000000,92.4,97.44,87.6,96.96,2467496,0
ACB.US,D,20181108,000000,94.68,95.04,90,90.72,1444925,0
ACB.US,D,20181109,000000,87.24,89.04,84,87.48,1207115,0
ACB.US,D,20181112,000000,89.88,92.28,79.44,83.52,2080199,0
ACB.US,D,20181113,000000,81.36,83.64,79.2,80.4,1022802,0
ACB.US,D,20181114,000000,76.8,77.52,72,73.92,1631122,0
ACB.US,D,20181115,000000,72.48,81.36,71.76,79.68,1172685,0
ACB.US,D,20181116,000000,78.72,80.16,75.6,76.8,704989,0
ACB.US,D,20181119,000000,74.76,75.12,72.72,73.08,795388,0
ACB.US,D,20181120,000000,68.184,75.6,67.44,72.36,1440830,0
ACB.US,D,20181121,000000,74.52,76.44,73.8,75,670970,0
ACB.US,D,20181123,000000,72.96,73.32,71.64,72.84,461973,0
ACB.US,D,20181126,000000,73.92,74.04,67.8,68.16,1180755,0
ACB.US,D,20181127,000000,68.76,69.6,63.72,66,1226280,0
ACB.US,D,20181128,000000,66.48,71.64,66,71.52,1107543,0
ACB.US,D,20181129,000000,71.04,71.28,67.44,67.92,813960,0
ACB.US,D,20181130,000000,68.4,68.88,66.24,68.64,544111,0
ACB.US,D,20181203,000000,71.4,71.64,64.8,68.28,1704454,0
ACB.US,D,20181204,000000,67.56,67.92,64.2,64.8,1088857,0
ACB.US,D,20181206,000000,57.48,64.38,56.336,63.36,1664204,0
ACB.US,D,20181207,000000,70.08,70.56,66.48,69,1855626,0
ACB.US,D,20181210,000000,70.8,71.04,65.88,68.76,989608,0
ACB.US,D,20181211,000000,69.6,72.24,69,71.16,1328718,0
ACB.US,D,20181212,000000,72.48,74.76,71.4,73.44,1118388,0
ACB.US,D,20181213,000000,74.16,74.4,66.6,68.52,1191703,0
ACB.US,D,20181214,000000,66.12,71.52,63.96,70.32,955783,0
ACB.US,D,20181217,000000,69.12,72.12,65.76,66.48,878722,0
ACB.US,D,20181218,000000,67.44,68.64,65.28,66.36,831330,0
ACB.US,D,20181219,000000,66.12,67.2,63.36,63.48,716446,0
ACB.US,D,20181220,000000,63,64.8,58.8,61.2,1036888,0
ACB.US,D,20181221,000000,61.92,61.92,57.36,58.56,928155,0
ACB.US,D,20181224,000000,56.04,61.08,54.96,60,656187,0
ACB.US,D,20181226,000000,61.56,61.68,58.32,60.96,557867,0
ACB.US,D,20181227,000000,59.76,61.44,57.48,61.2,866038,0
ACB.US,D,20181228,000000,60.96,63.6,58.8,62.76,967351,0
