<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AEZS.US,D,20050225,000000,48000,48600,47250,47250,1.44,0
AEZS.US,D,20050228,000000,47100,48750,41700,47250,4.44,0
AEZS.US,D,20050301,000000,45600,48150,45600,48150,3.56,0
AEZS.US,D,20050302,000000,48900,50400,47700,48000,1.04,0
AEZS.US,D,20050303,000000,48000,48150,46050,46050,2.52,0
AEZS.US,D,20050304,000000,46800,47550,44700,45150,3.12,0
AEZS.US,D,20050307,000000,45150,46350,42750,44250,4.32,0
AEZS.US,D,20050308,000000,43350,45300,43350,44700,1.48,0
AEZS.US,D,20050309,000000,44700,46500,44250,46500,1.68,0
AEZS.US,D,20050310,000000,46800,47100,44550,45000,0.88,0
AEZS.US,D,20050311,000000,43950,45600,43950,45150,1.96,0
AEZS.US,D,20050314,000000,45600,47100,43500,46650,4.36,0
AEZS.US,D,20050315,000000,45450,46050,44550,45000,5.36,0
AEZS.US,D,20050316,000000,42150,45450,42150,43200,2.08,0
AEZS.US,D,20050317,000000,42150,43950,42150,43950,1.08,0
AEZS.US,D,20050318,000000,43950,44100,43500,44100,0.72,0
AEZS.US,D,20050321,000000,43950,44700,43200,43200,2.32,0
AEZS.US,D,20050322,000000,43650,44700,43200,43200,1.56,0
AEZS.US,D,20050323,000000,44100,45150,43950,44550,1.04,0
AEZS.US,D,20050324,000000,43350,45150,43350,44700,1.2,0
AEZS.US,D,20050328,000000,44250,44850,44250,44550,2.44,0
AEZS.US,D,20050329,000000,45600,46650,44850,44850,2.52,0
AEZS.US,D,20050330,000000,43800,45000,43350,43350,1.08,0
AEZS.US,D,20050331,000000,44400,45600,42300,42300,2.32,0
AEZS.US,D,20050401,000000,42150,43200,40650,40800,3.08,0
AEZS.US,D,20050404,000000,40800,42750,40800,42750,1.24,0
AEZS.US,D,20050405,000000,43200,44100,43200,43500,1.04,0
AEZS.US,D,20050406,000000,44100,45900,43200,45750,2.12,0
AEZS.US,D,20050407,000000,47400,47400,43800,44250,0.96,0
AEZS.US,D,20050408,000000,43200,44400,41400,43950,0.6,0
AEZS.US,D,20050411,000000,42900,44250,42900,43800,0.64,0
AEZS.US,D,20050412,000000,42750,44700,37500,43800,1.28,0
AEZS.US,D,20050413,000000,42600,44100,42600,43350,0.88,0
AEZS.US,D,20050414,000000,42300,43950,41850,41850,1.84,0
AEZS.US,D,20050415,000000,40800,44850,40500,43800,3.3200000000000003,0
AEZS.US,D,20050418,000000,42750,42750,40800,41550,1.08,0
AEZS.US,D,20050419,000000,42300,42300,40500,41700,1.6,0
AEZS.US,D,20050420,000000,42150,42150,40950,41550,0.48,0
AEZS.US,D,20050421,000000,39150,42150,39150,42000,1.6400000000000001,0
AEZS.US,D,20050422,000000,42150,42300,41400,42000,0.76,0
AEZS.US,D,20050425,000000,42150,42300,41400,41400,0.44,0
AEZS.US,D,20050426,000000,41400,41700,40050,40200,0.68,0
AEZS.US,D,20050427,000000,39300,41700,38850,41700,0.84,0
AEZS.US,D,20050428,000000,40800,42150,39600,39600,1.68,0
AEZS.US,D,20050429,000000,40050,40200,39150,40200,1.2,0
AEZS.US,D,20050502,000000,40500,40650,39000,40350,1.4000000000000001,0
AEZS.US,D,20050503,000000,40050,40950,37800,40800,2.64,0
AEZS.US,D,20050504,000000,39600,43500,39600,42750,3.16,0
AEZS.US,D,20050505,000000,45450,48450,41400,42300,6.96,0
AEZS.US,D,20050506,000000,42150,43800,42150,42900,0.8,0
AEZS.US,D,20050509,000000,42450,44550,42450,44400,0.8,0
AEZS.US,D,20050510,000000,43950,45000,41700,43800,1.6400000000000001,0
AEZS.US,D,20050511,000000,42600,44250,41550,41550,1.2,0
AEZS.US,D,20050512,000000,42000,43500,40650,40800,3.4,0
AEZS.US,D,20050513,000000,42750,43950,40650,40800,1.92,0
AEZS.US,D,20050516,000000,41250,41250,40350,41250,0.88,0
AEZS.US,D,20050517,000000,40500,40800,39750,39900,1.6,0
AEZS.US,D,20050518,000000,39900,40500,39300,39300,1.4000000000000001,0
AEZS.US,D,20050519,000000,37650,40500,37650,39750,0.96,0
AEZS.US,D,20050520,000000,39750,40800,39150,40800,1.08,0
AEZS.US,D,20050523,000000,39900,40800,39900,40800,0.64,0
AEZS.US,D,20050524,000000,39750,40950,39600,40950,1.48,0
AEZS.US,D,20050525,000000,41250,41250,39450,40050,1.16,0
AEZS.US,D,20050526,000000,40200,40200,39300,39750,1.16,0
AEZS.US,D,20050527,000000,40200,40800,39750,40200,0.6,0
AEZS.US,D,20050531,000000,40800,40800,39900,39900,0.48,0
AEZS.US,D,20050601,000000,40050,41250,40050,40950,0.68,0
AEZS.US,D,20050602,000000,40500,40800,40050,40200,0.88,0
AEZS.US,D,20050603,000000,40800,40800,39750,40200,2.16,0
AEZS.US,D,20050606,000000,40500,40500,38700,38850,1.92,0
AEZS.US,D,20050607,000000,39000,39000,37650,37650,3.48,0
AEZS.US,D,20050608,000000,38400,38850,36900,37200,3.7600000000000002,0
AEZS.US,D,20050609,000000,36300,37950,35700,37200,2.7600000000000002,0
AEZS.US,D,20050610,000000,36450,37350,36450,37200,0.4,0
AEZS.US,D,20050613,000000,36450,38550,36450,38250,4.12,0
AEZS.US,D,20050614,000000,38400,39450,38400,39450,1.28,0
AEZS.US,D,20050615,000000,38550,39900,38550,39450,0.76,0
AEZS.US,D,20050616,000000,40800,40800,33000,39450,3.52,0
AEZS.US,D,20050617,000000,40500,40500,38400,38400,2.16,0
AEZS.US,D,20050620,000000,38550,40050,38550,39000,1.8800000000000001,0
AEZS.US,D,20050621,000000,40800,40800,39000,40200,1.44,0
AEZS.US,D,20050622,000000,40050,40050,38700,39300,2.72,0
AEZS.US,D,20050623,000000,39450,39900,39000,39450,1.44,0
