<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AIBBR.US,D,20220225,000000,0.21,0.21,0.1505,0.2,3640,0
AIBBR.US,D,20220228,000000,0.19,0.19,0.19,0.19,2711,0
AIBBR.US,D,20220301,000000,0.2,0.2,0.19,0.2,9310,0
AIBBR.US,D,20220302,000000,0.185,0.19,0.1651,0.19,8502,0
AIBBR.US,D,20220303,000000,0.1651,0.1651,0.1651,0.1651,141,0
AIBBR.US,D,20220304,000000,0.2,0.2,0.2,0.2,1117,0
AIBBR.US,D,20220307,000000,0.1652,0.18255,0.1652,0.18255,302,0
AIBBR.US,D,20220309,000000,0.195,0.195,0.1652,0.1652,596,0
AIBBR.US,D,20220311,000000,0.2,0.2,0.1974,0.1974,702,0
AIBBR.US,D,20220314,000000,0.1949,0.1949,0.15,0.15,2400,0
AIBBR.US,D,20220316,000000,0.1501,0.1501,0.15,0.15,99140,0
AIBBR.US,D,20220317,000000,0.17,0.17,0.17,0.17,10000,0
AIBBR.US,D,20220318,000000,0.15,0.1699,0.15,0.15,654303,0
AIBBR.US,D,20220322,000000,0.15,0.1594,0.15,0.157112,12108,0
AIBBR.US,D,20220323,000000,0.15,0.1521,0.15,0.1521,179000,0
AIBBR.US,D,20220324,000000,0.1541,0.1594,0.1541,0.1594,70027,0
AIBBR.US,D,20220325,000000,0.15,0.15,0.15,0.15,4300,0
AIBBR.US,D,20220328,000000,0.1648,0.1648,0.16,0.16,16328,0
AIBBR.US,D,20220329,000000,0.16,0.16,0.16,0.16,200,0
AIBBR.US,D,20220330,000000,0.15,0.15,0.14,0.1401,385900,0
AIBBR.US,D,20220331,000000,0.1401,0.1501,0.14,0.1401,94240,0
AIBBR.US,D,20220401,000000,0.1594,0.1594,0.1594,0.1594,15101,0
AIBBR.US,D,20220406,000000,0.1351,0.1448,0.13,0.1447,9482,0
AIBBR.US,D,20220407,000000,0.14,0.14,0.14,0.14,520,0
AIBBR.US,D,20220408,000000,0.1494,0.1494,0.1447,0.1494,21500,0
AIBBR.US,D,20220411,000000,0.15,0.15,0.15,0.15,948,0
AIBBR.US,D,20220412,000000,0.15,0.1523,0.145,0.15,52561,0
AIBBR.US,D,20220413,000000,0.15,0.15,0.145,0.145,123200,0
AIBBR.US,D,20220414,000000,0.15,0.15,0.15,0.15,305,0
AIBBR.US,D,20220419,000000,0.145,0.145,0.145,0.145,8953,0
AIBBR.US,D,20220420,000000,0.13,0.13,0.13,0.13,805,0
AIBBR.US,D,20220421,000000,0.13,0.135,0.13,0.135,236,0
AIBBR.US,D,20220422,000000,0.12,0.13,0.12,0.13,11450,0
AIBBR.US,D,20220425,000000,0.1201,0.1201,0.1201,0.1201,500,0
AIBBR.US,D,20220426,000000,0.1201,0.1201,0.1201,0.1201,25008,0
AIBBR.US,D,20220427,000000,0.135,0.135,0.135,0.135,159,0
AIBBR.US,D,20220428,000000,0.1201,0.1201,0.1201,0.1201,110,0
AIBBR.US,D,20220429,000000,0.13,0.13,0.13,0.13,10015,0
AIBBR.US,D,20220502,000000,0.135,0.135,0.135,0.135,189,0
AIBBR.US,D,20220505,000000,0.13,0.13,0.13,0.13,5137,0
AIBBR.US,D,20220506,000000,0.12,0.12,0.12,0.12,245,0
AIBBR.US,D,20220509,000000,0.11,0.11,0.11,0.11,550,0
