<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALZN.US,D,20210615,000000,29,33.55,11,13.5,5127141,0
ALZN.US,D,20210616,000000,12.79,12.79,9.88,10.35,1242051,0
ALZN.US,D,20210617,000000,11.04,11.9697,9.81,10.09,529700,0
ALZN.US,D,20210618,000000,9.99,10.47,8.61,9.03,394175,0
ALZN.US,D,20210621,000000,9.19,9.19,7.51,8.12,402133,0
ALZN.US,D,20210622,000000,8.12,8.85,7.06,8.4,1056172,0
ALZN.US,D,20210623,000000,9,9.48,8.38,8.94,1529905,0
ALZN.US,D,20210624,000000,8.4,9.03,8.05,8.26,450295,0
ALZN.US,D,20210625,000000,8.37,9.39,8.26,8.6,1114559,0
ALZN.US,D,20210628,000000,9.05,12.14,8.74,9.6,5393800,0
ALZN.US,D,20210629,000000,9.39,11.36,9.09,11.06,5906800,0
ALZN.US,D,20210630,000000,10.67,12.13,8.6,8.74,13515738,0
ALZN.US,D,20210701,000000,9.2051,9.25,7.53,7.68,2743763,0
ALZN.US,D,20210702,000000,7.2,7.8,6.81,7.28,1115801,0
ALZN.US,D,20210706,000000,7.4,7.46,6.91,6.97,843859,0
ALZN.US,D,20210707,000000,6.96,7.1,5.6213,6.5,1687745,0
ALZN.US,D,20210708,000000,6.06,6.45,5.91,6.28,957182,0
ALZN.US,D,20210709,000000,6.21,6.7399,6.0824,6.13,1233126,0
ALZN.US,D,20210712,000000,6.25,6.41,5.78,6.11,435309,0
ALZN.US,D,20210713,000000,6.04,6.66,6,6.2,1359530,0
ALZN.US,D,20210714,000000,6.2,7.1562,5.8,6.41,2640865,0
ALZN.US,D,20210715,000000,6.45,7.17,6.1,6.98,3892887,0
ALZN.US,D,20210716,000000,6.63,6.8699,6.13,6.17,2400184,0
ALZN.US,D,20210719,000000,5.97,5.97,4.85,5.27,1989119,0
ALZN.US,D,20210720,000000,5.25,5.46,5.07,5.25,993870,0
ALZN.US,D,20210721,000000,5.24,5.72,5.2,5.53,1562226,0
ALZN.US,D,20210722,000000,5.96,6.65,5.56,5.74,4541212,0
ALZN.US,D,20210723,000000,8.14,8.28,5.63,5.73,28185390,0
ALZN.US,D,20210726,000000,5.28,5.29,4.87,4.91,2248943,0
ALZN.US,D,20210727,000000,4.8,4.84,4.2999,4.42,1525901,0
ALZN.US,D,20210728,000000,4.42,6.74,4.33,5.22,10970129,0
ALZN.US,D,20210729,000000,5.08,5.2378,4.6,4.66,2417240,0
ALZN.US,D,20210730,000000,4.6,4.86,4.4,4.425,1145300,0
ALZN.US,D,20210802,000000,4.56,4.84,4.45,4.47,1408312,0
ALZN.US,D,20210803,000000,4.546,4.5493,4.27,4.3,910305,0
ALZN.US,D,20210804,000000,4.45,4.54,4.21,4.35,1098637,0
ALZN.US,D,20210805,000000,4.29,4.34,4.181,4.22,574641,0
ALZN.US,D,20210806,000000,4.23,4.27,3.94,4.16,836586,0
ALZN.US,D,20210809,000000,4.14,4.19,4.02,4.04,433463,0
ALZN.US,D,20210810,000000,4.1,4.33,3.94,4.07,1074361,0
ALZN.US,D,20210811,000000,4.14,4.17,4.016,4.07,449879,0
ALZN.US,D,20210812,000000,4.09,4.14,3.76,3.83,644256,0
ALZN.US,D,20210813,000000,3.81,3.8326,3.44,3.48,782981,0
ALZN.US,D,20210816,000000,3.59,3.61,3.4501,3.5,372009,0
ALZN.US,D,20210817,000000,3.41,3.4599,3.22,3.3,806333,0
ALZN.US,D,20210818,000000,3.36,3.57,3.25,3.3,450195,0
ALZN.US,D,20210819,000000,3.25,3.48,3.23,3.34,774134,0
ALZN.US,D,20210820,000000,3.28,3.47,3.2,3.24,926629,0
ALZN.US,D,20210823,000000,3.25,3.38,3.22,3.29,664508,0
ALZN.US,D,20210824,000000,3.33,3.39,3.24,3.29,776859,0
ALZN.US,D,20210825,000000,3.3177,3.3177,2.96,3.02,2288828,0
ALZN.US,D,20210826,000000,3.03,3.0974,2.95,3.01,567386,0
ALZN.US,D,20210827,000000,3.01,3.05,2.83,2.89,947134,0
ALZN.US,D,20210830,000000,2.92,3.33,2.85,3.08,3119870,0
ALZN.US,D,20210831,000000,3.06,3.21,3.0299,3.06,1454205,0
ALZN.US,D,20210901,000000,3.08,3.19,2.93,3.17,1332875,0
ALZN.US,D,20210902,000000,3.15,3.52,3.13,3.35,2068591,0
ALZN.US,D,20210903,000000,3.35,3.49,3.11,3.13,1334935,0
ALZN.US,D,20210907,000000,3.18,3.27,3.02,3.05,1227981,0
ALZN.US,D,20210908,000000,3.08,3.15,2.94,2.99,754696,0
ALZN.US,D,20210909,000000,3.01,3.06,2.9601,2.99,522920,0
ALZN.US,D,20210910,000000,3.05,3.27,2.94,2.95,2316723,0
ALZN.US,D,20210913,000000,3,3.04,2.73,2.78,1238973,0
ALZN.US,D,20210914,000000,2.82,2.83,2.55,2.66,1296724,0
ALZN.US,D,20210915,000000,2.63,2.75,2.58,2.63,1020788,0
ALZN.US,D,20210916,000000,2.6,2.88,2.5,2.67,2516283,0
ALZN.US,D,20210917,000000,2.74,2.74,2.55,2.6,581202,0
ALZN.US,D,20210920,000000,2.5,2.5759,2.3301,2.37,972804,0
ALZN.US,D,20210921,000000,2.43,2.437,2.34,2.34,1063291,0
ALZN.US,D,20210922,000000,2.4,2.51,2.33,2.36,1348446,0
ALZN.US,D,20210923,000000,2.39,2.681,2.36,2.63,1501071,0
ALZN.US,D,20210924,000000,2.54,2.61,2.4,2.4,667045,0
ALZN.US,D,20210927,000000,2.45,2.65,2.42,2.48,1260684,0
ALZN.US,D,20210928,000000,2.54,2.57,2.42,2.43,551609,0
ALZN.US,D,20210929,000000,2.45,2.4838,2.27,2.28,579010,0
ALZN.US,D,20210930,000000,2.29,3.57,2.2201,3.08,58912471,0
ALZN.US,D,20211001,000000,2.91,2.93,2.65,2.88,5372243,0
ALZN.US,D,20211004,000000,2.87,2.95,2.63,2.95,2214182,0
