<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMNB.US,D,20050225,000000,15.6816,15.6816,15.6816,15.6816,928.27295248457,0
AMNB.US,D,20050228,000000,15.7469,15.7469,15.7469,15.7469,928.27295248457,0
AMNB.US,D,20050301,000000,16.0846,16.0846,16.0846,16.0846,149.58923958361,0
AMNB.US,D,20050302,000000,15.9147,15.9147,15.9147,15.9147,339.13724864502,0
AMNB.US,D,20050303,000000,15.9147,15.9147,15.8113,15.8113,361.67809296584,0
AMNB.US,D,20050304,000000,15.782,15.9763,15.782,15.7888,8160.8102279686,0
AMNB.US,D,20050307,000000,16.1744,16.188,15.948,15.948,1374.9915035699,0
AMNB.US,D,20050308,000000,16.2232,16.23,15.9079,15.9079,9420.0237584361,0
AMNB.US,D,20050309,000000,15.7137,16.2359,15.5907,15.6473,15634.124704152,0
AMNB.US,D,20050310,000000,15.8805,16.0104,15.8591,15.9079,1234.6235184811,0
AMNB.US,D,20050311,000000,15.9147,15.9147,15.7,15.8035,928.27295248457,0
AMNB.US,D,20050314,000000,15.8464,15.8591,15.6816,15.7888,2005.11056072,0
AMNB.US,D,20050315,000000,15.7586,15.7586,15.6473,15.6473,3402.6429086106,0
AMNB.US,D,20050316,000000,15.6552,15.782,15.6473,15.782,5389.3109603409,0
AMNB.US,D,20050317,000000,15.7469,15.8259,15.7469,15.8113,3233.5865762045,0
AMNB.US,D,20050318,000000,15.8942,16.1831,15.7469,15.7469,18191.485950732,0
AMNB.US,D,20050321,000000,15.7137,15.7137,15.6171,15.6171,6316.5593289927,0
AMNB.US,D,20050322,000000,16.1187,16.1187,15.6024,15.7518,2510.2303902728,0
AMNB.US,D,20050323,000000,15.8464,15.8464,15.8396,15.8396,303.27681449827,0
AMNB.US,D,20050324,000000,15.7469,15.9353,15.7469,15.8113,1385.2373418975,0
AMNB.US,D,20050328,000000,16.23,16.2359,16.0055,16.0388,10971.243681242,0
AMNB.US,D,20050329,000000,15.8113,16.0592,15.7771,15.7771,2204.904408109,0
AMNB.US,D,20050330,000000,16.0592,16.0592,16.0592,16.0592,718.23326676786,0
AMNB.US,D,20050331,000000,15.6473,15.6951,15.6024,15.6024,1852.4475696381,0
AMNB.US,D,20050401,000000,15.5907,15.5907,15.5907,15.5907,620.89780265524,0
AMNB.US,D,20050404,000000,16.1187,16.1187,15.6552,16.0689,2126.0114529862,0
AMNB.US,D,20050405,000000,16.2017,16.2017,15.8748,16.1666,10624.934345767,0
AMNB.US,D,20050406,000000,15.7195,16.0308,15.6893,15.988,1540.9740844777,0
AMNB.US,D,20050407,000000,16.0308,16.0308,15.9021,15.9079,1385.2373418975,0
AMNB.US,D,20050408,000000,15.782,15.8035,15.4619,15.5858,2621.9100280442,0
AMNB.US,D,20050411,000000,15.5858,15.8464,15.5858,15.5955,8937.4447732041,0
AMNB.US,D,20050412,000000,15.7723,15.7723,15.1965,15.7068,8516.3408179379,0
AMNB.US,D,20050413,000000,15.6219,15.6219,15.6171,15.6171,2928.2605940407,0
AMNB.US,D,20050414,000000,15.5858,15.6395,15.5858,15.5858,1683.3912372319,0
AMNB.US,D,20050415,000000,15.5858,15.7469,15.2657,15.538,15802.156452726,0
AMNB.US,D,20050418,000000,15.5458,15.5458,15.291,15.291,928.27295248457,0
AMNB.US,D,20050419,000000,15.1604,15.5156,15.1604,15.1758,15325.724970491,0
AMNB.US,D,20050420,000000,15.2032,15.2032,15.1758,15.1758,705.93826077469,0
AMNB.US,D,20050421,000000,15.4024,15.4824,15.1758,15.4824,4776.6098283477,0
AMNB.US,D,20050422,000000,15.743,15.743,15.2462,15.2462,7707.9441738867,0
AMNB.US,D,20050425,000000,15.7469,15.9079,15.2657,15.4746,19226.315621824,0
AMNB.US,D,20050426,000000,15.5096,15.6552,15.0442,15.5858,13500.941164337,0
AMNB.US,D,20050427,000000,15.6395,15.6473,15.4892,15.498,1079.9113597337,0
AMNB.US,D,20050428,000000,15.6756,15.6756,15.129,15.129,2004.0859768872,0
AMNB.US,D,20050429,000000,15.129,15.3623,15.129,15.3623,459.01355707846,0
AMNB.US,D,20050502,000000,15.456,15.7518,15.456,15.456,1691.5879078941,0
AMNB.US,D,20050503,000000,15.7723,15.7723,15.4824,15.5858,1808.3904648292,0
AMNB.US,D,20050504,000000,15.5858,15.5858,15.2706,15.5791,1501.0153149999,0
AMNB.US,D,20050505,000000,15.5858,15.5858,15.5721,15.5721,1540.9740844777,0
AMNB.US,D,20050506,000000,15.1965,15.4199,15.1965,15.4199,303.27681449827,0
AMNB.US,D,20050509,000000,15.4199,15.4199,15.1604,15.3623,2004.0859768872,0
AMNB.US,D,20050510,000000,15.4199,15.5721,15.2706,15.2706,18827.752510879,0
AMNB.US,D,20050511,000000,14.9993,15.2589,14.9338,15.1183,4030.7127980952,0
AMNB.US,D,20050512,000000,15.1965,15.1965,14.9338,14.9338,42187.239314075,0
AMNB.US,D,20050513,000000,14.4985,15.0705,14.4985,14.9271,24947.591743981,0
AMNB.US,D,20050516,000000,14.6108,15.2462,14.4985,15.2335,6973.3175657947,0
AMNB.US,D,20050517,000000,15.3506,15.4414,15.3458,15.3887,4557.3488881362,0
AMNB.US,D,20050518,000000,15.3887,15.7137,15.3887,15.6395,22560.31141364,0
AMNB.US,D,20050519,000000,15.1534,15.7137,15.1534,15.4492,3696.698468614,0
AMNB.US,D,20050520,000000,15.1183,16.1051,15.092,15.498,5852.4228527504,0
AMNB.US,D,20050523,000000,15.375,15.498,15.0978,15.3067,6778.6466375694,0
AMNB.US,D,20050524,000000,15.051,15.252,15.051,15.2032,771.51162607161,0
AMNB.US,D,20050525,000000,14.9338,15.2589,14.9338,15.2589,4795.0523373375,0
AMNB.US,D,20050526,000000,15.375,16.2359,15.375,16.1334,12782.707897569,0
AMNB.US,D,20050527,000000,16.2017,16.2017,16.1334,16.2017,13399.507364894,0
AMNB.US,D,20050531,000000,15.9684,16.0308,15.9684,16.0308,513.31650021498,0
AMNB.US,D,20050602,000000,15.6171,15.8688,15.6171,15.8688,459.01355707846,0
AMNB.US,D,20050606,000000,15.8035,16.1744,15.6552,15.988,2309.411959051,0
AMNB.US,D,20050607,000000,15.9147,16.2359,15.9147,16.2359,5389.3109603409,0
AMNB.US,D,20050608,000000,16.2564,16.2564,16.2564,16.2564,3076.8252497916,0
AMNB.US,D,20050609,000000,16.0689,16.2564,16.0055,16.2017,7390.3231857298,0
AMNB.US,D,20050610,000000,16.0777,16.2359,16.0777,16.1666,1422.122359877,0
AMNB.US,D,20050613,000000,15.9079,15.9831,15.9079,15.9831,3541.9863098666,0
AMNB.US,D,20050614,000000,16.0221,16.188,15.8748,15.9763,7219.2176856581,0
