<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARBK.US,D,20210923,000000,15.01,17.67,14.5,16.75,9429592,0
ARBK.US,D,20210924,000000,16.9,19.33,16.11,16.6,3827251,0
ARBK.US,D,20210927,000000,17.3331,17.3343,15.64,17,1705913,0
ARBK.US,D,20210928,000000,16.93,16.93,15.17,15.41,1207025,0
ARBK.US,D,20210929,000000,16.0669,16.1553,15.25,15.4,472599,0
ARBK.US,D,20210930,000000,15.58,16.17,15.25,16,548414,0
ARBK.US,D,20211001,000000,16.5,16.915,16.01,16.49,811953,0
ARBK.US,D,20211004,000000,16.13,16.6,15.66,16.13,467674,0
ARBK.US,D,20211005,000000,16.13,16.68,15.86,16.27,463670,0
ARBK.US,D,20211006,000000,16.6809,17.28,16,16.32,730509,0
ARBK.US,D,20211007,000000,16.07,16.5,15.69,16.39,398783,0
ARBK.US,D,20211008,000000,16.04,16.5,15.3524,15.5,781997,0
ARBK.US,D,20211011,000000,15.7,15.92,15.39,15.63,542169,0
ARBK.US,D,20211012,000000,15.59,15.7244,14.945,15.24,370743,0
ARBK.US,D,20211013,000000,15.2472,15.63,14.965,15.43,269610,0
ARBK.US,D,20211014,000000,15.8987,15.8987,15.13,15.6,264980,0
ARBK.US,D,20211015,000000,16.05,17.2,15.55,16.92,862260,0
ARBK.US,D,20211018,000000,16.9,18.44,16.57,17.23,1160605,0
ARBK.US,D,20211019,000000,17.55,18.73,17.33,17.83,651981,0
ARBK.US,D,20211020,000000,17.73,18.28,17.65,18.04,543811,0
ARBK.US,D,20211021,000000,18.99,20.1699,18.26,18.76,1078183,0
ARBK.US,D,20211022,000000,18.59,18.7,16.82,17.02,596299,0
ARBK.US,D,20211025,000000,17.05,18.69,17.05,18.25,749428,0
ARBK.US,D,20211026,000000,17.36,17.55,16.72,16.79,592150,0
ARBK.US,D,20211027,000000,16.5,16.58,15.41,15.8,528324,0
ARBK.US,D,20211028,000000,15.96,16.93,15.82,16.26,589432,0
ARBK.US,D,20211029,000000,16.43,17,16.28,16.85,275273,0
ARBK.US,D,20211101,000000,17.4141,18.42,17.31,17.82,1061254,0
ARBK.US,D,20211102,000000,18.1,18.4985,17.25,17.97,859274,0
ARBK.US,D,20211103,000000,17.05,17.72,17,17.33,694224,0
ARBK.US,D,20211104,000000,17.4,17.82,17.0201,17.31,641131,0
ARBK.US,D,20211105,000000,16.85,17.59,16.37,17.49,764468,0
ARBK.US,D,20211108,000000,17.35,18.85,17.23,18.37,1246051,0
ARBK.US,D,20211109,000000,18.9,20.63,17.99,20.56,1884866,0
ARBK.US,D,20211110,000000,20.45,20.45,18.6,19.09,933242,0
ARBK.US,D,20211111,000000,19,19.67,18.3,19.52,518956,0
ARBK.US,D,20211112,000000,18.57,19.2546,18.43,18.96,526048,0
ARBK.US,D,20211115,000000,19.31,19.4079,17.7644,18.1,630910,0
ARBK.US,D,20211116,000000,18.7408,20.19,18.5801,19.98,1881620,0
ARBK.US,D,20211117,000000,19.8,21,18.65,19.31,1009242,0
ARBK.US,D,20211118,000000,19.35,19.35,17.56,17.66,886837,0
ARBK.US,D,20211119,000000,17.97,19.01,17.7,18.9,529544,0
ARBK.US,D,20211122,000000,18.6,18.8755,16.9591,17.2,691955,0
ARBK.US,D,20211123,000000,17.77,17.99,17,17.86,396862,0
ARBK.US,D,20211124,000000,17.85,19.14,17.5048,18.89,707771,0
ARBK.US,D,20211126,000000,17.95,18.6299,17.8,18.48,229801,0
ARBK.US,D,20211129,000000,18.52,18.7532,17.4243,17.92,510748,0
ARBK.US,D,20211130,000000,17.97,18.65,17.81,18.05,387091,0
ARBK.US,D,20211201,000000,18.46,18.84,17.21,17.32,538945,0
ARBK.US,D,20211202,000000,17.23,17.4,15.82,16.4,784948,0
ARBK.US,D,20211203,000000,16.8,16.97,14.93,15.32,589058,0
ARBK.US,D,20211206,000000,14.19,14.225,12.53,13.52,1367486,0
ARBK.US,D,20211207,000000,14.91,14.93,14.3,14.51,455320,0
ARBK.US,D,20211208,000000,14.37,14.72,13.78,14.72,396249,0
ARBK.US,D,20211209,000000,14.05,14.45,13.15,13.24,448418,0
ARBK.US,D,20211210,000000,14.13,14.37,13.05,13.19,316741,0
ARBK.US,D,20211213,000000,13.235,13.235,12.03,12.25,496827,0
