<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASTI.US,D,20220825,000000,8.7294,9.5266,8,8,23732,0
ASTI.US,D,20220826,000000,8,8.8799,8,8.3199,6992,0
ASTI.US,D,20220829,000000,8.5,8.5,7.18,7.18,36599,0
ASTI.US,D,20220830,000000,7.1797,7.25,6.5,6.51,14140,0
ASTI.US,D,20220831,000000,6.5,7.15,6.3,6.4999,23460,0
ASTI.US,D,20220901,000000,6.31,6.4,5.8084,6,18683,0
ASTI.US,D,20220902,000000,5.96,6.33,5.5401,6.33,10348,0
ASTI.US,D,20220906,000000,6.67,6.7099,6.15,6.49,10079,0
ASTI.US,D,20220907,000000,6.3,6.38,5.55,5.59,13873,0
ASTI.US,D,20220908,000000,5.55,5.99,5.55,5.76,9698,0
ASTI.US,D,20220909,000000,5.788,6.38,5.788,5.9,8577,0
ASTI.US,D,20220912,000000,6,6.29,5.7998,6.02,13493,0
ASTI.US,D,20220913,000000,6.49,6.49,5.9696,6.15,7153,0
ASTI.US,D,20220914,000000,6.01,6.0644,5.9001,6,6110,0
ASTI.US,D,20220915,000000,6,6,5.8,5.976,3975,0
ASTI.US,D,20220916,000000,5.74,5.8384,5.56,5.5871,12690,0
ASTI.US,D,20220919,000000,5.7478,5.7699,5.5395,5.6199,3526,0
ASTI.US,D,20220920,000000,5.64,5.8,5.15,5.28,14852,0
ASTI.US,D,20220921,000000,5.2,5.4368,5.1201,5.37,5966,0
ASTI.US,D,20220922,000000,5.2971,5.5199,5.1301,5.3386,2900,0
ASTI.US,D,20220923,000000,5.12,5.4899,5.12,5.3299,8668,0
ASTI.US,D,20220926,000000,5.14,5.581,5.0524,5.14,18475,0
ASTI.US,D,20220927,000000,5.14,5.28,4.3364,4.65,121995,0
ASTI.US,D,20220928,000000,4.819,5,4.385,4.68,121333,0
ASTI.US,D,20220929,000000,4.95,5,4.3,4.64,121110,0
ASTI.US,D,20220930,000000,4.48,4.8,4.35,4.55,122031,0
ASTI.US,D,20221003,000000,4.44,4.75,4.19,4.3,66833,0
ASTI.US,D,20221004,000000,4.31,4.65,4.1201,4.37,69939,0
ASTI.US,D,20221005,000000,4.25,4.605,4.18,4.34,73350,0
ASTI.US,D,20221006,000000,4.24,4.51,4.05,4.24,75817,0
ASTI.US,D,20221007,000000,4.05,4.5,3.66,3.86,88193,0
ASTI.US,D,20221010,000000,3.8,4.0401,3.4343,3.6,16394,0
ASTI.US,D,20221011,000000,3.47,3.5813,3.13,3.3,8643,0
ASTI.US,D,20221012,000000,3.4,3.4,2.9937,3.25,12234,0
ASTI.US,D,20221013,000000,3.04,3.12,2.8602,2.98,21391,0
ASTI.US,D,20221014,000000,2.94,3.0131,2.6801,2.7,15304,0
ASTI.US,D,20221017,000000,2.8,3.2,2.5281,2.9,23976,0
ASTI.US,D,20221018,000000,3.49,3.49,2.675,3.02,72903,0
ASTI.US,D,20221019,000000,3.24,3.88,2.8,3.25,113873,0
ASTI.US,D,20221020,000000,3.26,7.47,3.26,5.12,5058375,0
ASTI.US,D,20221021,000000,5.24,6.88,4.05,4.58,2112037,0
ASTI.US,D,20221024,000000,4.41,4.41,2.81,3.42,302373,0
ASTI.US,D,20221025,000000,3.14,3.3,2.84,3.09,245299,0
ASTI.US,D,20221026,000000,3.26,3.26,2.9,3.03,112919,0
ASTI.US,D,20221027,000000,2.94,3.05,2.59,2.83,113913,0
ASTI.US,D,20221028,000000,2.75,2.9558,2.725,2.8,86457,0
ASTI.US,D,20221031,000000,2.75,2.86,2.72,2.78,61824,0
ASTI.US,D,20221101,000000,2.77,2.98,2.5,2.75,68173,0
ASTI.US,D,20221102,000000,2.765,2.79,2.586,2.66,65429,0
ASTI.US,D,20221103,000000,2.7,2.8,2.51,2.57,66004,0
ASTI.US,D,20221104,000000,2.74,2.74,2.54,2.5901,67471,0
ASTI.US,D,20221107,000000,2.6,3.3799,2.6,2.86,433337,0
