<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AVPT.US,D,20191209,000000,9.85,9.9,9.82,9.85,712733,0
AVPT.US,D,20191217,000000,9.97,10.43,9.85,10.43,157492,0
AVPT.US,D,20191218,000000,9.915,9.975,9.915,9.915,400,0
AVPT.US,D,20191226,000000,9.85,9.9,9.85,9.9,1110,0
AVPT.US,D,20191230,000000,9.88,9.88,9.87,9.87,102062,0
AVPT.US,D,20200103,000000,9.88,9.9,9.88,9.9,300006,0
AVPT.US,D,20200107,000000,9.95,9.95,9.95,9.95,224982,0
AVPT.US,D,20200109,000000,9.95,9.95,9.95,9.95,50006,0
AVPT.US,D,20200110,000000,9.95,10,9.95,9.98,275320,0
AVPT.US,D,20200113,000000,9.98,10.02,9.98,10,484101,0
AVPT.US,D,20200115,000000,9.9929,10.04,9.95,10.012,27063,0
AVPT.US,D,20200117,000000,10.03,10.05,10.01,10.01,8864,0
AVPT.US,D,20200121,000000,10.02,10.03,10.01,10.03,12300,0
AVPT.US,D,20200123,000000,9.8,10.05,9.8,10.04,1790,0
AVPT.US,D,20200124,000000,10.03,10.05,10.03,10.05,100201,0
AVPT.US,D,20200127,000000,10.05,10.05,10.0289,10.0289,2779,0
AVPT.US,D,20200128,000000,10.53,10.53,10.05,10.05,201,0
AVPT.US,D,20200129,000000,10.05,10.07,10.04,10.055,9003,0
AVPT.US,D,20200130,000000,10.025,10.025,10.02,10.02,99878,0
AVPT.US,D,20200203,000000,10.03,10.115,10.02,10.03,17604,0
AVPT.US,D,20200204,000000,10.03,10.05,10.01,10.05,106438,0
AVPT.US,D,20200205,000000,10.05,10.05,10.05,10.05,2005,0
AVPT.US,D,20200206,000000,10.02,10.02,10.02,10.02,200082,0
AVPT.US,D,20200207,000000,10.03,10.1,10.03,10.04,64167,0
AVPT.US,D,20200210,000000,10.0236,10.0236,10.0236,10.0236,267,0
AVPT.US,D,20200211,000000,10.04,10.04,10.04,10.04,188519,0
AVPT.US,D,20200213,000000,10.04,10.04,10.04,10.04,43808,0
AVPT.US,D,20200214,000000,10.04,10.04,10.03,10.03,88165,0
AVPT.US,D,20200218,000000,10.07,10.07,10.03,10.03,1115,0
AVPT.US,D,20200219,000000,10.05,10.05,10.03,10.03,15982,0
AVPT.US,D,20200220,000000,10.04,10.04,10.04,10.04,4128,0
AVPT.US,D,20200224,000000,10.03,10.03,10.02,10.02,272,0
AVPT.US,D,20200225,000000,10.05,10.05,10.04,10.04,28402,0
AVPT.US,D,20200226,000000,10.065,10.065,10.02,10.02,101822,0
AVPT.US,D,20200227,000000,10.04,10.04,10.04,10.04,8759,0
AVPT.US,D,20200306,000000,10.09,10.1,10.09,10.1,1043,0
AVPT.US,D,20200310,000000,9.96,10.04,9.96,10.04,53804,0
AVPT.US,D,20200312,000000,9.9,9.91,9.8511,9.9,315172,0
AVPT.US,D,20200313,000000,9.97,9.97,9.8,9.8,656715,0
AVPT.US,D,20200316,000000,9.65,9.7,9.52,9.6,644577,0
AVPT.US,D,20200317,000000,9.55,9.785,9.55,9.55,455269,0
AVPT.US,D,20200318,000000,9.5,9.59,9.125,9.3,115128,0
AVPT.US,D,20200319,000000,9.55,9.6,9.27,9.27,43162,0
AVPT.US,D,20200320,000000,9.35,9.5,9.35,9.35,2150673,0
AVPT.US,D,20200323,000000,9.3527,9.5,9.3,9.3,127896,0
AVPT.US,D,20200324,000000,9.61,9.61,9.61,9.61,273,0
AVPT.US,D,20200325,000000,9.75,9.8,9.63,9.63,169500,0
AVPT.US,D,20200326,000000,9.59,9.87,9.59,9.68,380269,0
AVPT.US,D,20200327,000000,9.66,9.68,9.65,9.68,2325217,0
AVPT.US,D,20200330,000000,9.66,9.79,9.65,9.66,9041,0
AVPT.US,D,20200331,000000,9.77,9.815,9.75,9.75,23920,0
AVPT.US,D,20200401,000000,9.77,9.88,9.77,9.85,6676,0
AVPT.US,D,20200402,000000,9.83,9.83,9.83,9.83,298790,0
AVPT.US,D,20200403,000000,9.8,9.81,9.79,9.8,239829,0
AVPT.US,D,20200406,000000,9.74,9.785,9.74,9.75,322683,0
AVPT.US,D,20200407,000000,9.8,9.83,9.79,9.8,13423,0
AVPT.US,D,20200408,000000,9.75,9.8,9.75,9.8,61718,0
AVPT.US,D,20200409,000000,9.8,9.8,9.71,9.8,18939,0
AVPT.US,D,20200413,000000,9.8,9.8,9.8,9.8,75025,0
AVPT.US,D,20200414,000000,9.8,9.9,9.8,9.81,549295,0
AVPT.US,D,20200415,000000,9.89,10,9.77,9.795,116281,0
AVPT.US,D,20200416,000000,9.775,9.8,9.72,9.8,401815,0
AVPT.US,D,20200417,000000,9.8,9.8,9.78,9.78,26137,0
AVPT.US,D,20200420,000000,9.8,9.8,9.8,9.8,314,0
AVPT.US,D,20200421,000000,9.8384,9.8384,9.72,9.72,1972,0
AVPT.US,D,20200422,000000,9.76,9.8,9.76,9.79,32666,0
AVPT.US,D,20200423,000000,9.77,9.8,9.77,9.8,297,0
AVPT.US,D,20200424,000000,9.81,9.81,9.81,9.81,384,0
AVPT.US,D,20200427,000000,9.77,9.77,9.75,9.75,20956,0
AVPT.US,D,20200428,000000,9.8,9.8,9.8,9.8,230032,0
AVPT.US,D,20200429,000000,9.8,9.8,9.8,9.8,150078,0
AVPT.US,D,20200430,000000,9.77,9.98,9.75,9.89,7680,0
AVPT.US,D,20200501,000000,9.88,9.88,9.76,9.8,28037,0
AVPT.US,D,20200506,000000,9.77,9.85,9.73,9.73,79047,0
AVPT.US,D,20200507,000000,9.8,9.895,9.66,9.8,77030,0
AVPT.US,D,20200508,000000,9.8,9.99,9.77,9.89,188366,0
AVPT.US,D,20200512,000000,9.88,9.88,9.63,9.75,352713,0
AVPT.US,D,20200513,000000,9.7501,9.82,9.7501,9.79,42212,0
AVPT.US,D,20200514,000000,9.745,9.81,9.745,9.76,37768,0
AVPT.US,D,20200515,000000,9.8,9.8,9.8,9.8,935,0
AVPT.US,D,20200518,000000,9.8,9.83,9.78,9.78,464818,0
AVPT.US,D,20200519,000000,9.8,9.885,9.76,9.76,108197,0
AVPT.US,D,20200520,000000,9.82,9.92,9.8,9.85,17783,0
AVPT.US,D,20200522,000000,9.89,9.89,9.76,9.76,1120,0
AVPT.US,D,20200526,000000,9.76,9.84,9.76,9.76,534,0
AVPT.US,D,20200527,000000,9.805,9.805,9.805,9.805,114,0
AVPT.US,D,20200528,000000,9.84,9.85,9.79,9.79,2790,0
AVPT.US,D,20200529,000000,9.76,9.79,9.76,9.79,45691,0
AVPT.US,D,20200601,000000,9.85,9.85,9.8,9.8,1297,0
AVPT.US,D,20200602,000000,9.8,9.8,9.8,9.8,1338,0
AVPT.US,D,20200603,000000,9.8,9.825,9.8,9.825,495,0
AVPT.US,D,20200604,000000,9.85,9.87,9.8275,9.85,7558,0
AVPT.US,D,20200605,000000,9.87,9.88,9.82,9.82,24335,0
AVPT.US,D,20200608,000000,9.85,10,9.85,9.88,454962,0
AVPT.US,D,20200609,000000,9.95,9.95,9.804,9.82,664,0
AVPT.US,D,20200610,000000,9.9,10.067,9.9,10.067,263503,0
