<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AVTX.US,D,20151113,000000,59.4,60,45,48,28658.3332187,0
AVTX.US,D,20151116,000000,48,54,44.88,54,13308.3332801,0
AVTX.US,D,20151117,000000,51,51,48,51,2083.333325,0
AVTX.US,D,20151118,000000,51.6,56.4,50.4,54,2966.6666548,0
AVTX.US,D,20151119,000000,48.36,51.96,48,51.96,341.6666653,0
AVTX.US,D,20151120,000000,51.96,54,48,52.8,4608.3333149,0
AVTX.US,D,20151123,000000,52.92,54,49.8,50.4,916.666663,0
AVTX.US,D,20151124,000000,48.6,51,48,48,424.9999983,0
AVTX.US,D,20151125,000000,47.76,52.32,47.76,52.32,616.6666642,0
AVTX.US,D,20151127,000000,53.4,54.12,51,52.56,2691.6666559,0
AVTX.US,D,20151130,000000,52.8,52.8,50.4,50.4,83.333333,0
AVTX.US,D,20151201,000000,45.6,45.84,42.24,45.24,1902.999992388,0
AVTX.US,D,20151202,000000,48,48,41.88,43.68,166.666666,0
AVTX.US,D,20151204,000000,44.88,44.88,42.6,42.6,524.9999979,0
AVTX.US,D,20151208,000000,39.12,39.12,33,38.52,3160.583320691,0
AVTX.US,D,20151209,000000,39,39.6,32.04,39.24,3916.666651,0
AVTX.US,D,20151210,000000,39,39.24,34.68,39,1824.9999927,0
AVTX.US,D,20151211,000000,39.12,39.12,35.16,37.56,2383.3333238,0
AVTX.US,D,20151214,000000,36.6,39.6,33,37.2,4310.666649424,0
AVTX.US,D,20151215,000000,36,42.36,36,42.36,2408.3333237,0
AVTX.US,D,20151216,000000,47.28,47.28,42,42.6,174.9999993,0
AVTX.US,D,20151217,000000,42.48,43.8,36,37.68,566.6666644,0
AVTX.US,D,20151218,000000,40.68,42.36,37.44,37.44,1383.3333278,0
AVTX.US,D,20151221,000000,39.6,50.28,39.6,47.4,2791.6666555,0
AVTX.US,D,20151222,000000,47.76,52.0788,42.72,46.6788,504.916664647,0
AVTX.US,D,20151223,000000,46.2,48.72,46.2,48,166.666666,0
AVTX.US,D,20151224,000000,48.72,49.56,46.0656,47.88,624.16666417,0
AVTX.US,D,20151228,000000,49.08,49.08,45.84,46.56,874.249996503,0
AVTX.US,D,20151229,000000,48,48,43.8,45.6,1342.416661297,0
AVTX.US,D,20151230,000000,45.24,48.72,42.84,42.96,920.83332965,0
AVTX.US,D,20151231,000000,44.76,44.76,40.2,40.2,884.499996462,0
AVTX.US,D,20160104,000000,39.6,53.88,38.4012,46.2,6271.249974915,0
AVTX.US,D,20160105,000000,46.68,57.6,46.68,52.5348,11268.833288258,0
AVTX.US,D,20160106,000000,51.852,54.84,49.9212,53.4,5555.249977779,0
AVTX.US,D,20160107,000000,52.68,52.68,49.92,50.88,1457.749994169,0
AVTX.US,D,20160108,000000,51,51.0012,44.4,44.4,2647.916656075,0
AVTX.US,D,20160111,000000,47.88,50.988,42,42.7212,3028.499987886,0
AVTX.US,D,20160112,000000,42.84,45.5988,39.6,39.7212,3176.749987293,0
AVTX.US,D,20160113,000000,43.8,43.8,37.2,38.6592,2469.833323454,0
AVTX.US,D,20160114,000000,38.76,42.6,38.4,39.6,2978.166654754,0
AVTX.US,D,20160115,000000,39.096,39.7776,38.4012,39.24,816.416663401,0
AVTX.US,D,20160119,000000,39.6,45.84,39.12,39.12,808.3333301,0
AVTX.US,D,20160120,000000,38.4,50.4,36,46.92,18092.333260964,0
AVTX.US,D,20160121,000000,43.8,43.896,37.608,38.76,4012.666650616,0
AVTX.US,D,20160122,000000,39.96,40.08,37.632,38.4,1046.999995812,0
AVTX.US,D,20160125,000000,38.88,39.528,38.64,39,333.333332,0
AVTX.US,D,20160126,000000,38.7612,40.572,38.7612,40.08,1318.33332806,0
AVTX.US,D,20160127,000000,40.68,40.68,35.52,35.52,1929.333325616,0
AVTX.US,D,20160128,000000,37.4412,38.28,35.64,37.2,1866.499992534,0
AVTX.US,D,20160129,000000,37.2,37.92,37.2,37.7172,408.3333317,0
AVTX.US,D,20160201,000000,34.44,35.6388,32.4,34.8,1607.916660235,0
AVTX.US,D,20160202,000000,34.8,37.44,33.6,36,2655.583322711,0
AVTX.US,D,20160203,000000,36,37.68,35.4,36.24,1699.9999932,0
AVTX.US,D,20160204,000000,36.84,36.96,32.28,36,2443.583323559,0
AVTX.US,D,20160205,000000,37.32,37.32,34.68,35.64,374.749998501,0
AVTX.US,D,20160208,000000,36,36.6,35.2056,36.36,283.3333322,0
AVTX.US,D,20160209,000000,35.376,35.76,35.376,35.76,158.3333327,0
AVTX.US,D,20160210,000000,36.48,37.08,34.92,36.6,1795.83332615,0
AVTX.US,D,20160211,000000,35.7612,36.9,35.7612,36.9,191.6666659,0
AVTX.US,D,20160212,000000,35.88,36.072,34.2,34.9512,1562.416660417,0
AVTX.US,D,20160216,000000,36.6,36.6,36,36.24,1123.166662174,0
AVTX.US,D,20160217,000000,34.92,37.2,34.7388,37.2,1389.666661108,0
AVTX.US,D,20160218,000000,34.32,37.2,33.24,36.12,3374.416653169,0
AVTX.US,D,20160219,000000,34.8,36.6,34.8,36,1684.99999326,0
AVTX.US,D,20160222,000000,35.94,36.6,35.76,36.48,594.16666429,0
AVTX.US,D,20160223,000000,34.8,36.8268,34.56,36,1357.666661236,0
AVTX.US,D,20160224,000000,35.28,36.72,35.16,36.12,483.3333314,0
AVTX.US,D,20160225,000000,36.72,37.08,36.444,37.08,449.9999982,0
AVTX.US,D,20160226,000000,37.2,38.64,37.2,38.364,483.3333314,0
AVTX.US,D,20160229,000000,38.88,39.36,38.88,39.12,1058.3333291,0
AVTX.US,D,20160301,000000,39,39.72,39,39.12,508.3333313,0
AVTX.US,D,20160302,000000,39.12,39.12,37.92,38.28,629.833330814,0
AVTX.US,D,20160303,000000,38.52,38.52,38.52,38.52,9.749999961,0
AVTX.US,D,20160304,000000,39.12,39.12,39,39,16.6666666,0
AVTX.US,D,20160307,000000,39,41.28,36.144,41.28,441.6666649,0
AVTX.US,D,20160308,000000,39.648,45.96,39.6,45.96,2075.916658363,0
AVTX.US,D,20160309,000000,45.48,45.84,42.24,42.36,391.6666651,0
AVTX.US,D,20160310,000000,42.24,45,41.4,41.4,58.3333331,0
AVTX.US,D,20160314,000000,42.24,57,42.24,53.4,7318.583304059,0
AVTX.US,D,20160315,000000,59.4,59.4,51.72,53.76,6112.083308885,0
AVTX.US,D,20160316,000000,55.2,56.4,45.84,56.28,4155.499983378,0
AVTX.US,D,20160317,000000,57.24,59.04,55.44,59.04,3754.666651648,0
AVTX.US,D,20160318,000000,58.56,62.28,50.76,50.76,5955.916642843,0
AVTX.US,D,20160321,000000,50.76,54.6,40.92,44.64,3854.333317916,0
AVTX.US,D,20160322,000000,44.16,46.2,41.82,42.72,1146.333328748,0
AVTX.US,D,20160323,000000,44.64,44.88,40.2,43.44,1814.833326074,0
AVTX.US,D,20160324,000000,42.48,45.48,41.04,45.06,351.249998595,0
AVTX.US,D,20160328,000000,45.24,45.5868,42,43.08,921.583329647,0
AVTX.US,D,20160329,000000,43.8,43.8,39.72,39.72,1224.9999951,0
AVTX.US,D,20160330,000000,39.6,41.3772,39.48,40.044,1920.999992316,0
AVTX.US,D,20160331,000000,40.08,45,40.08,44.76,961.749996153,0
AVTX.US,D,20160401,000000,45.24,45.264,43.8,43.8,127.666666156,0
AVTX.US,D,20160404,000000,44.28,45.84,44.16,45.24,790.666663504,0
AVTX.US,D,20160405,000000,45.6,47.2092,45.12,45.24,974.9999961,0
AVTX.US,D,20160406,000000,46.74,47.64,44.16,46.68,816.583330067,0
AVTX.US,D,20160407,000000,45.84,46.14,43.8,44.4,58.416666433,0
AVTX.US,D,20160408,000000,45.96,47.6388,44.76,47.52,280.166665546,0
AVTX.US,D,20160411,000000,47.4,47.4,43.8,47.28,1501.749993993,0
AVTX.US,D,20160412,000000,45.84,46.32,43.2,44.4,1112.583328883,0
AVTX.US,D,20160413,000000,49.8,52.6788,46.1988,48.12,22041.833245166,0
AVTX.US,D,20160414,000000,49.6596,49.8,45.48,46.7988,1391.833327766,0
AVTX.US,D,20160415,000000,43.8012,47.6388,43.8,43.8,356.249998575,0
AVTX.US,D,20160418,000000,46.08,46.08,42,43.68,756.249996975,0
AVTX.US,D,20160419,000000,44.88,44.9988,41.7612,43.32,448.499998206,0
AVTX.US,D,20160420,000000,42.72,42.72,39.84,40.2828,2871.583321847,0
AVTX.US,D,20160421,000000,40.56,45.48,40.2,44.52,2056.583325107,0
AVTX.US,D,20160422,000000,45.48,47.088,45.12,46.5588,1300.166661466,0
AVTX.US,D,20160425,000000,44.4012,45,42.96,44.64,805.749996777,0
AVTX.US,D,20160426,000000,43.644,45,43.644,44.88,238.999999044,0
AVTX.US,D,20160427,000000,44.28,45,43.2,43.2,211.416665821,0
AVTX.US,D,20160428,000000,44.1996,46.5,43.8,46.5,2739.333322376,0
AVTX.US,D,20160429,000000,47.28,48.6684,45.9612,46.4388,966.999996132,0
AVTX.US,D,20160502,000000,45.6,46.92,45.6,45.96,1235.83332839,0
AVTX.US,D,20160503,000000,46.32,47.9868,46.08,47.25,460.083331493,0
