<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BCDAW.US,D,20220923,000000,0.43,0.43,0.270398,0.43,12614,0
BCDAW.US,D,20220926,000000,0.4,0.418,0.3999,0.3999,838,0
BCDAW.US,D,20220929,000000,0.8199,0.83,0.8199,0.83,314,0
BCDAW.US,D,20221011,000000,0.78,0.78,0.78,0.78,258,0
BCDAW.US,D,20221108,000000,0.7799,0.7799,0.7799,0.7799,110,0
BCDAW.US,D,20221111,000000,0.2521,0.6479,0.2121,0.5,9029,0
BCDAW.US,D,20221114,000000,0.4003,0.4647,0.4003,0.4647,2813,0
BCDAW.US,D,20221115,000000,0.6979,0.77,0.4446,0.77,8856,0
BCDAW.US,D,20221116,000000,0.7,0.7767,0.5072,0.5377,10838,0
BCDAW.US,D,20221117,000000,0.4877,0.63,0.43,0.63,4210,0
BCDAW.US,D,20221118,000000,0.5334,0.77,0.51,0.5647,11479,0
BCDAW.US,D,20221121,000000,0.7347,0.7799,0.4744,0.5686,24868,0
BCDAW.US,D,20221122,000000,0.6986,0.7409,0.6483,0.7083,9008,0
BCDAW.US,D,20221123,000000,0.5804,0.627,0.5804,0.6238,1125,0
BCDAW.US,D,20221128,000000,0.5538,0.6138,0.5238,0.6138,332,0
BCDAW.US,D,20221129,000000,0.58,0.58,0.58,0.58,200,0
BCDAW.US,D,20221130,000000,0.5904,0.5904,0.5404,0.5404,306,0
BCDAW.US,D,20221201,000000,0.4706,0.7113,0.4504,0.5772,5852,0
BCDAW.US,D,20221202,000000,0.4696,0.5814,0.4664,0.5814,4739,0
BCDAW.US,D,20221205,000000,0.665,0.73,0.62,0.62,2744,0
BCDAW.US,D,20221206,000000,0.4515,0.77,0.4364,0.5779,7198,0
BCDAW.US,D,20221207,000000,0.468,0.7163,0.3562,0.6593,3785,0
BCDAW.US,D,20221208,000000,0.7238,0.78,0.6593,0.7,4891,0
BCDAW.US,D,20221209,000000,0.46,0.46,0.46,0.46,100,0
BCDAW.US,D,20221212,000000,0.4528,0.484,0.4136,0.484,2618,0
BCDAW.US,D,20221213,000000,0.3507,0.9573,0.3507,0.6208,21128,0
BCDAW.US,D,20221214,000000,0.8499,0.8789,0.6019,0.662,12531,0
BCDAW.US,D,20221215,000000,0.6835,0.7159,0.606,0.6666,1211,0
BCDAW.US,D,20221216,000000,0.6771,0.7031,0.6221,0.7031,811,0
BCDAW.US,D,20221219,000000,0.064,0.8786,0.064,0.569,18067,0
BCDAW.US,D,20221220,000000,0.629,0.8574,0.56,0.6,10126,0
BCDAW.US,D,20221221,000000,0.73,0.8743,0.6032,0.7016,9881,0
BCDAW.US,D,20221222,000000,0.7112,0.7797,0.657,0.657,1403,0
BCDAW.US,D,20221223,000000,0.6446,0.6446,0.6273,0.6273,629,0
BCDAW.US,D,20221227,000000,0.6773,0.8391,0.67,0.6918,2203,0
BCDAW.US,D,20221228,000000,0.5719,0.651,0.5719,0.651,505,0
BCDAW.US,D,20221229,000000,0.766,0.8071,0.6988,0.6988,1510,0
BCDAW.US,D,20221230,000000,0.7388,0.8745,0.7388,0.8269,718,0
BCDAW.US,D,20230103,000000,0.8848,0.9379,0.8398,0.8398,2088,0
BCDAW.US,D,20230104,000000,0.652,0.904,0.652,0.8919,6219,0
BCDAW.US,D,20230106,000000,0.7,1.02,0.7,0.7895,9128,0
BCDAW.US,D,20230109,000000,1.17,1.31,0.86,0.92,4579,0
BCDAW.US,D,20230110,000000,1,1.17,1,1.01,1916,0
BCDAW.US,D,20230120,000000,1,1.0446,0.6007,0.92,3495,0
BCDAW.US,D,20230123,000000,0.82,0.82,0.657994,0.7989,9731,0
BCDAW.US,D,20230124,000000,0.8289,0.99,0.68,0.742,9488,0
BCDAW.US,D,20230125,000000,0.89,0.89,0.712,0.752,1712,0
BCDAW.US,D,20230126,000000,1.03,1.03,0.7685,0.7731,3217,0
BCDAW.US,D,20230130,000000,0.7531,0.7531,0.74,0.75,1380,0
BCDAW.US,D,20230131,000000,0.7742,0.8742,0.769,0.8072,1108,0
BCDAW.US,D,20230201,000000,0.8457,0.9273,0.7446,0.7446,1106,0
BCDAW.US,D,20230203,000000,0.8595,0.91,0.7184,0.8004,9104,0
BCDAW.US,D,20230206,000000,0.8669,0.97,0.782487,0.8185,3608,0
BCDAW.US,D,20230208,000000,0.9861,0.99,0.7487,0.78,2927,0
BCDAW.US,D,20230209,000000,0.781,0.9013,0.781,0.8608,903,0
BCDAW.US,D,20230210,000000,0.77,0.77,0.77,0.77,546,0
BCDAW.US,D,20230213,000000,0.835,0.932,0.7212,0.73,1303,0
BCDAW.US,D,20230215,000000,0.85,0.85,0.765,0.8022,905,0
BCDAW.US,D,20230216,000000,0.7622,0.7622,0.71,0.71,255,0
BCDAW.US,D,20230222,000000,0.7022,0.9646,0.7022,0.8109,1864,0
BCDAW.US,D,20230223,000000,0.8109,0.9073,0.7521,0.83,2646,0
BCDAW.US,D,20230224,000000,0.92,0.9212,0.92,0.9212,308,0
BCDAW.US,D,20230227,000000,0.712,1.74,0.712,1.42,625,0
BCDAW.US,D,20230310,000000,1.19,1.24,0.74,1.01,13539,0
BCDAW.US,D,20230313,000000,1.01,1.08,0.7842,0.8636,8368,0
BCDAW.US,D,20230316,000000,0.9597,1.18,0.9499,0.9888,2986,0
BCDAW.US,D,20230317,000000,0.9932,1.04,0.9932,0.9932,214,0
BCDAW.US,D,20230320,000000,1.02,1.02,1.02,1.02,102,0
BCDAW.US,D,20230321,000000,0.9359,0.9359,0.9359,0.9359,203,0
BCDAW.US,D,20230323,000000,0.9945,1.12,0.9792,1.01,1715,0
BCDAW.US,D,20230329,000000,1.19,1.19,0.7035,0.9537,1208,0
BCDAW.US,D,20230403,000000,0.801,0.801,0.7515,0.7515,301,0
BCDAW.US,D,20230404,000000,0.7021,1.01,0.7021,0.88,1309,0
BCDAW.US,D,20230405,000000,0.8,0.8,0.8,0.8,1000,0
BCDAW.US,D,20230406,000000,0.9264,1.04,0.8362,0.86,9049,0
BCDAW.US,D,20230410,000000,1.05,1.09,0.87,0.87,2887,0
BCDAW.US,D,20230411,000000,0.71,0.71,0.702,0.702,274,0
BCDAW.US,D,20230413,000000,0.957,0.957,0.957,0.957,101,0
BCDAW.US,D,20230420,000000,0.8396,0.8399,0.7196,0.8399,2250,0
BCDAW.US,D,20230421,000000,0.72,0.7699,0.72,0.7699,277,0
BCDAW.US,D,20230510,000000,0.8013,0.8013,0.8013,0.8013,301,0
BCDAW.US,D,20230515,000000,0.65,1.29,0.65,0.954,8220,0
BCDAW.US,D,20230516,000000,1.04,1.04,0.9932,0.9932,206,0
BCDAW.US,D,20230518,000000,1.21,1.38,0.8,0.8,1809,0
BCDAW.US,D,20230519,000000,0.8065,1.15,0.8065,1.15,806,0
BCDAW.US,D,20230522,000000,1.28,1.34,1.03,1.25,3840,0
BCDAW.US,D,20230531,000000,0.8959,0.8959,0.8959,0.8959,194,0
