<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BOF.US,D,20230616,000000,5.69,5.75,4.27,4.43,959195,0
BOF.US,D,20230620,000000,5.83,6.2,4.3,4.48,7634251,0
BOF.US,D,20230621,000000,4.6,4.7399,4.2,4.36,740031,0
BOF.US,D,20230622,000000,4.31,4.5099,3.88,4.14,391132,0
BOF.US,D,20230623,000000,4.03,4.08,3.8,3.98,291003,0
BOF.US,D,20230626,000000,3.81,3.89,3.49,3.5,143549,0
BOF.US,D,20230627,000000,3.31,3.6199,3.1201,3.23,203354,0
BOF.US,D,20230628,000000,3.19,3.9499,3.03,3.78,502108,0
BOF.US,D,20230629,000000,3.63,3.74,3.56,3.61,252633,0
BOF.US,D,20230630,000000,3.56,3.73,3.19,3.25,174876,0
BOF.US,D,20230703,000000,3.13,3.355,3.1,3.2,103683,0
BOF.US,D,20230705,000000,3.24,3.33,3.01,3.2791,56671,0
BOF.US,D,20230706,000000,3.22,3.39,3.1,3.17,98425,0
BOF.US,D,20230707,000000,3.17,3.5,3.07,3.11,229084,0
BOF.US,D,20230710,000000,3.15,3.2,3.03,3.05,109919,0
BOF.US,D,20230711,000000,3.0601,3.11,2.81,2.8682,80095,0
BOF.US,D,20230712,000000,2.92,2.93,2.54,2.63,125459,0
BOF.US,D,20230713,000000,2.59,3.28,2.59,3.1,327839,0
BOF.US,D,20230714,000000,3.18,3.2899,3.0301,3.11,76705,0
BOF.US,D,20230717,000000,3.11,3.32,3.11,3.2,58258,0
BOF.US,D,20230718,000000,3.18,3.23,2.79,2.91,145227,0
BOF.US,D,20230719,000000,2.88,3.0775,2.8,3.02,54135,0
BOF.US,D,20230720,000000,3.06,3.1381,2.925,2.99,47598,0
BOF.US,D,20230721,000000,3.07,3.0899,2.95,3,21074,0
BOF.US,D,20230724,000000,3.06,3.06,2.91,2.91,43589,0
BOF.US,D,20230725,000000,2.95,3.05,2.89,2.93,13638,0
BOF.US,D,20230726,000000,2.95,2.9999,2.9,2.94,23185,0
BOF.US,D,20230727,000000,2.9201,3.01,2.81,2.86,51015,0
BOF.US,D,20230728,000000,2.91,3.04,2.85,2.86,42072,0
BOF.US,D,20230731,000000,2.9,2.9881,2.81,2.8401,28226,0
BOF.US,D,20230801,000000,2.84,2.9897,2.7,2.79,48728,0
