<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CENN.US,D,20151218,000000,29250,29850,24375,29850,18,0
CENN.US,D,20151221,000000,28575,29925,24375,29850,6,0
CENN.US,D,20151222,000000,29175,29820,27750,29250,3,0
CENN.US,D,20151223,000000,28575,28800,28125,28500,2,0
CENN.US,D,20151224,000000,28423.5,28423.5,28155,28155,0,0
CENN.US,D,20151228,000000,28500,28500,27373.5,28425,2,0
CENN.US,D,20151229,000000,28500,30000,28200,30000,0,0
CENN.US,D,20151230,000000,29400,30000,29250,29700,0,0
CENN.US,D,20151231,000000,29724,29724,29250,29250,0,0
CENN.US,D,20160104,000000,29550,29550,28575,28575,1,0
CENN.US,D,20160105,000000,29400,29850,28200,29775,1,0
CENN.US,D,20160106,000000,29250,29250,29250,29250,0,0
CENN.US,D,20160107,000000,28282.5,28350,28050,28050,1,0
CENN.US,D,20160108,000000,27750,27750,24975,25875,2,0
CENN.US,D,20160111,000000,26550,26550,26250,26250,0,0
CENN.US,D,20160112,000000,26025,26250,25200,25200,0,0
CENN.US,D,20160113,000000,25875,25875,24975,24975,2,0
CENN.US,D,20160114,000000,25938,25938,25500,25500,0,0
CENN.US,D,20160115,000000,25125,25500,23211,24900,1,0
CENN.US,D,20160119,000000,25875,25875,20925,21000,3,0
CENN.US,D,20160120,000000,20400,21000,20100,20400,1,0
CENN.US,D,20160121,000000,21000,21750,20625,20925,1,0
CENN.US,D,20160122,000000,20956.5,24000,20620.5,23850,4,0
CENN.US,D,20160125,000000,26250,26250,16200,19875,3,0
CENN.US,D,20160126,000000,19875,23850,18375,19032,7,0
CENN.US,D,20160127,000000,18375,20548.5,18375,19798.5,1,0
CENN.US,D,20160128,000000,19500,19500,19500,19500,0,0
CENN.US,D,20160129,000000,19800,20925,19425,20925,2,0
CENN.US,D,20160201,000000,19200,19350,19125,19275,0,0
CENN.US,D,20160202,000000,19200,19275,18750,18825,1,0
CENN.US,D,20160203,000000,19125,20200.5,19125,20200.5,0,0
CENN.US,D,20160205,000000,19125,19575,18975,18975,0,0
CENN.US,D,20160208,000000,19408.5,19408.5,19125,19200,0,0
CENN.US,D,20160210,000000,20700,21750,19500,19500,0,0
CENN.US,D,20160211,000000,20928,20928,18975,18975,1,0
CENN.US,D,20160212,000000,19275,19500,18750,18750,0,0
CENN.US,D,20160216,000000,18750,18750,18750,18750,0,0
CENN.US,D,20160217,000000,18375,18750,18000,18000,0,0
CENN.US,D,20160218,000000,21225,21675,16350,16350,1,0
CENN.US,D,20160219,000000,17250,18600,17169,18600,1,0
CENN.US,D,20160222,000000,18300,18750,18300,18525,0,0
CENN.US,D,20160223,000000,18748.5,19125,17925,17925,0,0
CENN.US,D,20160224,000000,18277.5,18375,18277.5,18300,0,0
CENN.US,D,20160225,000000,18375,18750,18375,18750,1,0
CENN.US,D,20160226,000000,17748,18450,17748,18450,0,0
CENN.US,D,20160229,000000,17850,18600,17850,18600,0,0
CENN.US,D,20160301,000000,18075,18750,16726.5,16726.5,0,0
CENN.US,D,20160302,000000,17625,17625,17625,17625,0,0
CENN.US,D,20160303,000000,18000,18000,16873.5,16875,1,0
CENN.US,D,20160307,000000,18300,18300,16725,18300,0,0
CENN.US,D,20160308,000000,18150,18600,17100,18450,1,0
CENN.US,D,20160309,000000,18000,18000,17850,17850,0,0
CENN.US,D,20160311,000000,17337,18225,17250,18225,0,0
CENN.US,D,20160314,000000,18600,22125,17700,22125,5,0
CENN.US,D,20160315,000000,20625,22050,19950,22050,12,0
CENN.US,D,20160316,000000,20325,20625,17700,18675,5,0
CENN.US,D,20160317,000000,18900,20625,18450,20625,3,0
CENN.US,D,20160318,000000,21750,22125,18750,18750,7,0
CENN.US,D,20160321,000000,18825,19125,18825,19125,0,0
CENN.US,D,20160322,000000,19125,20250,18975,20100,1,0
CENN.US,D,20160323,000000,20025,20025,18750,19875,0,0
CENN.US,D,20160324,000000,19725,19725,18750,18825,0,0
CENN.US,D,20160328,000000,18750,18900,16287,17175,2,0
CENN.US,D,20160329,000000,16875,16875,16725,16725,0,0
CENN.US,D,20160330,000000,16575,16575,15600,16125,1,0
CENN.US,D,20160331,000000,15525,16950,15450,16950,1,0
CENN.US,D,20160401,000000,16725,16725,16725,16725,0,0
CENN.US,D,20160404,000000,15300,15375,13425,15000,3,0
CENN.US,D,20160405,000000,15450,15600,13725,13950,2,0
CENN.US,D,20160406,000000,14250,15000,13725,13800,1,0
CENN.US,D,20160407,000000,14175.75,14400,13725,14175,1,0
CENN.US,D,20160408,000000,13950,14493,13725,14100,1,0
CENN.US,D,20160411,000000,13875,14175,13140,14175,1,0
CENN.US,D,20160412,000000,13425,14025,13125,13125,1,0
CENN.US,D,20160413,000000,12011.25,13350,12011.25,13350,1,0
CENN.US,D,20160414,000000,13350,13350,12825,12899.25,1,0
CENN.US,D,20160415,000000,12780,13245,11850,11850,1,0
CENN.US,D,20160418,000000,12150,12464.25,11175,11700,3,0
CENN.US,D,20160419,000000,12028.5,13049.25,11700,13049.25,1,0
CENN.US,D,20160420,000000,12300,12525,12000,12075,1,0
CENN.US,D,20160421,000000,12525,13050,11625,11625,2,0
CENN.US,D,20160422,000000,11625,11850,11625,11775,1,0
CENN.US,D,20160425,000000,12075,13200,11700,12375,1,0
CENN.US,D,20160426,000000,13275,13537.5,12674.25,12674.25,0,0
CENN.US,D,20160427,000000,12075,12750,12000,12675,1,0
CENN.US,D,20160428,000000,12382.5,12675,12382.5,12643.5,0,0
CENN.US,D,20160429,000000,12386.25,12450,12386.25,12450,0,0
CENN.US,D,20160502,000000,11700,11700,11625,11625,0,0
CENN.US,D,20160503,000000,13500,15375,12525.75,14100,7,0
CENN.US,D,20160504,000000,14400,15375,12750,13200,5,0
CENN.US,D,20160505,000000,15075,15525,12825,14250,4,0
CENN.US,D,20160506,000000,15000,15300,14475,14625,3,0
CENN.US,D,20160509,000000,15000,15300,14550,14754,1,0
CENN.US,D,20160510,000000,14775,15000,14625,14688,1,0
