<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLINR.US,D,20220419,000000,0.1995,0.2,0.1995,0.199899,552,0
CLINR.US,D,20220420,000000,0.141,0.169,0.14,0.169,793166,0
CLINR.US,D,20220421,000000,0.18,0.1802,0.18,0.18,1033556,0
CLINR.US,D,20220422,000000,0.13,0.13,0.13,0.13,155,0
CLINR.US,D,20220425,000000,0.1975,0.2025,0.1928,0.19985,7431,0
CLINR.US,D,20220426,000000,0.1997,0.1997,0.195,0.195,6963,0
CLINR.US,D,20220502,000000,0.19,0.2,0.155,0.2,4014,0
CLINR.US,D,20220503,000000,0.2,0.21,0.2,0.2,6200,0
CLINR.US,D,20220509,000000,0.15,0.1501,0.15,0.15,250531,0
CLINR.US,D,20220510,000000,0.16,0.161,0.14,0.16,521832,0
CLINR.US,D,20220511,000000,0.12,0.12,0.12,0.12,1000,0
CLINR.US,D,20220513,000000,0.124457,0.124457,0.124457,0.124457,700,0
CLINR.US,D,20220516,000000,0.16,0.16,0.16,0.16,200,0
CLINR.US,D,20220519,000000,0.15,0.15,0.15,0.15,9000,0
CLINR.US,D,20220523,000000,0.16,0.16,0.16,0.16,20000,0
CLINR.US,D,20220527,000000,0.1699,0.1699,0.1698,0.1698,10000,0
CLINR.US,D,20220531,000000,0.18,0.2583,0.17,0.23,9398,0
CLINR.US,D,20220603,000000,0.225,0.225,0.22,0.22,258701,0
CLINR.US,D,20220607,000000,0.22,0.22,0.22,0.22,200000,0
CLINR.US,D,20220609,000000,0.22,0.22,0.22,0.22,50000,0
CLINR.US,D,20220610,000000,0.21,0.21,0.2,0.2,300,0
CLINR.US,D,20220613,000000,0.2098,0.2098,0.1996,0.1996,300,0
CLINR.US,D,20220615,000000,0.21,0.21,0.1901,0.1901,600,0
CLINR.US,D,20220623,000000,0.199,0.199,0.189,0.189,400,0
CLINR.US,D,20220627,000000,0.19,0.19,0.19,0.19,150,0
CLINR.US,D,20220629,000000,0.19,0.19,0.19,0.19,13000,0
CLINR.US,D,20220701,000000,0.19,0.19,0.19,0.19,10000,0
CLINR.US,D,20220707,000000,0.19,0.19,0.19,0.19,250000,0
CLINR.US,D,20220708,000000,0.1624,0.19,0.16,0.19,300801,0
CLINR.US,D,20220712,000000,0.15,0.15,0.15,0.15,100,0
CLINR.US,D,20220718,000000,0.1494,0.1494,0.12,0.12,100200,0
