<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CNSP.US,D,20191108,000000,123.3,142.5,120.9,137.1,28594.799714052,0
CNSP.US,D,20191111,000000,142.5,145.5,127.5,127.5,7286.099927139,0
CNSP.US,D,20191112,000000,127.5,131.628,115.8,120.6,8526.199914738,0
CNSP.US,D,20191113,000000,120.6,126.6,120.6,122.4,1742.399982576,0
CNSP.US,D,20191114,000000,122.4,129.297,122.4,127.2,2022.566646441,0
CNSP.US,D,20191115,000000,127.2,134.997,127.2,131.4,2705.199972948,0
CNSP.US,D,20191118,000000,134.7,134.7,122.4,124.77,2312.566643541,0
CNSP.US,D,20191119,000000,139.2,170.697,124.5,129.6,30275.566363911,0
CNSP.US,D,20191120,000000,126,133.2,117,122.7,7526.499924735,0
CNSP.US,D,20191121,000000,119.7,132.597,117.306,128.7,2775.433305579,0
CNSP.US,D,20191122,000000,128.7,130.416,125.4,127.05,940.499990595,0
CNSP.US,D,20191125,000000,128.4,133.8,126,126.6,1987.833313455,0
CNSP.US,D,20191126,000000,130.5,138.9,120.3,122.7,4124.199958758,0
CNSP.US,D,20191127,000000,123,129.6,123,125.001,584.799994152,0
CNSP.US,D,20191129,000000,126.9,126.9,123,123.9,420.166662465,0
CNSP.US,D,20191202,000000,124.5,129.81,120,121.8,1578.199984218,0
CNSP.US,D,20191203,000000,122.7,126,120.3,120.3,1166.833321665,0
CNSP.US,D,20191204,000000,125.1,125.928,120.3,121.5,2772.433305609,0
CNSP.US,D,20191205,000000,122.4,124.5,120,122.4,1035.99998964,0
CNSP.US,D,20191206,000000,124.5,124.5,118.5,119.7,2836.433304969,0
CNSP.US,D,20191209,000000,120,122.67,117,118.2,2789.033305443,0
CNSP.US,D,20191210,000000,121.5,123,109.503,113.4,6235.66660431,0
CNSP.US,D,20191211,000000,115.2,123.156,112.5,116.1,6462.966602037,0
CNSP.US,D,20191212,000000,120.3,124.8,114.9,120.9,6414.399935856,0
CNSP.US,D,20191213,000000,120.9,120.9,116.7,118.5,1580.899984191,0
CNSP.US,D,20191216,000000,119.4,120.6,115.5,116.7,2414.233309191,0
CNSP.US,D,20191217,000000,117,119.55,115.5,115.5,1567.833317655,0
CNSP.US,D,20191218,000000,116.4,120.3,115.5,116.1,1472.933318604,0
CNSP.US,D,20191219,000000,122.4,123,117.6,119.1,2378.133309552,0
CNSP.US,D,20191220,000000,120,121.2,111.9,111.9,4129.599958704,0
CNSP.US,D,20191223,000000,114.9,117,114,115.8,1304.33332029,0
CNSP.US,D,20191224,000000,115.5,117.9,114.366,115.5,887.899991121,0
CNSP.US,D,20191226,000000,115.5,120,115.5,117.3,1292.599987074,0
CNSP.US,D,20191227,000000,117.3,118.536,116.148,117.15,817.066658496,0
CNSP.US,D,20191230,000000,117.6,120,114.9,116.1,1050.033322833,0
CNSP.US,D,20191231,000000,117,120.453,116.4,118.5,1055.933322774,0
CNSP.US,D,20200102,000000,117,120.6,117,117.3,873.133324602,0
CNSP.US,D,20200103,000000,119.7,120,117.9,120,598.566660681,0
CNSP.US,D,20200106,000000,121.8,121.8,117,118.8,1023.033323103,0
CNSP.US,D,20200107,000000,121.2,133.8,119.1,129,6153.233271801,0
CNSP.US,D,20200108,000000,130.5,132.897,124.5,127.5,1740.99998259,0
CNSP.US,D,20200109,000000,129,133.2,128.286,132.921,3677.033296563,0
CNSP.US,D,20200110,000000,133.2,149.7,132.6,149.7,10349.499896505,0
CNSP.US,D,20200113,000000,152.4,164.7,132,137.7,22359.499776405,0
CNSP.US,D,20200114,000000,139.5,142.2,126,131.1,3684.599963154,0
CNSP.US,D,20200115,000000,132,133.902,126.6,131.1,2319.9999768,0
CNSP.US,D,20200116,000000,132,136.5,131.7,133.8,2002.366646643,0
CNSP.US,D,20200117,000000,134.7,134.7,127.5,129.9,1543.899984561,0
CNSP.US,D,20200121,000000,131.4,134.7,130.503,134.4,2130.199978698,0
CNSP.US,D,20200122,000000,133.8,134.028,129.9,131.808,1863.433314699,0
CNSP.US,D,20200123,000000,133.5,135,131.781,133.5,2396.866642698,0
CNSP.US,D,20200124,000000,133.8,135,131.7,132,1133.299988667,0
CNSP.US,D,20200127,000000,131.7,132,127.2,129.6,2355.866643108,0
CNSP.US,D,20200128,000000,129,131.4,124.8,126.9,2287.933310454,0
CNSP.US,D,20200129,000000,128.1,129,122.7,123.6,1447.133318862,0
CNSP.US,D,20200130,000000,125.4,130.797,123.6,130.5,3579.833297535,0
CNSP.US,D,20200131,000000,131.1,131.1,127.56,129.3,1233.399987666,0
CNSP.US,D,20200203,000000,129.6,132,128.4,130.8,1109.266655574,0
CNSP.US,D,20200204,000000,130.5,142.5,130.5,138,3783.566628831,0
CNSP.US,D,20200205,000000,141.3,141.3,131.1,133.2,1400.466652662,0
CNSP.US,D,20200206,000000,133.2,136.89,129.3,131.1,960.933323724,0
CNSP.US,D,20200207,000000,129.9,133.5,126.027,128.1,1542.366651243,0
CNSP.US,D,20200210,000000,125.1,126,121.8,121.8,1721.399982786,0
CNSP.US,D,20200211,000000,128.7,129,122.4,123,1153.466655132,0
CNSP.US,D,20200212,000000,124.5,128.958,123,123.3,1492.66665174,0
CNSP.US,D,20200213,000000,120.3,124.197,120,122.1,1012.499989875,0
CNSP.US,D,20200214,000000,122.1,124.938,120,120.531,1395.133319382,0
CNSP.US,D,20200218,000000,121.8,124.8,120,124.2,1426.866652398,0
CNSP.US,D,20200219,000000,124.5,127.116,120.9,124.2,1383.733319496,0
CNSP.US,D,20200220,000000,123,127.2,123,123.9,1230.99998769,0
CNSP.US,D,20200221,000000,126,126.3,122.1,123,1112.33332221,0
CNSP.US,D,20200224,000000,121.8,123.3,120,122.061,1307.399986926,0
CNSP.US,D,20200225,000000,122.7,122.7,119.7,119.703,931.66665735,0
CNSP.US,D,20200226,000000,118.8,121.521,111,113.7,1485.899985141,0
CNSP.US,D,20200227,000000,114,118.5,102,117.003,2900.633304327,0
CNSP.US,D,20200228,000000,120.3,120.3,105,111.597,737.799992622,0
CNSP.US,D,20200302,000000,111.3,118.5,105.627,117.801,962.933323704,0
CNSP.US,D,20200303,000000,135,152.7,117,117.3,40876.866257898,0
CNSP.US,D,20200304,000000,117.6,120.018,114.048,120,2121.799978782,0
CNSP.US,D,20200305,000000,120.9,121.2,112.5,112.8,1853.266648134,0
