<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CPAAW.US,D,20211018,000000,3.55,3.55,0.81,0.8177,3428,0
CPAAW.US,D,20211021,000000,1.2,1.2,0.9251,1.0125,5797,0
CPAAW.US,D,20211022,000000,0.83,0.8399,0.83,0.8399,2700,0
CPAAW.US,D,20211025,000000,0.9,0.9,0.887751,0.8979,4945,0
CPAAW.US,D,20211026,000000,0.9,1.03,0.9,1.03,40614,0
CPAAW.US,D,20211027,000000,1.045,1.05,1.03,1.05,85380,0
CPAAW.US,D,20211102,000000,1.16,1.16,1.15,1.15,400,0
CPAAW.US,D,20211103,000000,1.16,1.16,1.16,1.16,899,0
CPAAW.US,D,20211109,000000,1.4871,1.4871,1.17,1.17,1134,0
CPAAW.US,D,20211111,000000,1.16,1.16,1.15,1.15,323,0
CPAAW.US,D,20211116,000000,1.28,1.32,1.28,1.3,1267,0
CPAAW.US,D,20211118,000000,1.25,1.25,1.25,1.25,100000,0
CPAAW.US,D,20211119,000000,1.02,1.02,1.02,1.02,137,0
CPAAW.US,D,20211124,000000,1.06,1.17,1.06,1.15,19681,0
CPAAW.US,D,20211201,000000,1.06,1.06,1.06,1.06,1432,0
CPAAW.US,D,20211203,000000,1.05,1.13,0.9,1.08,30007,0
CPAAW.US,D,20211207,000000,0.91,1.04,0.88,0.88,4995,0
CPAAW.US,D,20211208,000000,0.87,0.8801,0.87,0.8801,1316,0
CPAAW.US,D,20211209,000000,0.88,0.8801,0.88,0.8801,1205,0
CPAAW.US,D,20211210,000000,0.87,0.87,0.87,0.87,1000,0
CPAAW.US,D,20211213,000000,0.8901,0.8901,0.8901,0.8901,246,0
CPAAW.US,D,20211214,000000,0.89,0.9199,0.89,0.9199,137133,0
CPAAW.US,D,20211215,000000,0.89,0.9205,0.85,0.87,16549,0
CPAAW.US,D,20211221,000000,0.8979,0.9,0.8979,0.9,400,0
CPAAW.US,D,20211222,000000,0.9,0.9629,0.85,0.85,4394,0
CPAAW.US,D,20211223,000000,0.92,0.92,0.92,0.92,200,0
CPAAW.US,D,20211229,000000,1,1.01,0.99,1.01,3180,0
CPAAW.US,D,20220104,000000,0.9,0.9999,0.9,0.9999,135623,0
CPAAW.US,D,20220119,000000,0.8901,0.8999,0.8,0.8999,30420,0
CPAAW.US,D,20220121,000000,0.84,0.84,0.8,0.825,11995,0
CPAAW.US,D,20220124,000000,0.6201,0.8499,0.6201,0.8499,1997,0
CPAAW.US,D,20220201,000000,0.745025,0.8,0.74,0.74,20169,0
CPAAW.US,D,20220217,000000,0.5102,0.7,0.5102,0.7,320,0
CPAAW.US,D,20220314,000000,0.56,0.56,0.5,0.5085,40584,0
CPAAW.US,D,20220324,000000,0.637,0.637,0.5,0.5,47317,0
CPAAW.US,D,20220329,000000,0.51,0.52,0.51,0.5101,7800,0
CPAAW.US,D,20220331,000000,0.511,0.56395,0.511,0.56395,50760,0
CPAAW.US,D,20220401,000000,0.529899,0.57,0.526651,0.57,31571,0
CPAAW.US,D,20220404,000000,0.57,0.62495,0.5598,0.5599,55203,0
CPAAW.US,D,20220405,000000,0.6143,0.615034,0.54,0.54,1420,0
CPAAW.US,D,20220407,000000,0.59995,0.59995,0.5382,0.5382,5901,0
CPAAW.US,D,20220408,000000,0.585101,0.585101,0.54986,0.54986,2238,0
CPAAW.US,D,20220412,000000,0.5826,0.5826,0.5571,0.5571,1104,0
CPAAW.US,D,20220414,000000,0.52,0.52,0.52,0.52,221909,0
CPAAW.US,D,20220418,000000,0.56,0.56,0.5599,0.5599,1702,0
CPAAW.US,D,20220419,000000,0.6418,0.6419,0.6106,0.6106,404,0
CPAAW.US,D,20220427,000000,0.51,0.51,0.51,0.51,100,0
CPAAW.US,D,20220504,000000,0.51,0.5501,0.51,0.5501,197418,0
CPAAW.US,D,20220510,000000,0.4,0.4,0.4,0.4,100,0
CPAAW.US,D,20220511,000000,0.4171,0.4171,0.37,0.37,14026,0
CPAAW.US,D,20220516,000000,0.356,0.4,0.356,0.3933,1914,0
CPAAW.US,D,20220517,000000,0.5238,0.5238,0.3588,0.3588,4954,0
CPAAW.US,D,20220518,000000,0.35,0.35,0.35,0.35,5632,0
CPAAW.US,D,20220523,000000,0.3563,0.3609,0.32,0.32,87798,0
CPAAW.US,D,20220524,000000,0.3666,0.3666,0.3325,0.3325,1401,0
CPAAW.US,D,20220526,000000,0.3666,0.3666,0.3446,0.3446,801,0
CPAAW.US,D,20220527,000000,0.38,0.3899,0.3468,0.3468,40315,0
CPAAW.US,D,20220601,000000,0.3,0.3686,0.2848,0.3686,9217,0
CPAAW.US,D,20220602,000000,0.3,0.3799,0.2997,0.2997,17396,0
CPAAW.US,D,20220607,000000,0.300101,0.300101,0.3,0.3,19707,0
CPAAW.US,D,20220613,000000,0.3,0.3001,0.3,0.3001,1500,0
CPAAW.US,D,20220627,000000,0.32,0.32,0.29,0.29,61530,0
CPAAW.US,D,20220628,000000,0.3,0.3,0.28175,0.29,41046,0
CPAAW.US,D,20220706,000000,0.25,0.2525,0.25,0.25,19071,0
CPAAW.US,D,20220712,000000,0.22,0.2203,0.22,0.22,606,0
CPAAW.US,D,20220713,000000,0.3,0.3504,0.3,0.3504,349,0
CPAAW.US,D,20220714,000000,0.3251,0.3251,0.3251,0.3251,410,0
CPAAW.US,D,20220715,000000,0.3019,0.3019,0.3019,0.3019,200,0
CPAAW.US,D,20220720,000000,0.2786,0.2786,0.2786,0.2786,150,0
CPAAW.US,D,20220810,000000,0.2533,0.2533,0.2533,0.2533,100,0
CPAAW.US,D,20220811,000000,0.228,0.228,0.1277,0.1277,501,0
CPAAW.US,D,20220812,000000,0.21,0.21,0.21,0.21,500,0
CPAAW.US,D,20220815,000000,0.25,0.25,0.25,0.25,450,0
CPAAW.US,D,20220816,000000,0.25,0.33,0.25,0.25,105166,0
CPAAW.US,D,20220818,000000,0.3,0.3038,0.28,0.3,163840,0
CPAAW.US,D,20220819,000000,0.2746,0.2746,0.2292,0.24,12472,0
CPAAW.US,D,20220822,000000,0.25,0.25,0.24,0.24,10062,0
CPAAW.US,D,20220823,000000,0.24,0.24,0.24,0.24,900,0
CPAAW.US,D,20220824,000000,0.22,0.23,0.22,0.23,182618,0
CPAAW.US,D,20220825,000000,0.23,0.23,0.21,0.21,46995,0
CPAAW.US,D,20220831,000000,0.3,0.3,0.23,0.23,1827,0
CPAAW.US,D,20220909,000000,0.2398,0.2399,0.21,0.21,20788,0
CPAAW.US,D,20220914,000000,0.21,0.21,0.21,0.21,300,0
CPAAW.US,D,20220927,000000,0.2,0.2,0.1999,0.2,100190,0
CPAAW.US,D,20221004,000000,0.1447,0.2,0.12,0.12,10802,0
CPAAW.US,D,20221005,000000,0.11,0.11,0.11,0.11,85480,0
CPAAW.US,D,20221007,000000,0.11,0.11,0.11,0.11,200,0
CPAAW.US,D,20221010,000000,0.0934,0.11,0.0931,0.11,136313,0
CPAAW.US,D,20221024,000000,0.12,0.12,0.12,0.12,100,0
