<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CREEF.US,D,20220111,000000,9.82,9.84,9.81,9.81,319084,0
CREEF.US,D,20220113,000000,9.81,9.83,9.8,9.81,4811,0
CREEF.US,D,20220114,000000,9.81,9.81,9.805,9.81,11003,0
CREEF.US,D,20220119,000000,9.81,9.83,9.81,9.81,43579,0
CREEF.US,D,20220120,000000,9.81,9.81,9.81,9.81,1732,0
CREEF.US,D,20220121,000000,9.8841,9.8841,9.82,9.82,75200,0
CREEF.US,D,20220126,000000,9.82,9.82,9.82,9.82,25000,0
CREEF.US,D,20220127,000000,9.81,9.81,9.79,9.79,79865,0
CREEF.US,D,20220128,000000,9.8,9.8,9.79,9.79,72252,0
CREEF.US,D,20220201,000000,9.84,9.86,9.84,9.86,1959,0
CREEF.US,D,20220202,000000,9.97,9.97,9.87,9.95,6522,0
CREEF.US,D,20220203,000000,9.7901,9.7901,9.7901,9.7901,103,0
CREEF.US,D,20220207,000000,9.86,9.86,9.86,9.86,4601,0
CREEF.US,D,20220215,000000,9.84,9.84,9.81,9.84,15340,0
CREEF.US,D,20220217,000000,9.87,9.87,9.83,9.85,51500,0
CREEF.US,D,20220222,000000,9.83,9.83,9.83,9.83,867,0
CREEF.US,D,20220224,000000,9.84,9.84,9.83,9.83,37402,0
CREEF.US,D,20220301,000000,9.86,9.87,9.86,9.87,10700,0
CREEF.US,D,20220303,000000,9.88,9.88,9.88,9.88,9824,0
CREEF.US,D,20220304,000000,9.88,9.88,9.88,9.88,5650,0
CREEF.US,D,20220315,000000,9.84,9.88,9.84,9.88,7125,0
CREEF.US,D,20220317,000000,9.89,9.89,9.89,9.89,31516,0
CREEF.US,D,20220322,000000,9.88,9.88,9.88,9.88,75525,0
CREEF.US,D,20220323,000000,9.88,9.88,9.88,9.88,14075,0
CREEF.US,D,20220324,000000,9.87,9.87,9.87,9.87,120012,0
CREEF.US,D,20220325,000000,9.86,9.86,9.86,9.86,160,0
CREEF.US,D,20220328,000000,9.92,9.92,9.89,9.9,43588,0
CREEF.US,D,20220329,000000,9.88,9.92,9.87,9.88,29040,0
CREEF.US,D,20220330,000000,9.89,9.89,9.88,9.89,8380,0
CREEF.US,D,20220331,000000,9.91,9.93,9.89,9.895,13275,0
CREEF.US,D,20220405,000000,9.89,9.89,9.89,9.89,3300,0
CREEF.US,D,20220406,000000,9.9,9.94,9.9,9.94,83924,0
CREEF.US,D,20220407,000000,9.93,9.94,9.91,9.91,202100,0
CREEF.US,D,20220408,000000,9.91,9.91,9.91,9.91,1297,0
CREEF.US,D,20220413,000000,9.95,9.95,9.95,9.95,500,0
CREEF.US,D,20220414,000000,9.95,9.96,9.93,9.96,253600,0
CREEF.US,D,20220421,000000,9.9107,9.959,9.91,9.959,8300,0
CREEF.US,D,20220425,000000,9.94,9.94,9.94,9.94,1326,0
CREEF.US,D,20220427,000000,9.94,9.94,9.91,9.94,333213,0
CREEF.US,D,20220428,000000,9.92,9.95,9.92,9.93,14108,0
CREEF.US,D,20220502,000000,9.95,9.95,9.95,9.95,4100,0
CREEF.US,D,20220503,000000,9.93,9.93,9.93,9.93,127,0
CREEF.US,D,20220504,000000,9.93,9.93,9.92,9.92,50928,0
CREEF.US,D,20220511,000000,9.94,9.94,9.94,9.94,1011,0
CREEF.US,D,20220518,000000,9.91,9.94,9.91,9.94,3400,0
CREEF.US,D,20220525,000000,9.94,9.94,9.91,9.91,35963,0
CREEF.US,D,20220526,000000,9.915,9.915,9.91,9.91,36545,0
CREEF.US,D,20220527,000000,9.91,9.91,9.91,9.91,78762,0
CREEF.US,D,20220531,000000,9.91,9.94,9.9,9.92,39728,0
CREEF.US,D,20220601,000000,9.91,9.935,9.91,9.935,3288,0
CREEF.US,D,20220606,000000,9.94,9.94,9.91,9.91,3248,0
CREEF.US,D,20220607,000000,9.91,9.91,9.91,9.91,21336,0
CREEF.US,D,20220610,000000,9.975,9.975,9.975,9.975,384,0
CREEF.US,D,20220615,000000,9.93,9.95,9.93,9.93,101400,0
CREEF.US,D,20220616,000000,9.93,9.94,9.93,9.93,12570,0
CREEF.US,D,20220622,000000,9.93,9.93,9.93,9.93,4211,0
CREEF.US,D,20220623,000000,9.93,9.93,9.93,9.93,100,0
CREEF.US,D,20220706,000000,9.93,9.94,9.93,9.94,5007,0
CREEF.US,D,20220707,000000,9.94,9.95,9.94,9.95,21370,0
CREEF.US,D,20220708,000000,9.95,9.95,9.95,9.95,20346,0
CREEF.US,D,20220712,000000,9.96,9.96,9.96,9.96,148763,0
CREEF.US,D,20220713,000000,9.95,9.95,9.95,9.95,206,0
CREEF.US,D,20220714,000000,9.95,9.95,9.94,9.94,47253,0
CREEF.US,D,20220715,000000,9.94,9.94,9.94,9.94,28514,0
CREEF.US,D,20220719,000000,9.97,9.97,9.97,9.97,750088,0
CREEF.US,D,20220721,000000,9.96,9.97,9.96,9.97,220,0
CREEF.US,D,20220722,000000,9.96,9.97,9.96,9.97,180226,0
CREEF.US,D,20220726,000000,9.97,9.97,9.97,9.97,310,0
CREEF.US,D,20220727,000000,9.96,9.96,9.96,9.96,7025,0
CREEF.US,D,20220803,000000,9.99,9.99,9.99,9.99,3218,0
CREEF.US,D,20220805,000000,9.99,9.99,9.97,9.97,27936,0
CREEF.US,D,20220808,000000,9.975,9.975,9.97,9.97,176434,0
CREEF.US,D,20220810,000000,9.93,9.93,9.93,9.93,422,0
CREEF.US,D,20220811,000000,9.96,9.96,9.96,9.96,186,0
CREEF.US,D,20220816,000000,9.98,9.99,9.98,9.99,35257,0
CREEF.US,D,20220818,000000,9.97,9.97,9.97,9.97,586,0
CREEF.US,D,20220819,000000,9.99,10.005,9.99,10,123513,0
CREEF.US,D,20220822,000000,9.97,10,9.97,10,152658,0
CREEF.US,D,20220823,000000,10.03,10.03,10,10.03,2264,0
CREEF.US,D,20220824,000000,10,10,9.99,9.99,600217,0
CREEF.US,D,20220825,000000,10.03,10.03,10,10,709,0
CREEF.US,D,20220826,000000,10,10,10,10,185,0
CREEF.US,D,20220830,000000,10,10,9.99,9.99,335,0
CREEF.US,D,20220831,000000,10,10.01,10,10.01,29915,0
CREEF.US,D,20220901,000000,10.005,10.01,10,10,66760,0
CREEF.US,D,20220902,000000,10.01,10.02,10.01,10.02,20721,0
CREEF.US,D,20220906,000000,10.0175,10.03,10,10.03,185883,0
CREEF.US,D,20220908,000000,10.06,10.06,10,10,45482,0
CREEF.US,D,20220913,000000,10.03,10.03,10.03,10.03,156103,0
CREEF.US,D,20220914,000000,10.03,10.035,10.03,10.03,5055,0
CREEF.US,D,20220919,000000,10.03,10.03,10.03,10.03,4009,0
CREEF.US,D,20220921,000000,10.03,10.03,10.03,10.03,1639,0
CREEF.US,D,20220922,000000,10.03,10.03,10.03,10.03,8970,0
CREEF.US,D,20220926,000000,10.03,10.03,10.03,10.03,50006,0
CREEF.US,D,20220927,000000,10.02,10.02,10.02,10.02,2275,0
CREEF.US,D,20221003,000000,10.04,10.04,10.04,10.04,1532,0
CREEF.US,D,20221004,000000,10.04,10.04,10.04,10.04,15907,0
CREEF.US,D,20221006,000000,10.04,10.04,10.04,10.04,169,0
CREEF.US,D,20221007,000000,10.06,10.06,10.05,10.05,238,0
CREEF.US,D,20221011,000000,10.065,10.1,10.0575,10.062,2434,0
CREEF.US,D,20221014,000000,10.04,10.08,10.04,10.08,100628,0
CREEF.US,D,20221017,000000,10.06,10.07,10.06,10.06,300467,0
CREEF.US,D,20221018,000000,10.06,10.06,10.06,10.06,629217,0
CREEF.US,D,20221019,000000,10.05,10.07,10.05,10.07,58619,0
CREEF.US,D,20221020,000000,10.08,10.1,10.08,10.1,2353,0
CREEF.US,D,20221021,000000,10.1,10.1,10.099,10.099,19601,0
CREEF.US,D,20221024,000000,10.12,10.12,10.12,10.12,255,0
CREEF.US,D,20221026,000000,10.12,10.12,10.12,10.12,242,0
CREEF.US,D,20221101,000000,10.11,10.134,10.11,10.13,12270,0
CREEF.US,D,20221102,000000,10.14,10.14,10.14,10.14,104,0
CREEF.US,D,20221103,000000,10.14,10.14,10.14,10.14,321,0
CREEF.US,D,20221107,000000,10.14,10.14,10.14,10.14,4245,0
CREEF.US,D,20221110,000000,10.14,10.14,10.14,10.14,377,0
CREEF.US,D,20221114,000000,10.14,10.14,10.14,10.14,5871,0
CREEF.US,D,20221115,000000,10.14,10.14,10.14,10.14,224,0
CREEF.US,D,20221122,000000,10.17,10.17,10.17,10.17,131,0
CREEF.US,D,20221123,000000,10.17,10.17,10.17,10.17,100,0
CREEF.US,D,20221125,000000,10.17,10.17,10.17,10.17,424,0
CREEF.US,D,20221128,000000,10.18,10.18,10.18,10.18,100,0
CREEF.US,D,20221129,000000,10.17,10.17,10.17,10.17,104,0
CREEF.US,D,20221130,000000,10.19,10.19,10.19,10.19,457,0
CREEF.US,D,20221201,000000,10.21,10.21,10.21,10.21,1200,0
CREEF.US,D,20221206,000000,10.205,10.205,10.205,10.205,312,0
CREEF.US,D,20221208,000000,10.2,10.21,10.19,10.2,580945,0
CREEF.US,D,20221209,000000,10.21,10.21,10.21,10.21,25004,0
CREEF.US,D,20221213,000000,10.22,10.22,10.22,10.22,125,0
