<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CUBA.US,D,20050225,000000,1.88824,1.90357,1.88824,1.90357,7957.4430696836,0
CUBA.US,D,20050228,000000,1.91874,1.93407,1.88824,1.88824,9239.9446484512,0
CUBA.US,D,20050301,000000,1.88824,1.88824,1.85388,1.85388,675.48125856793,0
CUBA.US,D,20050302,000000,1.95334,1.95334,1.88824,1.892,7049.1946206632,0
CUBA.US,D,20050303,000000,1.90357,1.90357,1.90357,1.90357,521.44414723909,0
CUBA.US,D,20050304,000000,1.95334,1.95334,1.93792,1.93792,4437.40982191,0
CUBA.US,D,20050307,000000,1.93792,1.95711,1.93792,1.94178,4933.7516250806,0
CUBA.US,D,20050308,000000,2.01066,2.01066,1.90357,1.90725,11488.886473853,0
CUBA.US,D,20050309,000000,1.91874,1.93047,1.91874,1.92653,5223.5695975067,0
CUBA.US,D,20050310,000000,1.92267,1.92267,1.91874,1.91874,2349.3512016746,0
CUBA.US,D,20050311,000000,1.90357,1.90357,1.88824,1.88824,7861.597755968,0
CUBA.US,D,20050314,000000,1.892,1.92267,1.87289,1.91874,16380.420520272,0
CUBA.US,D,20050315,000000,1.87666,1.92653,1.86132,1.86132,8355.6575278597,0
CUBA.US,D,20050316,000000,1.86132,1.86527,1.85388,1.85388,17228.195140401,0
CUBA.US,D,20050317,000000,1.82302,1.82302,1.79629,1.79629,20271.283850874,0
CUBA.US,D,20050318,000000,1.81548,1.81548,1.81548,1.81548,3391.0984805133,0
CUBA.US,D,20050321,000000,1.82302,1.82302,1.81925,1.81925,3326.0605890634,0
CUBA.US,D,20050322,000000,1.85747,1.88824,1.81925,1.81925,3954.7602064128,0
CUBA.US,D,20050323,000000,1.85388,1.85388,1.82689,1.83836,2349.3512016746,0
CUBA.US,D,20050324,000000,1.81925,1.81925,1.81548,1.81548,7893.5461938732,0
CUBA.US,D,20050328,000000,1.81925,1.82302,1.79629,1.79629,8090.941899502,0
CUBA.US,D,20050329,000000,1.79629,1.79629,1.78472,1.78472,8588.4247183121,0
CUBA.US,D,20050330,000000,1.82689,1.82689,1.79235,1.79235,6525.4684421452,0
CUBA.US,D,20050404,000000,1.79629,1.79629,1.70813,1.79629,7659.6379877812,0
CUBA.US,D,20050405,000000,1.79629,1.79629,1.73512,1.73512,1565.4734573568,0
CUBA.US,D,20050406,000000,1.75414,1.76553,1.74266,1.76553,1565.4734573568,0
CUBA.US,D,20050407,000000,1.88052,1.88052,1.77325,1.78867,9400.8278536168,0
CUBA.US,D,20050411,000000,1.78088,1.78088,1.78088,1.78088,2610.6437831138,0
CUBA.US,D,20050412,000000,1.81548,1.81548,1.78088,1.78088,2947.2433967583,0
CUBA.US,D,20050413,000000,1.78088,1.81548,1.76553,1.78088,9582.2493402929,0
CUBA.US,D,20050415,000000,1.68131,1.72732,1.68131,1.72732,3918.2477059498,0
CUBA.US,D,20050418,000000,1.71969,1.78088,1.71969,1.78088,2349.3512016746,0
CUBA.US,D,20050419,000000,1.76168,1.7771,1.76168,1.7771,5741.5906978273,0
CUBA.US,D,20050421,000000,1.76553,1.81146,1.7388,1.81146,3269.0098070897,0
CUBA.US,D,20050425,000000,1.80383,1.80383,1.75019,1.75799,8618.0911249384,0
CUBA.US,D,20050426,000000,1.75019,1.79998,1.75019,1.79998,5156.2496747778,0
CUBA.US,D,20050428,000000,1.66589,1.69279,1.6622,1.69279,8090.941899502,0
CUBA.US,D,20050429,000000,1.68903,1.74266,1.67377,1.74266,4695.2793564307,0
CUBA.US,D,20050502,000000,1.67745,1.72346,1.67745,1.70813,7571.7797835418,0
CUBA.US,D,20050503,000000,1.76553,1.76553,1.76553,1.76553,1829.048070075,0
CUBA.US,D,20050504,000000,1.75799,1.7771,1.75799,1.75799,4437.40982191,0
CUBA.US,D,20050505,000000,1.76553,1.76553,1.76553,1.76553,2870.7953489137,0
CUBA.US,D,20050509,000000,1.76553,1.80777,1.76553,1.80777,1305.3218915569,0
CUBA.US,D,20050510,000000,1.78867,1.78867,1.78867,1.78867,521.44414723909,0
CUBA.US,D,20050511,000000,1.76168,1.76168,1.76168,1.76168,8057.8524459572,0
CUBA.US,D,20050512,000000,1.8423,1.8423,1.78867,1.78867,2349.3512016746,0
CUBA.US,D,20050513,000000,1.84994,1.85747,1.84994,1.85747,5810.0516361957,0
CUBA.US,D,20050516,000000,1.82302,1.99927,1.79235,1.91874,94003.71447361,0
CUBA.US,D,20050517,000000,2.01066,2.01066,1.85747,1.86904,6790.1840705029,0
CUBA.US,D,20050518,000000,1.85747,1.91874,1.81146,1.91874,15774.541215712,0
CUBA.US,D,20050519,000000,1.84607,1.84607,1.84607,1.84607,1565.4734573568,0
CUBA.US,D,20050523,000000,1.96473,1.96473,1.91505,1.91505,3133.2289459925,0
CUBA.US,D,20050524,000000,1.83836,1.83836,1.83836,1.83836,483.79063113648,0
CUBA.US,D,20050525,000000,1.86527,1.86527,1.83836,1.83836,3417.3418402212,0
CUBA.US,D,20050527,000000,1.93792,1.93792,1.82689,1.82689,12458.749767405,0
CUBA.US,D,20050601,000000,1.93407,1.9608,1.93407,1.9608,1207.1945465623,0
CUBA.US,D,20050602,000000,1.86132,1.86132,1.83468,1.83468,4076.8488798365,0
CUBA.US,D,20050606,000000,1.95334,1.95334,1.84607,1.86132,9818.4395776638,0
CUBA.US,D,20050607,000000,1.86527,1.86904,1.86527,1.86527,3977.5805192023,0
CUBA.US,D,20050608,000000,1.86904,1.86904,1.86904,1.86904,1305.3218915569,0
CUBA.US,D,20050609,000000,1.86904,1.86904,1.86132,1.86132,5223.5695975067,0
CUBA.US,D,20050610,000000,1.93047,1.93047,1.93047,1.93047,1204.9125152833,0
CUBA.US,D,20050613,000000,1.85388,1.86904,1.85388,1.85388,20367.129164591,0
CUBA.US,D,20050614,000000,1.92267,1.92267,1.9111,1.9111,10965.160295334,0
CUBA.US,D,20050615,000000,1.86132,1.86132,1.86132,1.86132,521.44414723909,0
CUBA.US,D,20050616,000000,1.91874,1.9495,1.9111,1.92653,54929.633899863,0
CUBA.US,D,20050617,000000,1.94573,1.94573,1.91874,1.91874,2610.6437831138,0
CUBA.US,D,20050620,000000,1.9608,1.9608,1.92653,1.95334,10342.165756182,0
CUBA.US,D,20050621,000000,1.9608,1.98403,1.9608,1.98008,13320.216575206,0
CUBA.US,D,20050622,000000,1.98403,1.98403,1.95334,1.95334,17520.295144106,0
CUBA.US,D,20050623,000000,1.97622,1.97622,1.95334,1.95334,5741.5906978273,0
CUBA.US,D,20050624,000000,1.95334,1.95334,1.95334,1.95334,11226.452876773,0
CUBA.US,D,20050627,000000,1.95334,1.95334,1.95334,1.95334,1064.5675916282,0
CUBA.US,D,20050628,000000,1.95334,1.95334,1.95334,1.95334,521.44414723909,0
CUBA.US,D,20050629,000000,1.95334,1.99542,1.95334,1.95334,16774.070915889,0
CUBA.US,D,20050701,000000,1.93792,1.93792,1.90357,1.90357,11178.530219916,0
CUBA.US,D,20050705,000000,1.92653,1.92653,1.92653,1.92653,1565.4734573568,0
CUBA.US,D,20050706,000000,1.94573,1.9495,1.94573,1.9495,539.70039747066,0
CUBA.US,D,20050707,000000,1.98403,1.98403,1.94178,1.94178,870.59493291778,0
CUBA.US,D,20050708,000000,1.99542,1.99927,1.99542,1.99927,15402.570117244,0
CUBA.US,D,20050711,000000,2.01066,2.12179,2.00313,2.07964,49000.916637162,0
CUBA.US,D,20050712,000000,2.06053,2.10637,2.06053,2.09882,31002.535940117,0
CUBA.US,D,20050713,000000,2.1714,2.1714,1.99165,2.09103,17254.438500108,0
CUBA.US,D,20050714,000000,2.08367,2.08367,2.07964,2.07964,6002.8832792666,0
CUBA.US,D,20050715,000000,2.07201,2.07201,2.07201,2.07201,451.84219323124,0
