<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CYTO.US,D,20140806,000000,24400,25000,24000,24000,441.55,0
CYTO.US,D,20140807,000000,24040,24120,24000,24040,67.75,0
CYTO.US,D,20140808,000000,24080,24600,24000,24320,13,0
CYTO.US,D,20140811,000000,24560,26360,24240,26220,30.85,0
CYTO.US,D,20140812,000000,27200,27200,26000,27160,14.8,0
CYTO.US,D,20140813,000000,26240,26720,25600,26400,14.700000000000001,0
CYTO.US,D,20140814,000000,26520,27000,24840,27000,15.950000000000001,0
CYTO.US,D,20140815,000000,25880,27120,25560.4,26160,16.650000000000002,0
CYTO.US,D,20140818,000000,25560,26724,25560,25600,7.75,0
CYTO.US,D,20140819,000000,25600,25920,24000,24880,19.400000000000002,0
CYTO.US,D,20140820,000000,24800,25680,24360,24760,9.850000000000001,0
CYTO.US,D,20140821,000000,24360,25160,24360,24440,2.7,0
CYTO.US,D,20140822,000000,24480,25200,24480,24600,11,0
CYTO.US,D,20140825,000000,24560,26240,24480,24640,79.95,0
CYTO.US,D,20140826,000000,24600,26000,24000,24360,11.600000000000001,0
CYTO.US,D,20140827,000000,24480,25840,24480,24680,5.75,0
CYTO.US,D,20140828,000000,24640,24640,24040,24400,1.6500000000000001,0
CYTO.US,D,20140829,000000,24560,25000,24560,24600,8.25,0
CYTO.US,D,20140902,000000,24320,24880,22520,22720,34.45,0
CYTO.US,D,20140903,000000,23720,23920,22760,23600,16.6,0
CYTO.US,D,20140904,000000,23880,23880,21240,21480,13.600000000000001,0
CYTO.US,D,20140905,000000,21640,24200,21640,23880,12.65,0
CYTO.US,D,20140908,000000,24080,26000,23000,24360,17.7,0
CYTO.US,D,20140909,000000,24360,25320,24360,25160,48.800000000000004,0
CYTO.US,D,20140910,000000,26000,29520,25000,28000,38.35,0
CYTO.US,D,20140911,000000,29640,29920,26560,26800,17,0
CYTO.US,D,20140912,000000,27960,30320,26840,28920,39,0
CYTO.US,D,20140915,000000,28920,30200,24630.4,26040,34.75,0
CYTO.US,D,20140916,000000,24800,27200,23760,24160,12.850000000000001,0
CYTO.US,D,20140917,000000,24160,24800,23000,24400,9.850000000000001,0
CYTO.US,D,20140918,000000,24960,25200,24040,24830,13.8,0
CYTO.US,D,20140919,000000,24800,25600,24040,24240,10.350000000000001,0
CYTO.US,D,20140922,000000,24080,25840,23240.4,24360,14.15,0
CYTO.US,D,20140923,000000,23520,24960,23200,23640,9.75,0
CYTO.US,D,20140924,000000,23400,25160,23260,23480,6.7,0
CYTO.US,D,20140925,000000,24280,24280,23000,23080,6.050000000000001,0
CYTO.US,D,20140926,000000,23636,24097.6,23440,24000,2.6500000000000004,0
CYTO.US,D,20140929,000000,23600,23760,23400.4,23400.4,0.30000000000000004,0
CYTO.US,D,20140930,000000,23560,24039.6,23080,23080,6.4,0
CYTO.US,D,20141001,000000,23000,23805.2,23000,23000,2.4000000000000004,0
CYTO.US,D,20141002,000000,23000,24120,21920,22280,15.600000000000001,0
CYTO.US,D,20141003,000000,22420,22420,21200,21280,3.3000000000000003,0
CYTO.US,D,20141006,000000,21520,21760,20800,21680,2.8000000000000003,0
CYTO.US,D,20141007,000000,21600,21760,18920,19280,4.9,0
CYTO.US,D,20141008,000000,19800,20720,19800,19840,1.2000000000000002,0
CYTO.US,D,20141009,000000,20000,21080,19360,19640,2.5500000000000003,0
CYTO.US,D,20141010,000000,19720,20160,19640,19640,0.9500000000000001,0
CYTO.US,D,20141013,000000,19760,19760,18200,19000.4,2.45,0
CYTO.US,D,20141014,000000,19200,19200,18400,18400,0.9,0
CYTO.US,D,20141015,000000,18400,18600.4,16560,17680,2.0500000000000003,0
CYTO.US,D,20141016,000000,17000,17319.6,16400,16680,2.45,0
CYTO.US,D,20141017,000000,17240,18676,17000,17064,3.4000000000000004,0
CYTO.US,D,20141020,000000,17880,18520,17820,18520,1.3,0
CYTO.US,D,20141021,000000,18560,18800,18560,18800,0.25,0
CYTO.US,D,20141022,000000,19120,19200,17160.4,17520,3.4000000000000004,0
CYTO.US,D,20141023,000000,18400,19000,17680,18164,1.55,0
CYTO.US,D,20141024,000000,18320,20800,18000,18200,8.950000000000001,0
CYTO.US,D,20141027,000000,20440,20440,18280,18720,1.5,0
CYTO.US,D,20141028,000000,18720,18760,18640,18640,0.8500000000000001,0
CYTO.US,D,20141029,000000,18760,18880,18000,18084,1.1500000000000001,0
CYTO.US,D,20141030,000000,18036,18036,18000,18000,0.35000000000000003,0
CYTO.US,D,20141031,000000,18280,18440,18040,18264,0.8500000000000001,0
CYTO.US,D,20141103,000000,18360,18400,16840,17040,2.1,0
CYTO.US,D,20141104,000000,17440,18640,17400,17440,0.25,0
CYTO.US,D,20141105,000000,18560,18560,18200,18520,1.9000000000000001,0
CYTO.US,D,20141106,000000,17880,18680,17880,18680,1,0
CYTO.US,D,20141107,000000,18160,18560,17850.8,18440,0.8,0
CYTO.US,D,20141110,000000,18356,18356,17600,17600,0.7000000000000001,0
CYTO.US,D,20141111,000000,17640,17728,17600,17600,1.2000000000000002,0
CYTO.US,D,20141112,000000,18120,18400,17400,17520,1.85,0
CYTO.US,D,20141113,000000,17320,17320,16620,16840,1.4500000000000002,0
CYTO.US,D,20141114,000000,16840,17040,16600,16759.6,1.1500000000000001,0
CYTO.US,D,20141117,000000,18280,18360,17000,17000,2.7,0
CYTO.US,D,20141118,000000,17720,18720,17720,18064,1.35,0
CYTO.US,D,20141119,000000,18400,18798,17560,18600,2.3000000000000003,0
CYTO.US,D,20141120,000000,18520,18920,17200,17200,6.300000000000001,0
CYTO.US,D,20141121,000000,18040,18640,17680,17680,2.6500000000000004,0
CYTO.US,D,20141124,000000,18360,18920,18040,18120,1.25,0
