<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DBGI.US,D,20210517,000000,428.81,510,365,405,344274.21,0
DBGI.US,D,20210518,000000,361.19,376,321,337,25681.79,0
DBGI.US,D,20210519,000000,318,331,303,316,8756.62,0
DBGI.US,D,20210520,000000,310,318.11,300,303,5547.89,0
DBGI.US,D,20210521,000000,303,310,301,305,6076.01,0
DBGI.US,D,20210524,000000,318,357,301,312,25059.34,0
DBGI.US,D,20210525,000000,309,318,297,310,6959.74,0
DBGI.US,D,20210526,000000,310,335.01,304,308,24518.82,0
DBGI.US,D,20210527,000000,304,315.5,300,305,12739.55,0
DBGI.US,D,20210528,000000,301,304,291,296,7255.54,0
DBGI.US,D,20210601,000000,296,296,286.19,293,6036.45,0
DBGI.US,D,20210602,000000,289,303,288,295,6475.02,0
DBGI.US,D,20210603,000000,295,312,289,297,7628.3,0
DBGI.US,D,20210604,000000,295,306,290,299,6030.89,0
DBGI.US,D,20210607,000000,307,327,306,318,9794.92,0
DBGI.US,D,20210608,000000,321,322,302,308,3919.09,0
DBGI.US,D,20210609,000000,305,319,296,315,7827.69,0
DBGI.US,D,20210610,000000,323,446,320,401,110852.83,0
DBGI.US,D,20210611,000000,344,365,332,344,21888.93,0
DBGI.US,D,20210614,000000,343,358,331,351,8982.54,0
DBGI.US,D,20210615,000000,335,394,316,326,68685.86,0
DBGI.US,D,20210616,000000,322,359,321,338,19808.6,0
DBGI.US,D,20210617,000000,331,344,323,333,5235.07,0
DBGI.US,D,20210618,000000,326,353,326,336,9953.86,0
DBGI.US,D,20210621,000000,337,362,330,355,24060.6,0
DBGI.US,D,20210622,000000,350,425,332,422,62757.45,0
DBGI.US,D,20210623,000000,391,409,355,409,27452.01,0
DBGI.US,D,20210624,000000,428.08,747,422,536,737919.09,0
DBGI.US,D,20210625,000000,514,584,480,549,82586.86,0
DBGI.US,D,20210628,000000,460,560,450,549,68878.57,0
DBGI.US,D,20210629,000000,648,750,525,578,175637.76,0
DBGI.US,D,20210630,000000,534,593,521,580,38131.93,0
DBGI.US,D,20210701,000000,565,586.99,535,574,12358.57,0
DBGI.US,D,20210702,000000,554,561,471.1,496,21371.32,0
DBGI.US,D,20210706,000000,486,499,435,450,11032.16,0
DBGI.US,D,20210707,000000,450,564.99,429,527,114508.95,0
DBGI.US,D,20210708,000000,765,880,575,597,401735.85,0
DBGI.US,D,20210709,000000,565,580,505,507,33040.1,0
DBGI.US,D,20210712,000000,489,538.99,481,504,12054.99,0
DBGI.US,D,20210713,000000,491,676.99,474,560,88047.15,0
DBGI.US,D,20210714,000000,510,548,461,515,36426.73,0
DBGI.US,D,20210715,000000,495,575,469,502,22445.29,0
DBGI.US,D,20210716,000000,509,529.99,489,505,12252.12,0
