<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EFHTR.US,D,20221212,000000,0.1795,0.1795,0.1795,0.1795,232,0
EFHTR.US,D,20221213,000000,0.13,0.13,0.13,0.13,249921,0
EFHTR.US,D,20221216,000000,0.07,0.07,0.07,0.07,187500,0
EFHTR.US,D,20221221,000000,0.185,0.19,0.185,0.19,600,0
EFHTR.US,D,20221223,000000,0.15,0.15,0.15,0.15,130,0
EFHTR.US,D,20221229,000000,0.12,0.12,0.12,0.12,20000,0
EFHTR.US,D,20230103,000000,0.12,0.12,0.1199,0.12,13600,0
EFHTR.US,D,20230104,000000,0.12,0.12,0.12,0.12,1538,0
EFHTR.US,D,20230105,000000,0.13,0.13,0.13,0.13,8400,0
EFHTR.US,D,20230109,000000,0.1308,0.1308,0.12,0.12,5665,0
EFHTR.US,D,20230111,000000,0.1155,0.1155,0.1155,0.1155,1847,0
EFHTR.US,D,20230113,000000,0.13,0.13,0.13,0.13,495000,0
EFHTR.US,D,20230120,000000,0.13,0.13,0.13,0.13,1046,0
EFHTR.US,D,20230124,000000,0.13,0.13,0.13,0.13,30000,0
EFHTR.US,D,20230125,000000,0.155,0.155,0.15,0.15,2109,0
EFHTR.US,D,20230126,000000,0.14,0.14,0.14,0.14,990000,0
EFHTR.US,D,20230130,000000,0.1597,0.1597,0.1597,0.1597,100,0
EFHTR.US,D,20230202,000000,0.1475,0.168751,0.1475,0.1675,2072,0
EFHTR.US,D,20230209,000000,0.16,0.17,0.1599,0.17,1265,0
EFHTR.US,D,20230210,000000,0.17,0.17,0.15,0.1501,4512,0
EFHTR.US,D,20230213,000000,0.14,0.14,0.14,0.14,1282,0
EFHTR.US,D,20230217,000000,0.15,0.15,0.15,0.15,5925,0
EFHTR.US,D,20230222,000000,0.18,0.19,0.18,0.19,1350,0
EFHTR.US,D,20230223,000000,0.18,0.18,0.17,0.17,425,0
EFHTR.US,D,20230227,000000,0.18,0.18,0.18,0.18,200,0
EFHTR.US,D,20230228,000000,0.185,0.185,0.17,0.18,894,0
EFHTR.US,D,20230306,000000,0.21,0.21,0.16,0.21,44038,0
EFHTR.US,D,20230307,000000,0.21,0.21,0.21,0.21,1260,0
EFHTR.US,D,20230310,000000,0.19,0.2098,0.19,0.19,5869,0
EFHTR.US,D,20230313,000000,0.19,0.19,0.19,0.19,1052,0
EFHTR.US,D,20230316,000000,0.2,0.2,0.2,0.2,122,0
EFHTR.US,D,20230317,000000,0.1651,0.2,0.061,0.1982,8827,0
EFHTR.US,D,20230320,000000,0.1254,0.1799,0.1254,0.169999,4131,0
EFHTR.US,D,20230321,000000,0.1998,0.1998,0.1047,0.1699,3001,0
EFHTR.US,D,20230322,000000,0.1701,0.1701,0.169249,0.1696,820,0
EFHTR.US,D,20230323,000000,0.1985,0.1985,0.1985,0.1985,702,0
EFHTR.US,D,20230324,000000,0.1529,0.1985,0.101,0.1985,502,0
EFHTR.US,D,20230403,000000,0.12,0.12,0.12,0.12,103,0
EFHTR.US,D,20230404,000000,0.18,0.18,0.18,0.18,100,0
EFHTR.US,D,20230405,000000,0.18,0.19,0.18,0.19,359,0
EFHTR.US,D,20230412,000000,0.18,0.18,0.14,0.14,20166,0
EFHTR.US,D,20230413,000000,0.16,0.17,0.1278,0.1283,12176,0
EFHTR.US,D,20230417,000000,0.16,0.16,0.1302,0.1302,28717,0
EFHTR.US,D,20230418,000000,0.1317,0.1317,0.1095,0.12,15466,0
EFHTR.US,D,20230421,000000,0.14,0.14,0.1255,0.1399,802,0
EFHTR.US,D,20230424,000000,0.141,0.141,0.1121,0.1158,53272,0
EFHTR.US,D,20230425,000000,0.13,0.13,0.13,0.13,905,0
EFHTR.US,D,20230426,000000,0.15,0.15,0.15,0.15,147,0
EFHTR.US,D,20230427,000000,0.15,0.15,0.13,0.15,500,0
EFHTR.US,D,20230428,000000,0.21,0.21,0.157499,0.157499,820,0
