<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FDIF.US,D,20230622,000000,24.47,24.6558,24.43,24.6558,21192,0
FDIF.US,D,20230623,000000,24.24,24.4789,24.24,24.3897,16704,0
FDIF.US,D,20230626,000000,24.51,24.51,24.191,24.26,8458,0
FDIF.US,D,20230627,000000,24.25,24.55,24.25,24.55,8846,0
FDIF.US,D,20230628,000000,24.47,24.6699,24.47,24.61,10984,0
FDIF.US,D,20230629,000000,24.66,24.72,24.55,24.6,7117,0
FDIF.US,D,20230630,000000,24.68,24.99,24.68,24.911,5906,0
FDIF.US,D,20230703,000000,24.57,24.93,24.54,24.76,11545,0
FDIF.US,D,20230705,000000,24.54,24.79,24.54,24.67,11519,0
FDIF.US,D,20230706,000000,24.5,24.5,24.17,24.35,8173,0
FDIF.US,D,20230707,000000,24.34,24.65,24.34,24.435,6875,0
FDIF.US,D,20230710,000000,24.43,24.7,24.43,24.6185,17159,0
FDIF.US,D,20230711,000000,24.6,24.9479,24.6,24.9479,4594,0
FDIF.US,D,20230712,000000,25.1,25.21,25.1,25.21,15404,0
FDIF.US,D,20230713,000000,25.24,25.61,25.24,25.61,19380,0
FDIF.US,D,20230714,000000,25.56,25.7037,25.47,25.4953,10052,0
FDIF.US,D,20230717,000000,25.5,25.7699,25.5,25.755,11954,0
FDIF.US,D,20230718,000000,25.62,25.93,25.62,25.93,12166,0
FDIF.US,D,20230719,000000,25.91,26.09,25.8655,25.93,5596,0
FDIF.US,D,20230720,000000,25.61,25.73,25.34,25.4139,9146,0
FDIF.US,D,20230721,000000,25.555,25.555,25.3801,25.425,20112,0
FDIF.US,D,20230724,000000,25.42,25.4286,25.321,25.3662,8096,0
FDIF.US,D,20230725,000000,25.33,25.5499,25.33,25.4777,14189,0
FDIF.US,D,20230726,000000,25.33,25.4199,25.25,25.36,8398,0
FDIF.US,D,20230727,000000,25.52,25.6,25.15,25.15,9227,0
FDIF.US,D,20230728,000000,25.12,25.5699,25.12,25.5,26451,0
FDIF.US,D,20230731,000000,25.46,25.6499,25.46,25.5847,9534,0
FDIF.US,D,20230801,000000,25.44,25.52,25.425,25.515,3432,0
