<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FIVR.US,D,20211230,000000,24.7237,24.7574,24.7237,24.7475,8008.635867789,0
FIVR.US,D,20211231,000000,24.7396,24.807,24.7396,24.7772,4937.465673494,0
FIVR.US,D,20220103,000000,24.817,24.8368,24.7574,24.807,15872.08181175,0
FIVR.US,D,20220104,000000,24.797,24.8566,24.7772,24.8218,18890.82231133,0
FIVR.US,D,20220105,000000,24.8268,24.8368,24.5204,24.5254,18410.888952011,0
FIVR.US,D,20220106,000000,24.5303,24.5402,24.4182,24.4906,4617.8461884015,0
FIVR.US,D,20220107,000000,24.5402,24.5402,24.3845,24.4906,7533.7438252699,0
FIVR.US,D,20220110,000000,24.2933,24.4123,24.1455,24.4123,6127.2164381913,0
FIVR.US,D,20220111,000000,24.442,24.5006,24.3329,24.4906,3259.7154425987,0
FIVR.US,D,20220112,000000,24.5104,24.679,24.5104,24.56,6173.5965527473,0
FIVR.US,D,20220113,000000,24.4906,24.5402,24.445,24.448,4834.6228107828,0
FIVR.US,D,20220114,000000,24.323,24.3617,24.0959,24.2248,18588.343303356,0
FIVR.US,D,20220118,000000,26.269,26.269,23.9382,23.9382,15141.090875813,0
FIVR.US,D,20220119,000000,24.0849,24.0849,23.9085,23.9085,9608.7498199709,0
FIVR.US,D,20220120,000000,24.0096,24.0265,23.9977,24.0077,1151.4367570206,0
FIVR.US,D,20220121,000000,23.7607,23.7607,23.6466,23.6595,4376.8712453823,0
FIVR.US,D,20220124,000000,23.474,23.6307,23.2668,23.6307,6487.1664576802,0
FIVR.US,D,20220126,000000,23.7507,23.7507,23.4562,23.4562,5593.8451207973,0
FIVR.US,D,20220127,000000,23.5434,23.5821,23.355,23.363,4843.6971810221,0
FIVR.US,D,20220128,000000,23.4938,23.5534,23.3342,23.5534,4518.0281157702,0
FIVR.US,D,20220131,000000,23.6317,23.6813,23.6317,23.6813,4034.0617030119,0
FIVR.US,D,20220201,000000,23.8589,23.8965,23.7805,23.8965,3077.2197744545,0
FIVR.US,D,20220202,000000,24.1753,24.1753,23.9421,24.0315,2520.6583997825,0
FIVR.US,D,20220203,000000,23.8192,23.9581,23.7607,23.8787,3116.5420454911,0
FIVR.US,D,20220204,000000,23.7091,23.721,23.6565,23.714,2135.5017962957,0
FIVR.US,D,20220207,000000,23.7319,23.8192,23.6654,23.6654,2887.6662627908,0
FIVR.US,D,20220208,000000,23.5821,23.721,23.5821,23.6773,3004.6248125407,0
FIVR.US,D,20220209,000000,23.8291,23.8449,23.8291,23.8449,553.53658459224,0
FIVR.US,D,20220210,000000,23.7706,23.7706,23.4542,23.469,2735.418495444,0
FIVR.US,D,20220211,000000,23.5722,23.5722,23.3412,23.3412,1285.5357838891,0
FIVR.US,D,20220214,000000,23.3946,23.3946,23.1924,23.1924,1493.2380360312,0
FIVR.US,D,20220215,000000,23.2766,23.3064,23.2707,23.2707,2071.9812046212,0
FIVR.US,D,20220216,000000,23.244,23.3194,23.244,23.3194,1271.4200968503,0
FIVR.US,D,20220217,000000,23.1973,23.2766,23.1596,23.1596,2109.286948938,0
FIVR.US,D,20220218,000000,23.3064,23.3064,23.0892,23.1041,3834.4255577491,0
FIVR.US,D,20220222,000000,23.108,23.108,22.9077,22.9504,4861.8459215005,0
FIVR.US,D,20220223,000000,22.872,22.9008,22.7233,22.7233,2518.6418730627,0
FIVR.US,D,20220225,000000,23.0892,23.1844,23.0297,23.1844,2323.0387812396,0
FIVR.US,D,20220228,000000,23.2172,23.2172,23.2172,23.2172,541.43742427328,0
FIVR.US,D,20220301,000000,23.3064,23.3064,23.2488,23.2488,321.63601181225,0
FIVR.US,D,20220302,000000,23.3114,23.4423,23.3114,23.4204,1103.0401157448,0
FIVR.US,D,20220304,000000,23.2964,23.3748,23.2668,23.355,3900.9709395034,0
FIVR.US,D,20220307,000000,23.2568,23.2568,23.0396,23.0684,4053.2187068503,0
FIVR.US,D,20220308,000000,24.2248,24.2248,22.9365,22.9365,1385.3538565205,0
FIVR.US,D,20220309,000000,23.1279,23.1576,23.0594,23.0644,7382.504321283,0
FIVR.US,D,20220310,000000,22.9583,23.0198,22.8621,22.99,3478.5085916999,0
FIVR.US,D,20220311,000000,22.9008,22.9008,22.8159,22.8159,514.21431355563,0
FIVR.US,D,20220314,000000,22.9206,22.9206,22.9206,22.9206,781.40410393258,0
FIVR.US,D,20220315,000000,22.6727,22.7677,22.6727,22.7677,1328.8911083653,0
FIVR.US,D,20220316,000000,22.9107,22.9107,22.9107,22.9107,897.35439032257,0
FIVR.US,D,20220317,000000,22.9107,23.1151,22.9107,23.1151,2752.5589725625,0
