<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GGAWF.US,D,20220203,000000,0.3,0.3,0.2998,0.3,2306,0
GGAWF.US,D,20220204,000000,0.3,0.3,0.25,0.25,200335,0
GGAWF.US,D,20220207,000000,0.25,0.25,0.2468,0.25,126301,0
GGAWF.US,D,20220208,000000,0.25,0.3,0.2301,0.25,440339,0
GGAWF.US,D,20220209,000000,0.230201,0.230201,0.230201,0.230201,35300,0
GGAWF.US,D,20220210,000000,0.24,0.2405,0.24,0.2403,7986,0
GGAWF.US,D,20220211,000000,0.2202,0.25,0.2202,0.25,107900,0
GGAWF.US,D,20220214,000000,0.220101,0.220101,0.22,0.22,276499,0
GGAWF.US,D,20220215,000000,0.23,0.23,0.2202,0.2202,100200,0
GGAWF.US,D,20220223,000000,0.23,0.23,0.23,0.23,25000,0
GGAWF.US,D,20220302,000000,0.22,0.22,0.22,0.22,10000,0
GGAWF.US,D,20220303,000000,0.22,0.22,0.22,0.22,10000,0
GGAWF.US,D,20220304,000000,0.18,0.18,0.18,0.18,701,0
GGAWF.US,D,20220308,000000,0.1699,0.18,0.1699,0.18,1204,0
GGAWF.US,D,20220317,000000,0.1799,0.18,0.14,0.14,20843,0
GGAWF.US,D,20220321,000000,0.15,0.1519,0.14595,0.146,16001,0
GGAWF.US,D,20220322,000000,0.15,0.15,0.15,0.15,10000,0
GGAWF.US,D,20220324,000000,0.26,0.26,0.25,0.26,2900,0
GGAWF.US,D,20220328,000000,0.1754,0.2,0.15,0.2,4456,0
GGAWF.US,D,20220329,000000,0.2,0.22,0.1975,0.22,203979,0
GGAWF.US,D,20220331,000000,0.2,0.2,0.2,0.2,279,0
GGAWF.US,D,20220413,000000,0.17,0.17,0.17,0.17,600,0
GGAWF.US,D,20220420,000000,0.18,0.18,0.18,0.18,3800,0
GGAWF.US,D,20220421,000000,0.15,0.15,0.15,0.15,1650,0
GGAWF.US,D,20220425,000000,0.1642,0.285,0.1501,0.2505,72280,0
GGAWF.US,D,20220426,000000,0.23,0.23,0.23,0.23,221,0
GGAWF.US,D,20220428,000000,0.2,0.2035,0.1589,0.1906,125644,0
GGAWF.US,D,20220429,000000,0.1968,0.2,0.1936,0.2,33000,0
GGAWF.US,D,20220502,000000,0.2051,0.2051,0.2,0.2,8900,0
GGAWF.US,D,20220503,000000,0.2,0.2077,0.19,0.2,7382,0
GGAWF.US,D,20220504,000000,0.215,0.22,0.17,0.18,86195,0
GGAWF.US,D,20220505,000000,0.15,0.15,0.15,0.15,100000,0
GGAWF.US,D,20220510,000000,0.1401,0.1401,0.14,0.14,2300,0
GGAWF.US,D,20220513,000000,0.1202,0.1202,0.1202,0.1202,2500,0
GGAWF.US,D,20220516,000000,0.1101,0.136,0.1101,0.13,268846,0
GGAWF.US,D,20220526,000000,0.15,0.15,0.15,0.15,132,0
GGAWF.US,D,20220527,000000,0.15,0.24,0.15,0.1525,24386,0
GGAWF.US,D,20220531,000000,0.16,0.16,0.11,0.13,1907,0
GGAWF.US,D,20220601,000000,0.1515,0.1699,0.15,0.1693,65881,0
GGAWF.US,D,20220602,000000,0.16,0.16,0.16,0.16,100,0
GGAWF.US,D,20220606,000000,0.16,0.16,0.1599,0.16,41225,0
GGAWF.US,D,20220607,000000,0.404,0.404,0.165,0.18,22085,0
GGAWF.US,D,20220608,000000,0.18,0.18,0.1569,0.18,56637,0
GGAWF.US,D,20220609,000000,0.18,0.18,0.175,0.175,2305,0
GGAWF.US,D,20220610,000000,0.18,0.18,0.175,0.18,10270,0
GGAWF.US,D,20220613,000000,0.18,0.18,0.179999,0.18,37328,0
GGAWF.US,D,20220614,000000,0.1701,0.1701,0.1501,0.1501,1000,0
GGAWF.US,D,20220616,000000,0.16,0.1725,0.16,0.17,45711,0
GGAWF.US,D,20220621,000000,0.17,0.17,0.17,0.17,100,0
GGAWF.US,D,20220624,000000,0.2,0.2,0.2,0.2,1130,0
GGAWF.US,D,20220627,000000,0.1301,0.1301,0.1201,0.1201,1000,0
GGAWF.US,D,20220628,000000,0.2,0.2025,0.2,0.2,164769,0
GGAWF.US,D,20220629,000000,0.2,0.2,0.2,0.2,89200,0
GGAWF.US,D,20220701,000000,0.21,0.21,0.2,0.2,600,0
GGAWF.US,D,20220705,000000,0.2,0.2,0.2,0.2,8600,0
GGAWF.US,D,20220706,000000,0.25,0.25,0.25,0.25,60080,0
GGAWF.US,D,20220707,000000,0.275,0.32,0.275,0.3,437815,0
GGAWF.US,D,20220708,000000,0.3,0.3305,0.2619,0.33,518364,0
GGAWF.US,D,20220712,000000,0.35,0.35,0.35,0.35,20000,0
GGAWF.US,D,20220713,000000,0.350998,0.36,0.35,0.36,30200,0
GGAWF.US,D,20220714,000000,0.36,0.36,0.36,0.36,438941,0
GGAWF.US,D,20220715,000000,0.3347,0.3347,0.1574,0.1574,2271,0
GGAWF.US,D,20220719,000000,0.24,0.26,0.24,0.26,3800,0
GGAWF.US,D,20220720,000000,0.28,0.3005,0.28,0.2999,105903,0
GGAWF.US,D,20220721,000000,0.32,0.33,0.3008,0.32,195200,0
GGAWF.US,D,20220722,000000,0.35,0.36,0.34,0.36,226250,0
GGAWF.US,D,20220726,000000,0.335,0.335,0.3238,0.3238,320,0
GGAWF.US,D,20220727,000000,0.32,0.32,0.32,0.32,25000,0
GGAWF.US,D,20220728,000000,0.35,0.35,0.35,0.35,121700,0
GGAWF.US,D,20220729,000000,0.35,0.3914,0.2892,0.2892,334429,0
GGAWF.US,D,20220803,000000,0.2634,0.2634,0.2634,0.2634,115,0
GGAWF.US,D,20220805,000000,0.3,0.3,0.3,0.3,77000,0
GGAWF.US,D,20220809,000000,0.35,0.350017,0.35,0.35,160600,0
GGAWF.US,D,20220810,000000,0.35,0.37,0.35,0.37,445000,0
GGAWF.US,D,20220811,000000,0.4,0.44,0.3998,0.44,162100,0
GGAWF.US,D,20220812,000000,0.44,0.46,0.44,0.46,74600,0
GGAWF.US,D,20220817,000000,0.46,0.5,0.4599,0.5,128892,0
GGAWF.US,D,20220818,000000,0.4999,0.5005,0.4999,0.5,34700,0
GGAWF.US,D,20220824,000000,0.4999,0.4999,0.48,0.48,2400,0
GGAWF.US,D,20220829,000000,0.422,0.422,0.422,0.422,200,0
GGAWF.US,D,20220830,000000,0.3966,0.3966,0.3966,0.3966,332,0
GGAWF.US,D,20220915,000000,0.46,0.4699,0.46,0.4699,6382,0
GGAWF.US,D,20220919,000000,0.378601,0.4106,0.3785,0.380788,2642,0
GGAWF.US,D,20220927,000000,0.3,0.32,0.3,0.3,1200,0
GGAWF.US,D,20220928,000000,0.2045,0.2045,0.2,0.2,5540,0
GGAWF.US,D,20220929,000000,0.1387,0.15,0.09915,0.15,39154,0
GGAWF.US,D,20220930,000000,0.2,0.2,0.2,0.2,900,0
GGAWF.US,D,20221004,000000,0.25,0.25,0.25,0.25,92000,0
GGAWF.US,D,20221006,000000,0.3742,0.3948,0.3642,0.3927,1040,0
GGAWF.US,D,20221028,000000,0.3231,0.3231,0.3231,0.3231,120,0
GGAWF.US,D,20221031,000000,0.25,0.2618,0.25,0.2618,10322,0
GGAWF.US,D,20221101,000000,0.26,0.26,0.249,0.249,868,0
GGAWF.US,D,20221111,000000,0.29,0.29,0.29,0.29,2237,0
GGAWF.US,D,20221115,000000,0.29,0.29,0.29,0.29,200,0
GGAWF.US,D,20221116,000000,0.29,0.29,0.29,0.29,450,0
GGAWF.US,D,20221125,000000,0.29,0.29,0.2799,0.2897,27476,0
GGAWF.US,D,20221205,000000,0.2054,0.2259,0.0649,0.1011,284302,0
GGAWF.US,D,20221206,000000,0.15,0.150001,0.1497,0.15,293648,0
GGAWF.US,D,20221207,000000,0.16,0.16,0.15,0.15,500,0
GGAWF.US,D,20221208,000000,0.16,0.16,0.16,0.16,17511,0
GGAWF.US,D,20221209,000000,0.17,0.17,0.17,0.17,100,0
GGAWF.US,D,20221212,000000,0.17,0.17,0.17,0.17,100,0
GGAWF.US,D,20221213,000000,0.17,0.17,0.17,0.17,1800,0
GGAWF.US,D,20221214,000000,0.17,0.17,0.17,0.17,250,0
GGAWF.US,D,20221219,000000,0.1217,0.4799,0.1217,0.2529,31842,0
GGAWF.US,D,20221220,000000,0.17,0.1937,0.17,0.1937,4220,0
GGAWF.US,D,20221221,000000,0.1623,0.3277,0.1446,0.2077,14012,0
GGAWF.US,D,20221222,000000,0.2758,0.3268,0.1934,0.2408,15856,0
GGAWF.US,D,20221223,000000,0.17,0.182,0.1565,0.1565,1900,0
GGAWF.US,D,20221227,000000,0.1437,0.3551,0.1437,0.2601,19532,0
GGAWF.US,D,20221228,000000,0.26,0.26,0.2509,0.2509,200,0
GGAWF.US,D,20221230,000000,0.25,0.25,0.25,0.25,200,0
GGAWF.US,D,20230103,000000,0.25,0.25,0.25,0.25,349,0
GGAWF.US,D,20230110,000000,0.18,0.19,0.1588,0.1588,300,0
GGAWF.US,D,20230117,000000,0.2,0.2,0.1007,0.1442,5269,0
GGAWF.US,D,20230118,000000,0.1488,0.1488,0.1488,0.1488,303,0
GGAWF.US,D,20230119,000000,0.2007,0.21,0.1006,0.15,5676,0
GGAWF.US,D,20230120,000000,0.2495,0.2495,0.2001,0.2147,2902,0
GGAWF.US,D,20230123,000000,0.1273,0.154,0.1122,0.1452,6433,0
GGAWF.US,D,20230124,000000,0.18,0.2469,0.1013,0.16,4130,0
GGAWF.US,D,20230130,000000,0.164,0.164,0.16,0.16,1697,0
GGAWF.US,D,20230201,000000,0.16,0.16,0.16,0.16,1405,0
GGAWF.US,D,20230213,000000,0.19,0.19,0.1009,0.12,3217,0
GGAWF.US,D,20230214,000000,0.1,0.1596,0.1,0.1332,625,0
GGAWF.US,D,20230215,000000,0.1569,0.1569,0.1348,0.1348,1001,0
GGAWF.US,D,20230216,000000,0.1001,0.1001,0.0806,0.0806,1201,0
GGAWF.US,D,20230221,000000,0.0816,0.0816,0.0816,0.0816,306,0
GGAWF.US,D,20230223,000000,0.1195,0.338,0.1195,0.217,201493,0
GGAWF.US,D,20230224,000000,0.1845,0.218,0.1464,0.1465,19477,0
GGAWF.US,D,20230227,000000,0.125,0.14,0.091,0.091,38486,0
GGAWF.US,D,20230228,000000,0.208928,0.208928,0.09,0.118899,5675,0
GGAWF.US,D,20230301,000000,0.1357,0.1763,0.0695,0.11,443655,0
GGAWF.US,D,20230302,000000,0.11,0.15,0.084901,0.0857,25476,0
GGAWF.US,D,20230303,000000,0.0912,0.117499,0.0871,0.09,45542,0
GGAWF.US,D,20230306,000000,0.0902,0.0902,0.071,0.09,23920,0
GGAWF.US,D,20230307,000000,0.02,0.04,0.02,0.03,492586,0
GGAWF.US,D,20230308,000000,0.032,0.0382,0.023,0.0311,34007,0
GGAWF.US,D,20230309,000000,0.032,0.032,0.025,0.026,43000,0
GGAWF.US,D,20230310,000000,0.0301,0.0301,0.03,0.03,1300,0
GGAWF.US,D,20230313,000000,0.0264,0.0313,0.0264,0.0311,4765,0
GGAWF.US,D,20230314,000000,0.03,0.03,0.0299,0.03,3000,0
GGAWF.US,D,20230315,000000,0.026,0.0263,0.02351,0.0263,4805,0
GGAWF.US,D,20230316,000000,0.0291,0.03,0.0203,0.0257,4330,0
GGAWF.US,D,20230324,000000,0.0166,0.021,0.0166,0.02,6422,0
GGAWF.US,D,20230327,000000,0.022,0.035,0.0193,0.0193,25279,0
GGAWF.US,D,20230328,000000,0.02,0.025,0.02,0.02,23500,0
GGAWF.US,D,20230329,000000,0.0194,0.0206,0.0156,0.0206,3732,0
GGAWF.US,D,20230330,000000,0.039274,0.039274,0.0289,0.0343,21777,0
GGAWF.US,D,20230331,000000,0.0243,0.028301,0.0166,0.0176,30568,0
GGAWF.US,D,20230403,000000,0.0207,0.02305,0.0207,0.0207,1056,0
GGAWF.US,D,20230404,000000,0.021,0.021,0.0206,0.0206,700,0
GGAWF.US,D,20230406,000000,0.0242,0.0243,0.0166,0.0166,2618,0
GGAWF.US,D,20230410,000000,0.02,0.023,0.0176,0.0223,20428,0
GGAWF.US,D,20230411,000000,0.023,0.026,0.023,0.026,1140,0
GGAWF.US,D,20230412,000000,0.0275,0.0375,0.02,0.0316,114883,0
GGAWF.US,D,20230414,000000,0.035,0.035,0.035,0.035,100,0
GGAWF.US,D,20230417,000000,0.0349,0.0349,0.0349,0.0349,200,0
GGAWF.US,D,20230418,000000,0.016,0.016,0.016,0.016,600,0
GGAWF.US,D,20230420,000000,0.03,0.0331,0.03,0.031,1100,0
GGAWF.US,D,20230427,000000,0.029,0.029,0.029,0.029,150,0
GGAWF.US,D,20230502,000000,0.0343,0.0343,0.027499,0.031899,570,0
GGAWF.US,D,20230505,000000,0.03,0.03,0.03,0.03,200,0
GGAWF.US,D,20230509,000000,0.032,0.05,0.03,0.05,199885,0
GGAWF.US,D,20230511,000000,0.061,0.11,0.05,0.11,38071,0
GGAWF.US,D,20230516,000000,0.0709,0.105,0.0709,0.104899,4450,0
GGAWF.US,D,20230517,000000,0.1,0.1035,0.0493,0.1,4618,0
GGAWF.US,D,20230518,000000,0.127,0.165,0.1,0.14,44013,0
GGAWF.US,D,20230519,000000,0.0861,0.15,0.025,0.0373,118819,0
GGAWF.US,D,20230522,000000,0.0749,0.0749,0.0658,0.0658,5660,0
GGAWF.US,D,20230523,000000,0.105,0.1127,0.0754,0.0754,14991,0
GGAWF.US,D,20230524,000000,0.25,0.25,0.139899,0.15,31881,0
GGAWF.US,D,20230525,000000,0.15,0.15,0.1017,0.121999,3401,0
GGAWF.US,D,20230526,000000,0.194299,0.194299,0.1585,0.159899,3837,0
GGAWF.US,D,20230530,000000,0.1429,0.1429,0.14,0.14,300,0
GGAWF.US,D,20230531,000000,0.2336,0.24,0.0935,0.109249,3846,0
GGAWF.US,D,20230601,000000,0.1457,0.1457,0.0951,0.0951,3697,0
GGAWF.US,D,20230602,000000,0.0898,0.0898,0.0381,0.0779,4737,0
GGAWF.US,D,20230605,000000,0.0888,0.104,0.0411,0.06,8011,0
GGAWF.US,D,20230606,000000,0.06,0.06,0.0412,0.0412,605,0
GGAWF.US,D,20230607,000000,0.0527,0.0983,0.0527,0.0695,4503,0
GGAWF.US,D,20230608,000000,0.0584,0.249,0.0439,0.1527,66021,0
GGAWF.US,D,20230609,000000,0.0918,0.18,0.0719,0.1001,49662,0
GGAWF.US,D,20230612,000000,0.15,0.2463,0.0721,0.1301,45732,0
GGAWF.US,D,20230613,000000,0.183,0.249,0.073,0.16,46845,0
GGAWF.US,D,20230614,000000,0.2374,0.2374,0.15,0.155,4578,0
GGAWF.US,D,20230615,000000,0.156529,0.2075,0.1079,0.1681,11988,0
GGAWF.US,D,20230616,000000,0.1782,0.2062,0.1782,0.2001,265294,0
GGAWF.US,D,20230620,000000,0.2,0.2,0.2,0.2,102,0
GGAWF.US,D,20230621,000000,0.21,0.21,0.21,0.21,227,0
GGAWF.US,D,20230622,000000,0.21,0.25,0.11,0.1807,7963,0
GGAWF.US,D,20230623,000000,0.1315,0.164303,0.1151,0.164303,7212,0
GGAWF.US,D,20230626,000000,0.1195,0.16,0.1195,0.1195,405,0
GGAWF.US,D,20230627,000000,0.1639,0.1639,0.1638,0.1638,300,0
GGAWF.US,D,20230629,000000,0.169,0.169,0.162,0.162,499,0
GGAWF.US,D,20230630,000000,0.0788,0.2479,0.0787,0.13,43385,0
GGAWF.US,D,20230703,000000,0.1305,0.2306,0.0809,0.2165,39258,0
GGAWF.US,D,20230705,000000,0.15,0.16,0.1015,0.147,11524,0
GGAWF.US,D,20230706,000000,0.16,0.2198,0.13,0.1909,14087,0
GGAWF.US,D,20230707,000000,0.15,0.21,0.15,0.1829,1083,0
GGAWF.US,D,20230710,000000,0.1829,0.22,0.1829,0.22,959,0
GGAWF.US,D,20230713,000000,0.1543,0.27,0.0546,0.18,232698,0
