<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GLLIU.US,D,20211208,000000,10.14,10.18,10.13,10.15,73314,0
GLLIU.US,D,20211209,000000,10.13,10.18,10.13,10.14,13074,0
GLLIU.US,D,20211210,000000,10.18,10.18,10.18,10.18,137,0
GLLIU.US,D,20211213,000000,10.18,10.18,10.1,10.1,409184,0
GLLIU.US,D,20211214,000000,10.17,10.2,10.13,10.13,158610,0
GLLIU.US,D,20211215,000000,10.13,10.13,10.12,10.13,24770,0
GLLIU.US,D,20211216,000000,10.16,10.2,10.16,10.19,77472,0
GLLIU.US,D,20211217,000000,10.19,10.23,10.19,10.2,36133,0
GLLIU.US,D,20211220,000000,10.18,10.2,10.18,10.18,1050,0
GLLIU.US,D,20211221,000000,10.22,10.22,10.18,10.21,3702,0
GLLIU.US,D,20211222,000000,10.2,10.25,10.18,10.18,302183,0
GLLIU.US,D,20211223,000000,10.25,10.25,10.22,10.22,1419,0
GLLIU.US,D,20211227,000000,10.2,10.2,10.11,10.18,57720,0
GLLIU.US,D,20211228,000000,10.11,10.25,10.11,10.215,1892,0
GLLIU.US,D,20211229,000000,10.11,10.53,10.11,10.12,2259,0
GLLIU.US,D,20211230,000000,10.22,10.22,10.2,10.2,670,0
GLLIU.US,D,20211231,000000,10.2,10.29,10.2,10.29,582,0
GLLIU.US,D,20220103,000000,10.23,10.245,10.21,10.245,7361,0
GLLIU.US,D,20220104,000000,10.25,10.26,10.225,10.26,11940,0
GLLIU.US,D,20220105,000000,10.26,10.26,10.26,10.26,1050,0
GLLIU.US,D,20220107,000000,10.23,10.25,10.23,10.23,5295,0
GLLIU.US,D,20220110,000000,10.22,10.24,10.21,10.24,7968,0
GLLIU.US,D,20220111,000000,10.23,10.27,10.23,10.27,120000,0
GLLIU.US,D,20220112,000000,10.26,10.26,10.26,10.26,200,0
GLLIU.US,D,20220113,000000,10.2601,10.28,10.21,10.28,6049,0
GLLIU.US,D,20220119,000000,10.2,10.2,10.2,10.2,420,0
GLLIU.US,D,20220120,000000,10.11,10.2,10.11,10.19,10597,0
GLLIU.US,D,20220121,000000,10.2,10.2,10.14,10.18,8885,0
GLLIU.US,D,20220126,000000,9.9155,10.15,9.915,10.15,36709,0
GLLIU.US,D,20220131,000000,10.34,10.34,10.1,10.25,851,0
