<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GMBLZ.US,D,20220316,000000,0.3,0.309999,0.2497,0.25,597454,0
GMBLZ.US,D,20220317,000000,0.2501,0.2999,0.25,0.27,210400,0
GMBLZ.US,D,20220318,000000,0.2501,0.29,0.25,0.26,443087,0
GMBLZ.US,D,20220321,000000,0.25,0.275001,0.25,0.2702,206537,0
GMBLZ.US,D,20220322,000000,0.3,0.32,0.3,0.32,219235,0
GMBLZ.US,D,20220323,000000,0.32,0.35,0.2761,0.3499,117764,0
GMBLZ.US,D,20220324,000000,0.3,0.33,0.3,0.311,524600,0
GMBLZ.US,D,20220325,000000,0.31,0.31,0.2617,0.2617,81064,0
GMBLZ.US,D,20220328,000000,0.305,0.305,0.2825,0.2825,2400,0
GMBLZ.US,D,20220329,000000,0.27,0.32,0.25,0.31,360024,0
GMBLZ.US,D,20220330,000000,0.3,0.3,0.2702,0.2702,63900,0
GMBLZ.US,D,20220331,000000,0.2701,0.2701,0.27,0.27,105000,0
GMBLZ.US,D,20220404,000000,0.3486,0.44,0.2826,0.35,474743,0
GMBLZ.US,D,20220405,000000,0.3151,0.35,0.3004,0.35,1100,0
GMBLZ.US,D,20220407,000000,0.29875,0.32,0.29875,0.32,2000,0
GMBLZ.US,D,20220411,000000,0.33,0.36,0.33,0.35,40500,0
GMBLZ.US,D,20220412,000000,0.349899,0.349899,0.349899,0.349899,100,0
GMBLZ.US,D,20220413,000000,0.29505,0.3,0.29505,0.3,16000,0
GMBLZ.US,D,20220414,000000,0.3,0.3,0.2989,0.2989,13801,0
GMBLZ.US,D,20220418,000000,0.280101,0.280101,0.280101,0.280101,3400,0
GMBLZ.US,D,20220420,000000,0.253499,0.29,0.245,0.29,6400,0
GMBLZ.US,D,20220422,000000,0.3,0.3,0.25,0.2501,137900,0
GMBLZ.US,D,20220425,000000,0.230201,0.2304,0.2101,0.210301,3000,0
GMBLZ.US,D,20220426,000000,0.22,0.22,0.1741,0.1801,143100,0
GMBLZ.US,D,20220427,000000,0.2,0.2201,0.2,0.2,121100,0
GMBLZ.US,D,20220429,000000,0.1995,0.1995,0.1848,0.1848,3850,0
GMBLZ.US,D,20220502,000000,0.2,0.2,0.2,0.2,500,0
GMBLZ.US,D,20220505,000000,0.21,0.21,0.18,0.18,2100,0
GMBLZ.US,D,20220510,000000,0.16,0.16,0.1,0.1,153000,0
GMBLZ.US,D,20220511,000000,0.115,0.137749,0.09,0.12,2736049,0
GMBLZ.US,D,20220512,000000,0.12595,0.12595,0.12595,0.12595,6900,0
GMBLZ.US,D,20220513,000000,0.11,0.11,0.11,0.11,100,0
GMBLZ.US,D,20220516,000000,0.11,0.13,0.11,0.11,14600,0
GMBLZ.US,D,20220519,000000,0.129,0.13,0.129,0.13,6000,0
GMBLZ.US,D,20220524,000000,0.11,0.11,0.11,0.11,5089,0
GMBLZ.US,D,20220525,000000,0.1299,0.13,0.1298,0.1298,1200,0
GMBLZ.US,D,20220531,000000,0.16,0.17,0.12,0.135,7900,0
GMBLZ.US,D,20220601,000000,0.1351,0.142501,0.1351,0.142501,1500,0
GMBLZ.US,D,20220606,000000,0.1203,0.1203,0.1203,0.1203,500,0
GMBLZ.US,D,20220609,000000,0.130101,0.131248,0.1297,0.13,15100,0
GMBLZ.US,D,20220622,000000,0.1,0.110103,0.1,0.1101,794,0
GMBLZ.US,D,20220623,000000,0.1199,0.12,0.1199,0.12,6300,0
GMBLZ.US,D,20220624,000000,0.120001,0.125001,0.12,0.120751,2200,0
GMBLZ.US,D,20220627,000000,0.12,0.12,0.12,0.12,9300,0
GMBLZ.US,D,20220629,000000,0.11,0.1299,0.11,0.12,1900,0
GMBLZ.US,D,20220708,000000,0.125,0.125,0.0867,0.125,400,0
GMBLZ.US,D,20220712,000000,0.11,0.11,0.075,0.075,3800,0
GMBLZ.US,D,20220713,000000,0.1,0.112451,0.1,0.105,27600,0
GMBLZ.US,D,20220714,000000,0.105,0.106501,0.1,0.1,4152,0
