<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GTR.US,D,20211008,000000,25.22,25.23,25.1089,25.1089,1159,0
GTR.US,D,20211011,000000,25.1418,25.1418,24.9821,24.9821,161,0
GTR.US,D,20211012,000000,24.9752,24.9752,24.95,24.95,373,0
GTR.US,D,20211013,000000,25.06,25.06,25.06,25.06,4376,0
GTR.US,D,20211015,000000,25.6,25.6,25.6,25.6,116,0
GTR.US,D,20211018,000000,25.4924,25.54,25.4924,25.54,2157,0
GTR.US,D,20211019,000000,25.69,25.6956,25.62,25.6956,1576,0
GTR.US,D,20211020,000000,25.795,25.85,25.7797,25.7797,2554,0
GTR.US,D,20211025,000000,25.96,25.96,25.96,25.96,1055,0
GTR.US,D,20211027,000000,25.8397,25.8397,25.73,25.73,100,0
GTR.US,D,20211028,000000,25.94,25.9801,25.895,25.9801,777,0
GTR.US,D,20211101,000000,26.12,26.16,26.11,26.1225,4715,0
GTR.US,D,20211102,000000,26.19,26.2,26.1774,26.1774,2732,0
GTR.US,D,20211103,000000,26.2,26.38,26.16,26.3442,4073,0
GTR.US,D,20211104,000000,26.38,26.42,26.38,26.4004,18900,0
GTR.US,D,20211105,000000,26.48,26.54,26.48,26.5,3127,0
GTR.US,D,20211108,000000,26.57,26.6,26.5351,26.5351,4855,0
GTR.US,D,20211109,000000,26.5,26.5,26.455,26.455,135,0
GTR.US,D,20211110,000000,26.45,26.52,26.2417,26.2417,4581,0
GTR.US,D,20211112,000000,26.49,26.49,26.4364,26.4364,102,0
GTR.US,D,20211115,000000,26.5,26.51,26.3918,26.3918,5501,0
GTR.US,D,20211116,000000,26.49,26.49,26.445,26.465,2002,0
GTR.US,D,20211117,000000,26.4,26.44,26.3819,26.3819,30061,0
GTR.US,D,20211118,000000,26.4,26.43,26.375,26.375,1735,0
GTR.US,D,20211119,000000,26.38,26.38,26.2701,26.2701,3341,0
GTR.US,D,20211122,000000,26.31,26.428,26.3,26.3,6150,0
GTR.US,D,20211123,000000,26.17,26.18,26.07,26.1779,5368,0
GTR.US,D,20211124,000000,25.9653,26.145,25.9653,26.145,3869,0
GTR.US,D,20211126,000000,25.6101,25.65,25.572,25.572,7562,0
GTR.US,D,20211129,000000,25.7,25.72,25.7,25.7041,1100,0
GTR.US,D,20211130,000000,25.5301,25.591,25.2401,25.3527,7576,0
GTR.US,D,20211201,000000,25.69,25.75,25.1216,25.1216,9399,0
GTR.US,D,20211202,000000,25.48,25.5,25.44,25.48,50442,0
GTR.US,D,20211203,000000,25.27,25.28,25.2306,25.2306,10170,0
GTR.US,D,20211206,000000,27.75,27.75,25.4527,25.4527,2452,0
GTR.US,D,20211207,000000,25.9156,25.955,25.8922,25.8922,530,0
GTR.US,D,20211208,000000,25.88,26.03,25.88,26.0053,756,0
GTR.US,D,20211209,000000,25.9099,25.91,25.755,25.755,10719,0
GTR.US,D,20211210,000000,25.7871,25.8592,25.7871,25.8592,6974,0
GTR.US,D,20211213,000000,25.83,25.86,25.5901,25.5966,35505,0
GTR.US,D,20211214,000000,25.395,25.449,25.3817,25.3817,7149,0
GTR.US,D,20211215,000000,25.52,25.7429,25.4415,25.7429,4191,0
