<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HCDIZ.US,D,20211006,000000,0.375,0.47,0.37,0.43,340260,0
HCDIZ.US,D,20211007,000000,0.4,0.449999,0.4,0.42,49185,0
HCDIZ.US,D,20211008,000000,0.355,0.45,0.355,0.42,133106,0
HCDIZ.US,D,20211011,000000,0.42,0.47,0.4101,0.42,131170,0
HCDIZ.US,D,20211012,000000,0.47,0.47,0.4005,0.45,76880,0
HCDIZ.US,D,20211013,000000,0.45,0.45,0.4006,0.4131,101598,0
HCDIZ.US,D,20211014,000000,0.4001,0.435,0.393999,0.42,55981,0
HCDIZ.US,D,20211015,000000,0.4004,0.42,0.4001,0.4103,155831,0
HCDIZ.US,D,20211018,000000,0.4001,0.42,0.4001,0.42,26260,0
HCDIZ.US,D,20211019,000000,0.4007,0.41,0.38,0.40005,47617,0
HCDIZ.US,D,20211020,000000,0.380101,0.4,0.3701,0.4,50750,0
HCDIZ.US,D,20211021,000000,0.4,0.405,0.3561,0.4,44310,0
HCDIZ.US,D,20211022,000000,0.41,0.4199,0.41,0.4199,805,0
HCDIZ.US,D,20211025,000000,0.38995,0.399799,0.38995,0.399799,1030,0
HCDIZ.US,D,20211026,000000,0.4,0.4098,0.355,0.38,90375,0
HCDIZ.US,D,20211027,000000,0.38,0.4,0.38,0.38,41520,0
HCDIZ.US,D,20211028,000000,0.39,0.39,0.3629,0.38,59319,0
HCDIZ.US,D,20211029,000000,0.390049,0.399899,0.38,0.389999,2380,0
HCDIZ.US,D,20211101,000000,0.385049,0.4201,0.385049,0.41,135939,0
HCDIZ.US,D,20211102,000000,0.4075,0.4075,0.395,0.3951,29242,0
HCDIZ.US,D,20211103,000000,0.4,0.41,0.397549,0.397549,46898,0
HCDIZ.US,D,20211104,000000,0.4201,0.59,0.42,0.4312,614037,0
HCDIZ.US,D,20211105,000000,0.43,0.43,0.4133,0.4175,6691,0
HCDIZ.US,D,20211108,000000,0.44,0.459799,0.42,0.436299,58913,0
HCDIZ.US,D,20211109,000000,0.43,0.44495,0.43,0.438458,31340,0
HCDIZ.US,D,20211110,000000,0.4399,0.4498,0.43,0.435,22173,0
HCDIZ.US,D,20211111,000000,0.4499,0.48,0.4305,0.45,100819,0
HCDIZ.US,D,20211112,000000,0.45,0.46045,0.45,0.451,29302,0
HCDIZ.US,D,20211115,000000,0.47,0.485,0.4602,0.48,70750,0
HCDIZ.US,D,20211116,000000,0.4702,0.490001,0.47,0.471,18060,0
HCDIZ.US,D,20211117,000000,0.4899,0.5648,0.485,0.52,163377,0
HCDIZ.US,D,20211118,000000,0.579799,0.579799,0.49,0.49,75827,0
HCDIZ.US,D,20211119,000000,0.500101,0.59,0.500101,0.5303,154800,0
HCDIZ.US,D,20211122,000000,0.5411,0.555,0.525099,0.555,211057,0
HCDIZ.US,D,20211123,000000,0.629799,0.629799,0.56245,0.56245,592,0
HCDIZ.US,D,20211124,000000,0.56745,0.6689,0.56745,0.64,43580,0
HCDIZ.US,D,20211126,000000,0.66,0.724951,0.64,0.724951,20924,0
HCDIZ.US,D,20211129,000000,0.68,0.7339,0.68,0.727936,13299,0
HCDIZ.US,D,20211130,000000,0.72715,0.7499,0.72715,0.7499,1810,0
HCDIZ.US,D,20211201,000000,0.7304,0.8399,0.7304,0.8348,9266,0
HCDIZ.US,D,20211202,000000,0.898,0.92,0.88,0.8901,70303,0
HCDIZ.US,D,20211203,000000,0.81,0.88,0.8,0.88,32700,0
HCDIZ.US,D,20211206,000000,0.86,0.86,0.8001,0.815,71932,0
HCDIZ.US,D,20211207,000000,0.83,0.865,0.8,0.81,226773,0
HCDIZ.US,D,20211208,000000,0.845,0.8609,0.78,0.7999,86871,0
HCDIZ.US,D,20211209,000000,0.758799,0.8299,0.758799,0.8,25473,0
HCDIZ.US,D,20211210,000000,0.776251,0.8,0.7749,0.787773,23970,0
HCDIZ.US,D,20211213,000000,0.79,0.79,0.75,0.760001,77646,0
HCDIZ.US,D,20211214,000000,0.7601,0.77,0.75,0.75,39004,0
HCDIZ.US,D,20211215,000000,0.75,0.77,0.5762,0.7499,14990,0
HCDIZ.US,D,20211216,000000,0.7499,0.75,0.729899,0.7498,5225,0
HCDIZ.US,D,20211217,000000,0.7399,0.75,0.686178,0.75,6501,0
HCDIZ.US,D,20211220,000000,0.700101,0.74,0.7,0.74,28161,0
HCDIZ.US,D,20211221,000000,0.740051,0.740051,0.740051,0.740051,408,0
HCDIZ.US,D,20211222,000000,0.79,0.79,0.760201,0.787501,7071,0
HCDIZ.US,D,20211223,000000,0.7501,0.79,0.7125,0.79,11230,0
HCDIZ.US,D,20211227,000000,0.76,0.79,0.76,0.775001,2391,0
HCDIZ.US,D,20211228,000000,0.780001,0.797,0.6009,0.779899,71604,0
HCDIZ.US,D,20211229,000000,0.714949,0.759951,0.66,0.7499,8419,0
HCDIZ.US,D,20211231,000000,0.71,0.77,0.71,0.77,10506,0
HCDIZ.US,D,20220103,000000,0.77,0.935,0.65,0.68,48055,0
HCDIZ.US,D,20220104,000000,0.68,0.68,0.6018,0.65,22050,0
HCDIZ.US,D,20220105,000000,0.631949,0.6499,0.6033,0.639,8245,0
HCDIZ.US,D,20220106,000000,0.6399,0.7244,0.6,0.6027,68193,0
HCDIZ.US,D,20220107,000000,0.6032,0.605649,0.5636,0.57,15039,0
HCDIZ.US,D,20220110,000000,0.5999,0.6,0.5636,0.5638,6219,0
HCDIZ.US,D,20220111,000000,0.581799,0.581799,0.532949,0.5494,38966,0
HCDIZ.US,D,20220112,000000,0.5403,0.5655,0.46,0.496,26754,0
HCDIZ.US,D,20220113,000000,0.516999,0.519099,0.480199,0.519099,108295,0
HCDIZ.US,D,20220114,000000,0.5001,0.51,0.498001,0.51,28350,0
HCDIZ.US,D,20220118,000000,0.5,0.503099,0.4665,0.49,29784,0
HCDIZ.US,D,20220119,000000,0.495601,0.495601,0.47,0.47325,2703,0
HCDIZ.US,D,20220120,000000,0.48,0.4999,0.4664,0.4664,15039,0
HCDIZ.US,D,20220121,000000,0.479999,0.479999,0.4605,0.4611,15969,0
HCDIZ.US,D,20220124,000000,0.4611,0.49,0.397499,0.49,249031,0
HCDIZ.US,D,20220125,000000,0.4,0.4799,0.4,0.4697,3817,0
HCDIZ.US,D,20220126,000000,0.46995,0.479899,0.4324,0.45,12004,0
HCDIZ.US,D,20220127,000000,0.442999,0.45,0.433199,0.433201,13151,0
