<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HIBB.US,D,20050225,000000,18.1265,18.5261,17.7948,18.5261,154428.71850014184,0
HIBB.US,D,20050228,000000,18.5528,18.5528,17.854,18.0682,201169.79103699225,0
HIBB.US,D,20050301,000000,18.1462,18.2035,17.8926,18.009,154810.67940415972,0
HIBB.US,D,20050302,000000,18.243,18.3792,17.9695,17.9893,150549.33308495794,0
HIBB.US,D,20050303,000000,18.1363,18.2815,17.6784,17.8245,200494.01405294126,0
HIBB.US,D,20050304,000000,18.009,18.2232,17.8048,18.1076,105493.14379318949,0
HIBB.US,D,20050307,000000,18.0485,18.3209,17.8827,17.9893,129286.16732150753,0
HIBB.US,D,20050308,000000,17.8728,17.9123,17.5422,17.6004,106750.47398389927,0
HIBB.US,D,20050309,000000,17.4938,17.8343,17.2401,17.3487,174473.05411094154,0
HIBB.US,D,20050310,000000,18.1649,19.2734,18.1649,18.8657,1002119.5172864724,0
HIBB.US,D,20050311,000000,19.0019,19.1965,18.8559,19.0019,340907.7055360726,0
HIBB.US,D,20050314,000000,19.225,19.6732,19.1678,19.5951,376354.0826933703,0
HIBB.US,D,20050315,000000,19.683,19.9455,19.4688,19.8488,267358.44859454554,0
HIBB.US,D,20050316,000000,19.9653,20.364,19.8488,20.2002,370771.5771729627,0
HIBB.US,D,20050317,000000,20.2762,20.2762,19.7215,19.7215,276079.72037668206,0
HIBB.US,D,20050318,000000,19.6149,19.9554,19.6149,19.8488,520430.34358779073,0
HIBB.US,D,20050321,000000,19.9258,19.9357,19.7313,19.8774,236568.5497261399,0
HIBB.US,D,20050322,000000,19.9357,19.9653,19.528,19.5853,165343.47929346235,0
HIBB.US,D,20050323,000000,19.4402,19.528,18.7493,18.8282,504316.05133698846,0
HIBB.US,D,20050324,000000,18.7493,19.1381,18.5164,18.5726,410458.02431262686,0
HIBB.US,D,20050328,000000,18.8085,20.0048,18.5627,19.8961,349627.96415932133,0
HIBB.US,D,20050329,000000,20.0225,20.364,19.8202,19.9159,404114.63646086707,0
HIBB.US,D,20050330,000000,19.8587,20.1507,19.4786,19.6248,355844.70714900707,0
HIBB.US,D,20050331,000000,19.4984,19.8103,19.2349,19.4886,363850.68875012564,0
HIBB.US,D,20050401,000000,19.6248,19.6248,19.1095,19.4303,274935.86398239405,0
HIBB.US,D,20050404,000000,19.3524,19.7313,19.2833,19.3327,265936.98666258034,0
