<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HMPT.US,D,20210129,000000,8.99575,10.6173,8.48031,10.6074,6619670.9451269,0
HMPT.US,D,20210201,000000,9.97934,11.0248,9.88537,10.4017,809953.84616265,0
HMPT.US,D,20210202,000000,10.4383,10.917,9.81118,10.8419,712299.38462313,0
HMPT.US,D,20210203,000000,10.6539,10.8883,9.92395,10.6826,670252.35165564,0
HMPT.US,D,20210204,000000,10.6826,10.7568,10.3077,10.5985,617990.285721,0
HMPT.US,D,20210205,000000,10.4106,11.1702,10.4106,10.917,742984.923085,0
HMPT.US,D,20210208,000000,10.917,11.0199,10.5985,10.6727,428730.10989477,0
HMPT.US,D,20210209,000000,10.5609,10.7756,10.5422,10.6826,340790.24176195,0
HMPT.US,D,20210210,000000,10.6539,10.7667,10.0733,10.7667,521621.80220347,0
HMPT.US,D,20210211,000000,10.7568,11.6391,10.4947,11.6104,494729.49451087,0
HMPT.US,D,20210212,000000,11.2632,12.3226,11.2632,12.191,732255.29671126,0
HMPT.US,D,20210216,000000,12.1337,12.1337,10.8231,11.2444,336895.91209157,0
HMPT.US,D,20210217,000000,11.1702,11.7845,11.104,11.2256,108119.20879238,0
HMPT.US,D,20210218,000000,11.2078,11.3206,11.1505,11.2444,123904.79121014,0
HMPT.US,D,20210219,000000,11.3107,11.4601,11.01,11.2444,195051.12088124,0
HMPT.US,D,20210222,000000,11.0664,11.1416,10.1198,10.8132,421641.05494964,0
HMPT.US,D,20210223,000000,10.7756,11.5164,10.5985,11.1505,755835.60440382,0
HMPT.US,D,20210224,000000,11.3503,11.7133,11.104,11.2256,403773.84615823,0
HMPT.US,D,20210225,000000,11.3384,11.376,10.9071,11.282,153151.69230936,0
HMPT.US,D,20210226,000000,11.282,11.3562,10.917,11.2355,221406.593409,0
HMPT.US,D,20210301,000000,11.3661,11.4225,10.8616,11.1881,221424.7912112,0
HMPT.US,D,20210302,000000,11.1881,11.3206,10.7756,11.1604,194932.83516695,0
HMPT.US,D,20210303,000000,11.4047,11.4136,10.7291,10.8231,219064.13187051,0
HMPT.US,D,20210304,000000,10.9734,10.9734,9.37092,10.1198,439064.43956521,0
HMPT.US,D,20210305,000000,10.0258,10.3829,9.84877,10.3077,160226.59340834,0
HMPT.US,D,20210308,000000,10.4947,10.9536,10.1485,10.373,139743.95604548,0
HMPT.US,D,20210309,000000,10.2326,10.8696,10.2326,10.8616,107281.09890226,0
HMPT.US,D,20210310,000000,10.7756,11.2157,10.6628,10.832,250258.19780492,0
HMPT.US,D,20210311,000000,10.8231,11.3107,10.2978,10.7954,229801.84615634,0
HMPT.US,D,20210312,000000,10.7291,10.9022,10.3265,10.5422,130888.70329813,0
HMPT.US,D,20210315,000000,10.7756,10.9823,10.4195,10.832,200050.46154064,0
HMPT.US,D,20210316,000000,10.8419,11.1317,10.467,10.6678,70783.384616154,0
HMPT.US,D,20210317,000000,10.8785,10.917,10.4897,10.8883,62432.615385294,0
HMPT.US,D,20210318,000000,10.8785,10.8972,10.1198,10.2326,132217.14285858,0
HMPT.US,D,20210319,000000,10.4284,10.6173,9.95065,9.99813,943937.18682345,0
HMPT.US,D,20210322,000000,10.0357,10.0357,9.28596,9.4917,363506.1538501,0
HMPT.US,D,20210323,000000,9.42641,10.0258,9.42641,9.67073,155805.53846323,0
HMPT.US,D,20210324,000000,9.73502,9.99813,9.52038,9.64204,130901.84615527,0
HMPT.US,D,20210325,000000,9.48279,9.48279,8.99575,9.18309,273098.46154143,0
HMPT.US,D,20210326,000000,9.155,9.22997,8.57398,8.98635,230940.21978273,0
HMPT.US,D,20210329,000000,9.04263,9.18309,8.60217,8.63966,139050.41758393,0
HMPT.US,D,20210330,000000,8.74263,8.81444,8.63026,8.73343,111390.76923198,0
HMPT.US,D,20210331,000000,8.78021,9.09862,8.55529,8.71454,81354.28571517,0
HMPT.US,D,20210401,000000,8.68654,9.27646,8.68654,9.08942,213680.61538694,0
HMPT.US,D,20210405,000000,9.18309,9.36123,9.00514,9.20198,114493.49450674,0
HMPT.US,D,20210406,000000,9.28596,9.36123,9.04273,9.20198,157407.95604567,0
HMPT.US,D,20210407,000000,9.22997,9.31434,8.96756,9.05183,153470.15384782,0
HMPT.US,D,20210408,000000,9.08942,9.22997,8.93007,9.1363,70764.175824945,0
HMPT.US,D,20210409,000000,9.1363,9.25816,9.01434,9.1456,70907.736264507,0
HMPT.US,D,20210412,000000,9.18309,9.35045,9.11751,9.23976,85316.351649279,0
HMPT.US,D,20210413,000000,9.19248,9.29575,9.02374,9.21167,101974.41758353,0
HMPT.US,D,20210414,000000,9.155,9.38853,9.08942,9.31434,62350.725275403,0
HMPT.US,D,20210415,000000,9.37092,9.47389,9.17369,9.41652,134484.79121025,0
HMPT.US,D,20210416,000000,9.42641,9.67963,9.25816,9.48279,89444.219781192,0
HMPT.US,D,20210419,000000,9.39872,9.53917,9.28497,9.5006,47936.043956565,0
HMPT.US,D,20210420,000000,9.46499,9.53917,9.22522,9.29575,67164.043956774,0
HMPT.US,D,20210421,000000,9.1363,9.24847,8.62077,9.12681,176149.67033158,0
HMPT.US,D,20210422,000000,9.10811,9.12433,8.89258,8.92067,133016.83516628,0
HMPT.US,D,20210423,000000,8.8364,9.25322,8.8364,9.07062,73990.241759046,0
HMPT.US,D,20210426,000000,9.06123,9.19248,8.95747,9.09871,47161.626374139,0
HMPT.US,D,20210427,000000,9.08002,9.09871,8.9723,9.02374,63186.8131875,0
HMPT.US,D,20210428,000000,8.99575,9.33284,8.90198,9.27646,117947.03296831,0
HMPT.US,D,20210429,000000,9.36123,9.37973,8.90198,8.96756,181476.57143054,0
HMPT.US,D,20210430,000000,8.81948,9.16439,8.73343,9.1363,159102.3736281,0
HMPT.US,D,20210503,000000,9.1363,9.27646,8.81058,9.18309,152991.95604562,0
HMPT.US,D,20210504,000000,9.12681,9.12681,8.76142,8.84579,86324.307693246,0
HMPT.US,D,20210505,000000,8.80831,8.8996,8.56458,8.78951,78725.71428657,0
HMPT.US,D,20210506,000000,8.88328,8.88328,6.80433,7.23401,765372.26374458,0
HMPT.US,D,20210507,000000,6.9435,6.9435,6.1517,6.18454,1071124.6593523,0
HMPT.US,D,20210510,000000,6.34379,6.43617,5.62242,5.6878,548362.46154442,0
HMPT.US,D,20210511,000000,5.60362,5.66178,5.25693,5.51925,373161.09890515,0
HMPT.US,D,20210512,000000,5.43488,5.61292,5.21934,5.44437,292800.6153878,0
HMPT.US,D,20210513,000000,5.50985,5.71124,5.40678,5.60362,278756.967036,0
HMPT.US,D,20210514,000000,5.60362,6.08137,5.59422,6.06278,203615.20879342,0
HMPT.US,D,20210517,000000,6.03459,6.09077,5.81905,5.95971,171567.86813373,0
HMPT.US,D,20210518,000000,5.91282,6.06278,5.86594,5.92212,127264.30769369,0
HMPT.US,D,20210519,000000,5.80966,6.06278,5.6785,5.83785,166678.72527654,0
HMPT.US,D,20210520,000000,5.84724,5.89393,5.6785,5.89393,118762.90110019,0
HMPT.US,D,20210521,000000,5.95031,5.95031,5.76287,5.88463,79907.560440429,0
HMPT.US,D,20210524,000000,5.87534,5.91282,5.6785,5.86594,110170.5054957,0
HMPT.US,D,20210525,000000,5.92212,6.00649,5.74823,5.84724,98975.8241769,0
HMPT.US,D,20210526,000000,5.84724,6.09077,5.82845,5.9877,122350.90110023,0
HMPT.US,D,20210527,000000,5.9972,6.10026,5.82845,5.94082,132588.17582562,0
HMPT.US,D,20210528,000000,5.81905,6.04378,5.80966,5.9877,105066.02197916,0
HMPT.US,D,20210601,000000,5.9972,6.06278,5.88463,5.9972,100288.08791318,0
HMPT.US,D,20210602,000000,6.00649,6.15645,5.94082,6.11886,131676.2637377,0
HMPT.US,D,20210603,000000,6.15645,6.32509,6.00649,6.20333,289079.16483831,0
HMPT.US,D,20210604,000000,6.20333,6.26891,6.02044,6.07207,112756.61538584,0
HMPT.US,D,20210607,000000,6.09077,6.16574,5.93152,6.08137,112713.14285837,0
HMPT.US,D,20210608,000000,6.11886,6.36258,6.00649,6.21263,125777.14285851,0
HMPT.US,D,20210609,000000,6.16574,6.56872,6.09077,6.54992,369722.72527874,0
