<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HPLT.US,D,20211130,000000,9.79,10.1858,9.7,9.79,564999,0
HPLT.US,D,20211201,000000,9.69,9.75,9.663,9.75,1389,0
HPLT.US,D,20211206,000000,9.693,9.75,9.693,9.72,337,0
HPLT.US,D,20211207,000000,9.72,9.75,9.72,9.75,526,0
HPLT.US,D,20211208,000000,9.7,9.72,9.7,9.72,1624,0
HPLT.US,D,20211209,000000,9.72,9.8,9.72,9.8,9085,0
HPLT.US,D,20211210,000000,9.75,9.75,9.74,9.74,204205,0
HPLT.US,D,20211215,000000,9.75,9.75,9.74,9.75,813765,0
HPLT.US,D,20211217,000000,9.7462,9.7462,9.74,9.74,5601,0
HPLT.US,D,20211221,000000,9.7,9.7,9.7,9.7,1187,0
HPLT.US,D,20211222,000000,9.73,9.73,9.71,9.71,200,0
HPLT.US,D,20211228,000000,9.74,9.75,9.74,9.74,1081,0
HPLT.US,D,20211231,000000,9.67,9.67,9.67,9.67,897,0
HPLT.US,D,20220104,000000,9.69,9.69,9.69,9.69,350,0
HPLT.US,D,20220105,000000,9.695,9.695,9.69,9.69,184920,0
HPLT.US,D,20220106,000000,9.72,9.72,9.7193,9.7193,1539,0
HPLT.US,D,20220107,000000,9.7,9.7,9.7,9.7,441,0
HPLT.US,D,20220110,000000,9.7,9.7,9.7,9.7,1418,0
HPLT.US,D,20220114,000000,9.73,9.73,9.72,9.73,1040,0
HPLT.US,D,20220120,000000,9.66,9.66,9.66,9.66,400,0
HPLT.US,D,20220125,000000,9.66,9.66,9.66,9.66,4629,0
HPLT.US,D,20220126,000000,9.65,9.65,9.65,9.65,4579,0
HPLT.US,D,20220127,000000,9.65,9.65,9.65,9.65,400,0
HPLT.US,D,20220128,000000,9.7,9.7,9.685,9.685,1595,0
HPLT.US,D,20220131,000000,9.65,9.72,9.65,9.72,200327,0
HPLT.US,D,20220202,000000,9.7,9.7,9.7,9.7,1012,0
HPLT.US,D,20220203,000000,9.7,9.7,9.7,9.7,47305,0
HPLT.US,D,20220204,000000,9.7,9.7001,9.69,9.7,58786,0
HPLT.US,D,20220210,000000,9.71,9.8,9.71,9.8,391897,0
