<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HUDAR.US,D,20221228,000000,0.2,0.23,0.2,0.22,156500,0
HUDAR.US,D,20221229,000000,0.22,0.24,0.22,0.24,413894,0
HUDAR.US,D,20221230,000000,1.02,1.02,1.02,1.02,250,0
HUDAR.US,D,20230103,000000,1.35,1.35,0.18,0.18,13825,0
HUDAR.US,D,20230104,000000,0.3,0.33,0.235,0.33,52500,0
HUDAR.US,D,20230105,000000,0.33,0.33,0.26,0.2701,380660,0
HUDAR.US,D,20230106,000000,0.3,0.3,0.3,0.3,300,0
HUDAR.US,D,20230109,000000,0.25,0.25,0.22,0.22,31900,0
HUDAR.US,D,20230110,000000,0.22,0.235,0.22,0.22,123300,0
HUDAR.US,D,20230111,000000,0.22,0.22,0.22,0.22,102650,0
HUDAR.US,D,20230112,000000,0.22,0.23,0.215,0.2299,53472,0
HUDAR.US,D,20230113,000000,0.2201,0.2201,0.2201,0.2201,103,0
HUDAR.US,D,20230117,000000,0.22,0.22,0.22,0.22,80000,0
HUDAR.US,D,20230118,000000,0.29,0.39,0.27,0.39,4729,0
HUDAR.US,D,20230120,000000,0.135,0.3,0.135,0.3,1334,0
HUDAR.US,D,20230123,000000,0.2995,0.3,0.2995,0.3,401,0
HUDAR.US,D,20230124,000000,0.599,0.599,0.4,0.4,603,0
HUDAR.US,D,20230127,000000,0.4,0.4,0.4,0.4,700,0
HUDAR.US,D,20230130,000000,1.03,1.07,0.31,0.4,2900,0
HUDAR.US,D,20230131,000000,0.8574,0.8848,0.2204,0.35,8542,0
HUDAR.US,D,20230201,000000,0.4982,0.4982,0.3604,0.3604,3549,0
HUDAR.US,D,20230202,000000,0.24,0.24,0.14,0.1701,10309,0
HUDAR.US,D,20230203,000000,0.194999,0.202,0.19,0.202,61118,0
HUDAR.US,D,20230208,000000,0.22,0.22,0.22,0.22,78210,0
HUDAR.US,D,20230209,000000,0.22,0.22,0.22,0.22,100,0
HUDAR.US,D,20230214,000000,0.22,0.22,0.22,0.22,200,0
HUDAR.US,D,20230215,000000,0.24,0.25,0.24,0.24,5643,0
HUDAR.US,D,20230216,000000,0.24,0.24,0.24,0.24,3095,0
HUDAR.US,D,20230217,000000,0.24,0.2501,0.24,0.25,2900,0
HUDAR.US,D,20230221,000000,0.24,0.24,0.24,0.24,125000,0
HUDAR.US,D,20230222,000000,0.24,0.24,0.24,0.24,300,0
HUDAR.US,D,20230224,000000,0.24,0.24,0.24,0.24,4800,0
HUDAR.US,D,20230227,000000,0.25,0.25,0.25,0.25,2100,0
HUDAR.US,D,20230301,000000,0.27,0.27,0.27,0.27,101,0
HUDAR.US,D,20230302,000000,0.25,0.25,0.25,0.25,126,0
HUDAR.US,D,20230303,000000,0.2,0.2,0.2,0.2,500,0
HUDAR.US,D,20230307,000000,0.2,0.2,0.2,0.2,127,0
HUDAR.US,D,20230308,000000,0.23,0.25,0.23,0.25,2706,0
HUDAR.US,D,20230309,000000,0.1532,0.1532,0.1532,0.1532,272,0
HUDAR.US,D,20230310,000000,0.1701,0.2024,0.162,0.19,93513,0
HUDAR.US,D,20230314,000000,0.1433,0.1433,0.1433,0.1433,4629,0
HUDAR.US,D,20230315,000000,0.15,0.15,0.15,0.15,472,0
HUDAR.US,D,20230320,000000,0.1432,0.1432,0.1432,0.1432,386,0
HUDAR.US,D,20230321,000000,0.2,0.2,0.2,0.2,100,0
HUDAR.US,D,20230327,000000,0.25,0.25,0.1435,0.1725,4342,0
HUDAR.US,D,20230328,000000,0.2497,0.2497,0.1438,0.1769,4503,0
HUDAR.US,D,20230329,000000,0.2497,0.2497,0.194,0.1998,2087,0
HUDAR.US,D,20230403,000000,0.25,0.3868,0.1862,0.23,20640,0
HUDAR.US,D,20230404,000000,0.2858,0.2998,0.2211,0.241,5639,0
HUDAR.US,D,20230405,000000,0.29,0.2989,0.2199,0.22,2708,0
HUDAR.US,D,20230406,000000,0.2395,0.2395,0.22,0.22,616,0
HUDAR.US,D,20230410,000000,0.2984,0.2995,0.215,0.215,1664,0
HUDAR.US,D,20230411,000000,0.2367,0.2367,0.2367,0.2367,300,0
HUDAR.US,D,20230417,000000,0.2482,0.2716,0.2306,0.2716,900,0
HUDAR.US,D,20230418,000000,0.2813,0.2945,0.2813,0.2945,322,0
HUDAR.US,D,20230421,000000,0.1954,0.1954,0.1911,0.1911,602,0
HUDAR.US,D,20230504,000000,0.19,0.19,0.19,0.19,261,0
HUDAR.US,D,20230505,000000,0.2,0.2,0.2,0.2,501,0
HUDAR.US,D,20230509,000000,0.17,0.19,0.17,0.19,708,0
HUDAR.US,D,20230515,000000,0.19,0.19,0.19,0.19,200,0
HUDAR.US,D,20230522,000000,0.1932,0.1932,0.1894,0.1894,692,0
HUDAR.US,D,20230524,000000,0.19,0.19,0.19,0.19,133,0
HUDAR.US,D,20230525,000000,0.17,0.21,0.17,0.21,708,0
HUDAR.US,D,20230530,000000,0.2,0.2,0.2,0.2,107,0
HUDAR.US,D,20230531,000000,0.2,0.2,0.2,0.2,1700,0
HUDAR.US,D,20230606,000000,0.2,0.24,0.2,0.24,1185,0
HUDAR.US,D,20230614,000000,0.21,0.21,0.21,0.21,300,0
HUDAR.US,D,20230615,000000,0.185,0.24,0.1532,0.165,2304,0
HUDAR.US,D,20230621,000000,0.1689,0.1689,0.165,0.165,1110,0
HUDAR.US,D,20230623,000000,0.18,0.1802,0.18,0.1802,406,0
