<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IVCPW.US,D,20220215,000000,0.35,0.355,0.35,0.35,7300,0
IVCPW.US,D,20220217,000000,0.338,0.338,0.31,0.31,2600,0
IVCPW.US,D,20220222,000000,0.2701,0.31,0.2384,0.2384,2486,0
IVCPW.US,D,20220223,000000,0.1701,0.1701,0.1701,0.1701,101,0
IVCPW.US,D,20220228,000000,0.25,0.25,0.25,0.25,251,0
IVCPW.US,D,20220301,000000,0.25,0.25,0.25,0.25,112,0
IVCPW.US,D,20220304,000000,0.26,0.26,0.26,0.26,100,0
IVCPW.US,D,20220308,000000,0.24,0.24,0.24,0.24,5050,0
IVCPW.US,D,20220309,000000,0.19,0.2,0.19,0.2,78100,0
IVCPW.US,D,20220311,000000,0.2,0.2,0.2,0.2,120,0
IVCPW.US,D,20220317,000000,0.2,0.215,0.2,0.21,149068,0
IVCPW.US,D,20220331,000000,0.24495,0.24495,0.24495,0.24495,100,0
IVCPW.US,D,20220404,000000,0.25,0.28,0.25,0.28,11283,0
IVCPW.US,D,20220405,000000,0.29,0.2998,0.27,0.2998,10781,0
IVCPW.US,D,20220406,000000,0.3,0.32,0.3,0.32,1113,0
IVCPW.US,D,20220408,000000,0.325,0.34,0.3,0.325,45701,0
IVCPW.US,D,20220411,000000,0.18,0.18,0.18,0.18,505,0
IVCPW.US,D,20220412,000000,0.25,0.25,0.25,0.25,2025,0
IVCPW.US,D,20220420,000000,0.3415,0.44,0.2987,0.35,8904,0
IVCPW.US,D,20220422,000000,0.3,0.3,0.3,0.3,3160,0
IVCPW.US,D,20220425,000000,0.3,0.3,0.3,0.3,600,0
IVCPW.US,D,20220426,000000,0.35,0.35,0.35,0.35,500,0
IVCPW.US,D,20220509,000000,0.2701,0.2701,0.2701,0.2701,2145,0
IVCPW.US,D,20220512,000000,0.2801,0.2801,0.2291,0.23,1600,0
IVCPW.US,D,20220513,000000,0.2322,0.2322,0.2322,0.2322,100,0
IVCPW.US,D,20220516,000000,0.1923,0.3287,0.1923,0.26,5094,0
IVCPW.US,D,20220518,000000,0.2866,0.3049,0.2779,0.2779,714,0
IVCPW.US,D,20220519,000000,0.2135,0.2135,0.2009,0.2009,205,0
IVCPW.US,D,20220520,000000,0.3372,0.3372,0.2,0.2,3490,0
IVCPW.US,D,20220523,000000,0.162,0.267,0.1565,0.2487,9600,0
IVCPW.US,D,20220524,000000,0.2479,0.317,0.17,0.22,6606,0
IVCPW.US,D,20220525,000000,0.1679,0.22,0.163,0.22,3105,0
IVCPW.US,D,20220526,000000,0.2853,0.289,0.1833,0.1866,6402,0
IVCPW.US,D,20220527,000000,0.20995,0.20995,0.20995,0.20995,16140,0
IVCPW.US,D,20220531,000000,0.2,0.2,0.1654,0.1654,1927,0
IVCPW.US,D,20220601,000000,0.14,0.2018,0.14,0.144,1900,0
IVCPW.US,D,20220602,000000,0.2211,0.228,0.1648,0.1648,2546,0
IVCPW.US,D,20220607,000000,0.1401,0.1401,0.1401,0.1401,100,0
IVCPW.US,D,20220613,000000,0.15,0.15,0.1398,0.1398,60300,0
IVCPW.US,D,20220614,000000,0.13,0.13,0.13,0.13,640,0
IVCPW.US,D,20220615,000000,0.1565,0.1565,0.1475,0.1475,200,0
IVCPW.US,D,20220617,000000,0.08,0.0801,0.07,0.08,800,0
IVCPW.US,D,20220622,000000,0.119899,0.12,0.08,0.084,2200,0
IVCPW.US,D,20220630,000000,0.11355,0.11355,0.0871,0.0871,3725,0
IVCPW.US,D,20220706,000000,0.1,0.1,0.1,0.1,150,0
IVCPW.US,D,20220719,000000,0.12,0.12,0.07,0.08,100155,0
IVCPW.US,D,20220720,000000,0.0801,0.0801,0.08,0.0801,2100,0
IVCPW.US,D,20220721,000000,0.08,0.08,0.08,0.08,50000,0
IVCPW.US,D,20220726,000000,0.11,0.11,0.11,0.11,150000,0
IVCPW.US,D,20220830,000000,0.0901,0.0901,0.0901,0.0901,468,0
IVCPW.US,D,20220831,000000,0.1389,0.1389,0.09505,0.1,3600,0
IVCPW.US,D,20220907,000000,0.1,0.1,0.1,0.1,575,0
IVCPW.US,D,20220915,000000,0.0901,0.0901,0.09,0.0901,2100,0
IVCPW.US,D,20220919,000000,0.0974,0.1,0.09,0.0902,43359,0
IVCPW.US,D,20220920,000000,0.100101,0.1099,0.1001,0.1001,12255,0
IVCPW.US,D,20220921,000000,0.1001,0.1001,0.1001,0.1001,10000,0
IVCPW.US,D,20220923,000000,0.1,0.1,0.1,0.1,1500,0
IVCPW.US,D,20220927,000000,0.1,0.1,0.1,0.1,100001,0
IVCPW.US,D,20220930,000000,0.0504,0.0504,0.0502,0.0502,3600,0
IVCPW.US,D,20221004,000000,0.07,0.0701,0.07,0.07,125405,0
IVCPW.US,D,20221026,000000,0.07,0.075,0.07,0.075,234226,0
IVCPW.US,D,20221027,000000,0.1,0.1,0.0906,0.0906,600,0
IVCPW.US,D,20221031,000000,0.05,0.05,0.05,0.05,197,0
IVCPW.US,D,20221101,000000,0.0501,0.0501,0.0501,0.0501,1438,0
IVCPW.US,D,20221103,000000,0.0501,0.0501,0.0496,0.0501,1300,0
IVCPW.US,D,20221104,000000,0.0599,0.0599,0.0436,0.05,29423,0
IVCPW.US,D,20221107,000000,0.0553,0.0587,0.0535,0.0587,632,0
IVCPW.US,D,20221108,000000,0.1003,0.1003,0.1003,0.1003,182,0
IVCPW.US,D,20221109,000000,0.09,0.09,0.09,0.09,1629,0
IVCPW.US,D,20221110,000000,0.08,0.08,0.0304,0.0304,141290,0
IVCPW.US,D,20221114,000000,0.05,0.09,0.05,0.08,6911,0
IVCPW.US,D,20221117,000000,0.08,0.08,0.07,0.07,448,0
IVCPW.US,D,20221128,000000,0.032,0.05,0.032,0.05,400,0
IVCPW.US,D,20221129,000000,0.07,0.07,0.05,0.05,50410,0
IVCPW.US,D,20221205,000000,0.03,0.03,0.03,0.03,5055,0
IVCPW.US,D,20221206,000000,0.0301,0.0301,0.0301,0.0301,458,0
IVCPW.US,D,20221207,000000,0.04,0.0401,0.03,0.0401,127209,0
IVCPW.US,D,20221213,000000,0.05,0.05,0.05,0.05,200,0
IVCPW.US,D,20221214,000000,0.04,0.05,0.04,0.05,7950,0
IVCPW.US,D,20221216,000000,0.05,0.05,0.04,0.04,566,0
IVCPW.US,D,20221219,000000,0.04,0.04,0.04,0.04,100063,0
IVCPW.US,D,20221222,000000,0.03,0.0401,0.03,0.0401,1950,0
IVCPW.US,D,20221227,000000,0.0409,0.44,0.0409,0.1237,41191,0
IVCPW.US,D,20221228,000000,0.2,0.3834,0.1455,0.16,17855,0
IVCPW.US,D,20221229,000000,0.14,0.14,0.1014,0.119,716,0
IVCPW.US,D,20221230,000000,0.07,0.0734,0.0699,0.0734,1558,0
IVCPW.US,D,20230103,000000,0.0411,0.0411,0.0401,0.0401,875,0
IVCPW.US,D,20230105,000000,0.0411,0.0411,0.03,0.03,4100,0
IVCPW.US,D,20230109,000000,0.05,0.05,0.05,0.05,12108,0
IVCPW.US,D,20230110,000000,0.0508,0.0583,0.0501,0.051,10702,0
IVCPW.US,D,20230111,000000,0.06,0.0757,0.06,0.06,10463,0
IVCPW.US,D,20230113,000000,0.0601,0.0601,0.0601,0.0601,1291,0
IVCPW.US,D,20230117,000000,0.07,0.0997,0.0641,0.08,4616,0
IVCPW.US,D,20230118,000000,0.1,0.2507,0.0873,0.0873,32775,0
IVCPW.US,D,20230120,000000,0.2299,0.2299,0.07,0.11,9631,0
IVCPW.US,D,20230123,000000,0.1001,0.1001,0.0701,0.0701,1414,0
IVCPW.US,D,20230125,000000,0.0709,0.0709,0.0701,0.0701,3963,0
IVCPW.US,D,20230126,000000,0.0703,0.0703,0.0701,0.0701,2756,0
IVCPW.US,D,20230130,000000,0.0894,0.2727,0.0821,0.0821,6227,0
IVCPW.US,D,20230131,000000,0.12,0.2025,0.0922,0.14,8358,0
IVCPW.US,D,20230201,000000,0.14,0.14,0.0701,0.0844,15134,0
IVCPW.US,D,20230202,000000,0.1344,0.1344,0.0798,0.0802,3581,0
IVCPW.US,D,20230203,000000,0.075,0.0801,0.075,0.0801,16400,0
IVCPW.US,D,20230206,000000,0.0801,0.1098,0.0801,0.0803,1652,0
IVCPW.US,D,20230208,000000,0.104,0.1054,0.0804,0.0804,1700,0
IVCPW.US,D,20230209,000000,0.0801,0.0801,0.08,0.08,1655,0
IVCPW.US,D,20230215,000000,0.0901,0.0901,0.09,0.0901,29894,0
IVCPW.US,D,20230221,000000,0.0921,0.1037,0.0921,0.102,4706,0
IVCPW.US,D,20230222,000000,0.10255,0.115,0.10255,0.115,891,0
IVCPW.US,D,20230223,000000,0.1128,0.114,0.0901,0.0901,2306,0
IVCPW.US,D,20230224,000000,0.0949,0.0949,0.0901,0.0901,900,0
IVCPW.US,D,20230302,000000,0.0901,0.0901,0.0901,0.0901,976,0
IVCPW.US,D,20230306,000000,0.0924,0.1,0.0924,0.0992,10906,0
IVCPW.US,D,20230308,000000,0.1102,0.1191,0.0952,0.1185,4104,0
IVCPW.US,D,20230309,000000,0.1696,0.1696,0.1164,0.1164,4202,0
IVCPW.US,D,20230310,000000,0.1,0.1272,0.0907,0.1248,2490,0
IVCPW.US,D,20230313,000000,0.1,0.1,0.1,0.1,200,0
IVCPW.US,D,20230321,000000,0.1179,0.1179,0.11,0.11,403,0
IVCPW.US,D,20230324,000000,0.1028,0.1515,0.1004,0.1113,3738,0
IVCPW.US,D,20230330,000000,0.1307,0.1307,0.1195,0.1222,844,0
IVCPW.US,D,20230404,000000,0.1046,0.1046,0.1046,0.1046,200,0
IVCPW.US,D,20230412,000000,0.1001,0.1001,0.1001,0.1001,2646,0
IVCPW.US,D,20230418,000000,0.1016,0.1016,0.1001,0.1001,1710,0
IVCPW.US,D,20230419,000000,0.1001,0.1001,0.1,0.1001,5139,0
IVCPW.US,D,20230421,000000,0.1001,0.1001,0.1001,0.1001,103,0
IVCPW.US,D,20230424,000000,0.1137,0.1401,0.1099,0.1401,57047,0
IVCPW.US,D,20230425,000000,0.1111,0.1926,0.1098,0.172,6100,0
IVCPW.US,D,20230426,000000,0.25,0.25,0.12,0.13,2500,0
IVCPW.US,D,20230427,000000,0.13,0.1489,0.129,0.1351,20901,0
IVCPW.US,D,20230428,000000,0.1492,0.149698,0.1003,0.12,4848,0
IVCPW.US,D,20230501,000000,0.13,0.13,0.100432,0.1054,25595,0
IVCPW.US,D,20230502,000000,0.1197,0.2307,0.0835,0.0968,102207,0
IVCPW.US,D,20230503,000000,0.110791,0.1109,0.1099,0.1109,502,0
IVCPW.US,D,20230504,000000,0.126,0.127,0.1001,0.1001,26970,0
IVCPW.US,D,20230505,000000,0.1485,0.1486,0.1001,0.1001,4613,0
IVCPW.US,D,20230509,000000,0.1001,0.1001,0.1,0.1,342457,0
IVCPW.US,D,20230510,000000,0.0845,0.0878,0.0353,0.0878,6466,0
IVCPW.US,D,20230511,000000,0.1473,0.149,0.0355,0.0745,17455,0
IVCPW.US,D,20230512,000000,0.0969,0.2382,0.0969,0.14,23122,0
IVCPW.US,D,20230515,000000,0.1403,0.1403,0.14,0.14,300,0
IVCPW.US,D,20230516,000000,0.154,0.154,0.154,0.154,109,0
IVCPW.US,D,20230518,000000,0.1132,0.1649,0.0919,0.0978,3228,0
IVCPW.US,D,20230519,000000,0.111,0.111,0.111,0.111,120,0
IVCPW.US,D,20230523,000000,0.138,0.138,0.1172,0.1172,924,0
IVCPW.US,D,20230524,000000,0.1,0.1,0.1,0.1,368,0
IVCPW.US,D,20230525,000000,0.0377,0.099,0.0352,0.0708,10701,0
IVCPW.US,D,20230526,000000,0.0443,0.0503,0.0443,0.0503,1001,0
IVCPW.US,D,20230530,000000,0.0629,0.0699,0.0305,0.0679,5039,0
IVCPW.US,D,20230531,000000,0.0503,0.0674,0.0311,0.0674,1600,0
IVCPW.US,D,20230601,000000,0.041301,0.041301,0.0413,0.0413,798,0
IVCPW.US,D,20230605,000000,0.0332,0.0585,0.0332,0.0352,3355,0
IVCPW.US,D,20230606,000000,0.04,0.04,0.04,0.04,200,0
IVCPW.US,D,20230612,000000,0.05,0.0501,0.05,0.0501,3000,0
IVCPW.US,D,20230613,000000,0.045,0.1569,0.0449,0.0634,27688,0
IVCPW.US,D,20230614,000000,0.0953,0.1595,0.0555,0.0923,36217,0
IVCPW.US,D,20230615,000000,0.1057,0.1214,0.077,0.0971,10610,0
IVCPW.US,D,20230616,000000,0.0717,0.16,0.0502,0.1598,25745,0
