<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JAQCU.US,D,20210816,000000,9.7,9.8,9.7,9.78,513449,0
JAQCU.US,D,20210817,000000,9.79,9.79,9.77,9.77,33105,0
JAQCU.US,D,20210818,000000,9.77,9.8,9.75,9.8,913530,0
JAQCU.US,D,20210819,000000,9.77,9.81,9.77,9.8,130634,0
JAQCU.US,D,20210820,000000,9.77,9.79,9.77,9.79,10100,0
JAQCU.US,D,20210823,000000,9.75,9.7896,9.7477,9.77,516645,0
JAQCU.US,D,20210824,000000,9.79,9.79,9.76,9.76,1548,0
JAQCU.US,D,20210825,000000,9.75,9.79,9.75,9.79,202139,0
JAQCU.US,D,20210826,000000,9.8,9.8,9.78,9.79,16082,0
JAQCU.US,D,20210827,000000,9.8,9.8,9.8,9.8,1503,0
JAQCU.US,D,20210830,000000,9.82,9.82,9.785,9.79,3972,0
JAQCU.US,D,20210831,000000,9.8,9.81,9.79,9.81,3115,0
JAQCU.US,D,20210901,000000,9.77,9.8,9.77,9.78,16156,0
JAQCU.US,D,20210902,000000,9.77,9.79,9.75,9.79,26415,0
JAQCU.US,D,20210903,000000,9.76,9.78,9.75,9.76,32742,0
JAQCU.US,D,20210907,000000,9.78,9.78,9.76,9.77,7815,0
JAQCU.US,D,20210908,000000,9.77,9.81,9.77,9.8,100088,0
JAQCU.US,D,20210909,000000,9.8,9.81,9.79,9.81,35487,0
JAQCU.US,D,20210910,000000,9.8,9.8,9.79,9.79,301007,0
JAQCU.US,D,20210913,000000,9.78,9.79,9.77,9.78,4986,0
JAQCU.US,D,20210914,000000,9.76,9.78,9.76,9.78,7995,0
JAQCU.US,D,20210915,000000,9.77,9.78,9.77,9.77,1369,0
JAQCU.US,D,20210916,000000,9.78,9.8,9.78,9.8,159975,0
JAQCU.US,D,20210917,000000,9.8148,9.82,9.8,9.82,32549,0
JAQCU.US,D,20210920,000000,9.79,9.79,9.79,9.79,24466,0
