<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LGVC.US,D,20220106,000000,9.86,9.9,9.83,9.83,3802,0
LGVC.US,D,20220107,000000,9.84,9.87,9.83,9.87,61551,0
LGVC.US,D,20220110,000000,10.1899,10.1899,9.84,9.84,107736,0
LGVC.US,D,20220111,000000,9.84,9.84,9.83,9.83,63672,0
LGVC.US,D,20220112,000000,9.83,9.83,9.83,9.83,5202,0
LGVC.US,D,20220119,000000,9.83,9.83,9.83,9.83,4900,0
LGVC.US,D,20220120,000000,9.82,9.82,9.82,9.82,100001,0
LGVC.US,D,20220121,000000,9.84,9.84,9.81,9.82,14235,0
LGVC.US,D,20220124,000000,9.83,9.83,9.83,9.83,61370,0
LGVC.US,D,20220126,000000,9.81,9.84,9.81,9.84,173143,0
LGVC.US,D,20220127,000000,9.82,9.83,9.82,9.82,12100,0
LGVC.US,D,20220131,000000,9.82,9.82,9.81,9.81,273988,0
LGVC.US,D,20220201,000000,10.005,10.005,9.88,9.88,7602,0
LGVC.US,D,20220203,000000,9.82,9.82,9.82,9.82,100,0
LGVC.US,D,20220207,000000,9.83,9.85,9.83,9.85,5004,0
LGVC.US,D,20220208,000000,9.85,9.85,9.85,9.85,13233,0
LGVC.US,D,20220209,000000,9.84,9.84,9.84,9.84,57547,0
LGVC.US,D,20220211,000000,9.9,9.9,9.9,9.9,101,0
LGVC.US,D,20220216,000000,9.89,9.89,9.84,9.84,2928,0
LGVC.US,D,20220222,000000,9.85,9.85,9.85,9.85,103,0
LGVC.US,D,20220223,000000,9.89,9.89,9.85,9.89,35979,0
LGVC.US,D,20220224,000000,9.84,9.86,9.84,9.84,2981,0
LGVC.US,D,20220225,000000,9.89,9.89,9.85,9.87,35575,0
LGVC.US,D,20220228,000000,9.87,9.87,9.87,9.87,114958,0
LGVC.US,D,20220301,000000,9.89,9.91,9.89,9.9,175277,0
LGVC.US,D,20220302,000000,9.88,9.89,9.88,9.89,23022,0
LGVC.US,D,20220303,000000,9.89,9.89,9.89,9.89,312,0
LGVC.US,D,20220307,000000,9.9,9.91,9.9,9.9,162981,0
LGVC.US,D,20220308,000000,9.9,9.9,9.885,9.9,51430,0
LGVC.US,D,20220309,000000,9.87,9.9,9.86,9.9,22951,0
LGVC.US,D,20220310,000000,9.9,9.9,9.89,9.89,21962,0
LGVC.US,D,20220311,000000,9.91,9.91,9.9,9.91,143524,0
LGVC.US,D,20220315,000000,9.92,9.92,9.92,9.92,250801,0
LGVC.US,D,20220316,000000,9.905,9.91,9.905,9.91,2800,0
LGVC.US,D,20220317,000000,9.94,9.94,9.94,9.94,300,0
LGVC.US,D,20220318,000000,9.95,9.95,9.925,9.925,3333,0
LGVC.US,D,20220321,000000,9.93,9.93,9.92,9.92,212343,0
LGVC.US,D,20220322,000000,9.93,9.93,9.84,9.84,52527,0
LGVC.US,D,20220323,000000,9.89,9.95,9.89,9.95,152647,0
LGVC.US,D,20220325,000000,9.92,9.92,9.92,9.92,100,0
LGVC.US,D,20220331,000000,9.93,9.93,9.93,9.93,50040,0
LGVC.US,D,20220404,000000,9.93,9.94,9.93,9.94,306361,0
LGVC.US,D,20220405,000000,9.935,9.94,9.93,9.94,6508,0
LGVC.US,D,20220406,000000,9.94,9.94,9.94,9.94,400,0
LGVC.US,D,20220414,000000,9.95,9.95,9.95,9.95,600,0
LGVC.US,D,20220418,000000,9.95,9.95,9.95,9.95,116,0
LGVC.US,D,20220425,000000,9.96,9.96,9.9446,9.9446,81900,0
LGVC.US,D,20220426,000000,9.94,9.96,9.94,9.94,104717,0
LGVC.US,D,20220427,000000,9.95,9.95,9.93,9.94,200800,0
LGVC.US,D,20220428,000000,9.95,9.96,9.95,9.96,337502,0
LGVC.US,D,20220502,000000,9.96,9.96,9.96,9.96,2491,0
LGVC.US,D,20220504,000000,9.95,9.95,9.94,9.94,64013,0
LGVC.US,D,20220505,000000,9.96,9.96,9.95,9.95,1557,0
LGVC.US,D,20220506,000000,9.94,9.95,9.94,9.95,32457,0
LGVC.US,D,20220518,000000,9.95,9.95,9.95,9.95,117,0
LGVC.US,D,20220523,000000,9.9,9.9,9.9,9.9,26550,0
LGVC.US,D,20220524,000000,9.91,9.91,9.9,9.91,23692,0
LGVC.US,D,20220601,000000,9.93,9.93,9.92,9.92,496,0
LGVC.US,D,20220602,000000,9.91,9.93,9.91,9.93,10201,0
LGVC.US,D,20220603,000000,9.98,9.98,9.98,9.98,103,0
LGVC.US,D,20220607,000000,9.9,9.9,9.9,9.9,100,0
LGVC.US,D,20220608,000000,9.93,9.93,9.93,9.93,102,0
LGVC.US,D,20220614,000000,9.93,9.93,9.92,9.92,14690,0
LGVC.US,D,20220616,000000,9.93,9.94,9.93,9.94,702,0
LGVC.US,D,20220617,000000,9.92,9.93,9.92,9.93,12069,0
LGVC.US,D,20220621,000000,9.93,9.93,9.93,9.93,54000,0
LGVC.US,D,20220622,000000,9.95,9.95,9.95,9.95,43641,0
LGVC.US,D,20220630,000000,9.94,9.96,9.94,9.96,50784,0
LGVC.US,D,20220707,000000,9.95,9.95,9.95,9.95,250,0
LGVC.US,D,20220708,000000,9.96,9.96,9.96,9.96,100000,0
LGVC.US,D,20220711,000000,9.95,9.95,9.95,9.95,260918,0
LGVC.US,D,20220713,000000,9.96,9.97,9.96,9.97,27601,0
LGVC.US,D,20220715,000000,9.96,9.98,9.95,9.98,37789,0
LGVC.US,D,20220718,000000,9.97,9.97,9.96,9.96,60100,0
LGVC.US,D,20220719,000000,9.965,9.965,9.965,9.965,200,0
LGVC.US,D,20220720,000000,9.965,9.965,9.965,9.965,100,0
LGVC.US,D,20220721,000000,9.97,10.01,9.97,10.01,500190,0
LGVC.US,D,20220722,000000,9.99,9.99,9.99,9.99,300,0
LGVC.US,D,20220725,000000,9.97,10,9.97,10,13460,0
LGVC.US,D,20220727,000000,9.99,10.005,9.99,10,203830,0
LGVC.US,D,20220728,000000,10.005,10.005,10,10.005,10500,0
LGVC.US,D,20220729,000000,9.99,10,9.99,9.99,28066,0
LGVC.US,D,20220801,000000,10.01,10.01,9.99,10,106062,0
LGVC.US,D,20220803,000000,9.99,9.99,9.99,9.99,1718,0
LGVC.US,D,20220809,000000,9.99,10.005,9.99,10.005,127401,0
LGVC.US,D,20220810,000000,10.005,10.02,10.005,10.02,550140,0
LGVC.US,D,20220817,000000,9.99,9.99,9.99,9.99,4650,0
LGVC.US,D,20220819,000000,9.99,10.01,9.99,10.01,1506,0
LGVC.US,D,20220822,000000,10.015,10.015,10.015,10.015,441,0
LGVC.US,D,20220823,000000,10,10.01,10,10.01,33780,0
LGVC.US,D,20220826,000000,10,10,10,10,1201,0
LGVC.US,D,20220830,000000,10.02,10.02,10.02,10.02,102,0
LGVC.US,D,20220901,000000,10.02,10.05,10.01,10.05,20205,0
LGVC.US,D,20220906,000000,10.03,10.04,10.03,10.04,2493,0
LGVC.US,D,20220907,000000,10.03,10.04,10.03,10.03,432214,0
LGVC.US,D,20220908,000000,10.03,10.05,10.03,10.05,1414,0
LGVC.US,D,20220909,000000,10.03,10.04,10.03,10.04,8433,0
LGVC.US,D,20220914,000000,10.04,10.04,10.035,10.035,5002,0
LGVC.US,D,20220915,000000,10.04,10.04,10.04,10.04,100,0
LGVC.US,D,20220916,000000,10.04,10.04,10.04,10.04,6080,0
LGVC.US,D,20220919,000000,10.05,10.05,10.05,10.05,8400,0
LGVC.US,D,20220921,000000,10.05,10.065,10.04,10.06,278400,0
LGVC.US,D,20220922,000000,10.06,10.08,10.06,10.08,20502,0
LGVC.US,D,20220923,000000,10.07,10.07,10.07,10.07,200,0
LGVC.US,D,20220926,000000,10.06,10.06,10.06,10.06,299699,0
LGVC.US,D,20220927,000000,10.05,10.06,10.05,10.06,7467,0
LGVC.US,D,20220928,000000,10.1,10.1,10.06,10.07,17337,0
LGVC.US,D,20220929,000000,10.08,10.08,10.08,10.08,201,0
LGVC.US,D,20220930,000000,10.08,10.09,10.08,10.09,1834,0
LGVC.US,D,20221003,000000,10.09,10.09,10.03,10.03,46644,0
LGVC.US,D,20221004,000000,10.03,10.03,10.03,10.03,50035,0
LGVC.US,D,20221005,000000,10.14,10.71,10.04,10.1,26385,0
LGVC.US,D,20221006,000000,10.105,10.105,10.095,10.1,4166,0
LGVC.US,D,20221010,000000,10.05,10.06,10.05,10.06,376365,0
LGVC.US,D,20221011,000000,10.0654,10.075,10.0654,10.075,5614,0
LGVC.US,D,20221013,000000,10.07,10.07,10.07,10.07,7040,0
LGVC.US,D,20221018,000000,10.07,10.07,10.06,10.07,404962,0
LGVC.US,D,20221019,000000,10.07,10.08,10.07,10.08,13244,0
LGVC.US,D,20221020,000000,10.09,10.13,10.09,10.1,7637,0
LGVC.US,D,20221021,000000,10.1,10.1,10.1,10.1,3525,0
LGVC.US,D,20221024,000000,10.1,10.1,10.1,10.1,4401,0
LGVC.US,D,20221031,000000,10.13,10.13,10.13,10.13,502,0
LGVC.US,D,20221101,000000,10.135,10.135,10.135,10.135,1000,0
LGVC.US,D,20221102,000000,10.14,10.16,10.14,10.16,20873,0
LGVC.US,D,20221108,000000,10.14,10.14,10.14,10.14,616362,0
LGVC.US,D,20221111,000000,10.16,10.16,10.16,10.16,100101,0
LGVC.US,D,20221121,000000,10.185,10.185,10.18,10.18,200,0
LGVC.US,D,20221122,000000,10.185,10.185,10.18,10.185,7710,0
LGVC.US,D,20221123,000000,10.18,10.19,10.18,10.185,87970,0
LGVC.US,D,20221125,000000,10.185,10.19,10.185,10.19,32662,0
LGVC.US,D,20221128,000000,10.185,10.2,10.18,10.2,368238,0
LGVC.US,D,20221129,000000,10.2,10.2,10.2,10.2,22880,0
LGVC.US,D,20221130,000000,10.2,10.2,10.2,10.2,25406,0
LGVC.US,D,20221201,000000,10.2,10.2,10.2,10.2,6494,0
LGVC.US,D,20221202,000000,10.2001,10.21,10.2001,10.21,2398,0
LGVC.US,D,20221206,000000,10.21,10.21,10.205,10.21,8200,0
LGVC.US,D,20221207,000000,10.21,10.21,10.21,10.21,52824,0
LGVC.US,D,20221208,000000,10.25,10.25,10.21,10.21,1244,0
LGVC.US,D,20221212,000000,10.22,10.22,10.22,10.22,5100,0
LGVC.US,D,20221213,000000,10.23,10.23,10.23,10.23,100000,0
LGVC.US,D,20221214,000000,10.235,10.235,10.23,10.23,33038,0
LGVC.US,D,20221215,000000,10.235,10.24,10.235,10.24,45000,0
LGVC.US,D,20221216,000000,10.24,10.24,10.24,10.24,38389,0
LGVC.US,D,20221219,000000,10.2401,10.2401,10.2401,10.2401,100,0
LGVC.US,D,20221221,000000,10.2704,10.29,10.24,10.24,450,0
LGVC.US,D,20221223,000000,10.24,10.24,10.24,10.24,110,0
LGVC.US,D,20221227,000000,10.25,10.25,10.25,10.25,102,0
LGVC.US,D,20221228,000000,10.3,10.3,10.26,10.26,252,0
LGVC.US,D,20221229,000000,10.25,10.25,10.25,10.25,2400,0
LGVC.US,D,20230103,000000,10.25,10.25,10.25,10.25,40017,0
LGVC.US,D,20230104,000000,10.25,10.25,10.25,10.25,1948,0
LGVC.US,D,20230105,000000,10.2643,10.27,10.2643,10.27,1820,0
LGVC.US,D,20230109,000000,10.29,10.29,10.29,10.29,103,0
LGVC.US,D,20230110,000000,10.3,10.3,10.3,10.3,510,0
LGVC.US,D,20230111,000000,10.305,10.305,10.3,10.3,513642,0
LGVC.US,D,20230112,000000,10.31,10.31,10.3,10.3,7905,0
LGVC.US,D,20230113,000000,10.3,10.32,10.3,10.31,8110,0
LGVC.US,D,20230117,000000,10.26,10.26,10.26,10.26,101,0
LGVC.US,D,20230119,000000,10.31,10.325,10.31,10.325,50117,0
LGVC.US,D,20230120,000000,10.34,10.535,10.315,10.32,2288284,0
LGVC.US,D,20230123,000000,10.32,10.325,10.32,10.32,2179775,0
LGVC.US,D,20230124,000000,10.32,10.33,10.32,10.32,109981,0
LGVC.US,D,20230125,000000,10.33,10.33,10.33,10.33,28319,0
LGVC.US,D,20230126,000000,10.33,10.33,10.33,10.33,1188,0
LGVC.US,D,20230127,000000,10.34,10.34,10.34,10.34,11590,0
LGVC.US,D,20230130,000000,10.34,10.36,10.34,10.34,20148,0
LGVC.US,D,20230131,000000,10.36,10.36,10.345,10.345,231792,0
LGVC.US,D,20230201,000000,10.36,10.36,10.34,10.34,110499,0
LGVC.US,D,20230207,000000,10.34,10.36,10.34,10.36,7101,0
LGVC.US,D,20230208,000000,10.35,10.37,10.35,10.36,2453107,0
LGVC.US,D,20230209,000000,10.37,10.37,10.37,10.37,12399,0
LGVC.US,D,20230213,000000,10.35,10.35,10.35,10.35,3100,0
LGVC.US,D,20230214,000000,10.35,10.38,10.35,10.38,13215,0
LGVC.US,D,20230215,000000,10.36,10.36,10.36,10.36,3178,0
LGVC.US,D,20230217,000000,10.36,10.36,10.36,10.36,827,0
LGVC.US,D,20230221,000000,10.37,10.37,10.37,10.37,20361,0
LGVC.US,D,20230222,000000,10.38,10.39,10.38,10.385,320102,0
LGVC.US,D,20230223,000000,10.38,10.38,10.38,10.38,20120,0
LGVC.US,D,20230224,000000,10.385,10.39,10.38,10.385,81797,0
LGVC.US,D,20230227,000000,10.4,10.4,10.39,10.39,24647,0
LGVC.US,D,20230228,000000,10.4,10.61,10.39,10.39,36537,0
LGVC.US,D,20230301,000000,10.4,10.42,10.4,10.4,7401,0
LGVC.US,D,20230302,000000,10.4,10.41,10.395,10.41,314334,0
LGVC.US,D,20230303,000000,10.41,10.41,10.41,10.41,10000,0
LGVC.US,D,20230306,000000,10.4,10.42,10.4,10.41,90194,0
LGVC.US,D,20230307,000000,10.45,10.45,10.45,10.45,303,0
LGVC.US,D,20230309,000000,10.41,10.42,10.41,10.42,402,0
LGVC.US,D,20230310,000000,10.41,10.44,10.41,10.41,471456,0
LGVC.US,D,20230315,000000,10.425,10.425,10.42,10.42,75633,0
LGVC.US,D,20230316,000000,10.43,10.43,10.4202,10.4202,230,0
LGVC.US,D,20230321,000000,10.425,10.425,10.425,10.425,332059,0
LGVC.US,D,20230322,000000,10.57,10.57,10.43,10.435,1150,0
LGVC.US,D,20230323,000000,10.435,10.435,10.43,10.43,1400,0
LGVC.US,D,20230327,000000,10.44,10.44,10.44,10.44,326315,0
LGVC.US,D,20230328,000000,10.45,10.45,10.44,10.45,1043014,0
LGVC.US,D,20230331,000000,10.45,10.46,10.45,10.45,47435,0
LGVC.US,D,20230403,000000,10.47,10.47,10.45,10.455,504238,0
LGVC.US,D,20230404,000000,10.45,10.46,10.45,10.45,55767,0
LGVC.US,D,20230405,000000,10.4501,10.4501,10.4501,10.4501,107,0
LGVC.US,D,20230406,000000,10.455,10.48,10.45,10.45,156778,0
LGVC.US,D,20230410,000000,10.47,10.47,10.45,10.45,52957,0
LGVC.US,D,20230411,000000,10.45,10.45,10.45,10.45,59026,0
LGVC.US,D,20230412,000000,10.45,10.45,10.45,10.45,9502,0
LGVC.US,D,20230419,000000,10.465,10.51,10.465,10.51,6752,0
LGVC.US,D,20230420,000000,10.5,10.5,10.45,10.45,303,0
LGVC.US,D,20230421,000000,10.46,10.486,10.46,10.47,100344,0
LGVC.US,D,20230424,000000,10.5,10.5,10.46,10.47,26553,0
LGVC.US,D,20230425,000000,10.47,10.47,10.47,10.47,17349,0
LGVC.US,D,20230426,000000,10.63,10.63,10.47,10.47,364720,0
LGVC.US,D,20230427,000000,10.47,10.5,10.47,10.48,487079,0
LGVC.US,D,20230428,000000,10.52,10.52,10.48,10.48,89147,0
LGVC.US,D,20230501,000000,10.47,10.49,10.47,10.4842,33711,0
LGVC.US,D,20230502,000000,10.48,10.48,10.48,10.48,56395,0
LGVC.US,D,20230503,000000,10.48,10.48,10.48,10.48,657,0
LGVC.US,D,20230504,000000,10.48,10.48,10.48,10.48,11010,0
LGVC.US,D,20230505,000000,10.48,10.5,10.47,10.47,867596,0
LGVC.US,D,20230508,000000,9.9878,10.51,9.41,10.46,1088222,0
LGVC.US,D,20230509,000000,10.37,10.855,10.37,10.4,76355,0
LGVC.US,D,20230510,000000,10.7,10.995,10.44,10.68,137998,0
LGVC.US,D,20230511,000000,10.5,10.83,10.495,10.54,16527,0
LGVC.US,D,20230515,000000,10.58,11.12,10.44,10.47,71796,0
LGVC.US,D,20230516,000000,10.39,10.39,10.36,10.36,6370,0
LGVC.US,D,20230517,000000,10.44,10.44,10.44,10.44,198,0
LGVC.US,D,20230522,000000,10.4,10.4,10.4,10.4,207,0
LGVC.US,D,20230531,000000,10.39,10.96,10.39,10.41,259111,0
LGVC.US,D,20230601,000000,10.4,10.8759,10.4,10.42,17234,0
LGVC.US,D,20230605,000000,10.37,10.37,10.36,10.36,587,0
LGVC.US,D,20230609,000000,10.87,10.92,10.645,10.9,6407,0
LGVC.US,D,20230615,000000,10.5,10.5,10.38,10.4,1995,0
LGVC.US,D,20230616,000000,10.44,10.47,10.44,10.47,1910,0
LGVC.US,D,20230620,000000,10.43,10.5777,10.41,10.44,2076,0
LGVC.US,D,20230621,000000,10.475,10.475,10.45,10.45,1836,0
LGVC.US,D,20230622,000000,10.455,10.5,10.455,10.4999,1491,0
LGVC.US,D,20230623,000000,10.9347,11.47,10.42,10.5,3918,0
LGVC.US,D,20230626,000000,10.42,11.57,10.42,10.45,5000,0
LGVC.US,D,20230627,000000,10.91,10.91,10.44,10.47,3264,0
LGVC.US,D,20230628,000000,11.53,11.53,10.45,10.49,14497,0
LGVC.US,D,20230629,000000,11.1519,11.54,10.46,10.495,24139,0
LGVC.US,D,20230630,000000,10.49,10.49,10.49,10.49,414,0
LGVC.US,D,20230705,000000,10.48,10.48,10.46,10.46,1315,0
LGVC.US,D,20230706,000000,10.4665,10.4665,10.4665,10.4665,412,0
LGVC.US,D,20230707,000000,10.46,10.4665,10.46,10.4604,6138,0
LGVC.US,D,20230710,000000,10.5,10.5,10.46,10.46,300205,0
LGVC.US,D,20230712,000000,10.7,10.7,10.46,10.5,4434,0
LGVC.US,D,20230714,000000,10.4754,10.49,10.47,10.47,4206,0
LGVC.US,D,20230717,000000,10.47,10.47,10.47,10.47,101,0
LGVC.US,D,20230719,000000,10.7075,10.7075,10.48,10.49,1705,0
LGVC.US,D,20230720,000000,10.51,10.58,10.5,10.51,72996,0
LGVC.US,D,20230721,000000,10.51,10.7402,10.5,10.51,7010,0
LGVC.US,D,20230724,000000,10.52,10.52,10.51,10.51,21825,0
LGVC.US,D,20230725,000000,10.52,10.68,10.52,10.52,70084,0
LGVC.US,D,20230726,000000,10.7,10.7,10.52,10.54,9871,0
LGVC.US,D,20230727,000000,10.6745,11.02,10.52,10.53,11889,0
LGVC.US,D,20230728,000000,10.52,11.02,10.52,10.56,18541,0
LGVC.US,D,20230801,000000,10.54,10.6501,10.53,10.59,31047,0
