<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MCAGU.US,D,20211115,000000,10.09,10.13,10.08,10.0807,90404,0
MCAGU.US,D,20211116,000000,10.08,10.12,10.07,10.08,84783,0
MCAGU.US,D,20211117,000000,10.08,10.099,10.01,10.05,41919,0
MCAGU.US,D,20211118,000000,10.02,10.05,10.01,10.01,15556,0
MCAGU.US,D,20211119,000000,10.05,10.092,10.02,10.03,88238,0
MCAGU.US,D,20211122,000000,10.0504,10.06,10.05,10.06,5334,0
MCAGU.US,D,20211123,000000,10.06,10.11,10.04,10.04,26780,0
MCAGU.US,D,20211124,000000,10.07,10.08,10.05,10.08,6582,0
MCAGU.US,D,20211126,000000,10.05,10.12,10.0401,10.07,10256,0
MCAGU.US,D,20211129,000000,10.05,10.065,10.02,10.06,288149,0
MCAGU.US,D,20211130,000000,10.03,10.075,10.03,10.06,26860,0
MCAGU.US,D,20211201,000000,10.09,10.1308,10.09,10.13,40445,0
MCAGU.US,D,20211202,000000,10.05,10.05,10.05,10.05,111,0
MCAGU.US,D,20211203,000000,10.06,10.06,10.06,10.06,100,0
MCAGU.US,D,20211206,000000,10.13,10.13,10.0801,10.0801,6409,0
MCAGU.US,D,20211207,000000,10.07,10.09,10.07,10.09,87164,0
MCAGU.US,D,20211208,000000,10.06,10.07,10.04,10.07,93515,0
MCAGU.US,D,20211209,000000,10.06,10.07,10.06,10.07,450,0
MCAGU.US,D,20211210,000000,10.04,10.1062,10.04,10.07,7256,0
MCAGU.US,D,20211213,000000,10.1293,10.1293,10.1293,10.1293,194,0
MCAGU.US,D,20211214,000000,10.05,10.08,10.04,10.04,2900,0
MCAGU.US,D,20211216,000000,10.04,10.05,10.04,10.05,2391,0
MCAGU.US,D,20211220,000000,10.05,10.12,10.05,10.12,8701,0
MCAGU.US,D,20211222,000000,10.06,10.0606,10.06,10.0606,650,0
MCAGU.US,D,20211223,000000,10.055,10.102,10.055,10.102,2989,0
MCAGU.US,D,20211227,000000,10.04,10.04,10.04,10.04,250,0
MCAGU.US,D,20211228,000000,10.07,10.07,10.07,10.07,141,0
MCAGU.US,D,20211229,000000,10.04,10.0702,10.04,10.07,807,0
MCAGU.US,D,20211230,000000,10.04,10.04,10.04,10.04,1000,0
MCAGU.US,D,20211231,000000,10.07,10.07,10.07,10.07,664,0
MCAGU.US,D,20220103,000000,10.065,10.065,10.065,10.065,1000,0
MCAGU.US,D,20220104,000000,10.05,10.05,10.05,10.05,300,0
MCAGU.US,D,20220106,000000,10.08,10.09,10.06,10.085,2639,0
MCAGU.US,D,20220107,000000,10.08,10.09,10.08,10.09,1788,0
MCAGU.US,D,20220110,000000,10.06,10.06,10.06,10.06,400,0
MCAGU.US,D,20220114,000000,10.09,10.1,10.09,10.1,1507,0
MCAGU.US,D,20220119,000000,10.085,10.09,10.05,10.09,750,0
