<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MDGS.US,D,20150805,000000,2383.27,2383.27,2383.27,2383.27,0.37931034672988506,0
MDGS.US,D,20150806,000000,2425.45,2425.45,2304.18,2425.45,1.896551733649425,0
MDGS.US,D,20150825,000000,2103.82,2262,2103.82,2262,0.37931034672988506,0
MDGS.US,D,20150827,000000,2030,2030,2030,2030,0.6068965547678161,0
MDGS.US,D,20150901,000000,2103.82,2103.82,2003.64,2003.64,0.7586206934597701,0
MDGS.US,D,20150902,000000,2077.45,2077.45,2003.64,2003.64,0.6068965547678161,0
MDGS.US,D,20150903,000000,2103.82,2103.82,2103.82,2103.82,0.227586208037931,0
MDGS.US,D,20150908,000000,1961.45,2204,1961.45,2204,2.1241379416873563,0
MDGS.US,D,20150914,000000,2188.18,2188.18,2109.09,2109.09,0.7586206934597701,0
MDGS.US,D,20150916,000000,2161.82,2161.82,2056.36,2056.36,2.1241379416873563,0
MDGS.US,D,20150918,000000,1856,2726,1856,2636.36,1.7448275949574714,0
MDGS.US,D,20150921,000000,2109.09,2109.09,2035.27,2093.27,7.5862069345977,0
MDGS.US,D,20150922,000000,2109.09,2135.45,2056.36,2135.45,5.917241408986206,0
MDGS.US,D,20150923,000000,2161.82,2161.82,2161.82,2161.82,0.7586206934597701,0
MDGS.US,D,20150924,000000,2177.64,2177.64,2167.09,2167.09,1.1379310401896552,0
MDGS.US,D,20150925,000000,2214.55,2214.55,2135.45,2135.45,0.6068965547678161,0
MDGS.US,D,20150930,000000,2362.18,2362.18,2362.18,2362.18,0.6068965547678161,0
MDGS.US,D,20151012,000000,1845.45,2098.55,1803.27,2056.36,1.3655172482275861,0
MDGS.US,D,20151013,000000,1792.73,2056.36,1792.73,2056.36,0.7586206934597701,0
MDGS.US,D,20151019,000000,2082.73,2082.73,2082.73,2082.73,0.37931034672988506,0
MDGS.US,D,20151023,000000,1750.55,1750.55,1750.55,1750.55,0.227586208037931,0
MDGS.US,D,20151026,000000,1856,2161.82,1856,2151.27,1.1379310401896552,0
