<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MSSAU.US,D,20220830,000000,10.03,10.03,10.03,10.03,5100,0
MSSAU.US,D,20220901,000000,10.04,10.04,10.0272,10.04,1400,0
MSSAU.US,D,20220908,000000,10.01,10.01,10.01,10.01,8728,0
MSSAU.US,D,20220909,000000,9.97,9.97,9.97,9.97,1100,0
MSSAU.US,D,20220912,000000,10.02,10.02,10.02,10.02,8500,0
MSSAU.US,D,20220913,000000,10.0236,10.0236,10.0236,10.0236,3800,0
MSSAU.US,D,20220914,000000,10.02,10.03,10.01,10.02,168472,0
MSSAU.US,D,20220926,000000,10.04,10.04,10.04,10.04,1003,0
MSSAU.US,D,20220927,000000,10.07,10.07,10.07,10.07,1140,0
MSSAU.US,D,20221005,000000,10.05,10.05,10.05,10.05,100,0
MSSAU.US,D,20221006,000000,10.05,10.05,10.05,10.05,100,0
MSSAU.US,D,20221011,000000,10.1,10.1,10.05,10.05,922,0
MSSAU.US,D,20221012,000000,10.02,10.065,10.02,10.065,570,0
MSSAU.US,D,20221013,000000,10.07,10.07,10.07,10.07,100,0
MSSAU.US,D,20221018,000000,10.1,10.1,10.1,10.1,200,0
MSSAU.US,D,20221019,000000,10.1,10.1,10.1,10.1,200,0
MSSAU.US,D,20221020,000000,10.1,10.15,10.1,10.15,2981,0
MSSAU.US,D,20221021,000000,10.08,10.08,10.08,10.08,5300,0
MSSAU.US,D,20221025,000000,10.15,10.15,10.04,10.08,23194,0
MSSAU.US,D,20221026,000000,10.08,10.08,10.08,10.08,100,0
MSSAU.US,D,20221103,000000,10.05,10.05,10.05,10.05,100,0
MSSAU.US,D,20221104,000000,10.14,10.14,10.13,10.13,600,0
MSSAU.US,D,20221114,000000,10.12,10.12,10.12,10.12,107,0
MSSAU.US,D,20221115,000000,10.12,10.2523,10.12,10.12,2400,0
MSSAU.US,D,20221117,000000,10.145,10.16,10.145,10.16,316,0
MSSAU.US,D,20221128,000000,10.18,10.18,10.18,10.18,100,0
MSSAU.US,D,20221130,000000,10.17,10.19,10.16,10.19,1526,0
MSSAU.US,D,20221209,000000,10.16,10.16,10.16,10.16,105,0
MSSAU.US,D,20221212,000000,10.16,10.16,10.16,10.16,100,0
MSSAU.US,D,20221213,000000,10.16,10.16,10.16,10.16,100,0
MSSAU.US,D,20221214,000000,10.21,10.21,10.21,10.21,102,0
MSSAU.US,D,20221216,000000,9.91,9.91,9.91,9.91,101,0
MSSAU.US,D,20221219,000000,9.91,9.91,9.91,9.91,100,0
MSSAU.US,D,20221220,000000,9.91,9.91,9.91,9.91,100,0
MSSAU.US,D,20221221,000000,9.91,9.91,9.91,9.91,100,0
MSSAU.US,D,20221222,000000,9.91,9.91,9.91,9.91,100,0
MSSAU.US,D,20221223,000000,9.91,9.91,9.91,9.91,100,0
MSSAU.US,D,20221227,000000,9.91,9.91,9.91,9.91,100,0
MSSAU.US,D,20221228,000000,9.91,9.91,9.91,9.91,100,0
MSSAU.US,D,20221229,000000,9.91,9.91,9.91,9.91,100,0
MSSAU.US,D,20221230,000000,9.93,9.93,9.93,9.93,100,0
MSSAU.US,D,20230103,000000,10.19,10.19,10.19,10.19,100,0
MSSAU.US,D,20230104,000000,10.19,10.19,10.19,10.19,100,0
MSSAU.US,D,20230105,000000,10.3,10.3,10.3,10.3,100,0
MSSAU.US,D,20230106,000000,10.31,10.31,10.31,10.31,1001,0
MSSAU.US,D,20230118,000000,10.27,10.27,10.27,10.27,79172,0
MSSAU.US,D,20230127,000000,11.25,11.49,10.41,11.49,4906,0
MSSAU.US,D,20230130,000000,12.56,12.56,11.4,11.4,4207,0
MSSAU.US,D,20230131,000000,10.41,10.41,10.41,10.41,337,0
MSSAU.US,D,20230202,000000,11.45,11.45,11.45,11.45,469,0
MSSAU.US,D,20230206,000000,11.34,11.5,11.34,11.34,601,0
MSSAU.US,D,20230207,000000,10.76,10.76,10.76,10.76,857,0
MSSAU.US,D,20230210,000000,10.12,10.3,10.12,10.3,644,0
MSSAU.US,D,20230213,000000,11.1,11.1,11.1,11.1,2754,0
MSSAU.US,D,20230214,000000,10.82,11.9,10.82,11.9,5930,0
MSSAU.US,D,20230216,000000,11.435,12.26,11.435,12.26,409,0
MSSAU.US,D,20230217,000000,11.5,12.68,10.6,10.7,9592,0
MSSAU.US,D,20230221,000000,10.44,11.06,10.44,11.05,5849,0
MSSAU.US,D,20230222,000000,11.84,11.84,11.84,11.84,399,0
MSSAU.US,D,20230223,000000,12.38,12.99,12.065,12.37,6557,0
MSSAU.US,D,20230224,000000,11.17,11.17,11.17,11.17,100,0
MSSAU.US,D,20230228,000000,11.3,11.3,10.64,11.1,6686,0
MSSAU.US,D,20230301,000000,12.19,12.22,11.25,11.25,21100,0
MSSAU.US,D,20230302,000000,11.98,14.24,10.4,10.6,10140,0
MSSAU.US,D,20230303,000000,10.8,10.8,10.3201,10.3201,1254,0
MSSAU.US,D,20230306,000000,10.99,11.07,10.99,11.07,830,0
MSSAU.US,D,20230308,000000,10.6,10.6,10.1,10.6,2815,0
