<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MULN.US,D,20121004,000000,22475,22500,20700,21225,3.6,0
MULN.US,D,20121005,000000,21750,22750,21250,21400,3.68,0
MULN.US,D,20121009,000000,21225,22225,21225,22225,0.92,0
MULN.US,D,20121010,000000,22850,24200,21750,22175,2.76,0
MULN.US,D,20121011,000000,19775,22600,17525.2,20050,6.24,0
MULN.US,D,20121012,000000,20375,20375,19525,19525,1.56,0
MULN.US,D,20121015,000000,19575,19575,19202,19525,0.36,0
MULN.US,D,20121016,000000,19325,20275,17450,18725,1.08,0
MULN.US,D,20121017,000000,19950,19950,18750,18754.2,0.48,0
MULN.US,D,20121018,000000,19200,19200,13150.2,16475,6.76,0
MULN.US,D,20121019,000000,16000,16675,14300,15150,5.64,0
MULN.US,D,20121022,000000,16975,16975,15025,15625,1.56,0
MULN.US,D,20121023,000000,14125,16225,13750,15375,1.44,0
MULN.US,D,20121024,000000,15250,17000,14300,15725,3.48,0
MULN.US,D,20121025,000000,15500,16249.8,15000,16249.8,0.2,0
MULN.US,D,20121026,000000,15750,16375,15750,16262.5,0.36,0
MULN.US,D,20121031,000000,16500,16975,14200,15000,1.64,0
MULN.US,D,20121101,000000,15875,15875,11450,14375,1.48,0
MULN.US,D,20121102,000000,14025,14700,14000.2,14425,0.72,0
MULN.US,D,20121105,000000,14375,14600,14325,14600,0.2,0
MULN.US,D,20121106,000000,14500,14749.8,14375,14375,0.48,0
MULN.US,D,20121109,000000,14150,14150,12575,12875,1.36,0
MULN.US,D,20121112,000000,13325,13325,13325,13325,0.04,0
MULN.US,D,20121113,000000,13125,14900,13125,13150,0.8,0
MULN.US,D,20121114,000000,13050,14322.5,13000,13725,1,0
MULN.US,D,20121115,000000,15000,16225,13750,13750,0.44,0
MULN.US,D,20121116,000000,14350,14350,13525,13625,0.4,0
MULN.US,D,20121119,000000,13525,14975,12325,12624.8,0.68,0
MULN.US,D,20121120,000000,12500,13250,11250,12700,0.88,0
MULN.US,D,20121121,000000,12400,14825,12400,12800,0.6,0
MULN.US,D,20121123,000000,12400,12750,12375,12750,0.12,0
MULN.US,D,20121126,000000,12500,13000,12375,12500,0.96,0
MULN.US,D,20121127,000000,12200,12500,12073,12452.2,0.32,0
MULN.US,D,20121128,000000,12000,12000,10825,10825,1.44,0
MULN.US,D,20121129,000000,11000,12500,10750,11375,0.44,0
MULN.US,D,20121130,000000,11300,11300.2,11200,11200,0.44,0
MULN.US,D,20121203,000000,10900,10900,8750,9050,4.4,0
MULN.US,D,20121204,000000,10600,10750,8750,8750,1.68,0
MULN.US,D,20121205,000000,9125,9125,8375,8500,1.16,0
MULN.US,D,20121206,000000,8625,8625,8125,8125.25,0.4,0
MULN.US,D,20121207,000000,8500,8750,8150,8500.25,0.88,0
MULN.US,D,20121210,000000,8750,8875,8625,8775,1.28,0
MULN.US,D,20121211,000000,9050,9125,8900,8900,0.44,0
MULN.US,D,20121212,000000,8875,8875,8800,8800,0.24,0
MULN.US,D,20121213,000000,8750,9450,8575,8575,0.84,0
MULN.US,D,20121214,000000,8775,8775,7650,8700,3.96,0
MULN.US,D,20121217,000000,8450,8775,8250,8775,0.6,0
MULN.US,D,20121218,000000,8500,8775,8475,8500,1.32,0
MULN.US,D,20121219,000000,8500.25,8875,8250,8712.5,0.76,0
MULN.US,D,20121220,000000,8775,8775,8250,8775,1.36,0
