<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MVLAW.US,D,20210414,000000,0.9,0.95,0.85,0.86,26223,0
MVLAW.US,D,20210415,000000,0.87,0.8705,0.87,0.87,1870,0
MVLAW.US,D,20210416,000000,0.89,0.89,0.85,0.85,3550,0
MVLAW.US,D,20210419,000000,0.85,1,0.85,0.925,6390,0
MVLAW.US,D,20210420,000000,0.95,0.9505,0.95,0.95,4200,0
MVLAW.US,D,20210421,000000,0.87,0.88,0.8495,0.8498,17087,0
MVLAW.US,D,20210422,000000,0.81,0.81,0.79,0.79,91843,0
MVLAW.US,D,20210423,000000,0.82975,0.85,0.8,0.8,652,0
MVLAW.US,D,20210426,000000,0.82,0.82,0.82,0.82,34240,0
MVLAW.US,D,20210427,000000,0.82,0.82,0.82,0.82,710,0
MVLAW.US,D,20210428,000000,0.82,0.82,0.82,0.82,2800,0
MVLAW.US,D,20210429,000000,0.8201,0.8201,0.81,0.81,1050,0
MVLAW.US,D,20210503,000000,0.82,1.31,0.751,0.751,3201,0
MVLAW.US,D,20210504,000000,0.755,1.25,0.755,0.7598,14525,0
MVLAW.US,D,20210505,000000,0.756,0.8,0.756,0.8,4752,0
MVLAW.US,D,20210506,000000,0.8001,0.81,0.8,0.8,3300,0
MVLAW.US,D,20210507,000000,0.7701,0.909899,0.768,0.79,13883,0
MVLAW.US,D,20210510,000000,0.8,0.8,0.770198,0.78,10520,0
MVLAW.US,D,20210511,000000,0.78,0.8,0.7701,0.8,5018,0
MVLAW.US,D,20210512,000000,0.7701,0.8,0.7701,0.7999,10011,0
MVLAW.US,D,20210513,000000,0.8,0.8,0.78,0.789048,14508,0
MVLAW.US,D,20210514,000000,0.71,0.8301,0.71,0.8301,22379,0
MVLAW.US,D,20210517,000000,0.7599,0.7599,0.7599,0.7599,1322,0
MVLAW.US,D,20210518,000000,0.852,0.8601,0.83095,0.855199,22643,0
MVLAW.US,D,20210521,000000,0.9,0.9,0.8501,0.8501,1900,0
MVLAW.US,D,20210525,000000,0.8201,0.820201,0.8201,0.820201,1412,0
MVLAW.US,D,20210527,000000,0.8102,0.8102,0.8102,0.8102,2009,0
MVLAW.US,D,20210528,000000,0.8101,0.83,0.8101,0.8299,3253,0
MVLAW.US,D,20210602,000000,0.8701,0.8701,0.84,0.87,8400,0
MVLAW.US,D,20210603,000000,0.87,0.87,0.775049,0.8525,24297,0
MVLAW.US,D,20210607,000000,0.9,0.905126,0.89,0.905126,23998,0
MVLAW.US,D,20210609,000000,0.85,0.87,0.8412,0.86,6580,0
MVLAW.US,D,20210611,000000,0.9899,0.9901,0.97445,0.97445,7544,0
MVLAW.US,D,20210614,000000,0.9801,0.9801,0.9801,0.9801,1898,0
MVLAW.US,D,20210615,000000,0.99,0.9988,0.99,0.9988,6183,0
MVLAW.US,D,20210616,000000,0.999,0.999,0.998899,0.998899,990,0
MVLAW.US,D,20210617,000000,0.999,0.999,0.999,0.999,2250,0
MVLAW.US,D,20210622,000000,0.99,0.99,0.98,0.98,1625,0
MVLAW.US,D,20210624,000000,0.98,0.98,0.98,0.98,500,0
MVLAW.US,D,20210628,000000,1.12,1.12,1.02,1.05,3304,0
MVLAW.US,D,20210629,000000,1.13,1.13,1.0382,1.0382,622,0
MVLAW.US,D,20210701,000000,1.01,1.05,1.01,1.05,1553,0
MVLAW.US,D,20210702,000000,1.05,1.12,1.05,1.1199,327,0
MVLAW.US,D,20210706,000000,1.32,1.32,1,1.02,21903,0
MVLAW.US,D,20210707,000000,1.115,1.115,1.019,1.0399,1929,0
MVLAW.US,D,20210708,000000,1.0299,1.04,1.01,1.01,1756,0
MVLAW.US,D,20210709,000000,1.05,1.14,1.04,1.14,2892,0
MVLAW.US,D,20210712,000000,1.14,1.27,1.09,1.27,36264,0
MVLAW.US,D,20210713,000000,1.25,1.405,1.23,1.27,99857,0
MVLAW.US,D,20210714,000000,1.3,1.3,1.26,1.2787,7200,0
MVLAW.US,D,20210715,000000,1.28,1.375,1.26,1.34,86996,0
MVLAW.US,D,20210716,000000,1.51,1.58,1.42,1.54,737914,0
MVLAW.US,D,20210719,000000,1.54,1.54,1.44,1.455,9231,0
MVLAW.US,D,20210720,000000,1.5,1.5,1.32,1.32,34514,0
MVLAW.US,D,20210721,000000,1.38,1.45,1.33,1.4,64156,0
MVLAW.US,D,20210722,000000,1.38,1.38,1.32,1.32,18422,0
MVLAW.US,D,20210723,000000,1.43,1.43,1.32,1.36,4499,0
MVLAW.US,D,20210726,000000,1.37,1.374,1.29,1.36,5828,0
MVLAW.US,D,20210727,000000,1.315,1.36,1.31,1.3104,3777,0
MVLAW.US,D,20210728,000000,1.307,1.307,1.3,1.3,11744,0
MVLAW.US,D,20210729,000000,1.27,1.2999,1.27,1.27,116031,0
MVLAW.US,D,20210730,000000,1.24,1.24,1.23,1.23,1090,0
MVLAW.US,D,20210802,000000,1.23,1.24,1.23,1.23,4602,0
MVLAW.US,D,20210803,000000,1.17,1.17,1.16,1.16,900,0
MVLAW.US,D,20210804,000000,1.16,1.16,1.16,1.16,600,0
MVLAW.US,D,20210805,000000,1.1369,1.1369,1.1369,1.1369,524,0
MVLAW.US,D,20210806,000000,1.11,1.12,1.08,1.08,4416,0
MVLAW.US,D,20210809,000000,1.19,1.19,1.08,1.1,25701,0
MVLAW.US,D,20210810,000000,1.04,1.07,1.02,1.07,2435,0
MVLAW.US,D,20210811,000000,1.02,1.02,1.01,1.02,330,0
