<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NPAB.US,D,20220120,000000,9.88,9.88,9.86,9.86,69180,0
NPAB.US,D,20220121,000000,9.86,9.86,9.86,9.86,1400,0
NPAB.US,D,20220124,000000,9.86,9.9,9.83,9.85,3008,0
NPAB.US,D,20220127,000000,9.91,9.91,9.91,9.91,200,0
NPAB.US,D,20220128,000000,9.91,9.91,9.91,9.91,100,0
NPAB.US,D,20220201,000000,9.84,9.85,9.84,9.85,3740,0
NPAB.US,D,20220202,000000,9.83,9.83,9.83,9.83,400,0
NPAB.US,D,20220203,000000,9.84,9.84,9.84,9.84,200,0
NPAB.US,D,20220204,000000,9.87,9.87,9.87,9.87,100,0
NPAB.US,D,20220208,000000,9.84,9.84,9.84,9.84,15098,0
NPAB.US,D,20220211,000000,9.94,9.94,9.94,9.94,100,0
NPAB.US,D,20220214,000000,9.91,9.91,9.85,9.85,3203,0
NPAB.US,D,20220216,000000,9.9,9.9,9.85,9.85,4471,0
NPAB.US,D,20220222,000000,9.88,9.88,9.88,9.88,942,0
NPAB.US,D,20220223,000000,9.86,9.86,9.85,9.86,3537,0
NPAB.US,D,20220224,000000,9.84,9.87,9.83,9.87,5430,0
NPAB.US,D,20220225,000000,9.88,9.89,9.88,9.89,353,0
NPAB.US,D,20220228,000000,9.87,9.87,9.85,9.85,21441,0
NPAB.US,D,20220301,000000,9.88,9.91,9.87,9.875,298352,0
NPAB.US,D,20220304,000000,9.895,9.9,9.895,9.9,56672,0
NPAB.US,D,20220307,000000,9.9,9.9,9.9,9.9,500,0
NPAB.US,D,20220317,000000,9.91,9.91,9.91,9.91,13510,0
NPAB.US,D,20220318,000000,9.93,10.74,9.93,10,15231,0
NPAB.US,D,20220321,000000,9.95,9.95,9.92,9.92,926,0
NPAB.US,D,20220322,000000,10,10,9.97,9.97,2150,0
NPAB.US,D,20220323,000000,9.96,9.96,9.94,9.95,1600,0
NPAB.US,D,20220324,000000,9.93,9.95,9.92,9.92,200552,0
NPAB.US,D,20220325,000000,10.05,10.05,9.9,9.92,259755,0
NPAB.US,D,20220328,000000,9.92,9.94,9.92,9.94,2927,0
NPAB.US,D,20220329,000000,9.94,9.94,9.94,9.94,1107,0
NPAB.US,D,20220330,000000,9.94,9.94,9.94,9.94,1006,0
NPAB.US,D,20220401,000000,9.93,9.93,9.93,9.93,5150,0
NPAB.US,D,20220404,000000,9.93,9.93,9.93,9.93,27300,0
NPAB.US,D,20220405,000000,9.93,9.93,9.93,9.93,5600,0
NPAB.US,D,20220406,000000,9.93,9.93,9.92,9.92,800,0
NPAB.US,D,20220407,000000,9.96,9.96,9.93,9.93,3250,0
NPAB.US,D,20220408,000000,9.94,9.97,9.94,9.96,352954,0
NPAB.US,D,20220411,000000,9.94,9.94,9.94,9.94,50012,0
NPAB.US,D,20220412,000000,9.94,9.94,9.94,9.94,100000,0
NPAB.US,D,20220413,000000,9.97,9.97,9.97,9.97,50155,0
NPAB.US,D,20220414,000000,9.98,9.98,9.98,9.98,100,0
NPAB.US,D,20220418,000000,9.99,9.99,9.98,9.98,7804,0
NPAB.US,D,20220421,000000,10,10,9.95,9.95,1147,0
NPAB.US,D,20220422,000000,9.96,9.97,9.96,9.97,750000,0
NPAB.US,D,20220425,000000,9.95,9.96,9.95,9.95,668784,0
NPAB.US,D,20220426,000000,9.95,9.95,9.95,9.95,1200,0
NPAB.US,D,20220427,000000,9.95,9.96,9.94,9.96,9710,0
NPAB.US,D,20220428,000000,9.95,9.98,9.95,9.98,150300,0
NPAB.US,D,20220429,000000,9.98,9.98,9.95,9.95,3364,0
NPAB.US,D,20220502,000000,9.95,9.95,9.95,9.95,117901,0
NPAB.US,D,20220503,000000,9.955,9.96,9.95,9.95,8111,0
NPAB.US,D,20220504,000000,9.97,9.97,9.95,9.95,45064,0
NPAB.US,D,20220505,000000,9.95,9.96,9.95,9.9595,304601,0
NPAB.US,D,20220506,000000,9.95,10,9.95,9.95,84190,0
NPAB.US,D,20220509,000000,9.95,9.98,9.92,9.94,8521,0
NPAB.US,D,20220510,000000,9.93,9.95,9.92,9.95,16482,0
NPAB.US,D,20220511,000000,9.91,9.91,9.91,9.91,481,0
NPAB.US,D,20220513,000000,9.9,9.9,9.9,9.9,448,0
NPAB.US,D,20220516,000000,9.9,9.9,9.9,9.9,49882,0
NPAB.US,D,20220606,000000,9.96,9.96,9.96,9.96,203,0
NPAB.US,D,20220608,000000,9.96,9.96,9.96,9.96,991,0
NPAB.US,D,20220613,000000,10.5,10.5,9.925,9.98,750,0
NPAB.US,D,20220617,000000,9.94,9.94,9.91,9.91,121040,0
NPAB.US,D,20220621,000000,10.5,10.525,9.96,9.96,1000,0
NPAB.US,D,20220623,000000,9.87,9.87,9.87,9.87,110010,0
NPAB.US,D,20220628,000000,9.96,10.01,9.9,9.9,4885,0
NPAB.US,D,20220629,000000,9.96,9.99,9.92,9.92,3500,0
NPAB.US,D,20220630,000000,9.97,9.97,9.9,9.9,1162,0
NPAB.US,D,20220701,000000,10.02,10.02,9.92,9.99,2094,0
NPAB.US,D,20220705,000000,9.935,9.99,9.92,9.98,391101,0
NPAB.US,D,20220707,000000,9.945,9.97,9.945,9.97,5428,0
NPAB.US,D,20220708,000000,9.96,9.96,9.96,9.96,378,0
NPAB.US,D,20220711,000000,9.95,9.95,9.92,9.92,703,0
NPAB.US,D,20220720,000000,9.95,9.96,9.95,9.96,24194,0
NPAB.US,D,20220722,000000,9.96,9.96,9.96,9.96,2103,0
NPAB.US,D,20220725,000000,9.97,9.97,9.97,9.97,2481,0
NPAB.US,D,20220801,000000,10.03,10.5,9.99,9.99,1462,0
NPAB.US,D,20220802,000000,9.98,9.98,9.98,9.98,10000,0
NPAB.US,D,20220803,000000,10,10.02,9.985,10,11292,0
NPAB.US,D,20220804,000000,10,10.03,10,10,400,0
NPAB.US,D,20220808,000000,9.99,9.99,9.99,9.99,100,0
NPAB.US,D,20220811,000000,10.02,10.02,9.99,10,1957,0
NPAB.US,D,20220817,000000,9.99,9.99,9.985,9.985,450239,0
NPAB.US,D,20220818,000000,10.01,10.01,10.01,10.01,203,0
NPAB.US,D,20220819,000000,10.01,10.01,9.985,9.985,301,0
NPAB.US,D,20220823,000000,10.01,10.01,10.01,10.01,151,0
NPAB.US,D,20220824,000000,9.99,9.99,9.98,9.98,500703,0
NPAB.US,D,20220825,000000,9.97,9.97,9.97,9.97,102,0
NPAB.US,D,20220829,000000,10.01,10.01,10.01,10.01,401,0
NPAB.US,D,20220907,000000,9.97,9.97,9.94,9.94,75182,0
NPAB.US,D,20220912,000000,9.94,9.97,9.94,9.97,51422,0
NPAB.US,D,20220913,000000,9.96,9.98,9.96,9.98,400,0
NPAB.US,D,20220916,000000,9.975,9.975,9.97,9.975,105649,0
NPAB.US,D,20220919,000000,10,10,9.97,9.98,114734,0
NPAB.US,D,20220922,000000,10,10.05,10,10.05,500,0
NPAB.US,D,20220926,000000,9.99,9.99,9.99,9.99,805,0
NPAB.US,D,20220927,000000,10.01,10.01,10,10,8477,0
NPAB.US,D,20220928,000000,10.01,10.02,10.01,10.02,3830,0
NPAB.US,D,20220929,000000,10.03,10.03,10.03,10.03,200,0
NPAB.US,D,20221006,000000,9.99,9.99,9.99,9.99,5000,0
NPAB.US,D,20221012,000000,9.99,9.99,9.99,9.99,6300,0
NPAB.US,D,20221019,000000,10.01,10.03,10.01,10.03,4600,0
NPAB.US,D,20221020,000000,10.03,10.03,10.02,10.02,6000,0
NPAB.US,D,20221021,000000,10.03,10.03,10.03,10.03,1400,0
NPAB.US,D,20221024,000000,10.03,10.03,10.03,10.03,20200,0
NPAB.US,D,20221025,000000,10.03,10.03,10.03,10.03,25000,0
NPAB.US,D,20221026,000000,10.04,10.04,10.03,10.039,600796,0
NPAB.US,D,20221101,000000,10.04,10.04,10.03,10.03,31462,0
NPAB.US,D,20221102,000000,10.08,10.1,10.08,10.09,958,0
NPAB.US,D,20221107,000000,10.06,10.06,10.06,10.06,590,0
NPAB.US,D,20221109,000000,10.09,10.09,10.09,10.09,4800,0
NPAB.US,D,20221110,000000,10.09,10.09,10.08,10.085,57503,0
NPAB.US,D,20221111,000000,10.08,10.08,10.08,10.08,1000,0
NPAB.US,D,20221114,000000,10.08,10.08,10.08,10.08,4964,0
NPAB.US,D,20221115,000000,10.08,10.08,10.08,10.08,4964,0
NPAB.US,D,20221125,000000,10.08,10.08,10.08,10.08,100,0
NPAB.US,D,20221129,000000,10.1,10.11,10.1,10.11,1400,0
NPAB.US,D,20221201,000000,10.1,10.12,10.1,10.12,109326,0
NPAB.US,D,20221208,000000,10.12,10.12,10.12,10.12,6600,0
