<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OXAC.US,D,20230227,000000,10.65,10.665,10.65,10.65,26102,0
OXAC.US,D,20230228,000000,10.68,10.68,10.65,10.65,32687,0
OXAC.US,D,20230301,000000,10.65,10.66,10.65,10.65,14823,0
OXAC.US,D,20230302,000000,10.68,10.7,10.68,10.7,15072,0
OXAC.US,D,20230303,000000,10.7,10.7,10.6999,10.7,1751,0
OXAC.US,D,20230306,000000,10.7,10.7,10.62,10.62,18602,0
OXAC.US,D,20230308,000000,10.68,10.68,10.68,10.68,177,0
OXAC.US,D,20230309,000000,10.68,10.68,10.68,10.68,100,0
OXAC.US,D,20230310,000000,10.7,10.7,10.7,10.7,11127,0
OXAC.US,D,20230313,000000,10.6999,10.7,10.6999,10.7,204,0
OXAC.US,D,20230316,000000,10.7,10.7,10.7,10.7,1521,0
OXAC.US,D,20230317,000000,10.6998,10.6998,10.675,10.675,545,0
OXAC.US,D,20230320,000000,10.6802,10.735,10.6802,10.735,385,0
OXAC.US,D,20230324,000000,10.74,10.74,10.74,10.74,500,0
OXAC.US,D,20230328,000000,10.78,10.78,10.78,10.78,888,0
OXAC.US,D,20230331,000000,10.7,10.7099,10.7,10.7099,326,0
OXAC.US,D,20230403,000000,10.7001,10.7001,10.7001,10.7001,402,0
OXAC.US,D,20230405,000000,10.71,10.71,10.71,10.71,118,0
OXAC.US,D,20230406,000000,10.72,10.72,10.71,10.71,259,0
OXAC.US,D,20230411,000000,10.705,10.71,10.705,10.71,494,0
OXAC.US,D,20230412,000000,10.71,10.75,10.71,10.75,8519,0
OXAC.US,D,20230414,000000,10.75,10.89,10.75,10.79,19672,0
OXAC.US,D,20230417,000000,10.7301,11.4799,10.7301,10.8399,1199,0
OXAC.US,D,20230424,000000,10.84,10.84,10.84,10.84,4854,0
OXAC.US,D,20230425,000000,10.74,10.74,10.74,10.74,215,0
OXAC.US,D,20230426,000000,10.83,10.83,10.73,10.73,240,0
OXAC.US,D,20230427,000000,10.73,10.73,10.73,10.73,5047,0
OXAC.US,D,20230428,000000,10.73,10.76,10.73,10.76,14755,0
OXAC.US,D,20230501,000000,10.82,10.82,10.82,10.82,339,0
OXAC.US,D,20230503,000000,10.83,10.83,10.83,10.83,4779,0
OXAC.US,D,20230505,000000,10.83,10.86,10.83,10.86,2474,0
OXAC.US,D,20230512,000000,10.85,10.85,10.85,10.85,119,0
OXAC.US,D,20230522,000000,10.85,10.85,10.85,10.85,115,0
OXAC.US,D,20230523,000000,10.85,10.85,10.85,10.85,125,0
OXAC.US,D,20230524,000000,10.87,10.87,10.87,10.87,113,0
OXAC.US,D,20230525,000000,10.89,10.89,10.89,10.89,103,0
OXAC.US,D,20230526,000000,10.86,10.86,10.86,10.86,145,0
OXAC.US,D,20230530,000000,10.86,10.86,10.86,10.86,105,0
OXAC.US,D,20230531,000000,10.99,11.26,10.98,10.98,2895,0
OXAC.US,D,20230601,000000,11.1,11.1,10.96,11.1,1350,0
OXAC.US,D,20230605,000000,10.96,10.96,10.96,10.96,602,0
OXAC.US,D,20230609,000000,11.02,11.02,11.02,11.02,141,0
OXAC.US,D,20230613,000000,10.96,10.96,10.96,10.96,745,0
OXAC.US,D,20230614,000000,10.96,10.96,10.96,10.96,642,0
OXAC.US,D,20230615,000000,10.86,10.96,10.86,10.9599,4458,0
OXAC.US,D,20230622,000000,11.0599,11.0599,11.0599,11.0599,234,0
OXAC.US,D,20230623,000000,10.98,10.99,10.98,10.99,3722,0
OXAC.US,D,20230626,000000,11.03,11.04,11.03,11.04,1003,0
OXAC.US,D,20230627,000000,10.96,10.96,10.96,10.96,1026,0
OXAC.US,D,20230630,000000,10.87,10.87,10.87,10.87,449,0
OXAC.US,D,20230703,000000,11,11,10.95,10.95,1206,0
OXAC.US,D,20230706,000000,10.92,10.93,10.92,10.93,2126,0
OXAC.US,D,20230712,000000,10.88,10.93,10.88,10.92,1330,0
OXAC.US,D,20230713,000000,10.92,10.9301,10.92,10.9301,243,0
OXAC.US,D,20230717,000000,11.0599,11.06,10.99,11.05,19289,0
OXAC.US,D,20230719,000000,11.08,11.08,11.05,11.0502,13856,0
OXAC.US,D,20230720,000000,11.055,11.055,11.05,11.05,434,0
OXAC.US,D,20230721,000000,11.0599,11.0599,11.0599,11.0599,2350,0
OXAC.US,D,20230724,000000,11.06,11.07,11.06,11.06,12698,0
OXAC.US,D,20230725,000000,11.07,11.25,11.06,11.23,24567,0
OXAC.US,D,20230726,000000,11.1,11.2932,11.1,11.25,16844,0
OXAC.US,D,20230727,000000,11.215,11.24,11.13,11.13,102187,0
OXAC.US,D,20230728,000000,11.15,11.15,11.15,11.15,1683,0
OXAC.US,D,20230731,000000,11.1,11.1499,11.1,11.14,50492,0
OXAC.US,D,20230801,000000,11.02,11.02,10.11,10.2975,36000,0
