<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PEGR.US,D,20211228,000000,9.66,9.66,9.66,9.66,519,0
PEGR.US,D,20211229,000000,9.665,9.665,9.665,9.665,115,0
PEGR.US,D,20211231,000000,9.9,9.9,9.9,9.9,611,0
PEGR.US,D,20220103,000000,9.79,9.8,9.63,9.68,24697,0
PEGR.US,D,20220105,000000,9.65,9.65,9.65,9.65,1014,0
PEGR.US,D,20220107,000000,9.69,9.77,9.69,9.76,4128,0
PEGR.US,D,20220112,000000,9.7,9.71,9.65,9.71,20132,0
PEGR.US,D,20220113,000000,9.71,9.71,9.71,9.71,13167,0
PEGR.US,D,20220119,000000,9.68,9.68,9.68,9.68,119,0
PEGR.US,D,20220121,000000,9.68,9.68,9.68,9.68,504,0
PEGR.US,D,20220125,000000,9.66,9.67,9.6,9.63,12332,0
PEGR.US,D,20220127,000000,9.74,9.74,9.74,9.74,199,0
PEGR.US,D,20220201,000000,9.695,9.7,9.64,9.68,4923,0
PEGR.US,D,20220204,000000,9.225,9.74,9.225,9.74,2809,0
PEGR.US,D,20220211,000000,9.58,9.6835,9.56,9.6835,3519,0
PEGR.US,D,20220215,000000,9.62,9.71,9.62,9.71,3816,0
PEGR.US,D,20220216,000000,9.66,9.72,9.64,9.655,41396,0
PEGR.US,D,20220217,000000,9.67,9.67,9.65,9.65,5525,0
PEGR.US,D,20220218,000000,9.72,9.73,9.72,9.72,992700,0
PEGR.US,D,20220222,000000,9.63,9.73,9.63,9.73,1886,0
PEGR.US,D,20220224,000000,9.65,9.74,9.65,9.74,1440,0
PEGR.US,D,20220301,000000,9.7,9.74,9.61,9.7,112290,0
PEGR.US,D,20220302,000000,9.7,9.7,9.7,9.7,100003,0
PEGR.US,D,20220303,000000,9.7,9.7,9.68,9.68,901,0
PEGR.US,D,20220304,000000,9.65,9.7,9.65,9.66,122569,0
PEGR.US,D,20220307,000000,9.7,9.7,9.68,9.68,100500,0
PEGR.US,D,20220308,000000,9.66,9.6601,9.66,9.6601,2750,0
PEGR.US,D,20220316,000000,9.66,9.66,9.66,9.66,1252,0
PEGR.US,D,20220318,000000,9.67,9.69,9.67,9.68,17740,0
PEGR.US,D,20220321,000000,9.71,9.71,9.71,9.71,100504,0
PEGR.US,D,20220322,000000,9.71,9.71,9.7,9.7,3818,0
PEGR.US,D,20220323,000000,9.7,9.7,9.7,9.7,100000,0
PEGR.US,D,20220324,000000,9.71,9.72,9.71,9.72,70443,0
PEGR.US,D,20220325,000000,9.695,9.72,9.695,9.7,429,0
PEGR.US,D,20220328,000000,9.74,9.74,9.74,9.74,126,0
PEGR.US,D,20220329,000000,9.69,9.69,9.69,9.69,200,0
PEGR.US,D,20220330,000000,9.71,9.72,9.71,9.72,900,0
PEGR.US,D,20220331,000000,9.74,9.74,9.71,9.74,16519,0
PEGR.US,D,20220401,000000,9.73,9.73,9.7299,9.7299,1598,0
PEGR.US,D,20220404,000000,9.78,9.78,9.78,9.78,290,0
PEGR.US,D,20220407,000000,9.71,9.76,9.71,9.76,2951,0
PEGR.US,D,20220411,000000,9.77,9.77,9.77,9.77,1394,0
PEGR.US,D,20220412,000000,9.7583,9.77,9.7583,9.77,12003,0
PEGR.US,D,20220413,000000,9.78,9.78,9.78,9.78,3475,0
PEGR.US,D,20220414,000000,9.74,9.78,9.72,9.7625,8836,0
PEGR.US,D,20220419,000000,9.73,9.79,9.72,9.77,9102,0
PEGR.US,D,20220421,000000,9.74,9.8,9.74,9.8,7157,0
PEGR.US,D,20220425,000000,9.75,9.81,9.75,9.81,4066,0
PEGR.US,D,20220426,000000,9.76,9.76,9.76,9.76,3247,0
PEGR.US,D,20220428,000000,9.75,9.75,9.75,9.75,2001,0
PEGR.US,D,20220429,000000,9.75,9.755,9.75,9.75,3820,0
PEGR.US,D,20220502,000000,9.75,9.75,9.75,9.75,1174,0
PEGR.US,D,20220505,000000,9.75,9.75,9.75,9.75,2820,0
PEGR.US,D,20220509,000000,9.75,9.75,9.735,9.74,312240,0
PEGR.US,D,20220510,000000,9.71,9.71,9.71,9.71,520,0
PEGR.US,D,20220512,000000,9.665,9.71,9.665,9.7,345160,0
PEGR.US,D,20220517,000000,9.68,9.77,9.68,9.77,265941,0
PEGR.US,D,20220520,000000,9.67,9.7,9.66,9.7,1629,0
PEGR.US,D,20220523,000000,9.7,9.72,9.7,9.72,410,0
PEGR.US,D,20220526,000000,9.72,9.73,9.72,9.73,227,0
PEGR.US,D,20220527,000000,9.71,9.71,9.69,9.71,5050,0
PEGR.US,D,20220602,000000,9.73,9.73,9.73,9.73,76073,0
PEGR.US,D,20220603,000000,9.73,9.73,9.73,9.73,7525,0
PEGR.US,D,20220606,000000,9.75,9.75,9.75,9.75,151,0
PEGR.US,D,20220607,000000,9.74,9.74,9.74,9.74,401,0
PEGR.US,D,20220609,000000,9.74,9.74,9.74,9.74,2001,0
PEGR.US,D,20220610,000000,9.67,9.75,9.67,9.74,18474,0
PEGR.US,D,20220613,000000,9.74,9.75,9.74,9.74,110701,0
PEGR.US,D,20220615,000000,9.75,9.75,9.74,9.74,52143,0
PEGR.US,D,20220616,000000,9.67,9.74,9.67,9.74,42511,0
PEGR.US,D,20220621,000000,9.74,9.74,9.74,9.74,103,0
PEGR.US,D,20220623,000000,9.86,9.86,9.73,9.73,1610,0
PEGR.US,D,20220624,000000,9.74,9.74,9.74,9.74,381,0
PEGR.US,D,20220628,000000,9.74,9.74,9.74,9.74,27801,0
PEGR.US,D,20220629,000000,9.74,9.74,9.74,9.74,266,0
PEGR.US,D,20220630,000000,9.74,9.74,9.74,9.74,7551,0
PEGR.US,D,20220707,000000,9.76,9.76,9.76,9.76,203,0
PEGR.US,D,20220708,000000,9.76,9.76,9.76,9.76,5094,0
PEGR.US,D,20220726,000000,9.78,9.78,9.78,9.78,100,0
PEGR.US,D,20220728,000000,9.76,9.78,9.76,9.78,5858,0
PEGR.US,D,20220803,000000,9.83,9.86,9.83,9.86,1114,0
PEGR.US,D,20220810,000000,9.78,9.78,9.78,9.78,23893,0
PEGR.US,D,20220811,000000,9.8,9.8,9.8,9.8,4093,0
PEGR.US,D,20220815,000000,9.78,9.79,9.78,9.79,1040,0
PEGR.US,D,20220818,000000,9.86,9.96,9.82,9.96,11905,0
PEGR.US,D,20220819,000000,9.84,9.86,9.84,9.86,1407,0
PEGR.US,D,20220824,000000,9.77,9.77,9.77,9.77,4835,0
PEGR.US,D,20220825,000000,9.84,9.84,9.84,9.84,270,0
PEGR.US,D,20220901,000000,9.83,9.83,9.83,9.83,50001,0
PEGR.US,D,20220914,000000,9.8,9.84,9.8,9.81,197200,0
PEGR.US,D,20220915,000000,9.83,9.84,9.83,9.84,16691,0
PEGR.US,D,20220916,000000,9.84,9.84,9.84,9.84,10359,0
PEGR.US,D,20220919,000000,9.85,9.87,9.85,9.87,7489,0
PEGR.US,D,20220928,000000,9.78,9.78,9.78,9.78,103,0
PEGR.US,D,20220929,000000,9.84,9.85,9.84,9.84,1201,0
PEGR.US,D,20221003,000000,9.84,9.86,9.84,9.86,501,0
PEGR.US,D,20221014,000000,9.79,9.79,9.79,9.79,110,0
PEGR.US,D,20221017,000000,9.84,9.84,9.84,9.84,1203,0
PEGR.US,D,20221031,000000,9.87,9.87,9.85,9.85,60633,0
PEGR.US,D,20221101,000000,9.87,9.87,9.87,9.87,801,0
PEGR.US,D,20221102,000000,9.89,9.89,9.87,9.89,16846,0
PEGR.US,D,20221103,000000,9.88,9.88,9.88,9.88,8000,0
PEGR.US,D,20221104,000000,9.89,9.89,9.87,9.87,45701,0
PEGR.US,D,20221110,000000,9.89,9.89,9.89,9.89,780,0
PEGR.US,D,20221114,000000,9.91,9.91,9.91,9.91,1400,0
PEGR.US,D,20221115,000000,9.91,9.91,9.91,9.91,31001,0
PEGR.US,D,20221122,000000,9.91,9.93,9.91,9.93,9106,0
PEGR.US,D,20221123,000000,9.94,9.94,9.925,9.925,30296,0
PEGR.US,D,20221125,000000,9.93,9.94,9.9,9.93,101902,0
PEGR.US,D,20221128,000000,9.93,9.9796,9.93,9.94,49950,0
PEGR.US,D,20221129,000000,9.94,9.94,9.94,9.94,30802,0
PEGR.US,D,20221201,000000,9.94,9.94,9.94,9.94,2314,0
PEGR.US,D,20221202,000000,9.94,9.94,9.94,9.94,25000,0
PEGR.US,D,20221208,000000,10.02,10.02,10.02,10.02,807,0
PEGR.US,D,20221209,000000,9.98,9.98,9.96,9.96,481,0
PEGR.US,D,20221212,000000,9.98,9.98,9.98,9.98,100,0
PEGR.US,D,20221213,000000,9.98,9.98,9.98,9.98,500,0
PEGR.US,D,20221214,000000,9.98,9.98,9.98,9.98,1500201,0
PEGR.US,D,20221215,000000,9.98,10.04,9.98,9.98,102610,0
PEGR.US,D,20221216,000000,9.98,9.99,9.98,9.99,103833,0
PEGR.US,D,20221219,000000,10.035,10.035,9.99,9.99,2088,0
PEGR.US,D,20221221,000000,10.06,10.1,10.01,10.0101,12076,0
PEGR.US,D,20221229,000000,10.05,10.11,10.03,10.03,1722,0
PEGR.US,D,20221230,000000,10.07,10.07,10.07,10.07,100,0
PEGR.US,D,20230103,000000,10.06,10.06,10.015,10.055,3916,0
PEGR.US,D,20230104,000000,10.06,10.1,10.06,10.0704,4315,0
PEGR.US,D,20230106,000000,10.07,10.07,10.05,10.05,20600,0
PEGR.US,D,20230109,000000,10.05,10.055,10.04,10.055,3163,0
PEGR.US,D,20230110,000000,10.05,10.0712,10.04,10.05,8397,0
PEGR.US,D,20230112,000000,10.09,10.45,10.02,10.08,165285,0
PEGR.US,D,20230113,000000,10.08,10.13,10.065,10.075,122426,0
PEGR.US,D,20230117,000000,10.08,10.08,10.075,10.075,61504,0
PEGR.US,D,20230118,000000,10.08,10.1,10.07,10.08,505207,0
PEGR.US,D,20230119,000000,10.08,10.105,10.08,10.105,182625,0
PEGR.US,D,20230120,000000,10.105,10.11,10.09,10.1,325771,0
PEGR.US,D,20230123,000000,10.1399,10.1399,10.08,10.08,451,0
PEGR.US,D,20230124,000000,10.11,10.11,10.08,10.08,6361,0
PEGR.US,D,20230125,000000,10.09,10.1,10.09,10.09,5769,0
PEGR.US,D,20230126,000000,10.14,10.14,10.1,10.1,1391,0
PEGR.US,D,20230127,000000,10.1,10.12,10.09,10.12,136157,0
PEGR.US,D,20230130,000000,10.1,10.1,10.1,10.1,3109,0
PEGR.US,D,20230202,000000,10.09,10.09,10.09,10.09,1713,0
PEGR.US,D,20230203,000000,10.55,10.56,10.07,10.16,803252,0
PEGR.US,D,20230206,000000,10.65,10.65,10.155,10.2,3142,0
PEGR.US,D,20230207,000000,10.7,10.7,10.1,10.12,4135,0
PEGR.US,D,20230208,000000,10.6,10.6,10.13,10.13,2180,0
PEGR.US,D,20230209,000000,10.6,10.6,10.13,10.1503,5286,0
PEGR.US,D,20230210,000000,10.17,10.17,10.15,10.16,12114,0
PEGR.US,D,20230213,000000,10.16,10.16,10.15,10.16,47169,0
PEGR.US,D,20230214,000000,10.25,10.25,10.15,10.15,4491,0
PEGR.US,D,20230215,000000,10.16,10.16,10.15,10.16,1198,0
PEGR.US,D,20230216,000000,10.16,10.25,10.15,10.15,159699,0
PEGR.US,D,20230217,000000,10.15,10.19,10.15,10.18,709925,0
PEGR.US,D,20230221,000000,10.16,10.16,10.14,10.16,10150,0
PEGR.US,D,20230222,000000,10.16,10.16,10.16,10.16,106,0
PEGR.US,D,20230223,000000,10.205,10.205,10.17,10.17,10224,0
PEGR.US,D,20230224,000000,10.65,10.65,10.16,10.16,701,0
PEGR.US,D,20230227,000000,10.205,10.205,10.16,10.16,1192,0
PEGR.US,D,20230228,000000,10.25,10.25,10.25,10.25,419,0
PEGR.US,D,20230302,000000,10.17,10.17,10.155,10.17,15831,0
PEGR.US,D,20230303,000000,10.2,10.2,10.2,10.2,395,0
PEGR.US,D,20230306,000000,10.17,10.17,10.17,10.17,19493,0
PEGR.US,D,20230310,000000,10.19,10.19,10.19,10.19,205,0
PEGR.US,D,20230314,000000,10.2,10.2,10.19,10.19,703,0
PEGR.US,D,20230315,000000,10.2,10.22,10.18,10.18,900,0
PEGR.US,D,20230320,000000,10.2,10.2,10.2,10.2,603077,0
PEGR.US,D,20230322,000000,10.2001,10.2146,10.2,10.2146,809,0
PEGR.US,D,20230323,000000,10.2,10.2,10.2,10.2,5067,0
PEGR.US,D,20230329,000000,10.24,10.24,10.2,10.21,185535,0
PEGR.US,D,20230330,000000,10.21,10.21,10.21,10.21,83216,0
PEGR.US,D,20230331,000000,10.21,10.21,10.21,10.21,628,0
PEGR.US,D,20230403,000000,10.235,10.25,10.235,10.25,1230,0
PEGR.US,D,20230404,000000,10.22,10.22,10.21,10.21,3538,0
PEGR.US,D,20230405,000000,10.22,10.22,10.22,10.22,2901,0
PEGR.US,D,20230410,000000,10.26,10.26,10.24,10.2401,820,0
PEGR.US,D,20230411,000000,10.255,10.255,10.255,10.255,1002,0
PEGR.US,D,20230412,000000,10.21,10.27,10.21,10.22,3554,0
PEGR.US,D,20230413,000000,10.33,10.48,10.215,10.22,21257,0
PEGR.US,D,20230417,000000,10.29,10.29,10.245,10.2664,6869,0
PEGR.US,D,20230418,000000,10.23,10.23,10.23,10.23,1447,0
PEGR.US,D,20230419,000000,10.3,10.3,10.23,10.23,470,0
PEGR.US,D,20230420,000000,10.24,10.2401,10.24,10.2401,79119,0
PEGR.US,D,20230421,000000,10.24,10.2535,10.24,10.24,3099,0
PEGR.US,D,20230424,000000,10.3,10.3,10.24,10.24,457,0
PEGR.US,D,20230425,000000,10.24,10.25,10.24,10.24,6097,0
PEGR.US,D,20230426,000000,10.26,10.26,10.25,10.25,229,0
PEGR.US,D,20230427,000000,10.25,10.25,10.25,10.25,1800071,0
PEGR.US,D,20230428,000000,10.3,10.735,10.25,10.25,16360,0
PEGR.US,D,20230501,000000,10.25,10.26,10.25,10.25,40107,0
PEGR.US,D,20230502,000000,10.25,10.26,10.25,10.25,157024,0
PEGR.US,D,20230508,000000,10.25,10.25,10.25,10.25,60000,0
PEGR.US,D,20230511,000000,10.27,10.27,10.27,10.27,419,0
PEGR.US,D,20230512,000000,10.26,10.29,10.255,10.27,12239,0
PEGR.US,D,20230519,000000,10.28,10.3,10.28,10.3,218898,0
PEGR.US,D,20230522,000000,10.29,10.29,10.29,10.29,175,0
PEGR.US,D,20230523,000000,10.28,10.29,10.28,10.29,492264,0
PEGR.US,D,20230526,000000,10.29,10.29,10.29,10.29,3302,0
PEGR.US,D,20230531,000000,10.3,10.3,10.3,10.3,347,0
PEGR.US,D,20230601,000000,10.3,10.3,10.3,10.3,104,0
PEGR.US,D,20230602,000000,10.29,10.29,10.29,10.29,104,0
PEGR.US,D,20230605,000000,10.3,10.3,10.2939,10.3,327372,0
PEGR.US,D,20230608,000000,10.3,10.32,10.3,10.32,190988,0
PEGR.US,D,20230609,000000,10.35,10.6993,10.32,10.32,34662,0
PEGR.US,D,20230613,000000,10.32,10.34,10.32,10.33,65936,0
PEGR.US,D,20230614,000000,10.33,10.36,10.33,10.36,22067,0
PEGR.US,D,20230615,000000,10.34,10.35,10.34,10.35,406,0
PEGR.US,D,20230616,000000,10.32,10.32,10.32,10.32,755,0
PEGR.US,D,20230620,000000,10.34,10.35,10.34,10.34,513,0
PEGR.US,D,20230621,000000,10.395,10.395,10.395,10.395,432,0
PEGR.US,D,20230622,000000,10.35,10.35,10.34,10.34,739,0
PEGR.US,D,20230627,000000,10.35,10.35,10.34,10.35,68223,0
