<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PGYWW.US,D,20220624,000000,0.385,0.4,0.2301,0.2301,31376,0
PGYWW.US,D,20220627,000000,0.32,0.54,0.29,0.433,151449,0
PGYWW.US,D,20220628,000000,0.43,0.435,0.4,0.41,23696,0
PGYWW.US,D,20220629,000000,0.35,0.3975,0.35,0.356,25544,0
PGYWW.US,D,20220630,000000,0.528,0.528,0.32,0.3916,35436,0
PGYWW.US,D,20220701,000000,0.48,0.48,0.31,0.346,62975,0
PGYWW.US,D,20220705,000000,0.32,0.36,0.31,0.31,16378,0
PGYWW.US,D,20220706,000000,0.32,0.345,0.31,0.31,13482,0
PGYWW.US,D,20220707,000000,0.316,0.32,0.29,0.29,73757,0
PGYWW.US,D,20220708,000000,0.3375,0.3375,0.3,0.3,6700,0
PGYWW.US,D,20220711,000000,0.3332,0.3332,0.3,0.3,5101,0
PGYWW.US,D,20220712,000000,0.29,0.29,0.28,0.28,20302,0
PGYWW.US,D,20220713,000000,0.27,0.27,0.27,0.27,647,0
PGYWW.US,D,20220714,000000,0.26,0.26,0.2583,0.2583,1511,0
PGYWW.US,D,20220715,000000,0.252,0.2525,0.252,0.2521,1699,0
PGYWW.US,D,20220718,000000,0.269849,0.285,0.26,0.26,2005,0
PGYWW.US,D,20220719,000000,0.2874,0.2874,0.28,0.2874,1000,0
PGYWW.US,D,20220720,000000,0.29,0.49,0.29,0.3838,410695,0
PGYWW.US,D,20220721,000000,0.3838,0.3896,0.3202,0.3202,43685,0
PGYWW.US,D,20220722,000000,0.3201,0.64,0.3201,0.55,1901902,0
PGYWW.US,D,20220725,000000,0.5399,0.5399,0.3503,0.37,185089,0
PGYWW.US,D,20220726,000000,0.45,0.7712,0.4,0.65,1891007,0
PGYWW.US,D,20220727,000000,0.78,0.87,0.63,0.725,1946730,0
PGYWW.US,D,20220728,000000,0.74,0.78,0.6112,0.7,304731,0
PGYWW.US,D,20220729,000000,0.66,0.8,0.582116,0.72,500111,0
PGYWW.US,D,20220801,000000,0.7,1.15,0.6991,0.8724,692902,0
PGYWW.US,D,20220802,000000,0.9718,0.98,0.7101,0.88,474198,0
PGYWW.US,D,20220803,000000,0.88,0.8922,0.75,0.77,241581,0
PGYWW.US,D,20220804,000000,0.75,0.76,0.5001,0.54,201027,0
PGYWW.US,D,20220805,000000,0.6512,0.78,0.6,0.7001,303729,0
PGYWW.US,D,20220808,000000,0.75,0.75,0.6203,0.75,76081,0
PGYWW.US,D,20220809,000000,0.674951,0.75,0.6024,0.7294,205790,0
PGYWW.US,D,20220810,000000,0.74,0.74,0.6351,0.64,173247,0
PGYWW.US,D,20220811,000000,0.64,0.77,0.64,0.764,115084,0
PGYWW.US,D,20220812,000000,0.765,0.8,0.765,0.7751,166453,0
PGYWW.US,D,20220815,000000,0.77,0.8398,0.7,0.8,203601,0
PGYWW.US,D,20220816,000000,0.8325,0.85,0.7004,0.8,142370,0
PGYWW.US,D,20220817,000000,0.760101,0.7875,0.711,0.77,52482,0
PGYWW.US,D,20220818,000000,0.75,0.7821,0.7006,0.76,99263,0
PGYWW.US,D,20220819,000000,0.7874,0.8202,0.7,0.81,172701,0
PGYWW.US,D,20220822,000000,0.69,0.78,0.69,0.73,69502,0
PGYWW.US,D,20220823,000000,0.73,0.73,0.6,0.6,72766,0
PGYWW.US,D,20220824,000000,0.57,0.57,0.5011,0.53,69010,0
PGYWW.US,D,20220825,000000,0.53,0.53,0.47,0.525,84320,0
PGYWW.US,D,20220826,000000,0.53,0.54,0.52,0.54,8339,0
PGYWW.US,D,20220829,000000,0.46,0.51,0.451,0.51,47905,0
