<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PYPT.US,D,20220715,000000,22.0389,22.0389,22.0389,22.0389,174.001556752,0
PYPT.US,D,20220718,000000,22.7385,23.1928,22.2096,22.2096,32507.32473388,0
PYPT.US,D,20220719,000000,22.6483,23.8484,22.6483,23.8484,5305.572891472,0
PYPT.US,D,20220720,000000,24.0406,24.9224,24.0406,24.9224,11838.004216992,0
PYPT.US,D,20220721,000000,26.3599,26.3599,25.0171,26.0774,10036.055891984,0
PYPT.US,D,20220722,000000,26.3463,27.0855,25.1799,25.2621,65126.718267024,0
PYPT.US,D,20220725,000000,25.8445,25.8445,25.5668,25.5668,1243.078918152,0
PYPT.US,D,20220726,000000,23.885,23.905,23.3421,23.3957,15590.834402872,0
PYPT.US,D,20220727,000000,26.4073,27.9025,26.2412,27.7026,14536.502936112,0
PYPT.US,D,20220728,000000,27.3771,27.4041,26.4413,27.4041,2303.308742768,0
PYPT.US,D,20220729,000000,27.7378,27.7433,27.7139,27.7139,3512.472103248,0
PYPT.US,D,20220801,000000,27.8179,28.8859,27.8179,28.7119,11606.493671144,0
PYPT.US,D,20220802,000000,28.6046,29.6982,28.4079,29.242,21300.44480748,0
PYPT.US,D,20220803,000000,37.1425,37.1425,33.0918,33.2385,13836.072940712,0
PYPT.US,D,20220804,000000,33.221,33.3042,32.2327,32.7549,5957.34143456,0
PYPT.US,D,20220805,000000,31.8122,31.975,31.8122,31.9349,3808.864585512,0
PYPT.US,D,20220808,000000,32.7684,33.5144,32.3209,32.367,3328.148420248,0
PYPT.US,D,20220809,000000,31.385,31.5817,31.142,31.5817,2640.989730024,0
PYPT.US,D,20220810,000000,33.094,33.7857,32.6803,33.7857,8928.63920452,0
PYPT.US,D,20220811,000000,34.4435,34.9724,33.9349,33.9349,6334.836337344,0
PYPT.US,D,20220812,000000,34.9724,34.9724,34.5026,34.7758,4841.077210312,0
PYPT.US,D,20220815,000000,35.1623,35.3115,34.8029,35.0945,8644.043437968,0
PYPT.US,D,20220816,000000,35.6303,35.6303,34.4245,34.4245,4522.565886088,0
PYPT.US,D,20220817,000000,34.6741,34.6741,33.2075,33.2075,6654.822251032,0
PYPT.US,D,20220818,000000,32.782,34.1926,32.782,33.1731,6373.175663408,0
PYPT.US,D,20220819,000000,32.4226,32.6735,31.1083,32.2768,8130.886304496,0
PYPT.US,D,20220822,000000,31.0798,31.6088,30.3234,30.3234,4832.229673528,0
PYPT.US,D,20220823,000000,31.1544,31.2901,29.9407,29.9407,3400.403303984,0
PYPT.US,D,20220824,000000,31.1273,31.8733,30.8493,30.9325,9891.546124512,0
PYPT.US,D,20220825,000000,31.7919,32.3878,31.697,32.3878,4529.938833408,0
PYPT.US,D,20220826,000000,32.8159,32.8159,30.4279,30.4279,7409.8120566,0
PYPT.US,D,20220829,000000,30.4152,30.7272,30.2321,30.4229,4936.925525472,0
PYPT.US,D,20220830,000000,30.0694,30.1847,29.7507,29.9246,4403.124139504,0
PYPT.US,D,20220831,000000,31.8326,31.8326,30.7545,30.7545,1871.254029816,0
PYPT.US,D,20220901,000000,30.066,30.3682,29.2339,30.3682,6255.208506288,0
PYPT.US,D,20220902,000000,30.9239,30.9239,29.5233,29.5233,1899.271229632,0
PYPT.US,D,20220906,000000,29.9541,29.9541,29.8035,29.8798,2438.970973456,0
PYPT.US,D,20220907,000000,31.4106,31.4106,31.4106,31.4106,234.459724776,0
PYPT.US,D,20220908,000000,31.9618,31.9618,31.9618,31.9618,120.916336048,0
PYPT.US,D,20220909,000000,32.0835,32.3141,31.819,32.0333,2315.10545848,0
PYPT.US,D,20220912,000000,33.06,33.4602,32.7155,32.7155,1154.603550312,0
PYPT.US,D,20220913,000000,30.8832,31.6156,30.8832,31.3443,1810.795861792,0
PYPT.US,D,20220914,000000,32.5855,32.5855,32.5855,32.5855,348.003113504,0
PYPT.US,D,20220915,000000,31.9195,31.9195,31.9195,31.9195,1159.027318704,0
PYPT.US,D,20220916,000000,30.1847,30.7609,30.1847,30.7609,912.770878216,0
PYPT.US,D,20220919,000000,30.9713,31.2062,30.049,31.2062,7523.355445328,0
PYPT.US,D,20220920,000000,29.5336,30.0694,29.242,29.5237,1968.57693444,0
PYPT.US,D,20220921,000000,29.8659,30.9713,29.3679,29.3679,9223.55709732,0
PYPT.US,D,20220922,000000,28.218,28.218,27.6145,27.6145,1055.806056224,0
PYPT.US,D,20220923,000000,27.1872,27.2357,26.8753,27.2357,920.143825536,0
PYPT.US,D,20220926,000000,26.3056,26.342,26.1361,26.342,2382.936573824,0
PYPT.US,D,20220927,000000,26.9227,26.9227,26.3192,26.6409,3544.913071456,0
PYPT.US,D,20220928,000000,30.2762,30.3271,29.2089,29.2089,603.107090776,0
PYPT.US,D,20220929,000000,28.4283,28.4283,28.0188,28.0188,1471.640285072,0
PYPT.US,D,20220930,000000,27.6958,27.6958,26.7394,26.7394,642.921006304,0
PYPT.US,D,20221003,000000,27.3568,27.3568,26.6379,27.2457,6252.25932736,0
PYPT.US,D,20221004,000000,28.7673,29.9405,28.7538,29.8575,3791.169511944,0
