<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QQMG.US,D,20211029,000000,25.1543,25.4223,25.1543,25.4223,2332.5707838368,0
QQMG.US,D,20211101,000000,25.5417,25.5417,25.3237,25.4919,50080.485511778,0
QQMG.US,D,20211102,000000,25.5617,25.6713,25.5417,25.6215,48637.565057033,0
QQMG.US,D,20211103,000000,25.7211,25.8803,25.6015,25.8803,22165.949226516,0
QQMG.US,D,20211104,000000,25.8903,26.3265,25.8903,26.2239,23916.130404402,0
QQMG.US,D,20211105,000000,26.4261,26.456,26.2279,26.2578,20015.124164537,0
QQMG.US,D,20211108,000000,26.3365,26.3664,26.2668,26.3196,47502.909445438,0
QQMG.US,D,20211109,000000,26.4361,26.4361,26.1383,26.207,20054.284844937,0
QQMG.US,D,20211110,000000,26.0198,26.1483,25.7201,25.7907,15643.185639859,0
QQMG.US,D,20211111,000000,25.9501,25.97,25.8704,25.8803,5264.6012137996,0
QQMG.US,D,20211112,000000,25.9003,26.1771,25.8853,26.1682,7005.7453115925,0
QQMG.US,D,20211115,000000,26.2867,26.2867,26.0397,26.1582,10937.879271776,0
QQMG.US,D,20211116,000000,26.0795,26.3763,26.0795,26.3385,6078.9425421214,0
QQMG.US,D,20211117,000000,26.4062,26.4261,26.2937,26.3265,5519.6476964059,0
QQMG.US,D,20211118,000000,26.5158,26.6054,26.3514,26.5914,18140.43210538,0
QQMG.US,D,20211119,000000,26.7747,26.8444,26.695,26.7538,19314.248397375,0
QQMG.US,D,20211122,000000,26.933,27.0724,26.4859,26.4859,35323.937840979,0
QQMG.US,D,20211123,000000,26.2867,26.4411,26.0597,26.3365,13591.768458896,0
QQMG.US,D,20211124,000000,26.2578,26.449,26.1582,26.449,26467.599350475,0
QQMG.US,D,20211126,000000,26.2479,26.2578,25.8405,25.8405,7816.0701598733,0
QQMG.US,D,20211129,000000,26.2967,26.5158,26.207,26.5028,16707.552850736,0
QQMG.US,D,20211130,000000,26.4261,26.7249,25.9899,26.7249,17275.884776544,0
QQMG.US,D,20211201,000000,26.4759,26.5855,25.7409,25.7409,22495.300589882,0
QQMG.US,D,20211202,000000,25.6413,26.0537,25.5915,25.9093,11050.340712925,0
QQMG.US,D,20211203,000000,26.0497,26.0497,25.244,25.3825,13186.10397475,0
QQMG.US,D,20211206,000000,25.5517,25.7629,25.3436,25.6971,15903.252722517,0
QQMG.US,D,20211207,000000,26.208,26.4998,26.208,26.4859,16152.274485062,0
QQMG.US,D,20211208,000000,26.5357,26.6154,26.4162,26.6114,6292.8201043071,0
QQMG.US,D,20211209,000000,26.6154,26.6154,26.2479,26.2479,6274.7459441224,0
QQMG.US,D,20211210,000000,26.4958,26.5676,26.3664,26.5676,21329.517257969,0
QQMG.US,D,20211213,000000,26.5855,26.5855,26.1881,26.1881,11099.542593427,0
QQMG.US,D,20211214,000000,25.8305,25.9601,25.5377,25.7709,11076.447833192,0
QQMG.US,D,20211215,000000,25.7807,26.3564,25.5915,26.3564,4879.0191298593,0
QQMG.US,D,20211216,000000,26.5456,26.5456,25.6513,25.7609,15825.935481727,0
QQMG.US,D,20211217,000000,25.4421,25.8207,25.3825,25.6333,15761.67180107,0
QQMG.US,D,20211220,000000,25.2739,25.3725,25.2041,25.3625,10658.733908923,0
QQMG.US,D,20211221,000000,25.5717,25.9611,25.5119,25.9611,6039.7818617212,0
QQMG.US,D,20211222,000000,25.9601,26.2618,25.8903,26.2618,9299.1554150292,0
QQMG.US,D,20211223,000000,26.3375,26.5168,26.3375,26.4879,17047.949534215,0
QQMG.US,D,20211227,000000,26.5666,26.936,26.5666,26.936,14608.94202929,0
QQMG.US,D,20211228,000000,27.0834,27.0834,26.7806,26.7846,9601.3955381178,0
QQMG.US,D,20211229,000000,26.8554,26.8852,26.716,26.8255,4472.3505257035,0
QQMG.US,D,20211230,000000,26.8852,26.9141,26.6771,26.6771,3891.9691597725,0
QQMG.US,D,20211231,000000,26.6462,26.6462,26.5197,26.5197,14369.961466849,0
QQMG.US,D,20220103,000000,26.5267,26.7219,26.5267,26.7219,6334.993144738,0
QQMG.US,D,20220104,000000,26.7558,26.7558,26.1881,26.3982,5725.4922985095,0
QQMG.US,D,20220105,000000,26.2777,26.2777,25.6713,25.6713,14885.075032112,0
