<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RENT.US,D,20211027,000000,23,24.77,18.75,19.29,9179064,0
RENT.US,D,20211028,000000,19.61,19.6799,18.85,18.85,1744177,0
RENT.US,D,20211029,000000,18.73,19.25,17.02,17.25,1691493,0
RENT.US,D,20211101,000000,17.49,17.6099,16.5,16.85,1201803,0
RENT.US,D,20211102,000000,17.75,17.75,16,16.01,1143700,0
RENT.US,D,20211103,000000,16.06,16.15,15.0585,15.87,1034897,0
RENT.US,D,20211104,000000,15.52,16.2812,15.52,16.03,462593,0
RENT.US,D,20211105,000000,16.33,16.72,16.0192,16.64,756979,0
RENT.US,D,20211108,000000,16.5,18.06,16.26,17.83,598948,0
RENT.US,D,20211109,000000,18.12,18.61,17.13,18.18,851935,0
RENT.US,D,20211110,000000,18.6,18.6,16.51,17.09,2440145,0
RENT.US,D,20211111,000000,17.1,18.36,17.03,17.94,574803,0
RENT.US,D,20211112,000000,18.08,18.39,17,17.06,509713,0
RENT.US,D,20211115,000000,17.06,17.61,16,16.04,771604,0
RENT.US,D,20211116,000000,16,16.485,15.49,15.58,475144,0
RENT.US,D,20211117,000000,15.59,16.49,15.35,16.4,411425,0
RENT.US,D,20211118,000000,16.17,16.95,16.03,16.32,354745,0
RENT.US,D,20211119,000000,16.52,16.89,16,16.2,391762,0
RENT.US,D,20211122,000000,17.4,18.46,15.78,15.92,1773111,0
RENT.US,D,20211123,000000,16,16.99,15,15,1286802,0
RENT.US,D,20211124,000000,15,16.38,14.52,15.82,931953,0
RENT.US,D,20211126,000000,15.5,16,15.14,15.88,438078,0
RENT.US,D,20211129,000000,15.74,15.88,14.36,14.6,938794,0
RENT.US,D,20211130,000000,14.57,14.79,13,13.52,754958,0
RENT.US,D,20211201,000000,14,14,12.15,12.25,1204710,0
RENT.US,D,20211202,000000,12.16,12.62,12.01,12.58,880530,0
RENT.US,D,20211203,000000,12.98,13,11.5,12.13,1143474,0
RENT.US,D,20211206,000000,12.25,12.35,10.88,10.99,1416170,0
RENT.US,D,20211207,000000,11.61,13.37,11.12,12.81,1528914,0
RENT.US,D,20211208,000000,12.5,13.2399,11.3,11.5,2769281,0
RENT.US,D,20211209,000000,10.4,11.18,9.8101,11.02,2556025,0
RENT.US,D,20211210,000000,11,11.265,9.5,10.11,1692832,0
RENT.US,D,20211213,000000,10.19,10.41,9.56,9.68,945668,0
RENT.US,D,20211214,000000,9.7,10.1494,9.47,9.8,1126365,0
RENT.US,D,20211215,000000,9.68,9.99,8.91,9.91,1986655,0
RENT.US,D,20211216,000000,9.89,10.74,8.8,8.89,1709722,0
RENT.US,D,20211217,000000,8.91,9.05,8.06,8.64,4673365,0
RENT.US,D,20211220,000000,8.9083,9.18,8.46,8.69,924823,0
RENT.US,D,20211221,000000,8.9,9.2,8.68,8.86,584670,0
RENT.US,D,20211222,000000,8.85,9.12,8.3,8.4,561263,0
RENT.US,D,20211223,000000,8.46,9.245,8.2411,8.8,788998,0
RENT.US,D,20211227,000000,8.81,9.2,8.6,8.94,395504,0
RENT.US,D,20211228,000000,8.94,9.19,7.87,8.04,1139852,0
RENT.US,D,20211229,000000,8.04,8.36,7.69,8.29,702920,0
RENT.US,D,20211230,000000,8.12,8.75,8.12,8.38,579942,0
RENT.US,D,20211231,000000,8.36,8.66,8.08,8.15,449779,0
RENT.US,D,20220103,000000,8.3,8.51,7.9,8.4,483230,0
RENT.US,D,20220104,000000,8.4,8.5,7.58,7.94,849928,0
RENT.US,D,20220105,000000,7.87,8.15,7.07,7.31,1044137,0
RENT.US,D,20220106,000000,7.25,7.58,6.91,7.42,1054757,0
RENT.US,D,20220107,000000,7.46,7.5,6.555,6.62,1199958,0
RENT.US,D,20220110,000000,6.52,6.68,6.0947,6.66,1905661,0
RENT.US,D,20220111,000000,6.55,6.9,6.36,6.7,1098466,0
RENT.US,D,20220112,000000,6.8,6.96,6.37,6.38,605106,0
RENT.US,D,20220113,000000,6.38,6.51,5.69,5.71,730065,0
RENT.US,D,20220114,000000,5.65,5.795,5.245,5.43,1102900,0
RENT.US,D,20220118,000000,5.37,5.49,5.01,5.05,1214178,0
RENT.US,D,20220119,000000,5.19,5.54,5.01,5.21,1028875,0
RENT.US,D,20220120,000000,5.24,5.64,4.96,5.01,703473,0
RENT.US,D,20220121,000000,4.97,5.11,4.65,4.73,1095954,0
RENT.US,D,20220124,000000,4.61,5.39,4.37,5.35,1878783,0
