<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RILYN.US,D,20190925,000000,25.19,25.24,25.1,25.13,120301,0
RILYN.US,D,20190926,000000,25.13,25.1532,25.0599,25.07,81276,0
RILYN.US,D,20190927,000000,25.14,25.19,25.07,25.08,99210,0
RILYN.US,D,20190930,000000,25.12,25.24,25.07,25.07,175084,0
RILYN.US,D,20191001,000000,25.11,25.1694,25.07,25.1,41209,0
RILYN.US,D,20191002,000000,25.1,25.1215,24.88,25.06,127900,0
RILYN.US,D,20191003,000000,25.09,25.09,25,25.04,61683,0
RILYN.US,D,20191004,000000,25.05,25.13,25.05,25.1,44919,0
RILYN.US,D,20191007,000000,25.12,25.3943,25.12,25.39,160791,0
RILYN.US,D,20191008,000000,25.49,25.54,25.245,25.38,284025,0
RILYN.US,D,20191009,000000,25.42,25.45,25.36,25.37,25222,0
RILYN.US,D,20191010,000000,25.3602,25.365,25.23,25.27,17170,0
RILYN.US,D,20191011,000000,25.1,25.22,25.1,25.212,12311,0
RILYN.US,D,20191014,000000,25.19,25.22,25.16,25.205,18177,0
RILYN.US,D,20191015,000000,25.22,25.27,25.1,25.18,17044,0
RILYN.US,D,20191016,000000,25.23,25.24,25.12,25.1738,15152,0
RILYN.US,D,20191017,000000,25.16,25.2252,25.16,25.19,4924,0
RILYN.US,D,20191018,000000,25.21,25.24,25.2,25.24,3915,0
RILYN.US,D,20191021,000000,25.2,25.24,25.17,25.18,5292,0
RILYN.US,D,20191022,000000,25.15,25.2399,25.13,25.18,24810,0
RILYN.US,D,20191023,000000,25.1999,25.1999,25.18,25.18,856,0
RILYN.US,D,20191024,000000,25.1536,25.1536,25.08,25.08,19322,0
RILYN.US,D,20191025,000000,25.15,25.22,25.15,25.1749,3990,0
RILYN.US,D,20191028,000000,25.1575,25.22,25.06,25.12,13189,0
RILYN.US,D,20191029,000000,25.12,25.15,25.06,25.06,19279,0
RILYN.US,D,20191030,000000,25.06,25.1293,25,25.1,56549,0
RILYN.US,D,20191031,000000,25.1352,25.21,25,25,75398,0
RILYN.US,D,20191101,000000,25.05,25.19,25.05,25.1171,25889,0
RILYN.US,D,20191104,000000,25.1858,25.1858,25.08,25.08,19655,0
RILYN.US,D,20191105,000000,25.1,25.2,25.05,25.2,25996,0
RILYN.US,D,20191106,000000,25.2,25.22,25.11,25.2,4616,0
RILYN.US,D,20191107,000000,25.1,25.22,25.02,25.15,26534,0
RILYN.US,D,20191108,000000,25.14,25.17,25.07,25.07,4726,0
RILYN.US,D,20191111,000000,25.2025,25.7,25.165,25.23,6903,0
RILYN.US,D,20191112,000000,25.25,25.25,25.16,25.16,4623,0
RILYN.US,D,20191113,000000,25.16,25.26,25.06,25.23,28236,0
RILYN.US,D,20191114,000000,25.21,25.21,25.1,25.16,9655,0
RILYN.US,D,20191115,000000,25.08,25.19,25.07,25.1,13079,0
RILYN.US,D,20191118,000000,25.1,25.18,25.05,25.18,32706,0
RILYN.US,D,20191119,000000,25.19,25.323,25.13,25.13,8207,0
RILYN.US,D,20191120,000000,25.2183,25.3192,25.17,25.27,6370,0
RILYN.US,D,20191121,000000,25.31,25.38,25.29,25.35,9366,0
RILYN.US,D,20191122,000000,25.276,25.29,25.18,25.2312,17775,0
RILYN.US,D,20191125,000000,25.317,25.37,25.2,25.31,16468,0
RILYN.US,D,20191126,000000,25.38,25.38,25.24,25.35,8266,0
RILYN.US,D,20191127,000000,25.38,25.38,25.235,25.25,24684,0
RILYN.US,D,20191129,000000,25.25,25.3499,25.11,25.17,23308,0
RILYN.US,D,20191202,000000,25.11,25.175,25.07,25.0974,10426,0
RILYN.US,D,20191203,000000,25.15,25.21,25.1,25.1,33912,0
RILYN.US,D,20191204,000000,25.1596,25.19,25.1,25.15,15320,0
RILYN.US,D,20191205,000000,25.1762,25.25,25.1,25.1,14686,0
RILYN.US,D,20191206,000000,25.18,25.23,25.15,25.16,15328,0
RILYN.US,D,20191209,000000,25.1896,25.1896,25.11,25.15,11363,0
RILYN.US,D,20191210,000000,25.1247,25.17,25.11,25.11,11074,0
RILYN.US,D,20191211,000000,25.13,25.14,25.1,25.11,11261,0
RILYN.US,D,20191212,000000,25.125,25.15,25.08,25.08,12748,0
RILYN.US,D,20191213,000000,25.1,25.2,25.09,25.16,9175,0
RILYN.US,D,20191216,000000,25.15,25.2345,25.12,25.15,9683,0
RILYN.US,D,20191217,000000,25.15,25.2,25.12,25.15,11469,0
RILYN.US,D,20191218,000000,25.15,25.2217,25.12,25.14,20185,0
RILYN.US,D,20191219,000000,25.15,25.19,25.12,25.1616,20721,0
RILYN.US,D,20191220,000000,25.15,25.19,25.12,25.15,25462,0
RILYN.US,D,20191223,000000,25.1741,25.24,25.17,25.24,19390,0
RILYN.US,D,20191224,000000,25.24,25.24,25.2,25.2225,3273,0
RILYN.US,D,20191226,000000,25.15,25.21,25.15,25.205,7121,0
RILYN.US,D,20191227,000000,25.2,25.2,25.12,25.12,6049,0
RILYN.US,D,20191230,000000,25.15,25.24,25.12,25.16,78866,0
RILYN.US,D,20191231,000000,25.18,25.22,25.15,25.2,35020,0
RILYN.US,D,20200102,000000,25.2,25.305,25.2,25.305,19386,0
RILYN.US,D,20200103,000000,25.3645,25.37,25.3127,25.37,24700,0
RILYN.US,D,20200106,000000,25.35,25.455,25.35,25.4,68266,0
RILYN.US,D,20200107,000000,25.4,25.45,25.38,25.425,34871,0
RILYN.US,D,20200108,000000,25.44,25.48,25.41,25.45,29003,0
RILYN.US,D,20200109,000000,25.43,25.48,25.4,25.42,32935,0
RILYN.US,D,20200110,000000,25.4,25.476,25.4,25.4,37355,0
RILYN.US,D,20200113,000000,25.4,25.47,25.39,25.4,41932,0
RILYN.US,D,20200114,000000,25.19,25.3379,25.1543,25.28,28811,0
RILYN.US,D,20200115,000000,25.28,25.29,25.1712,25.215,26526,0
RILYN.US,D,20200116,000000,25.2,25.2999,25.19,25.195,21562,0
RILYN.US,D,20200117,000000,25.2,25.3,25.2,25.245,25689,0
RILYN.US,D,20200121,000000,25.2,25.3299,25.14,25.2,31285,0
RILYN.US,D,20200122,000000,25.25,25.28,25.2,25.21,27438,0
RILYN.US,D,20200123,000000,25.2,25.25,25.17,25.17,33784,0
RILYN.US,D,20200124,000000,25.21,25.27,25.19,25.2,39940,0
RILYN.US,D,20200127,000000,25.2,25.2099,25.1892,25.2,16974,0
RILYN.US,D,20200128,000000,25.2,25.22,25.16,25.2,17352,0
RILYN.US,D,20200129,000000,25.19,25.25,25.1412,25.23,56816,0
RILYN.US,D,20200130,000000,25.22,25.3,25.16,25.27,42328,0
RILYN.US,D,20200131,000000,25.26,25.29,25.25,25.25,22398,0
RILYN.US,D,20200203,000000,25.25,25.2699,25.1542,25.1875,6625,0
RILYN.US,D,20200204,000000,25.1807,25.35,25.15,25.3499,31001,0
RILYN.US,D,20200205,000000,25.34,25.48,25.31,25.35,15969,0
RILYN.US,D,20200206,000000,25.18,25.46,25.18,25.3,20217,0
RILYN.US,D,20200207,000000,25.4064,25.59,25.3794,25.59,11351,0
RILYN.US,D,20200210,000000,25.45,25.45,25.05,25.23,62840,0
RILYN.US,D,20200211,000000,25.24,25.3416,25.24,25.27,8958,0
RILYN.US,D,20200212,000000,25.33,25.45,25.31,25.45,23495,0
RILYN.US,D,20200213,000000,25.44,25.54,25.3992,25.52,21969,0
RILYN.US,D,20200214,000000,25.5499,25.55,25.43,25.54,8345,0
RILYN.US,D,20200218,000000,25.5462,25.59,25.47,25.5234,6805,0
RILYN.US,D,20200219,000000,25.59,25.59,25.5601,25.5711,4062,0
RILYN.US,D,20200220,000000,25.59,25.61,25.46,25.5212,11312,0
RILYN.US,D,20200221,000000,25.4601,25.6,25.4601,25.545,5921,0
RILYN.US,D,20200224,000000,25.4723,25.48,25.27,25.3,10661,0
RILYN.US,D,20200225,000000,25.3,25.315,25,25,17281,0
RILYN.US,D,20200226,000000,25.23,25.23,24.89,24.9,17005,0
RILYN.US,D,20200227,000000,24.86,25.083,24.82,25.01,9386,0
RILYN.US,D,20200228,000000,24.95,24.95,24.0376,24.04,45634,0
RILYN.US,D,20200302,000000,24.04,24.73,24.04,24.5917,18716,0
RILYN.US,D,20200303,000000,25.1695,25.1695,24.14,24.381,17641,0
RILYN.US,D,20200304,000000,24.93,25.15,24.755,25.11,16798,0
RILYN.US,D,20200305,000000,25.14,25.14,24.775,24.85,35029,0
RILYN.US,D,20200306,000000,24.89,24.89,24.75,24.79,8563,0
RILYN.US,D,20200309,000000,24.26,24.7,22.78,23.18,31918,0
RILYN.US,D,20200310,000000,24.3,24.4904,23.56,23.713,10536,0
RILYN.US,D,20200311,000000,23.45,23.5804,22.5001,22.5001,8315,0
RILYN.US,D,20200312,000000,22.82,22.82,17.5,19.26,24423,0
RILYN.US,D,20200313,000000,21.7028,21.7028,19.28,19.375,26859,0
RILYN.US,D,20200316,000000,18.85,18.85,16.95,17.01,13352,0
RILYN.US,D,20200317,000000,17,17.7814,16.02,17.7814,33008,0
RILYN.US,D,20200318,000000,15.18,16.2987,10.52,11,49682,0
RILYN.US,D,20200319,000000,10.67,13.53,10.11,13.45,65712,0
RILYN.US,D,20200320,000000,14,16.79,13.8169,14.76,28486,0
RILYN.US,D,20200323,000000,12.81,14.142,12.5,12.6,36419,0
RILYN.US,D,20200324,000000,13.1,14.5,12.925,14.1,96449,0
RILYN.US,D,20200325,000000,14.38,15.23,13.38,13.38,157459,0
RILYN.US,D,20200326,000000,14.25,16.95,14.1501,16.95,34818,0
RILYN.US,D,20200327,000000,16.25,18,16.1,17.7,21850,0
RILYN.US,D,20200330,000000,17.5,17.8,17,17.4555,9533,0
RILYN.US,D,20200331,000000,17.5,18.4,17.4176,18.36,12688,0
RILYN.US,D,20200401,000000,17.66,17.66,16.4,16.4,14544,0
RILYN.US,D,20200402,000000,16.525,16.65,16.3,16.4,3170,0
RILYN.US,D,20200403,000000,16.4,17.05,15.2964,15.31,12953,0
RILYN.US,D,20200406,000000,15.52,16.6035,15.15,15.8,129816,0
RILYN.US,D,20200407,000000,16.5,16.9001,16.1,16.1,89040,0
RILYN.US,D,20200408,000000,16.61,18.394,16.32,17.78,45925,0
RILYN.US,D,20200409,000000,18,19.35,18,19,64826,0
RILYN.US,D,20200413,000000,19.1,19.2,18.5416,19,11666,0
RILYN.US,D,20200414,000000,18.8001,19.3109,18.8,19,16256,0
RILYN.US,D,20200415,000000,18.725,18.725,18.306,18.45,21651,0
RILYN.US,D,20200416,000000,18.12,18.5,18.12,18.45,13590,0
RILYN.US,D,20200417,000000,18.77,18.99,18.2815,18.4,15708,0
RILYN.US,D,20200420,000000,18.4828,18.92,18.2521,18.75,57815,0
RILYN.US,D,20200421,000000,18.43,19.1125,18.35,18.73,54240,0
