<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RILYO.US,D,20190508,000000,24.9,24.9,24.794,24.85,109646,0
RILYO.US,D,20190509,000000,24.87,24.89,24.84,24.89,80569,0
RILYO.US,D,20190510,000000,24.89,24.89,24.762,24.8,41985,0
RILYO.US,D,20190513,000000,24.9,24.9,24.7733,24.7893,32520,0
RILYO.US,D,20190514,000000,24.83,24.85,24.8,24.83,19293,0
RILYO.US,D,20190515,000000,24.85,24.92,24.8,24.81,25282,0
RILYO.US,D,20190516,000000,24.85,24.9,24.81,24.85,54213,0
RILYO.US,D,20190517,000000,24.9,24.9,24.82,24.8699,28735,0
RILYO.US,D,20190520,000000,24.89,24.9,24.81,24.815,20519,0
RILYO.US,D,20190521,000000,24.9,24.9,24.52,24.65,47100,0
RILYO.US,D,20190522,000000,24.65,24.75,24.6475,24.73,14817,0
RILYO.US,D,20190523,000000,24.75,24.75,24.6706,24.7131,12151,0
RILYO.US,D,20190524,000000,24.66,24.75,24.63,24.73,12214,0
RILYO.US,D,20190528,000000,24.79,24.79,24.64,24.735,31937,0
RILYO.US,D,20190529,000000,24.74,24.74,24.68,24.681,15145,0
RILYO.US,D,20190530,000000,24.729,24.74,24.67,24.74,24757,0
RILYO.US,D,20190531,000000,24.74,24.74,24.67,24.71,19701,0
RILYO.US,D,20190603,000000,24.7381,24.8,24.7381,24.79,10267,0
RILYO.US,D,20190604,000000,24.8,24.9,24.8,24.88,22848,0
RILYO.US,D,20190605,000000,24.9,24.95,24.8492,24.8847,28993,0
RILYO.US,D,20190606,000000,24.88,24.89,24.83,24.8692,37510,0
RILYO.US,D,20190607,000000,24.87,24.94,24.86,24.89,58142,0
RILYO.US,D,20190610,000000,24.93,25.15,24.92,25.07,102888,0
RILYO.US,D,20190611,000000,25.14,25.51,25.11,25.25,198379,0
RILYO.US,D,20190612,000000,25.33,25.3453,25.13,25.2,67602,0
RILYO.US,D,20190613,000000,25.24,25.2896,25.17,25.27,40625,0
RILYO.US,D,20190614,000000,25.29,25.29,25.1,25.19,26989,0
RILYO.US,D,20190617,000000,25.23,25.31,25.12,25.19,30139,0
RILYO.US,D,20190618,000000,25.25,25.29,25.15,25.23,56789,0
RILYO.US,D,20190619,000000,25.25,25.27,25.1,25.2097,79822,0
RILYO.US,D,20190620,000000,25.255,25.255,25.17,25.2122,20705,0
RILYO.US,D,20190621,000000,25.24,25.24,25.09,25.14,29823,0
RILYO.US,D,20190624,000000,25.18,25.1899,25.1,25.1,18869,0
RILYO.US,D,20190625,000000,25.1787,25.1787,25.11,25.12,9683,0
RILYO.US,D,20190626,000000,25.17,25.1799,25.13,25.15,7197,0
RILYO.US,D,20190627,000000,25.15,25.2,25.1,25.16,20953,0
RILYO.US,D,20190628,000000,25.18,25.18,25.1,25.1546,33823,0
RILYO.US,D,20190701,000000,25.1797,25.24,25.15,25.225,4414,0
RILYO.US,D,20190702,000000,25.24,25.35,25.18,25.2,16286,0
RILYO.US,D,20190703,000000,25.26,25.26,25.16,25.184,23898,0
