<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ROCLW.US,D,20220107,000000,1.68,1.68,0.52,0.52,8718,0
ROCLW.US,D,20220110,000000,0.52,0.5205,0.51,0.52,226283,0
ROCLW.US,D,20220111,000000,0.52,0.52,0.52,0.52,393380,0
ROCLW.US,D,20220112,000000,0.51,0.52,0.5,0.5,124878,0
ROCLW.US,D,20220113,000000,0.5,0.52,0.49,0.52,106470,0
ROCLW.US,D,20220118,000000,0.4899,0.4899,0.4899,0.4899,150,0
ROCLW.US,D,20220121,000000,0.51,0.52,0.51,0.51,50535,0
ROCLW.US,D,20220124,000000,0.51,0.51,0.51,0.51,3501,0
ROCLW.US,D,20220127,000000,0.51,0.52,0.51,0.51,35963,0
ROCLW.US,D,20220128,000000,0.4899,0.504451,0.4784,0.504451,6652,0
ROCLW.US,D,20220131,000000,0.489,0.489,0.4866,0.4872,18310,0
ROCLW.US,D,20220201,000000,0.7894,0.7899,0.7699,0.7699,1008,0
ROCLW.US,D,20220207,000000,0.4874,0.4874,0.4874,0.4874,200,0
ROCLW.US,D,20220209,000000,0.4873,0.4873,0.45,0.45,16286,0
ROCLW.US,D,20220210,000000,0.51,0.51,0.51,0.51,1000,0
ROCLW.US,D,20220211,000000,0.4855,0.51725,0.4747,0.51725,8675,0
ROCLW.US,D,20220214,000000,0.55,0.55,0.55,0.55,693,0
ROCLW.US,D,20220216,000000,0.5499,0.5499,0.52,0.52,1331,0
ROCLW.US,D,20220217,000000,0.4846,0.507301,0.469,0.4799,33300,0
ROCLW.US,D,20220218,000000,0.4799,0.4799,0.4798,0.4798,1300,0
ROCLW.US,D,20220223,000000,0.4798,0.4798,0.3308,0.35,283731,0
ROCLW.US,D,20220224,000000,0.3541,0.36,0.35,0.35,31583,0
ROCLW.US,D,20220228,000000,0.47,0.47,0.423,0.443,1100,0
ROCLW.US,D,20220301,000000,0.44,0.4429,0.4329,0.4429,400,0
ROCLW.US,D,20220302,000000,0.44,0.44,0.3999,0.3999,700,0
ROCLW.US,D,20220303,000000,0.3898,0.39,0.38,0.38,400,0
ROCLW.US,D,20220304,000000,0.3598,0.36,0.3487,0.3487,19800,0
ROCLW.US,D,20220307,000000,0.35,0.35,0.3421,0.3457,23140,0
ROCLW.US,D,20220308,000000,0.3443,0.34964,0.3129,0.3448,8300,0
ROCLW.US,D,20220309,000000,0.34,0.3499,0.34,0.3499,400,0
ROCLW.US,D,20220310,000000,0.3498,0.3499,0.3497,0.3497,600,0
ROCLW.US,D,20220311,000000,0.3499,0.35,0.3498,0.3498,400,0
ROCLW.US,D,20220314,000000,0.3499,0.3499,0.3499,0.3499,800,0
ROCLW.US,D,20220315,000000,0.3498,0.3498,0.19,0.25,2300,0
ROCLW.US,D,20220316,000000,0.25,0.30552,0.25,0.30552,24450,0
ROCLW.US,D,20220317,000000,0.3,0.3049,0.3,0.3,1625,0
ROCLW.US,D,20220321,000000,0.4,0.42,0.4,0.41,1200,0
ROCLW.US,D,20220322,000000,0.4,0.4099,0.4,0.4,1000,0
ROCLW.US,D,20220323,000000,0.3999,0.3999,0.319,0.3999,1631,0
ROCLW.US,D,20220324,000000,0.3999,0.4,0.3999,0.4,1000,0
ROCLW.US,D,20220325,000000,0.0554,0.4,0.0454,0.3899,51600,0
ROCLW.US,D,20220328,000000,0.33,0.4005,0.33,0.4,2300,0
ROCLW.US,D,20220329,000000,0.3999,0.3999,0.3999,0.3999,1015,0
ROCLW.US,D,20220330,000000,0.3999,0.3999,0.3999,0.3999,515,0
ROCLW.US,D,20220331,000000,0.3999,0.4,0.3999,0.4,1500,0
ROCLW.US,D,20220401,000000,0.3619,0.3999,0.3619,0.3999,1500,0
ROCLW.US,D,20220404,000000,0.3998,0.4,0.3998,0.4,102000,0
ROCLW.US,D,20220405,000000,0.3999,0.3999,0.3999,0.3999,200,0
ROCLW.US,D,20220406,000000,0.4,0.4,0.32,0.3296,12584,0
ROCLW.US,D,20220408,000000,0.508,0.51,0.4,0.4,21700,0
ROCLW.US,D,20220411,000000,0.405,0.405,0.39,0.4,21637,0
ROCLW.US,D,20220412,000000,0.405,0.405,0.4,0.4,30100,0
ROCLW.US,D,20220413,000000,0.405,0.405,0.405,0.405,100,0
ROCLW.US,D,20220414,000000,0.405,0.405,0.4,0.4,15100,0
ROCLW.US,D,20220418,000000,0.405,0.405,0.405,0.405,50100,0
ROCLW.US,D,20220419,000000,0.405,0.405,0.405,0.405,127,0
ROCLW.US,D,20220420,000000,0.405,0.405,0.4,0.4,2300,0
ROCLW.US,D,20220421,000000,0.4,0.4,0.4,0.4,1500,0
ROCLW.US,D,20220422,000000,0.4,0.4,0.4,0.4,600,0
ROCLW.US,D,20220425,000000,0.4,0.4,0.4,0.4,600,0
ROCLW.US,D,20220428,000000,0.4,0.4,0.2201,0.2201,1500,0
ROCLW.US,D,20220429,000000,0.39,0.4,0.241,0.2799,25889,0
ROCLW.US,D,20220502,000000,0.2618,0.2618,0.1501,0.1531,330,0
ROCLW.US,D,20220503,000000,0.2999,0.3,0.253,0.3,30160,0
ROCLW.US,D,20220504,000000,0.161,0.2999,0.1511,0.2997,1650,0
ROCLW.US,D,20220505,000000,0.2999,0.3,0.2225,0.3,4970,0
ROCLW.US,D,20220506,000000,0.28,0.28,0.28,0.28,600,0
ROCLW.US,D,20220509,000000,0.28,0.2999,0.2204,0.25,7630,0
ROCLW.US,D,20220510,000000,0.2602,0.3,0.2523,0.3,1200,0
ROCLW.US,D,20220512,000000,0.3285,0.3285,0.2578,0.2999,1300,0
ROCLW.US,D,20220516,000000,0.25,0.2999,0.25,0.25,800,0
ROCLW.US,D,20220517,000000,0.25,0.25,0.2013,0.2013,700,0
ROCLW.US,D,20220518,000000,0.22,0.22,0.22,0.22,600,0
ROCLW.US,D,20220520,000000,0.2399,0.2499,0.2399,0.2499,1200,0
ROCLW.US,D,20220524,000000,0.2499,0.25,0.2499,0.25,1500,0
ROCLW.US,D,20220601,000000,0.123,0.25,0.123,0.2398,5896,0
ROCLW.US,D,20220602,000000,0.18,0.18,0.18,0.18,100,0
ROCLW.US,D,20220603,000000,0.2499,0.2499,0.18,0.18,52314,0
ROCLW.US,D,20220606,000000,0.1849,0.2499,0.12,0.18,3992,0
ROCLW.US,D,20220607,000000,0.21,0.21,0.1859,0.195,6700,0
ROCLW.US,D,20220608,000000,0.1999,0.1999,0.1999,0.1999,640,0
ROCLW.US,D,20220609,000000,0.2188,0.2344,0.1885,0.1885,1500,0
ROCLW.US,D,20220610,000000,0.2,0.2,0.17495,0.1999,1700,0
ROCLW.US,D,20220615,000000,0.1999,0.1999,0.14,0.19,3420,0
ROCLW.US,D,20220624,000000,0.19,0.19,0.19,0.19,2000,0
ROCLW.US,D,20220630,000000,0.1749,0.19,0.14,0.165,2381,0
ROCLW.US,D,20220705,000000,0.13,0.1301,0.1155,0.1264,1427,0
ROCLW.US,D,20220708,000000,0.13,0.13,0.0821,0.0821,2910,0
ROCLW.US,D,20220711,000000,0.0944,0.1238,0.08,0.09,11600,0
ROCLW.US,D,20220713,000000,0.1282,0.18,0.1282,0.1674,1190,0
ROCLW.US,D,20220714,000000,0.1752,0.1899,0.1593,0.1899,1101,0
ROCLW.US,D,20220715,000000,0.15,0.15,0.1,0.13,149650,0
ROCLW.US,D,20220719,000000,0.1423,0.1898,0.1423,0.1898,1200,0
ROCLW.US,D,20220720,000000,0.14,0.1899,0.14,0.1899,902,0
ROCLW.US,D,20220721,000000,0.15,0.15,0.14,0.15,224350,0
ROCLW.US,D,20220722,000000,0.15,0.1897,0.1499,0.1897,9654,0
ROCLW.US,D,20220728,000000,0.14,0.19,0.14,0.19,16078,0
ROCLW.US,D,20220801,000000,0.0988,0.1289,0.0988,0.1289,760,0
ROCLW.US,D,20220803,000000,0.141101,0.19,0.1411,0.15,4209,0
ROCLW.US,D,20220804,000000,0.15,0.15,0.15,0.15,900,0
ROCLW.US,D,20220805,000000,0.15,0.15,0.089,0.1395,4620,0
ROCLW.US,D,20220809,000000,0.13,0.14,0.13,0.1316,1200,0
ROCLW.US,D,20220810,000000,0.13,0.13,0.13,0.13,600,0
ROCLW.US,D,20220811,000000,0.1428,0.16,0.1297,0.13,33820,0
ROCLW.US,D,20220812,000000,0.13,0.13,0.13,0.13,28350,0
ROCLW.US,D,20220815,000000,0.12,0.12,0.0732,0.1011,133200,0
ROCLW.US,D,20220816,000000,0.1,0.1001,0.095,0.1,75942,0
ROCLW.US,D,20220817,000000,0.1,0.1,0.09,0.0989,19900,0
ROCLW.US,D,20220818,000000,0.08,0.0901,0.0723,0.09,81101,0
ROCLW.US,D,20220819,000000,0.0901,0.1,0.0901,0.1,76050,0
ROCLW.US,D,20220822,000000,0.1,0.1001,0.1,0.1001,25700,0
ROCLW.US,D,20220823,000000,0.11,0.11,0.11,0.11,600,0
ROCLW.US,D,20220824,000000,0.11,0.11,0.11,0.11,600,0
ROCLW.US,D,20220826,000000,0.1208,0.1208,0.1208,0.1208,650,0
ROCLW.US,D,20220901,000000,0.1327,0.1327,0.1327,0.1327,620,0
ROCLW.US,D,20220906,000000,0.14,0.14,0.14,0.14,1200,0
ROCLW.US,D,20220908,000000,0.14,0.14,0.14,0.14,600,0
ROCLW.US,D,20220909,000000,0.15,0.15,0.15,0.15,555,0
ROCLW.US,D,20220913,000000,0.140001,0.140001,0.12,0.120001,3445,0
ROCLW.US,D,20220914,000000,0.14,0.14,0.14,0.14,505,0
ROCLW.US,D,20220916,000000,0.130101,0.130101,0.13,0.13,700,0
ROCLW.US,D,20220926,000000,0.12,0.13,0.12,0.13,600,0
ROCLW.US,D,20220927,000000,0.11,0.11,0.11,0.11,499,0
ROCLW.US,D,20220928,000000,0.11,0.11,0.11,0.11,700,0
ROCLW.US,D,20220929,000000,0.11,0.12,0.1,0.1001,5650,0
ROCLW.US,D,20220930,000000,0.1001,0.1001,0.1001,0.1001,2900,0
ROCLW.US,D,20221004,000000,0.07,0.07,0.07,0.07,600,0
ROCLW.US,D,20221014,000000,0.07,0.07,0.07,0.07,198900,0
ROCLW.US,D,20221017,000000,0.07,0.0701,0.07,0.07,98900,0
ROCLW.US,D,20221031,000000,0.07,0.07,0.07,0.07,41290,0
ROCLW.US,D,20221103,000000,0.03,0.03,0.0201,0.0201,505,0
ROCLW.US,D,20221109,000000,0.0201,0.04,0.0201,0.04,1210,0
ROCLW.US,D,20221110,000000,0.05,0.05,0.05,0.05,1934,0
ROCLW.US,D,20221111,000000,0.05,0.05,0.0494,0.05,3150,0
ROCLW.US,D,20221117,000000,0.19,0.19,0.19,0.19,233,0
ROCLW.US,D,20221122,000000,0.0987,0.0987,0.0987,0.0987,200,0
ROCLW.US,D,20221123,000000,0.0375,0.0375,0.0375,0.0375,534,0
ROCLW.US,D,20221129,000000,0.05,0.05,0.05,0.05,50000,0
ROCLW.US,D,20221130,000000,0.031,0.05,0.0211,0.05,76504,0
ROCLW.US,D,20221205,000000,0.041,0.041,0.031,0.031,500,0
ROCLW.US,D,20221212,000000,0.0442,0.0442,0.0442,0.0442,200,0
ROCLW.US,D,20221213,000000,0.0451,0.1196,0.0451,0.0632,13360,0
ROCLW.US,D,20221215,000000,0.0575,0.0575,0.0442,0.0442,600,0
ROCLW.US,D,20221220,000000,0.0442,0.0442,0.0442,0.0442,750,0
ROCLW.US,D,20221221,000000,0.0442,0.0442,0.0404,0.0404,10841,0
ROCLW.US,D,20221222,000000,0.0442,0.0442,0.04,0.0429,35882,0
ROCLW.US,D,20221227,000000,0.043,0.0438,0.0426,0.0426,10400,0
ROCLW.US,D,20221229,000000,0.04,0.0423,0.04,0.04,24804,0
ROCLW.US,D,20230104,000000,0.0388,0.0516,0.0388,0.049801,3500,0
ROCLW.US,D,20230105,000000,0.0544,0.1819,0.0544,0.0583,3775,0
ROCLW.US,D,20230111,000000,0.0504,0.0505,0.0405,0.0405,371,0
ROCLW.US,D,20230117,000000,0.07,0.07,0.06,0.06,502,0
ROCLW.US,D,20230118,000000,0.0442,0.0636,0.0442,0.0613,520,0
ROCLW.US,D,20230120,000000,0.07,0.07,0.06,0.06,444,0
ROCLW.US,D,20230125,000000,0.0542,0.0542,0.0542,0.0542,250,0
ROCLW.US,D,20230131,000000,0.0542,0.0542,0.0542,0.0542,50400,0
ROCLW.US,D,20230201,000000,0.0506,0.0796,0.0506,0.0603,5668,0
ROCLW.US,D,20230202,000000,0.14,0.14,0.0453,0.0644,13928,0
ROCLW.US,D,20230206,000000,0.149,0.1491,0.0543,0.0645,11718,0
ROCLW.US,D,20230207,000000,0.0745,0.1071,0.045,0.0661,53701,0
ROCLW.US,D,20230208,000000,0.1397,0.14,0.0522,0.0615,59321,0
ROCLW.US,D,20230209,000000,0.0949,0.0966,0.0525,0.0603,15406,0
ROCLW.US,D,20230210,000000,0.1183,0.1401,0.0518,0.0518,11608,0
ROCLW.US,D,20230213,000000,0.1387,0.1387,0.0622,0.0659,4718,0
ROCLW.US,D,20230214,000000,0.0625,0.0779,0.0612,0.0624,1702,0
ROCLW.US,D,20230215,000000,0.0897,0.0897,0.061,0.0631,16372,0
ROCLW.US,D,20230216,000000,0.0843,0.0843,0.0479,0.0479,2302,0
ROCLW.US,D,20230221,000000,0.0485,0.0693,0.0485,0.0587,12835,0
ROCLW.US,D,20230223,000000,0.0669,0.0687,0.0583,0.0583,3200,0
ROCLW.US,D,20230224,000000,0.0695,0.0695,0.0614,0.0614,811,0
ROCLW.US,D,20230228,000000,0.0723,0.0723,0.0723,0.0723,200,0
ROCLW.US,D,20230301,000000,0.0713,0.0803,0.0713,0.0803,1503,0
ROCLW.US,D,20230302,000000,0.08,0.1497,0.0542,0.0612,24027,0
ROCLW.US,D,20230303,000000,0.082,0.082,0.0542,0.058351,6820,0
ROCLW.US,D,20230306,000000,0.0795,0.0795,0.0585,0.0623,7023,0
ROCLW.US,D,20230307,000000,0.0796,0.0796,0.0594,0.06,7205,0
ROCLW.US,D,20230308,000000,0.0788,0.0788,0.0631,0.0665,2358,0
ROCLW.US,D,20230309,000000,0.0787,0.0787,0.0584,0.0584,4601,0
ROCLW.US,D,20230310,000000,0.0752,0.0752,0.073,0.073,247,0
ROCLW.US,D,20230313,000000,0.0567,0.0579,0.0567,0.0579,458,0
ROCLW.US,D,20230314,000000,0.0442,0.0442,0.0442,0.0442,713,0
ROCLW.US,D,20230316,000000,0.0442,0.0449,0.0434,0.0449,2517,0
ROCLW.US,D,20230321,000000,0.0442,0.0442,0.0442,0.0442,400,0
ROCLW.US,D,20230323,000000,0.0379,0.0379,0.0379,0.0379,100,0
ROCLW.US,D,20230324,000000,0.0379,0.0379,0.0379,0.0379,198,0
ROCLW.US,D,20230327,000000,0.049251,0.049251,0.049251,0.049251,445,0
ROCLW.US,D,20230328,000000,0.0548,0.0548,0.0505,0.0505,2200,0
ROCLW.US,D,20230329,000000,0.05,0.054,0.0379,0.054,600,0
ROCLW.US,D,20230404,000000,0.038,0.038,0.038,0.038,3645,0
ROCLW.US,D,20230412,000000,0.0442,0.0442,0.0442,0.0442,700,0
ROCLW.US,D,20230413,000000,0.038,0.038,0.038,0.038,200,0
ROCLW.US,D,20230417,000000,0.0479,0.0479,0.0442,0.0442,800,0
ROCLW.US,D,20230418,000000,0.054,0.0762,0.054,0.0762,2700,0
ROCLW.US,D,20230420,000000,0.0442,0.0442,0.04,0.0414,1542,0
ROCLW.US,D,20230424,000000,0.038,0.038,0.038,0.038,2260,0
ROCLW.US,D,20230425,000000,0.038,0.0436,0.0379,0.0407,3889,0
ROCLW.US,D,20230427,000000,0.0458,0.0458,0.0379,0.038,2800,0
ROCLW.US,D,20230428,000000,0.071175,0.1017,0.051,0.051,66001,0
ROCLW.US,D,20230501,000000,0.06,0.1246,0.0563,0.1246,15433,0
ROCLW.US,D,20230503,000000,0.08,0.08,0.066049,0.066049,2750,0
ROCLW.US,D,20230504,000000,0.0521,0.0521,0.0379,0.045,22150,0
ROCLW.US,D,20230505,000000,0.067,0.1278,0.060763,0.089,25250,0
ROCLW.US,D,20230508,000000,0.070101,0.070101,0.07,0.07,2020,0
ROCLW.US,D,20230509,000000,0.06,0.06,0.06,0.06,100,0
ROCLW.US,D,20230510,000000,0.12,0.12,0.08,0.08,4300,0
ROCLW.US,D,20230511,000000,0.0743,0.08,0.0742,0.0742,4500,0
ROCLW.US,D,20230512,000000,0.08,0.08,0.0713,0.0713,16200,0
ROCLW.US,D,20230515,000000,0.069899,0.07,0.06,0.07,15600,0
ROCLW.US,D,20230516,000000,0.09395,0.09395,0.07,0.08,72818,0
ROCLW.US,D,20230517,000000,0.11,0.11,0.11,0.11,200,0
ROCLW.US,D,20230519,000000,0.13,0.1428,0.0602,0.1001,17184,0
ROCLW.US,D,20230522,000000,0.1517,0.1517,0.0659,0.079,3488,0
ROCLW.US,D,20230523,000000,0.1041,0.1041,0.0679,0.09,7599,0
ROCLW.US,D,20230525,000000,0.068211,0.068211,0.0679,0.0679,483,0
ROCLW.US,D,20230526,000000,0.089,0.09,0.0679,0.0679,2384,0
ROCLW.US,D,20230530,000000,0.0679,0.0855,0.0347,0.0855,14130,0
ROCLW.US,D,20230531,000000,0.075,0.0755,0.0679,0.0679,2142,0
ROCLW.US,D,20230601,000000,0.0679,0.0679,0.06,0.06,3174,0
ROCLW.US,D,20230602,000000,0.0643,0.07,0.0601,0.0642,9298,0
ROCLW.US,D,20230605,000000,0.067051,0.067051,0.06,0.0606,6005,0
ROCLW.US,D,20230609,000000,0.09,0.09,0.072,0.075,499,0
ROCLW.US,D,20230612,000000,0.06,0.0898,0.06,0.0825,614,0
ROCLW.US,D,20230614,000000,0.08,0.08,0.026,0.061,28533,0
ROCLW.US,D,20230615,000000,0.0604,0.1,0.0604,0.0604,1546,0
ROCLW.US,D,20230622,000000,0.065,0.070675,0.065,0.070476,4000,0
