<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RUSHA.US,D,20050225,000000,6.53092,6.62407,6.43047,6.53092,91121.689978393,0
RUSHA.US,D,20050228,000000,6.63048,6.66921,6.51779,6.637,386590.12019721,0
RUSHA.US,D,20050301,000000,6.68135,6.81124,6.62407,6.81124,438024.57478176,0
RUSHA.US,D,20050302,000000,6.88848,6.90735,6.80492,6.88226,79865.49908276,0
RUSHA.US,D,20050303,000000,6.95021,6.95021,6.718,6.84354,92190.815503289,0
RUSHA.US,D,20050304,000000,6.88848,6.88848,6.73084,6.84354,49590.82051178,0
RUSHA.US,D,20050307,000000,6.88226,6.88226,6.718,6.78111,86806.715558787,0
RUSHA.US,D,20050308,000000,6.76887,6.76887,6.57458,6.74378,78940.13854322,0
RUSHA.US,D,20050309,000000,6.718,6.73084,6.68135,6.69232,26772.685019262,0
RUSHA.US,D,20050310,000000,6.61775,6.68135,6.54298,6.54298,474175.39402176,0
RUSHA.US,D,20050311,000000,6.53092,6.6048,6.53092,6.59967,57215.426882981,0
RUSHA.US,D,20050314,000000,6.78111,6.78111,6.51156,6.59384,239236.07235541,0
RUSHA.US,D,20050315,000000,6.55601,6.63048,6.50514,6.581,64953.425355309,0
RUSHA.US,D,20050316,000000,6.53665,6.65627,6.50514,6.63048,89765.034482787,0
RUSHA.US,D,20050317,000000,6.53092,6.78625,6.53092,6.74378,842947.76790019,0
RUSHA.US,D,20050318,000000,6.80492,6.80492,6.69884,6.718,107067.45419914,0
RUSHA.US,D,20050321,000000,6.637,6.73084,6.56806,6.73084,146900.4794373,0
RUSHA.US,D,20050322,000000,6.64342,6.80492,6.64342,6.73084,186668.7091891,0
RUSHA.US,D,20050323,000000,6.718,6.76254,6.47936,6.65627,283697.92515022,0
RUSHA.US,D,20050324,000000,6.64975,6.68135,6.56806,6.61123,308853.76029897,0
RUSHA.US,D,20050328,000000,6.78625,6.78625,6.55601,6.581,307744.13759511,0
RUSHA.US,D,20050329,000000,6.61775,6.68135,6.59384,6.65627,103132.14083241,0
RUSHA.US,D,20050330,000000,6.65627,6.65627,6.59384,6.64975,67981.601913039,0
RUSHA.US,D,20050331,000000,6.57458,6.61775,6.54298,6.54298,44155.086664085,0
RUSHA.US,D,20050401,000000,6.637,6.637,6.53092,6.61775,120016.42717586,0
RUSHA.US,D,20050404,000000,6.69232,6.69232,6.46139,6.51779,318856.56350539,0
RUSHA.US,D,20050405,000000,6.58733,6.59384,6.53092,6.55601,91974.155595782,0
RUSHA.US,D,20050406,000000,6.51779,6.56806,6.43047,6.49211,119542.61018187,0
RUSHA.US,D,20050407,000000,6.47936,6.51156,6.33003,6.46761,152410.12063662,0
RUSHA.US,D,20050408,000000,6.46761,6.70506,6.36805,6.40598,180429.10633879,0
RUSHA.US,D,20050411,000000,6.91812,6.91812,6.36805,6.43047,72830.12666562,0
RUSHA.US,D,20050412,000000,6.47936,6.54298,6.38721,6.39383,140509.01216584,0
RUSHA.US,D,20050413,000000,6.54298,6.54298,6.3808,6.38721,89205.160983482,0
RUSHA.US,D,20050414,000000,6.41823,6.47936,6.25347,6.25347,83882.819236913,0
RUSHA.US,D,20050415,000000,6.30425,6.36805,6.1228,6.14216,105611.58061504,0
RUSHA.US,D,20050418,000000,6.08477,6.25347,6.07845,6.21871,71538.266656371,0
RUSHA.US,D,20050419,000000,6.53665,6.86922,6.46761,6.51156,283168.42453516,0
RUSHA.US,D,20050420,000000,6.54298,6.66268,6.34878,6.57458,231723.84565587,0
RUSHA.US,D,20050421,000000,6.54298,6.69232,6.43047,6.51779,273573.6304069,0
RUSHA.US,D,20050422,000000,6.59967,6.73084,6.40598,6.6048,331174.7929196,0
RUSHA.US,D,20050425,000000,6.69232,6.69232,6.55601,6.63048,92528.966947717,0
RUSHA.US,D,20050426,000000,6.61775,6.70506,6.50514,6.65627,101039.44910896,0
RUSHA.US,D,20050427,000000,6.66921,6.69884,6.14858,6.36805,114571.5814629,0
RUSHA.US,D,20050428,000000,6.32369,6.47936,6.26641,6.28558,32299.537519645,0
RUSHA.US,D,20050429,000000,6.34226,6.34226,6.07845,6.13573,102126.7983644,0
RUSHA.US,D,20050502,000000,6.21238,6.31066,6.16793,6.30425,210885.00978567,0
RUSHA.US,D,20050503,000000,6.36143,6.36143,6.01039,6.10383,507872.08421599,0
RUSHA.US,D,20050504,000000,6.14216,6.18078,5.97325,6.0422,167386.98985043,0
RUSHA.US,D,20050505,000000,6.09138,6.11648,6.01039,6.01039,105836.33995835,0
RUSHA.US,D,20050506,000000,6.02896,6.09138,5.96714,6.05404,209029.22655921,0
RUSHA.US,D,20050509,000000,5.99863,6.07301,5.99863,6.0422,253230.88497912,0
