<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCRMU.US,D,20220107,000000,9.91,9.95,9.91,9.92,1470692,0
SCRMU.US,D,20220110,000000,9.92,9.96,9.91,9.93,2085228,0
SCRMU.US,D,20220111,000000,9.92,9.96,9.92,9.96,1222541,0
SCRMU.US,D,20220112,000000,9.96,9.96,9.92,9.94,1671403,0
SCRMU.US,D,20220113,000000,9.94,9.95,9.92,9.93,391842,0
SCRMU.US,D,20220114,000000,9.93,9.96,9.92,9.92,535911,0
SCRMU.US,D,20220118,000000,9.92,9.95,9.92,9.93,293177,0
SCRMU.US,D,20220119,000000,9.92,9.95,9.92,9.93,447637,0
SCRMU.US,D,20220120,000000,9.93,9.95,9.9,9.9,2221059,0
SCRMU.US,D,20220121,000000,9.91,9.94,9.909,9.93,905604,0
SCRMU.US,D,20220124,000000,9.93,9.935,9.88,9.9,2864331,0
SCRMU.US,D,20220125,000000,9.88,9.93,9.88,9.91,1564821,0
SCRMU.US,D,20220126,000000,9.9,9.92,9.9,9.9,193530,0
SCRMU.US,D,20220127,000000,9.91,9.9175,9.9,9.9,81589,0
SCRMU.US,D,20220128,000000,9.91,9.93,9.91,9.92,169175,0
SCRMU.US,D,20220131,000000,9.92,9.94,9.9125,9.92,310885,0
SCRMU.US,D,20220201,000000,9.89,9.94,9.89,9.9,341615,0
SCRMU.US,D,20220202,000000,9.92,9.94,9.92,9.94,133029,0
SCRMU.US,D,20220203,000000,9.94,9.96,9.93,9.95,159787,0
SCRMU.US,D,20220204,000000,9.95,9.99,9.93,9.97,282484,0
SCRMU.US,D,20220207,000000,9.98,10,9.9572,9.99,156725,0
SCRMU.US,D,20220208,000000,10,10,9.96,9.98,759216,0
SCRMU.US,D,20220209,000000,10,10,9.95,9.95,531808,0
SCRMU.US,D,20220210,000000,9.9407,9.9407,9.94,9.94,1466,0
SCRMU.US,D,20220211,000000,9.9334,9.96,9.9334,9.96,105952,0
SCRMU.US,D,20220214,000000,9.94,9.94,9.93,9.93,45952,0
SCRMU.US,D,20220215,000000,10,10,9.93,9.93,13356,0
SCRMU.US,D,20220216,000000,9.94,9.97,9.92,9.92,188644,0
SCRMU.US,D,20220217,000000,9.93,9.93,9.91,9.915,733,0
SCRMU.US,D,20220218,000000,9.9,9.91,9.88,9.905,9824,0
SCRMU.US,D,20220222,000000,9.91,9.92,9.9,9.9,24522,0
SCRMU.US,D,20220223,000000,9.935,9.935,9.9,9.9,27116,0
SCRMU.US,D,20220224,000000,9.91,9.915,9.91,9.91,11081,0
SCRMU.US,D,20220225,000000,9.95,9.96,9.95,9.95,60038,0
SCRMU.US,D,20220228,000000,9.9499,9.95,9.88,9.88,23657,0
SCRMU.US,D,20220301,000000,9.915,9.95,9.88,9.88,12394,0
SCRMU.US,D,20220302,000000,9.92,9.92,9.92,9.92,50302,0
SCRMU.US,D,20220303,000000,9.88,9.92,9.85,9.9011,121950,0
SCRMU.US,D,20220304,000000,9.88,9.88,9.8656,9.87,1431,0
SCRMU.US,D,20220307,000000,9.86,9.86,9.85,9.85,13920,0
SCRMU.US,D,20220308,000000,9.845,9.845,9.84,9.84,56740,0
SCRMU.US,D,20220309,000000,9.81,9.87,9.8,9.85,153921,0
SCRMU.US,D,20220310,000000,9.87,9.88,9.84,9.85,32973,0
SCRMU.US,D,20220311,000000,9.88,9.94,9.8563,9.9,33131,0
SCRMU.US,D,20220314,000000,9.94,9.94,9.8501,9.9,27840,0
SCRMU.US,D,20220315,000000,9.9208,9.9208,9.85,9.8789,151516,0
SCRMU.US,D,20220316,000000,9.94,9.94,9.8507,9.87,13284,0
SCRMU.US,D,20220317,000000,9.877,9.9027,9.85,9.85,4831,0
SCRMU.US,D,20220318,000000,9.94,9.94,9.8508,9.8508,2312,0
SCRMU.US,D,20220321,000000,9.86,9.89,9.8579,9.8579,1404,0
SCRMU.US,D,20220322,000000,9.85,9.9399,9.85,9.85,32402,0
SCRMU.US,D,20220323,000000,9.85,9.915,9.85,9.884,216622,0
SCRMU.US,D,20220324,000000,9.905,9.97,9.9,9.95,143593,0
SCRMU.US,D,20220325,000000,9.99,10,9.91,10,3655,0
SCRMU.US,D,20220328,000000,9.89,9.94,9.89,9.94,2874,0
SCRMU.US,D,20220329,000000,9.91,9.94,9.905,9.91,1423,0
SCRMU.US,D,20220330,000000,9.93,10,9.93,9.97,7530,0
SCRMU.US,D,20220331,000000,10,10,9.9,10,10535,0
SCRMU.US,D,20220401,000000,9.9,9.995,9.9,9.99,5702,0
SCRMU.US,D,20220404,000000,9.9201,10,9.9201,10,7284,0
SCRMU.US,D,20220405,000000,9.945,9.96,9.9,9.9,3783,0
SCRMU.US,D,20220406,000000,9.9,9.91,9.88,9.91,110344,0
SCRMU.US,D,20220407,000000,9.9,9.9129,9.9,9.91,7688,0
SCRMU.US,D,20220408,000000,9.9176,9.9176,9.9176,9.9176,525,0
SCRMU.US,D,20220411,000000,9.9178,9.93,9.9178,9.93,988,0
SCRMU.US,D,20220412,000000,9.9207,9.9207,9.9,9.915,106311,0
SCRMU.US,D,20220413,000000,9.91,9.95,9.9,9.94,2859,0
SCRMU.US,D,20220414,000000,9.94,10.01,9.92,10.01,24899,0
SCRMU.US,D,20220418,000000,9.9499,9.9499,9.9301,9.94,4413,0
SCRMU.US,D,20220419,000000,9.94,9.95,9.94,9.95,1271,0
SCRMU.US,D,20220420,000000,9.95,9.95,9.94,9.94,7266,0
SCRMU.US,D,20220421,000000,9.9126,9.94,9.9126,9.94,1306,0
SCRMU.US,D,20220422,000000,10.125,10.125,9.908,9.93,7568,0
SCRMU.US,D,20220426,000000,9.93,9.945,9.91,9.9336,1520,0
SCRMU.US,D,20220427,000000,9.922,9.925,9.9153,9.9153,1002,0
SCRMU.US,D,20220428,000000,10,10.025,10,10.025,2948,0
SCRMU.US,D,20220429,000000,9.9721,9.9721,9.95,9.95,14468,0
SCRMU.US,D,20220502,000000,9.95,9.95,9.94,9.94,1169,0
SCRMU.US,D,20220503,000000,9.9317,9.9317,9.9317,9.9317,734,0
SCRMU.US,D,20220504,000000,9.91,9.915,9.91,9.915,6075,0
SCRMU.US,D,20220505,000000,9.9,9.906,9.9,9.9,9855,0
SCRMU.US,D,20220506,000000,9.9,9.9,9.9,9.9,576,0
SCRMU.US,D,20220509,000000,9.9044,9.9066,9.86,9.86,5375,0
SCRMU.US,D,20220510,000000,9.86,9.86,9.835,9.84,35563,0
SCRMU.US,D,20220512,000000,9.84,9.84,9.82,9.83,27802,0
SCRMU.US,D,20220513,000000,9.8258,9.83,9.789,9.8,2529,0
SCRMU.US,D,20220516,000000,9.7987,9.82,9.7987,9.82,650,0
SCRMU.US,D,20220517,000000,9.8,9.83,9.8,9.82,3966,0
SCRMU.US,D,20220518,000000,9.84,9.84,9.76,9.82,851850,0
SCRMU.US,D,20220519,000000,9.8,9.8,9.76,9.8,5103,0
SCRMU.US,D,20220520,000000,9.785,9.81,9.785,9.8,20850,0
SCRMU.US,D,20220523,000000,9.8,9.82,9.785,9.8,10846,0
SCRMU.US,D,20220524,000000,9.77,9.82,9.7519,9.7519,81376,0
SCRMU.US,D,20220525,000000,9.8,9.81,9.785,9.8,3895,0
SCRMU.US,D,20220526,000000,9.84,9.84,9.84,9.84,162,0
SCRMU.US,D,20220531,000000,9.825,9.825,9.824,9.824,533,0
SCRMU.US,D,20220601,000000,9.8159,9.825,9.7999,9.825,31212,0
SCRMU.US,D,20220602,000000,9.81,9.81,9.78,9.805,5100,0
SCRMU.US,D,20220603,000000,9.78,9.78,9.78,9.78,631,0
SCRMU.US,D,20220606,000000,9.7495,9.78,9.74,9.7466,12417,0
SCRMU.US,D,20220607,000000,9.77,9.78,9.75,9.75,25239,0
SCRMU.US,D,20220608,000000,9.78,9.78,9.73,9.73,21866,0
SCRMU.US,D,20220609,000000,9.73,9.74,9.72,9.72,111630,0
SCRMU.US,D,20220610,000000,9.7201,9.79,9.71,9.77,160493,0
SCRMU.US,D,20220613,000000,9.8,9.8,9.72,9.72,2823,0
SCRMU.US,D,20220614,000000,9.72,9.7443,9.72,9.7275,2765,0
SCRMU.US,D,20220615,000000,9.78,9.82,9.78,9.79,314327,0
SCRMU.US,D,20220616,000000,9.9157,9.9157,9.77,9.77,2703,0
SCRMU.US,D,20220617,000000,9.751,9.78,9.751,9.78,3701,0
SCRMU.US,D,20220622,000000,9.75,9.75,9.73,9.73,3219,0
SCRMU.US,D,20220627,000000,9.78,9.78,9.72,9.72,236,0
SCRMU.US,D,20220628,000000,9.731,9.94,9.7301,9.74,3771,0
SCRMU.US,D,20220629,000000,9.7481,9.7481,9.72,9.72,786,0
