<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SDA.US,D,20210419,000000,9.85,9.9,9.8,9.9,154050,0
SDA.US,D,20210420,000000,9.81,9.82,9.8,9.82,200001,0
SDA.US,D,20210421,000000,9.8,9.815,9.72,9.79,219591,0
SDA.US,D,20210422,000000,9.79,9.79,9.78,9.79,21189,0
SDA.US,D,20210423,000000,9.79,9.7909,9.78,9.79,89375,0
SDA.US,D,20210426,000000,9.8,9.81,9.8,9.8,114119,0
SDA.US,D,20210427,000000,9.8,9.87,9.8,9.85,13908,0
SDA.US,D,20210428,000000,9.8,9.8302,9.8,9.8,19101,0
SDA.US,D,20210429,000000,9.8,9.87,9.8,9.85,87625,0
SDA.US,D,20210430,000000,9.8,9.85,9.8,9.85,69943,0
SDA.US,D,20210503,000000,9.85,9.85,9.83,9.83,14270,0
SDA.US,D,20210504,000000,9.83,9.85,9.83,9.83,14540,0
SDA.US,D,20210505,000000,9.83,9.86,9.83,9.85,272822,0
SDA.US,D,20210506,000000,9.8326,9.85,9.8326,9.85,311,0
SDA.US,D,20210507,000000,9.85,9.85,9.83,9.84,9330,0
SDA.US,D,20210510,000000,9.84,9.84,9.83,9.83,129563,0
SDA.US,D,20210511,000000,9.83,9.83,9.83,9.83,22923,0
SDA.US,D,20210513,000000,9.8,9.8,9.8,9.8,1540,0
SDA.US,D,20210514,000000,9.77,9.77,9.77,9.77,264,0
SDA.US,D,20210517,000000,9.8,9.81,9.79,9.79,24388,0
SDA.US,D,20210518,000000,9.79,9.79,9.79,9.79,200,0
SDA.US,D,20210519,000000,9.79,9.79,9.79,9.79,320,0
SDA.US,D,20210520,000000,9.79,9.8,9.79,9.8,504,0
SDA.US,D,20210521,000000,9.8,9.8,9.8,9.8,1053,0
SDA.US,D,20210525,000000,9.8,9.8,9.8,9.8,1053,0
SDA.US,D,20210526,000000,9.82,9.83,9.79,9.8243,4761,0
SDA.US,D,20210527,000000,9.83,9.84,9.8,9.84,12966,0
SDA.US,D,20210528,000000,9.84,9.84,9.84,9.84,100,0
SDA.US,D,20210602,000000,9.84,9.84,9.84,9.84,1897,0
SDA.US,D,20210610,000000,9.84,9.84,9.84,9.84,833,0
SDA.US,D,20210615,000000,9.84,9.843,9.83,9.843,4238,0
SDA.US,D,20210616,000000,9.85,9.85,9.84,9.85,9458,0
SDA.US,D,20210617,000000,9.85,9.85,9.79,9.8,5535,0
SDA.US,D,20210618,000000,9.79,9.79,9.79,9.79,2007,0
SDA.US,D,20210624,000000,9.84,9.85,9.84,9.85,600,0
SDA.US,D,20210625,000000,9.8,9.8,9.8,9.8,18750,0
SDA.US,D,20210628,000000,9.8,9.825,9.79,9.825,3102,0
SDA.US,D,20210630,000000,9.79,9.8,9.79,9.8,9620,0
SDA.US,D,20210702,000000,9.82,9.82,9.82,9.82,300,0
SDA.US,D,20210707,000000,9.79,9.79,9.79,9.79,404,0
SDA.US,D,20210709,000000,9.8,9.8,9.8,9.8,6608,0
SDA.US,D,20210713,000000,9.8,9.8,9.8,9.8,3383,0
SDA.US,D,20210714,000000,9.8244,9.8244,9.8,9.8,2462,0
SDA.US,D,20210715,000000,9.84,9.84,9.79,9.79,46693,0
SDA.US,D,20210716,000000,9.79,9.79,9.79,9.79,2701,0
SDA.US,D,20210719,000000,9.79,9.79,9.79,9.79,2797,0
SDA.US,D,20210720,000000,9.79,9.79,9.77,9.77,41500,0
SDA.US,D,20210722,000000,9.76,9.78,9.76,9.78,10340,0
SDA.US,D,20210726,000000,9.78,9.78,9.78,9.78,1500,0
SDA.US,D,20210809,000000,9.8,9.8,9.8,9.8,1004,0
SDA.US,D,20210811,000000,9.81,9.81,9.81,9.81,6540,0
SDA.US,D,20210812,000000,9.81,9.81,9.81,9.81,979,0
SDA.US,D,20210816,000000,9.82,9.82,9.82,9.82,250,0
SDA.US,D,20210819,000000,9.81,9.81,9.81,9.81,258,0
SDA.US,D,20210820,000000,9.8,9.8,9.8,9.8,2532,0
SDA.US,D,20210823,000000,9.8,9.8,9.8,9.8,26388,0
SDA.US,D,20210826,000000,9.85,9.85,9.85,9.85,4142,0
SDA.US,D,20210827,000000,9.86,9.86,9.84,9.85,53171,0
SDA.US,D,20210830,000000,9.83,9.83,9.83,9.83,5330,0
SDA.US,D,20210901,000000,9.83,9.86,9.83,9.86,3022,0
SDA.US,D,20210903,000000,9.86,9.86,9.86,9.86,3008,0
SDA.US,D,20210907,000000,9.86,9.86,9.86,9.86,5103,0
SDA.US,D,20210908,000000,9.86,9.87,9.86,9.86,42800,0
SDA.US,D,20210909,000000,9.87,9.87,9.86,9.86,1000,0
SDA.US,D,20210910,000000,9.87,9.87,9.86,9.86,34470,0
SDA.US,D,20210913,000000,9.87,9.87,9.86,9.86,2737,0
SDA.US,D,20210914,000000,9.88,9.88,9.86,9.86,1859,0
SDA.US,D,20210915,000000,9.86,9.86,9.86,9.86,537,0
SDA.US,D,20210916,000000,9.87,9.87,9.87,9.87,2527,0
SDA.US,D,20210920,000000,9.87,9.88,9.87,9.88,7105,0
SDA.US,D,20210921,000000,9.88,9.92,9.88,9.92,65340,0
SDA.US,D,20210923,000000,9.92,9.92,9.9,9.9,764,0
SDA.US,D,20210928,000000,9.9,9.9,9.9,9.9,484,0
SDA.US,D,20210930,000000,9.91,9.92,9.9,9.92,19065,0
SDA.US,D,20211004,000000,9.87,9.89,9.86,9.87,77228,0
SDA.US,D,20211005,000000,9.91,9.91,9.91,9.91,526,0
SDA.US,D,20211006,000000,9.91,9.91,9.9,9.91,3235,0
SDA.US,D,20211007,000000,9.89,9.89,9.89,9.89,530,0
SDA.US,D,20211008,000000,9.89,9.89,9.89,9.89,152,0
SDA.US,D,20211012,000000,9.9,9.9,9.89,9.89,3042,0
SDA.US,D,20211013,000000,9.89,9.89,9.89,9.89,308,0
SDA.US,D,20211015,000000,9.9,9.9,9.9,9.9,47442,0
SDA.US,D,20211019,000000,9.95,9.95,9.92,9.925,20947,0
SDA.US,D,20211021,000000,9.91,9.93,9.91,9.93,2929,0
SDA.US,D,20211022,000000,9.95,9.95,9.93,9.93,6239,0
SDA.US,D,20211028,000000,9.9,9.9,9.9,9.9,182,0
SDA.US,D,20211101,000000,9.94,9.94,9.94,9.94,100,0
SDA.US,D,20211123,000000,9.94,9.94,9.94,9.94,400,0
SDA.US,D,20211207,000000,9.945,9.945,9.94,9.94,300,0
SDA.US,D,20211215,000000,9.94,9.94,9.94,9.94,2618,0
SDA.US,D,20211220,000000,9.935,9.935,9.92,9.92,953,0
SDA.US,D,20211222,000000,9.95,9.95,9.95,9.95,9687,0
SDA.US,D,20211223,000000,9.92,9.92,9.92,9.92,200,0
SDA.US,D,20211227,000000,9.94,9.94,9.92,9.92,6820,0
SDA.US,D,20220103,000000,9.96,9.96,9.96,9.96,904,0
SDA.US,D,20220105,000000,9.95,9.95,9.95,9.95,1000,0
SDA.US,D,20220112,000000,9.95,9.955,9.9493,9.95,16523,0
SDA.US,D,20220113,000000,9.95,9.95,9.95,9.95,1000,0
SDA.US,D,20220114,000000,9.95,9.95,9.95,9.95,10006,0
SDA.US,D,20220118,000000,9.95,9.95,9.95,9.95,2527,0
SDA.US,D,20220119,000000,9.95,9.97,9.95,9.97,541,0
SDA.US,D,20220121,000000,9.96,9.96,9.96,9.96,870,0
SDA.US,D,20220124,000000,9.97,9.97,9.97,9.97,746,0
SDA.US,D,20220201,000000,9.96,9.96,9.96,9.96,3753,0
SDA.US,D,20220203,000000,9.98,10.03,9.975,10.03,17370,0
SDA.US,D,20220207,000000,9.98,9.98,9.98,9.98,4340,0
SDA.US,D,20220210,000000,9.99,9.99,9.98,9.9802,8743,0
SDA.US,D,20220215,000000,9.98,9.98,9.98,9.98,125718,0
SDA.US,D,20220217,000000,9.99,9.99,9.98,9.98,17901,0
SDA.US,D,20220218,000000,10,10,10,10,51599,0
SDA.US,D,20220222,000000,10.05,10.05,10.05,10.05,362,0
SDA.US,D,20220223,000000,10.01,10.02,10.01,10.02,1517,0
SDA.US,D,20220301,000000,10.01,10.01,10.01,10.01,250,0
SDA.US,D,20220304,000000,10.02,10.02,10.02,10.02,1100,0
SDA.US,D,20220308,000000,10.07,10.07,10.02,10.02,5300,0
SDA.US,D,20220309,000000,10.06,10.06,10.06,10.06,136,0
SDA.US,D,20220311,000000,10.03,10.03,10.03,10.03,1005,0
SDA.US,D,20220314,000000,10.03,10.03,10.03,10.03,301,0
SDA.US,D,20220315,000000,10.07,10.07,10.07,10.07,347,0
SDA.US,D,20220317,000000,10.03,10.03,10.03,10.03,1000,0
SDA.US,D,20220318,000000,10.035,10.035,10.03,10.03,1088,0
SDA.US,D,20220321,000000,10.04,10.04,10.04,10.04,1063,0
SDA.US,D,20220322,000000,10.04,10.04,10.04,10.04,4101,0
SDA.US,D,20220324,000000,10.08,10.08,10.08,10.08,400,0
SDA.US,D,20220329,000000,10.08,10.08,10.08,10.08,350,0
SDA.US,D,20220330,000000,10.04,10.04,10.04,10.04,249,0
SDA.US,D,20220401,000000,10.04,10.04,10.04,10.04,550,0
SDA.US,D,20220405,000000,10.05,10.05,10.05,10.05,517,0
SDA.US,D,20220407,000000,10.05,10.05,10.05,10.05,1325,0
SDA.US,D,20220408,000000,10.05,10.05,10.05,10.05,1000,0
SDA.US,D,20220418,000000,10.06,10.06,10.06,10.06,2710,0
SDA.US,D,20220422,000000,10.09,10.5,10.09,10.1,301,0
SDA.US,D,20220426,000000,10.5,10.5,10.1,10.1,763,0
SDA.US,D,20220427,000000,10.08,10.08,10.08,10.08,22489,0
SDA.US,D,20220428,000000,10.08,10.08,10.08,10.08,5320,0
SDA.US,D,20220504,000000,10.1,10.55,10.08,10.09,27636,0
SDA.US,D,20220505,000000,10.08,10.08,10.08,10.08,4078,0
SDA.US,D,20220510,000000,10.08,10.08,10.08,10.08,188,0
SDA.US,D,20220512,000000,10.08,10.085,10.07,10.08,274788,0
SDA.US,D,20220517,000000,10.1,10.1,10.09,10.1,91244,0
SDA.US,D,20220519,000000,10.5,10.5,10.08,10.11,501,0
SDA.US,D,20220520,000000,10.5,10.5,10.1,10.11,827,0
SDA.US,D,20220523,000000,10.09,10.09,10.09,10.09,620,0
SDA.US,D,20220524,000000,10.11,10.11,10.11,10.11,103,0
SDA.US,D,20220525,000000,10.11,10.11,10.11,10.11,8300,0
SDA.US,D,20220526,000000,10.3,10.3,10.11,10.11,119900,0
SDA.US,D,20220527,000000,10.14,10.14,10.12,10.12,3233,0
SDA.US,D,20220531,000000,10.1386,10.14,10.135,10.135,5620,0
SDA.US,D,20220603,000000,10.14,10.14,10.14,10.14,503,0
SDA.US,D,20220606,000000,10.15,10.15,10.12,10.12,1469,0
SDA.US,D,20220607,000000,10.12,10.12,10.12,10.12,2021,0
SDA.US,D,20220608,000000,10.12,10.12,10.12,10.12,2418,0
SDA.US,D,20220609,000000,10.135,10.135,10.135,10.135,1082,0
SDA.US,D,20220613,000000,10.65,10.65,10.13,10.13,3183,0
SDA.US,D,20220614,000000,10.13,10.13,10.13,10.13,11447,0
SDA.US,D,20220615,000000,10.13,10.13,10.13,10.13,423,0
SDA.US,D,20220616,000000,10.13,10.13,10.13,10.13,1146,0
SDA.US,D,20220623,000000,10.14,10.14,10.14,10.14,209,0
SDA.US,D,20220624,000000,10.1303,10.1303,10.1303,10.1303,147,0
SDA.US,D,20220627,000000,10.14,10.14,10.14,10.14,101,0
SDA.US,D,20220701,000000,10.13,10.13,10.13,10.13,2770,0
SDA.US,D,20220706,000000,10.13,10.13,10.13,10.13,1102,0
SDA.US,D,20220711,000000,10.13,10.13,10.13,10.13,10100,0
SDA.US,D,20220713,000000,10.15,10.16,10.15,10.16,2667,0
SDA.US,D,20220715,000000,10.16,10.16,10.16,10.16,3504,0
SDA.US,D,20220718,000000,10.18,10.18,10.17,10.17,304,0
SDA.US,D,20220720,000000,10.16,10.16,10.16,10.16,135,0
SDA.US,D,20220721,000000,10.17,10.1702,10.17,10.17,3595,0
SDA.US,D,20220725,000000,10.17,10.17,10.17,10.17,17500,0
SDA.US,D,20220726,000000,10.17,10.18,10.16,10.17,28440,0
SDA.US,D,20220727,000000,10.1876,10.1876,10.17,10.17,1082,0
SDA.US,D,20220801,000000,10.18,10.18,10.18,10.18,300,0
SDA.US,D,20220802,000000,10.18,10.18,10.18,10.18,101,0
SDA.US,D,20220805,000000,10.1892,10.1892,10.1892,10.1892,140,0
SDA.US,D,20220808,000000,10.19,10.19,10.19,10.19,1136,0
SDA.US,D,20220810,000000,10.19,10.19,10.19,10.19,113,0
SDA.US,D,20220818,000000,10.1993,10.2,10.1993,10.2,6505,0
SDA.US,D,20220819,000000,10.2,10.2,10.2,10.2,156,0
SDA.US,D,20220825,000000,10.2001,10.2001,10.2,10.2,2505,0
SDA.US,D,20220901,000000,10.28,10.28,10.2445,10.2445,365,0
SDA.US,D,20220908,000000,10.24,10.24,10.225,10.23,23410,0
SDA.US,D,20220912,000000,10.24,10.24,10.24,10.24,4950,0
SDA.US,D,20220914,000000,10.26,10.26,10.26,10.26,4650,0
SDA.US,D,20220916,000000,10.27,10.27,10.27,10.27,108,0
SDA.US,D,20220919,000000,10.26,10.26,10.26,10.26,56926,0
SDA.US,D,20220921,000000,10.27,10.27,10.26,10.26,1505,0
SDA.US,D,20220927,000000,10.26,10.26,10.255,10.26,7900,0
SDA.US,D,20221003,000000,10.28,10.28,10.28,10.28,104,0
SDA.US,D,20221004,000000,10.29,10.29,10.29,10.29,22606,0
SDA.US,D,20221006,000000,10.29,10.29,10.29,10.29,101227,0
SDA.US,D,20221011,000000,10.29,10.29,10.28,10.28,11130,0
SDA.US,D,20221024,000000,10.3,10.31,10.3,10.31,18734,0
SDA.US,D,20221025,000000,10.32,10.32,10.32,10.32,8000,0
SDA.US,D,20221027,000000,10.32,10.3301,10.31,10.33,11968,0
SDA.US,D,20221028,000000,10.34,10.34,10.34,10.34,5500,0
SDA.US,D,20221031,000000,10.35,10.37,10.33,10.3523,15501,0
SDA.US,D,20221101,000000,10.35,10.36,10.35,10.36,45320,0
SDA.US,D,20221103,000000,10.32,10.36,10.32,10.34,5205,0
SDA.US,D,20221108,000000,10.37,10.41,10.3696,10.39,259300,0
SDA.US,D,20221111,000000,10.33,10.33,10.33,10.33,3000,0
SDA.US,D,20221114,000000,10.37,10.41,10.37,10.38,153003,0
SDA.US,D,20221115,000000,10.4,10.4,10.38,10.4,6629,0
SDA.US,D,20221116,000000,10.39,10.4002,10.38,10.38,52428,0
SDA.US,D,20221117,000000,10.27,10.43,10.27,10.38,2600,0
SDA.US,D,20221118,000000,10.35,10.4101,10.35,10.36,8303,0
SDA.US,D,20221121,000000,10.36,10.45,10.36,10.3701,4710,0
SDA.US,D,20221122,000000,10.745,10.745,10.35,10.36,2297,0
SDA.US,D,20221125,000000,10.35,10.37,10.35,10.3605,1600,0
SDA.US,D,20221128,000000,10.438,10.438,10.35,10.35,505,0
SDA.US,D,20221129,000000,10.4,10.4,10.4,10.4,696,0
SDA.US,D,20221130,000000,10.35,10.35,10.265,10.265,95267,0
SDA.US,D,20221201,000000,10.305,10.305,10.26,10.26,2892,0
SDA.US,D,20221202,000000,10.3237,10.3237,10.29,10.29,429,0
SDA.US,D,20221205,000000,10.29,10.29,10.27,10.29,5396,0
SDA.US,D,20221206,000000,10.29,10.29,10.29,10.29,4517,0
SDA.US,D,20221207,000000,10.29,10.29,10.29,10.29,3768,0
SDA.US,D,20221208,000000,10.29,10.29,10.29,10.29,284,0
SDA.US,D,20221209,000000,10.3,10.3,10.3,10.3,245,0
SDA.US,D,20221212,000000,10.3,10.3,10.3,10.3,606,0
SDA.US,D,20221213,000000,10.3,10.3,10.3,10.3,301,0
SDA.US,D,20221214,000000,10.27,10.3,10.27,10.29,14120,0
SDA.US,D,20221215,000000,10.31,10.31,10.31,10.31,8465,0
SDA.US,D,20221216,000000,10.29,10.29,10.29,10.29,80000,0
SDA.US,D,20221228,000000,10.35,10.35,10.35,10.35,101,0
SDA.US,D,20230106,000000,10.35,10.35,10.35,10.35,270,0
SDA.US,D,20230109,000000,10.35,10.35,10.35,10.35,1259,0
SDA.US,D,20230112,000000,10.4,10.4,10.4,10.4,100,0
SDA.US,D,20230113,000000,10.4,10.42,10.4,10.42,41104,0
SDA.US,D,20230117,000000,10.4,10.44,10.3994,10.44,18524,0
SDA.US,D,20230118,000000,10.39,10.4,10.39,10.4,3101,0
SDA.US,D,20230119,000000,10.43,10.46,10.4,10.45,9117,0
SDA.US,D,20230120,000000,10.45,10.46,10.4,10.41,11080,0
SDA.US,D,20230124,000000,10.41,10.45,10.41,10.45,9338,0
SDA.US,D,20230125,000000,10.45,10.45,10.41,10.41,4437,0
SDA.US,D,20230127,000000,10.45,10.45,10.445,10.445,5912,0
SDA.US,D,20230131,000000,10.45,10.45,10.445,10.445,6025,0
SDA.US,D,20230203,000000,10.42,10.42,10.4,10.4,9819,0
SDA.US,D,20230207,000000,10.46,10.46,10.41,10.46,300,0
SDA.US,D,20230210,000000,10.43,10.46,10.43,10.45,8700,0
SDA.US,D,20230213,000000,10.45,10.45,10.45,10.45,1000,0
SDA.US,D,20230215,000000,10.47,10.47,10.44,10.455,10685,0
SDA.US,D,20230217,000000,10.47,10.48,10.47,10.47,9802,0
SDA.US,D,20230221,000000,10.47,10.47,10.47,10.47,511,0
SDA.US,D,20230222,000000,10.47,10.47,10.47,10.47,1511,0
SDA.US,D,20230223,000000,10.47,10.48,10.47,10.48,1504,0
SDA.US,D,20230224,000000,10.48,10.48,10.48,10.48,569,0
SDA.US,D,20230227,000000,10.48,10.48,10.48,10.48,504,0
SDA.US,D,20230228,000000,10.5,10.52,10.5,10.52,10521,0
SDA.US,D,20230301,000000,10.52,10.5295,10.51,10.51,15954,0
SDA.US,D,20230302,000000,10.49,10.4901,10.48,10.49,2865,0
