<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SWAG.US,D,20211110,000000,4,4.99,4,4.74,10580178,0
SWAG.US,D,20211111,000000,4.6,5.12,4.5,4.86,3503381,0
SWAG.US,D,20211112,000000,5.57,6.08,5.3,5.75,7398576,0
SWAG.US,D,20211115,000000,5.35,5.59,5.1,5.42,3026789,0
SWAG.US,D,20211116,000000,5.61,5.7295,5.22,5.31,1969613,0
SWAG.US,D,20211117,000000,5.37,5.42,4.775,4.84,3269710,0
SWAG.US,D,20211118,000000,4.76,4.86,4.11,4.36,3238725,0
SWAG.US,D,20211119,000000,4.39,4.605,4.25,4.36,1142629,0
SWAG.US,D,20211122,000000,4.19,4.29,2.73,3.04,5272197,0
SWAG.US,D,20211123,000000,3.05,3.12,2.73,2.99,1333310,0
SWAG.US,D,20211124,000000,2.91,3.34,2.88,3.24,808646,0
SWAG.US,D,20211126,000000,2.99,3.14,2.83,3.13,329099,0
SWAG.US,D,20211129,000000,3.2052,3.79,3.18,3.55,2800285,0
SWAG.US,D,20211130,000000,3.46,3.57,3.23,3.52,890471,0
SWAG.US,D,20211201,000000,3.7,4.32,3.65,3.9,2607773,0
SWAG.US,D,20211202,000000,3.7,4.8399,3.65,4.63,3912215,0
SWAG.US,D,20211203,000000,4.5,4.9,4.42,4.72,2037848,0
SWAG.US,D,20211206,000000,4.71,5.32,4.44,5.21,2346455,0
SWAG.US,D,20211207,000000,5.83,6.2699,5.28,5.54,23771482,0
SWAG.US,D,20211208,000000,4.72,6.1,4.53,5.66,12668957,0
SWAG.US,D,20211209,000000,5.45,5.6599,5.15,5.31,2977003,0
SWAG.US,D,20211210,000000,5.46,5.73,5.251,5.49,2621461,0
SWAG.US,D,20211213,000000,5.5313,6.07,5.42,5.75,2885940,0
SWAG.US,D,20211214,000000,6.01,6.4,5.86,6.27,3579948,0
SWAG.US,D,20211215,000000,6.12,6.1873,5.6401,5.94,1891622,0
SWAG.US,D,20211216,000000,6.15,6.35,5.91,5.99,965105,0
SWAG.US,D,20211217,000000,5.94,6.99,5.9301,6.5,2719657,0
SWAG.US,D,20211220,000000,6.32,6.38,5.81,6.05,1539031,0
SWAG.US,D,20211221,000000,6.03,6.44,4.92,5.9,3747815,0
SWAG.US,D,20211222,000000,5.86,6.44,5.71,6.37,1262095,0
SWAG.US,D,20211223,000000,6.24,6.2699,5.84,5.92,1484180,0
SWAG.US,D,20211227,000000,5.68,5.79,5.25,5.31,1393062,0
SWAG.US,D,20211228,000000,5.47,5.72,5.2801,5.67,1248227,0
SWAG.US,D,20211229,000000,5.7,6.15,5.7,6.14,1000273,0
SWAG.US,D,20211230,000000,6.1,6.1,5.6,5.65,2258547,0
SWAG.US,D,20211231,000000,5.66,6.0847,5.66,6.05,2176738,0
SWAG.US,D,20220103,000000,6.09,6.4,5.86,6.17,2900550,0
SWAG.US,D,20220104,000000,6.15,6.28,5.91,6.11,2094951,0
SWAG.US,D,20220105,000000,6.0729,6.5,5.8,5.85,2333218,0
SWAG.US,D,20220106,000000,5.26,5.289,4.31,4.95,11065297,0
SWAG.US,D,20220107,000000,4.95,4.96,4.48,4.67,1861757,0
SWAG.US,D,20220110,000000,4.5193,4.5193,3.78,4.14,4811957,0
SWAG.US,D,20220111,000000,4.33,4.53,4.13,4.18,1541415,0
SWAG.US,D,20220112,000000,4.08,4.55,4.04,4.28,3145360,0
SWAG.US,D,20220113,000000,4.23,4.372,3.82,3.91,1362135,0
SWAG.US,D,20220114,000000,3.79,4.1,3.79,4.05,921364,0
SWAG.US,D,20220118,000000,3.95,4.35,3.91,4.26,2611043,0
SWAG.US,D,20220119,000000,4.4,4.93,4.17,4.79,6102211,0
SWAG.US,D,20220120,000000,4.82,5.019,4.33,4.4,4275560,0
SWAG.US,D,20220121,000000,4.2,4.3,3.91,4.19,2178985,0
SWAG.US,D,20220124,000000,3.79,3.9,3.25,3.5,2168747,0
SWAG.US,D,20220125,000000,3.41,3.55,3.21,3.41,1178719,0
SWAG.US,D,20220126,000000,3.6,3.69,3.11,3.2,2978578,0
SWAG.US,D,20220127,000000,3.2,3.35,2.14,2.28,4039199,0
SWAG.US,D,20220128,000000,2.16,2.39,2.01,2.17,2776866,0
SWAG.US,D,20220131,000000,2.1432,2.37,2.12,2.18,1899619,0
SWAG.US,D,20220201,000000,2.21,2.24,2.0701,2.12,1671999,0
SWAG.US,D,20220202,000000,2.12,2.12,1.8,2,3898233,0
SWAG.US,D,20220203,000000,1.89,1.99,1.85,1.92,887073,0
SWAG.US,D,20220204,000000,1.92,1.968,1.89,1.89,495117,0
SWAG.US,D,20220207,000000,1.84,1.94,1.81,1.87,1103920,0
SWAG.US,D,20220208,000000,1.83,1.8899,1.72,1.75,1241733,0
