<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SWSS.US,D,20210924,000000,9.77,9.77,9.75,9.76,92850,0
SWSS.US,D,20210927,000000,9.75,9.78,9.75,9.76,250240,0
SWSS.US,D,20210928,000000,9.74,9.74,9.74,9.74,72851,0
SWSS.US,D,20210929,000000,9.75,9.78,9.75,9.77,175924,0
SWSS.US,D,20210930,000000,9.77,9.79,9.76,9.77,185407,0
SWSS.US,D,20211001,000000,9.77,9.79,9.77,9.78,179765,0
SWSS.US,D,20211004,000000,9.78,9.8,9.75,9.77,222666,0
SWSS.US,D,20211005,000000,9.8,9.81,9.79,9.79,25580,0
SWSS.US,D,20211006,000000,9.805,9.805,9.79,9.79,29164,0
SWSS.US,D,20211007,000000,9.8,9.82,9.79,9.8,139022,0
SWSS.US,D,20211008,000000,9.8015,9.8015,9.8015,9.8015,1006,0
SWSS.US,D,20211011,000000,9.8,9.81,9.8,9.8,85043,0
SWSS.US,D,20211013,000000,9.8,9.8,9.8,9.8,353,0
SWSS.US,D,20211015,000000,9.8,9.81,9.8,9.81,11282,0
SWSS.US,D,20211018,000000,9.8,9.8,9.8,9.8,807,0
SWSS.US,D,20211019,000000,9.8,9.8,9.8,9.8,17099,0
SWSS.US,D,20211021,000000,9.8,9.8,9.8,9.8,100,0
SWSS.US,D,20211026,000000,9.8,9.8,9.8,9.8,369,0
SWSS.US,D,20211028,000000,9.8,9.81,9.79,9.8,6745,0
SWSS.US,D,20211029,000000,9.79,9.81,9.79,9.8,276809,0
SWSS.US,D,20211101,000000,9.8,9.81,9.8,9.81,10416,0
SWSS.US,D,20211102,000000,9.8,9.8,9.8,9.8,6860,0
SWSS.US,D,20211103,000000,9.8,9.82,9.8,9.815,13830,0
SWSS.US,D,20211104,000000,9.8,9.8,9.8,9.8,415,0
SWSS.US,D,20211105,000000,9.82,9.82,9.81,9.81,10622,0
SWSS.US,D,20211108,000000,9.81,9.82,9.81,9.8101,136211,0
SWSS.US,D,20211109,000000,9.8,9.84,9.8,9.81,1775,0
SWSS.US,D,20211111,000000,9.81,9.82,9.8,9.82,101020,0
SWSS.US,D,20211112,000000,9.81,9.81,9.81,9.81,10705,0
SWSS.US,D,20211115,000000,9.81,9.83,9.81,9.82,6244,0
SWSS.US,D,20211116,000000,9.81,9.81,9.81,9.81,345,0
SWSS.US,D,20211117,000000,9.8,9.83,9.8,9.82,8029,0
SWSS.US,D,20211118,000000,9.81,9.81,9.81,9.81,1832,0
SWSS.US,D,20211119,000000,10.1,10.1,10.1,10.1,623,0
SWSS.US,D,20211122,000000,10.07,10.07,9.8,9.86,4590,0
SWSS.US,D,20211123,000000,9.855,9.86,9.8,9.83,4548,0
SWSS.US,D,20211124,000000,9.82,9.83,9.82,9.825,200876,0
SWSS.US,D,20211126,000000,9.82,9.82,9.82,9.82,13851,0
SWSS.US,D,20211129,000000,9.82,9.82,9.81,9.81,52055,0
SWSS.US,D,20211130,000000,9.83,9.83,9.8,9.8,23441,0
SWSS.US,D,20211202,000000,9.9,9.9,9.9,9.9,107,0
SWSS.US,D,20211206,000000,9.8,9.8,9.8,9.8,711,0
SWSS.US,D,20211207,000000,9.79,9.8,9.79,9.79,21824,0
SWSS.US,D,20211208,000000,9.78,9.8,9.78,9.8,679151,0
SWSS.US,D,20211209,000000,9.81,9.9,9.81,9.9,5385,0
SWSS.US,D,20211210,000000,9.77,9.8,9.77,9.78,48585,0
SWSS.US,D,20211213,000000,9.78,9.78,9.78,9.78,30167,0
SWSS.US,D,20211214,000000,9.78,9.8,9.77,9.78,65854,0
SWSS.US,D,20211215,000000,9.78,9.78,9.78,9.78,532,0
SWSS.US,D,20211217,000000,9.78,9.8,9.78,9.8,1389,0
SWSS.US,D,20211220,000000,9.8,9.82,9.78,9.82,16011,0
SWSS.US,D,20211221,000000,9.78,9.78,9.78,9.78,319,0
SWSS.US,D,20211222,000000,9.78,9.9,9.78,9.9,79345,0
SWSS.US,D,20211223,000000,9.8,9.8,9.79,9.8,3094,0
SWSS.US,D,20211228,000000,9.77,9.79,9.77,9.79,1126,0
SWSS.US,D,20211229,000000,9.84,9.84,9.77,9.79,3326,0
SWSS.US,D,20211231,000000,9.79,9.79,9.76,9.765,6594,0
SWSS.US,D,20220103,000000,9.77,9.77,9.77,9.77,35001,0
SWSS.US,D,20220104,000000,9.79,9.79,9.77,9.78,23141,0
SWSS.US,D,20220105,000000,9.81,9.81,9.81,9.81,305,0
SWSS.US,D,20220106,000000,9.8,9.8,9.8,9.8,949,0
SWSS.US,D,20220107,000000,9.81,9.83,9.81,9.83,2385,0
SWSS.US,D,20220110,000000,9.8,9.8,9.8,9.8,418,0
SWSS.US,D,20220111,000000,9.8,9.8,9.8,9.8,1497,0
SWSS.US,D,20220113,000000,9.8,9.8,9.8,9.8,17678,0
SWSS.US,D,20220114,000000,9.8,9.8,9.8,9.8,1629,0
SWSS.US,D,20220118,000000,9.8,9.8,9.8,9.8,10884,0
SWSS.US,D,20220119,000000,9.8,9.84,9.79,9.84,80362,0
SWSS.US,D,20220120,000000,9.8,9.8,9.79,9.79,89995,0
SWSS.US,D,20220124,000000,9.78,9.78,9.78,9.78,5421,0
