<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TENX.US,D,20050225,000000,46240,48640,44960,46640,4.25,0
TENX.US,D,20050228,000000,48640,48640,46800,48000,2.65,0
TENX.US,D,20050301,000000,47360,48000,43760,45600,3.85,0
TENX.US,D,20050302,000000,46240,46240,42000,44400,1.2,0
TENX.US,D,20050303,000000,44400,44400,40800,42000,1.05,0
TENX.US,D,20050304,000000,40800,43200,40800,43200,0.45,0
TENX.US,D,20050307,000000,42640,44400,42640,43360,0.8,0
TENX.US,D,20050308,000000,43760,43760,40800,42000,0.6,0
TENX.US,D,20050309,000000,42000,42640,40800,42000,0.4,0
TENX.US,D,20050310,000000,42000,42640,39600,40800,1.5,0
TENX.US,D,20050311,000000,42000,42000,39600,42000,0.45,0
TENX.US,D,20050314,000000,42000,42000,39600,39600,0.35,0
TENX.US,D,20050315,000000,42000,43760,39600,43760,0.4,0
TENX.US,D,20050316,000000,44400,45600,42000,42640,1.05,0
TENX.US,D,20050317,000000,43760,44400,39600,44400,1.75,0
TENX.US,D,20050318,000000,39600,44400,39600,43200,4.15,0
TENX.US,D,20050321,000000,42000,42000,39600,42000,0.8,0
TENX.US,D,20050322,000000,39600,39600,35360,37200,3.35,0
TENX.US,D,20050323,000000,37200,37200,33600,36000,1.25,0
TENX.US,D,20050324,000000,33600,36000,30000,36000,2.4,0
TENX.US,D,20050328,000000,36000,42000,36000,40800,0.85,0
TENX.US,D,20050329,000000,39600,39600,31200,33600,2.1,0
TENX.US,D,20050330,000000,33600,36000,33600,36000,0.15,0
TENX.US,D,20050331,000000,36000,48000,36000,36000,1.3,0
TENX.US,D,20050401,000000,37200,37200,32400,36000,0.55,0
TENX.US,D,20050404,000000,32400,36000,32400,36000,0.15,0
TENX.US,D,20050405,000000,32400,36000,32400,33600,0.7,0
TENX.US,D,20050406,000000,32400,33600,32400,33600,0.25,0
TENX.US,D,20050407,000000,36000,36000,32400,34800,0.55,0
TENX.US,D,20050408,000000,34240,34240,32960,33600,1.45,0
TENX.US,D,20050411,000000,34000,34000,30000,30000,4.85,0
TENX.US,D,20050412,000000,30000,31200,29360,30000,4.8,0
TENX.US,D,20050413,000000,34000,34000,29360,30000,2.5,0
TENX.US,D,20050414,000000,33600,33600,29520,30000,3.9,0
TENX.US,D,20050415,000000,32400,32400,29520,30000,0.9,0
TENX.US,D,20050418,000000,30000,31200,29360,30000,3.8,0
TENX.US,D,20050419,000000,30000,30000,27600,30000,6.6,0
TENX.US,D,20050420,000000,30000,30000,27600,28800,3.8,0
TENX.US,D,20050421,000000,28800,28800,27200,28080,3.45,0
TENX.US,D,20050422,000000,28800,28800,27120,27600,5.5,0
TENX.US,D,20050425,000000,27120,27600,27120,27600,1.45,0
TENX.US,D,20050426,000000,27120,27600,25360,26400,2.6,0
TENX.US,D,20050427,000000,27600,30640,27040,30000,2.3,0
TENX.US,D,20050428,000000,30000,36000,30000,36000,3.5,0
TENX.US,D,20050429,000000,33600,34800,31200,33600,2.1,0
TENX.US,D,20050502,000000,33600,34800,31200,31200,0.45,0
TENX.US,D,20050503,000000,31200,32400,30640,31200,0.5,0
TENX.US,D,20050504,000000,32400,36000,32400,34800,1.9,0
TENX.US,D,20050505,000000,34800,36000,33600,33600,0.2,0
TENX.US,D,20050506,000000,33600,33600,31200,32400,0.35,0
TENX.US,D,20050509,000000,32400,34800,32400,34800,0.55,0
TENX.US,D,20050510,000000,32400,33600,30000,33600,0.5,0
TENX.US,D,20050511,000000,32400,34800,31200,34800,0.4,0
TENX.US,D,20050512,000000,31200,36000,31200,36000,0.45,0
TENX.US,D,20050513,000000,36000,36000,33600,36000,0.6,0
TENX.US,D,20050516,000000,32400,34800,32400,32400,0.15,0
TENX.US,D,20050517,000000,32400,32400,32400,32400,0,0
TENX.US,D,20050518,000000,32400,34800,32400,33600,0.35,0
TENX.US,D,20050519,000000,33600,34800,32400,32400,0.5,0
