<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
THCP.US,D,20210913,000000,9.6557,9.8,9.55,9.58,11806,0
THCP.US,D,20210914,000000,9.62,9.65,9.62,9.6496,2575,0
THCP.US,D,20210915,000000,9.57,9.69,9.57,9.69,518,0
THCP.US,D,20210916,000000,9.68,9.68,9.65,9.6503,2282,0
THCP.US,D,20210917,000000,9.6725,9.6725,9.6725,9.6725,135,0
THCP.US,D,20210920,000000,9.6601,9.68,9.6601,9.68,1178,0
THCP.US,D,20210921,000000,9.7,9.7,9.61,9.7,76001,0
THCP.US,D,20210922,000000,9.72,9.83,9.6701,9.74,2002,0
THCP.US,D,20210923,000000,9.72,9.75,9.61,9.75,15751,0
THCP.US,D,20210924,000000,9.72,9.73,9.63,9.73,2939,0
THCP.US,D,20210927,000000,9.7031,9.74,9.7031,9.74,523,0
THCP.US,D,20210929,000000,9.7,9.7,9.69,9.69,450143,0
THCP.US,D,20210930,000000,9.67,9.7,9.67,9.7,915,0
THCP.US,D,20211004,000000,9.7,10,9.7,10,3970,0
THCP.US,D,20211005,000000,9.68,9.8,9.664,9.8,726,0
THCP.US,D,20211006,000000,9.8,9.8,9.65,9.7,300691,0
THCP.US,D,20211007,000000,9.69,9.74,9.65,9.69,170801,0
THCP.US,D,20211008,000000,9.68,9.7,9.67,9.7,1908,0
THCP.US,D,20211012,000000,9.66,9.71,9.66,9.7,3935,0
THCP.US,D,20211013,000000,9.71,9.75,9.68,9.75,1290,0
THCP.US,D,20211014,000000,9.72,10,9.7,10,384098,0
THCP.US,D,20211015,000000,9.75,10,9.71,10,123496,0
THCP.US,D,20211018,000000,9.71,9.76,9.71,9.75,33454,0
THCP.US,D,20211019,000000,9.73,9.75,9.65,9.75,205139,0
THCP.US,D,20211022,000000,9.75,9.75,9.68,9.68,852,0
THCP.US,D,20211025,000000,9.68,9.73,9.68,9.73,1286,0
THCP.US,D,20211026,000000,9.75,9.8,9.75,9.78,6024,0
THCP.US,D,20211027,000000,9.79,9.79,9.77,9.78,19781,0
THCP.US,D,20211028,000000,9.77,9.77,9.77,9.77,1600,0
THCP.US,D,20211029,000000,9.75,9.75,9.7,9.75,75405,0
THCP.US,D,20211103,000000,9.7,9.71,9.7,9.71,511,0
THCP.US,D,20211104,000000,9.7099,9.72,9.704,9.72,121380,0
THCP.US,D,20211105,000000,9.71,9.73,9.7,9.73,1653,0
THCP.US,D,20211109,000000,9.7299,9.7299,9.71,9.71,567611,0
THCP.US,D,20211110,000000,9.7,9.72,9.7,9.72,1143,0
THCP.US,D,20211111,000000,9.7,9.72,9.68,9.72,524476,0
THCP.US,D,20211112,000000,9.705,9.71,9.7,9.7,1485,0
THCP.US,D,20211115,000000,9.7,9.72,9.69,9.72,1195,0
THCP.US,D,20211116,000000,9.69,9.71,9.67,9.71,225768,0
THCP.US,D,20211118,000000,9.7,9.71,9.7,9.71,14621,0
THCP.US,D,20211119,000000,9.69,9.72,9.69,9.71,2611,0
THCP.US,D,20211122,000000,9.71,9.71,9.71,9.71,552,0
THCP.US,D,20211123,000000,9.72,9.74,9.705,9.74,13886,0
THCP.US,D,20211124,000000,9.755,9.755,9.755,9.755,1054,0
THCP.US,D,20211126,000000,9.68,9.74,9.68,9.74,450,0
THCP.US,D,20211129,000000,9.76,9.76,9.76,9.76,315,0
THCP.US,D,20211130,000000,9.76,9.76,9.76,9.76,100,0
THCP.US,D,20211201,000000,9.79,9.79,9.79,9.79,150,0
THCP.US,D,20211206,000000,9.7,9.7,9.7,9.7,345,0
THCP.US,D,20211209,000000,9.78,9.81,9.78,9.78,4033,0
THCP.US,D,20211215,000000,9.74,9.755,9.74,9.755,611,0
THCP.US,D,20211220,000000,9.71,9.71,9.71,9.71,254,0
THCP.US,D,20211221,000000,9.71,9.75,9.71,9.75,3232,0
THCP.US,D,20211222,000000,9.71,9.75,9.71,9.75,46704,0
THCP.US,D,20211229,000000,9.74,9.74,9.74,9.74,100,0
THCP.US,D,20211230,000000,9.71,9.76,9.71,9.76,264,0
THCP.US,D,20211231,000000,9.75,9.76,9.75,9.76,1202,0
THCP.US,D,20220106,000000,9.68,9.76,9.67,9.76,316907,0
THCP.US,D,20220107,000000,9.74,9.78,9.73,9.78,1450,0
THCP.US,D,20220110,000000,9.72,9.76,9.72,9.76,3900,0
THCP.US,D,20220111,000000,9.69,9.69,9.69,9.69,186,0
THCP.US,D,20220118,000000,9.75,9.75,9.74,9.74,11102,0
THCP.US,D,20220119,000000,9.74,9.74,9.74,9.74,207,0
THCP.US,D,20220121,000000,9.7044,9.7044,9.7044,9.7044,1055,0
THCP.US,D,20220124,000000,9.62,9.64,9.6,9.64,1000,0
THCP.US,D,20220125,000000,9.64,9.64,9.64,9.64,613,0
THCP.US,D,20220126,000000,9.65,9.65,9.65,9.65,735,0
THCP.US,D,20220127,000000,9.71,9.71,9.65,9.65,551,0
THCP.US,D,20220131,000000,9.71,9.72,9.71,9.72,4076,0
THCP.US,D,20220201,000000,9.71,9.73,9.71,9.73,9267,0
THCP.US,D,20220203,000000,9.7,9.83,9.7,9.83,244,0
THCP.US,D,20220207,000000,9.76,9.79,9.73,9.79,17345,0
THCP.US,D,20220209,000000,9.78,9.78,9.75,9.78,60162,0
THCP.US,D,20220210,000000,9.71,9.74,9.71,9.73,14308,0
THCP.US,D,20220215,000000,9.76,9.76,9.76,9.76,4682,0
THCP.US,D,20220216,000000,9.72,9.73,9.7,9.72,25835,0
THCP.US,D,20220217,000000,9.74,9.74,9.74,9.74,142,0
THCP.US,D,20220218,000000,9.7,9.7,9.7,9.7,150,0
THCP.US,D,20220222,000000,9.73,9.73,9.7,9.7,5104,0
THCP.US,D,20220223,000000,9.7,9.7,9.7,9.7,126,0
THCP.US,D,20220225,000000,9.65,9.65,9.65,9.65,101,0
THCP.US,D,20220301,000000,9.67,9.67,9.65,9.67,3169,0
THCP.US,D,20220302,000000,9.68,9.68,9.68,9.68,400,0
THCP.US,D,20220304,000000,9.7,9.7,9.69,9.69,5001,0
THCP.US,D,20220308,000000,9.65,9.65,9.65,9.65,289,0
THCP.US,D,20220322,000000,9.84,9.86,9.81,9.82,1487029,0
THCP.US,D,20220323,000000,9.83,9.9,9.816,9.85,368514,0
THCP.US,D,20220324,000000,9.87,9.8852,9.81,9.86,100308,0
THCP.US,D,20220325,000000,9.87,9.88,9.87,9.8716,509033,0
THCP.US,D,20220328,000000,9.88,9.88,9.85,9.88,59222,0
THCP.US,D,20220329,000000,9.8734,9.9,9.87,9.87,1865,0
THCP.US,D,20220330,000000,9.8535,9.89,9.8535,9.87,170837,0
THCP.US,D,20220331,000000,9.84,9.89,9.814,9.88,10644,0
THCP.US,D,20220401,000000,9.84,9.84,9.8001,9.81,1761,0
THCP.US,D,20220404,000000,9.825,9.89,9.825,9.89,5451,0
THCP.US,D,20220405,000000,9.88,9.92,9.87,9.89,102112,0
THCP.US,D,20220407,000000,9.9,10,9.9,10,901,0
THCP.US,D,20220408,000000,9.95,9.95,9.85,9.85,869,0
THCP.US,D,20220412,000000,9.84,9.84,9.84,9.84,593,0
THCP.US,D,20220413,000000,9.83,9.83,9.83,9.83,3019,0
THCP.US,D,20220414,000000,9.86,9.89,9.83,9.84,6609,0
THCP.US,D,20220419,000000,9.81,9.81,9.79,9.81,8549,0
THCP.US,D,20220420,000000,9.81,9.81,9.8,9.81,9239,0
THCP.US,D,20220421,000000,9.85,9.86,9.845,9.86,39920,0
THCP.US,D,20220425,000000,9.82,9.82,9.79,9.82,27074,0
THCP.US,D,20220426,000000,9.82,9.82,9.82,9.82,9660,0
THCP.US,D,20220427,000000,9.83,9.83,9.82,9.825,1994,0
THCP.US,D,20220428,000000,9.825,9.86,9.825,9.86,11988,0
THCP.US,D,20220429,000000,9.86,9.88,9.86,9.87,7043,0
THCP.US,D,20220502,000000,9.86,9.87,9.86,9.87,3524,0
THCP.US,D,20220503,000000,9.82,9.82,9.82,9.82,313,0
THCP.US,D,20220504,000000,9.82,9.82,9.8,9.81,5167,0
THCP.US,D,20220505,000000,9.8,9.81,9.79,9.81,597,0
THCP.US,D,20220506,000000,9.83,9.83,9.81,9.81,18913,0
THCP.US,D,20220509,000000,9.86,9.9251,9.795,9.81,159024,0
THCP.US,D,20220510,000000,9.885,9.885,9.885,9.885,166,0
THCP.US,D,20220511,000000,9.79,9.8,9.79,9.8,2117,0
THCP.US,D,20220512,000000,9.8,9.81,9.78,9.78,185678,0
THCP.US,D,20220513,000000,9.8,9.83,9.78,9.8,13264,0
THCP.US,D,20220516,000000,9.78,9.78,9.78,9.78,1048,0
THCP.US,D,20220517,000000,9.8,9.81,9.79,9.81,507788,0
THCP.US,D,20220518,000000,9.78,9.8,9.78,9.78,1029,0
THCP.US,D,20220519,000000,9.78,9.78,9.78,9.78,10124,0
THCP.US,D,20220520,000000,9.8,9.8,9.78,9.78,4736,0
THCP.US,D,20220523,000000,9.8,9.8,9.8,9.8,20001,0
THCP.US,D,20220524,000000,9.78,9.78,9.78,9.78,4931,0
THCP.US,D,20220526,000000,9.8,9.8,9.8,9.8,194,0
THCP.US,D,20220527,000000,9.76,9.78,9.76,9.78,1095,0
THCP.US,D,20220531,000000,9.8,9.8,9.79,9.79,888,0
THCP.US,D,20220601,000000,9.79,9.79,9.79,9.79,4243,0
THCP.US,D,20220602,000000,9.7801,9.82,9.7801,9.82,6292,0
