<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TMCWW.US,D,20210913,000000,1.11,2.16,1.1098,2.1,2472197,0
TMCWW.US,D,20210914,000000,2,2.555,1.75,2.07,1611330,0
TMCWW.US,D,20210915,000000,1.85,2.09,1.7,1.99,304581,0
TMCWW.US,D,20210916,000000,2.55,2.55,2.08,2.3394,1015481,0
TMCWW.US,D,20210917,000000,2.28,2.29,1.9106,2.09,775700,0
TMCWW.US,D,20210920,000000,2.09,2.22,1.66,1.73,309806,0
TMCWW.US,D,20210921,000000,1.7745,1.95,1.75,1.83,202397,0
TMCWW.US,D,20210922,000000,1.83,1.8538,1.46,1.61,219877,0
TMCWW.US,D,20210923,000000,1.54,1.54,1.19,1.29,477542,0
TMCWW.US,D,20210924,000000,1.32,1.37,1.18,1.1807,137658,0
TMCWW.US,D,20210927,000000,1.1936,1.33,1.18,1.25,202320,0
TMCWW.US,D,20210928,000000,1.29,1.295,1,1.09,414198,0
TMCWW.US,D,20210929,000000,1.06,1.12,0.88,0.9,486765,0
TMCWW.US,D,20210930,000000,0.88,1.0299,0.855,0.96,626812,0
TMCWW.US,D,20211001,000000,0.98,1.1999,0.98,1.105,132128,0
TMCWW.US,D,20211004,000000,1.03,1.1,0.93,1.1,55432,0
TMCWW.US,D,20211005,000000,1.09,1.1,0.91,1.04,29546,0
TMCWW.US,D,20211006,000000,1.075,1.075,0.9303,1.01,51853,0
TMCWW.US,D,20211007,000000,0.99,0.99,0.862,0.913699,85391,0
TMCWW.US,D,20211008,000000,0.8338,0.88,0.64,0.745,133143,0
TMCWW.US,D,20211011,000000,0.7601,0.798,0.7152,0.79,109734,0
TMCWW.US,D,20211012,000000,0.7502,0.793999,0.63,0.793999,202616,0
TMCWW.US,D,20211013,000000,0.672,0.8725,0.672,0.73,116269,0
TMCWW.US,D,20211014,000000,0.75,0.7999,0.683,0.69,75709,0
TMCWW.US,D,20211015,000000,0.7989,0.7989,0.7,0.7003,45718,0
TMCWW.US,D,20211018,000000,0.74,0.749699,0.6613,0.73,22072,0
TMCWW.US,D,20211019,000000,0.76,0.76,0.66,0.6699,65141,0
TMCWW.US,D,20211020,000000,0.7,0.7,0.6151,0.6152,69186,0
TMCWW.US,D,20211021,000000,0.648,0.8065,0.6,0.8,330812,0
TMCWW.US,D,20211022,000000,0.78,0.81995,0.67,0.8,194105,0
TMCWW.US,D,20211025,000000,0.72,0.7599,0.69,0.71,39821,0
TMCWW.US,D,20211026,000000,0.69,0.83,0.6626,0.789899,34683,0
TMCWW.US,D,20211027,000000,0.78,0.837724,0.7799,0.7799,33980,0
TMCWW.US,D,20211028,000000,0.7502,0.789899,0.71,0.7575,32120,0
TMCWW.US,D,20211029,000000,0.76,0.87,0.75,0.86,675708,0
TMCWW.US,D,20211101,000000,0.88,0.89,0.7901,0.8696,153060,0
TMCWW.US,D,20211102,000000,0.833,0.9,0.77,0.89,238034,0
TMCWW.US,D,20211103,000000,0.8171,0.87,0.8171,0.87,80946,0
TMCWW.US,D,20211104,000000,0.9058,0.9799,0.8101,0.96,178794,0
TMCWW.US,D,20211105,000000,0.99,0.99,0.8403,0.86,45002,0
TMCWW.US,D,20211108,000000,0.8963,1.02,0.8888,1,84028,0
TMCWW.US,D,20211109,000000,0.9927,0.9927,0.8921,0.9123,21727,0
TMCWW.US,D,20211110,000000,0.9927,0.9927,0.89,0.95,32301,0
TMCWW.US,D,20211111,000000,0.99,0.99,0.89,0.95,50977,0
TMCWW.US,D,20211112,000000,0.9495,0.9495,0.8801,0.9086,21514,0
TMCWW.US,D,20211115,000000,0.9893,0.9893,0.8815,0.93,20568,0
TMCWW.US,D,20211116,000000,0.90255,0.9196,0.88,0.8804,15558,0
TMCWW.US,D,20211117,000000,0.9,0.9396,0.837,0.8682,35950,0
TMCWW.US,D,20211118,000000,0.91,1.02,0.879935,0.9041,70203,0
TMCWW.US,D,20211119,000000,0.9499,0.95,0.8937,0.93055,11257,0
TMCWW.US,D,20211122,000000,0.91,0.91,0.78,0.78,7279,0
TMCWW.US,D,20211123,000000,0.816,0.8899,0.7712,0.8695,7149,0
TMCWW.US,D,20211124,000000,0.7712,0.7712,0.6101,0.6111,197857,0
TMCWW.US,D,20211126,000000,0.6695,0.6898,0.62,0.65,4476,0
TMCWW.US,D,20211129,000000,0.66,0.6687,0.57,0.57,30630,0
TMCWW.US,D,20211130,000000,0.56,0.6199,0.56,0.5601,15851,0
TMCWW.US,D,20211201,000000,0.5612,0.6699,0.5,0.501,43868,0
TMCWW.US,D,20211202,000000,0.5,0.55,0.44,0.54,21911,0
TMCWW.US,D,20211203,000000,0.5,0.5299,0.45,0.4501,43698,0
TMCWW.US,D,20211206,000000,0.4501,0.4824,0.3951,0.4101,26373,0
TMCWW.US,D,20211207,000000,0.4101,0.5,0.4001,0.4112,19313,0
TMCWW.US,D,20211208,000000,0.45,0.509899,0.4112,0.42,18675,0
TMCWW.US,D,20211209,000000,0.430101,0.4594,0.430101,0.4594,2358,0
TMCWW.US,D,20211210,000000,0.44,0.4599,0.4101,0.4298,9418,0
TMCWW.US,D,20211213,000000,0.440101,0.440101,0.411,0.429899,17117,0
TMCWW.US,D,20211214,000000,0.42,0.42,0.415,0.418,5697,0
TMCWW.US,D,20211215,000000,0.415,0.415,0.3724,0.3849,11030,0
TMCWW.US,D,20211216,000000,0.4399,0.4399,0.33755,0.3403,28517,0
TMCWW.US,D,20211217,000000,0.3898,0.3899,0.3408,0.3525,15531,0
TMCWW.US,D,20211220,000000,0.352601,0.352601,0.26,0.32,20507,0
TMCWW.US,D,20211221,000000,0.3002,0.3799,0.3,0.37,12889,0
TMCWW.US,D,20211222,000000,0.32,0.389999,0.32,0.3701,25147,0
TMCWW.US,D,20211223,000000,0.41065,0.41065,0.3703,0.3703,33320,0
TMCWW.US,D,20211227,000000,0.3704,0.3704,0.34055,0.3503,9750,0
TMCWW.US,D,20211228,000000,0.3405,0.3406,0.26,0.3,59166,0
TMCWW.US,D,20211229,000000,0.29,0.29,0.2108,0.22,140122,0
TMCWW.US,D,20211230,000000,0.24,0.3,0.23,0.28,110111,0
TMCWW.US,D,20211231,000000,0.25,0.3,0.2225,0.27,140877,0
TMCWW.US,D,20220103,000000,0.27,0.279899,0.2301,0.235,59106,0
TMCWW.US,D,20220104,000000,0.2351,0.3,0.2305,0.2734,45349,0
TMCWW.US,D,20220105,000000,0.275,0.289799,0.2,0.2,46731,0
TMCWW.US,D,20220106,000000,0.21,0.2675,0.21,0.23,4135,0
TMCWW.US,D,20220107,000000,0.2401,0.2401,0.2125,0.2398,12982,0
TMCWW.US,D,20220110,000000,0.2398,0.29,0.231,0.28,17760,0
TMCWW.US,D,20220111,000000,0.289899,0.29,0.2701,0.2701,17174,0
TMCWW.US,D,20220112,000000,0.2574,0.289899,0.24,0.255,9204,0
