<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSLL.US,D,20220810,000000,25.8604,25.8904,24.1411,25.4406,472998.73173094,0
TSLL.US,D,20220811,000000,25.7405,25.9504,24.351,24.5109,576229.86662154,0
TSLL.US,D,20220812,000000,24.8008,26.1603,24.251,26.1203,490362.14599641,0
TSLL.US,D,20220815,000000,26.4402,27.8697,26.3403,27.3399,1058448.0041179,0
TSLL.US,D,20220816,000000,27.6898,28.0696,26.5402,27.01,1632599.1028162,0
TSLL.US,D,20220817,000000,26.5202,27.3789,26.1104,26.6701,1190804.8984335,0
TSLL.US,D,20220818,000000,26.93,26.969,26.3842,26.4902,507927.63491081,0
TSLL.US,D,20220819,000000,25.9704,26.1003,25.1407,25.6905,899518.29346695,0
TSLL.US,D,20220822,000000,25.0008,25.0907,24.321,24.7908,586295.58502559,0
TSLL.US,D,20220823,000000,24.9808,25.9304,24.5409,25.6405,674227.06803072,0
TSLL.US,D,20220824,000000,25.7805,26.5502,25.6305,25.6905,751681.68074708,0
TSLL.US,D,20220825,000000,26.3703,26.4402,24.9908,25.5706,689049.54364121,0
TSLL.US,D,20220826,000000,25.7405,26.3003,24.431,24.5309,984315.61867444,0
TSLL.US,D,20220829,000000,23.8212,24.451,23.5713,24.1211,803625.86958929,0
TSLL.US,D,20220830,000000,24.4909,24.5309,22.5617,23.2114,828697.13123134,0
TSLL.US,D,20220831,000000,23.5613,23.5813,22.4817,22.9115,726134.24319961,0
TSLL.US,D,20220901,000000,22.5217,23.1414,21.762,23.1414,846411.67520857,0
TSLL.US,D,20220902,000000,23.6013,23.7212,22.0828,22.2618,672076.27349994,0
TSLL.US,D,20220906,000000,22.4717,22.9215,21.692,22.7616,561516.4312919,0
TSLL.US,D,20220907,000000,22.5817,23.9112,22.5017,23.9112,609989.33779839,0
TSLL.US,D,20220908,000000,23.5713,24.6109,23.4113,24.6109,641805.09094115,0
TSLL.US,D,20220909,000000,24.8908,25.9304,24.8408,25.9204,1119188.4424062,0
TSLL.US,D,20220912,000000,26.0104,26.6402,26.0104,26.5302,857192.6578403,0
TSLL.US,D,20220913,000000,25.0108,25.5805,24.7009,24.9208,1388139.7964477,0
TSLL.US,D,20220914,000000,24.9408,26.6601,24.8508,26.2403,1198738.8293282,0
TSLL.US,D,20220915,000000,26.1403,27.0818,26.0304,26.3902,753484.34667474,0
TSLL.US,D,20220916,000000,25.8105,26.3503,25.3206,26.3103,701162.01814293,0
TSLL.US,D,20220919,000000,25.8804,27.15,25.6305,27.06,735948.86884681,0
TSLL.US,D,20220920,000000,26.77,27.6,26.6,27,853234,0
TSLL.US,D,20220921,000000,26.95,27.64,25.96,25.97,931759,0
TSLL.US,D,20220922,000000,25.82,26,24.03,24.38,1013578,0
TSLL.US,D,20220923,000000,23.67,23.82,22.37,22.7,1208994,0
TSLL.US,D,20220926,000000,22.25,23.75,22.1,22.78,878398,0
TSLL.US,D,20220927,000000,23.7596,24.3,22.99,23.64,1052433,0
TSLL.US,D,20220928,000000,23.62,24.36,22.95,24.22,981057,0
TSLL.US,D,20220929,000000,23.57,23.67,21.45,21.78,1250656,0
TSLL.US,D,20220930,000000,21.46,22.61,21.09,21.39,789782,0
TSLL.US,D,20221003,000000,20.04,20.13,18.45,18.62,2376552,0
TSLL.US,D,20221004,000000,19.56,20.255,18.5545,19.47,2366029,0
TSLL.US,D,20221005,000000,18.88,19.06,17.53,18.38,1544700,0
TSLL.US,D,20221006,000000,18.27,18.81,17.78,18.11,1257050,0
TSLL.US,D,20221007,000000,17.61,17.65,16.25,16.38,1546740,0
TSLL.US,D,20221010,000000,16.46,16.77,15.8401,16.34,1206461,0
TSLL.US,D,20221011,000000,16.12,16.64,15.46,15.63,1126663,0
TSLL.US,D,20221012,000000,15.51,15.93,15.1,15.72,1375656,0
TSLL.US,D,20221013,000000,14.74,16.32,14.52,16.2,2156816,0
TSLL.US,D,20221014,000000,16.43,16.66,14.26,14.36,1524060,0
TSLL.US,D,20221017,000000,14.9,16.1041,14.83,15.87,1015777,0
TSLL.US,D,20221018,000000,16.93,16.97,15.625,15.96,1910149,0
TSLL.US,D,20221019,000000,15.89,16.235,15.69,16.19,1803594,0
TSLL.US,D,20221020,000000,14.62,15.4117,13.95,14.54,3282920,0
TSLL.US,D,20221021,000000,14.43,15.28,14.19,15.28,1451311,0
TSLL.US,D,20221024,000000,14.35,15.1501,13.57,14.94,2139745,0
TSLL.US,D,20221025,000000,14.8,16.3001,14.8,16.1,1778113,0
TSLL.US,D,20221026,000000,15.78,16.97,15.68,16.35,2233465,0
