<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TUG.US,D,20220712,000000,23.8802,23.8802,23.7208,23.7208,18176.103635706,0
TUG.US,D,20220713,000000,23.8005,23.8304,23.7307,23.7706,14295.563727619,0
TUG.US,D,20220714,000000,23.7606,23.7905,23.6809,23.7606,12446.6360218,0
TUG.US,D,20220715,000000,23.8603,23.8603,23.7806,23.8403,33767.52277495,0
TUG.US,D,20220718,000000,23.8503,23.9001,23.7307,23.8302,14643.868784036,0
TUG.US,D,20220719,000000,23.93,23.9948,23.8603,23.9948,17260.673631522,0
TUG.US,D,20220720,000000,24.189,24.2588,24.1093,24.2286,18364.810697972,0
TUG.US,D,20220721,000000,24.2488,24.3783,24.199,24.3783,7992.9486001285,0
TUG.US,D,20220722,000000,24.3285,24.3385,24.1442,24.1651,16823.03384882,0
TUG.US,D,20220725,000000,24.1293,24.1591,24.0695,24.0695,6528.461345628,0
TUG.US,D,20220726,000000,23.9798,23.9798,23.8901,23.8901,23125.648976311,0
TUG.US,D,20220727,000000,24.2388,24.4014,24.1591,24.4014,8439.622231556,0
TUG.US,D,20220728,000000,24.3385,24.491,24.3385,24.491,1429.355620568,0
TUG.US,D,20220729,000000,24.5676,24.7967,24.5576,24.7768,42605.638111397,0
TUG.US,D,20220801,000000,24.8466,24.8466,24.6373,24.6872,5178.4028416505,0
TUG.US,D,20220802,000000,24.7669,24.7669,24.6174,24.6174,6791.446719637,0
TUG.US,D,20220803,000000,24.9063,25.006,24.8565,25.006,5529.7191809755,0
TUG.US,D,20220804,000000,24.9263,25.0558,24.9263,25.0558,18294.547430107,0
TUG.US,D,20220805,000000,24.9462,24.9661,24.8665,24.9263,5151.301295474,0
TUG.US,D,20220808,000000,25.0159,25.0558,24.8366,24.8864,15188.910990474,0
TUG.US,D,20220809,000000,24.7469,24.7868,24.6971,24.717,10474.245716733,0
TUG.US,D,20220810,000000,25.006,25.1355,25.006,25.1133,4072.2582532615,0
TUG.US,D,20220811,000000,25.1255,25.1853,25.0358,25.0358,15505.095695867,0
TUG.US,D,20220812,000000,25.2152,25.2849,25.1155,25.255,12872.230672868,0
TUG.US,D,20220815,000000,25.255,25.4343,25.255,25.3945,15707.855411706,0
TUG.US,D,20220816,000000,25.3347,25.4842,25.2749,25.3995,12180.639364882,0
TUG.US,D,20220817,000000,25.1952,25.265,25.1454,25.2152,24912.34350202,0
TUG.US,D,20220818,000000,25.3347,25.3347,25.2251,25.26,10828.573338966,0
TUG.US,D,20220819,000000,25.0558,25.0558,24.9462,24.9561,4340.262432118,0
TUG.US,D,20220822,000000,24.7569,24.7569,24.5975,24.6174,4170.6268282725,0
TUG.US,D,20220823,000000,24.6772,24.737,24.6174,24.672,16453.649812044,0
TUG.US,D,20220824,000000,24.6672,24.737,24.6274,24.6595,24725.643961694,0
TUG.US,D,20220825,000000,24.8466,24.882,24.737,24.882,15035.335562141,0
TUG.US,D,20220826,000000,24.9362,24.9362,24.384,24.384,6607.7584622185,0
TUG.US,D,20220829,000000,24.2787,24.3385,24.199,24.2588,11858.432093673,0
TUG.US,D,20220830,000000,24.0695,24.1392,24.0496,24.0994,3791.2051818015,0
TUG.US,D,20220831,000000,24.1591,24.1591,24.0496,24.0894,7671.7450898885,0
TUG.US,D,20220901,000000,24.0396,24.0994,23.9997,24.0894,12198.707062334,0
TUG.US,D,20220902,000000,24.0994,24.0994,23.9997,24.0389,2539.515252835,0
TUG.US,D,20220906,000000,24.0994,24.1093,23.9898,24.0151,5363.0948600385,0
TUG.US,D,20220907,000000,24.1093,24.1193,24.0396,24.0994,6238.3744254425,0
TUG.US,D,20220908,000000,24.1591,24.2289,24.0396,24.0994,20254.892603541,0
TUG.US,D,20220909,000000,24.1691,24.1791,24.0894,24.0894,9671.2369411325,0
TUG.US,D,20220912,000000,24.209,24.209,24.1093,24.1791,9884.0342666665,0
TUG.US,D,20220913,000000,24.0794,24.0894,24.0197,24.0197,13015.768491507,0
TUG.US,D,20220914,000000,24.0496,24.1193,23.9599,23.9599,5405.2528207575,0
TUG.US,D,20220915,000000,24.0197,24.0197,23.92,23.9499,11213.013790284,0
TUG.US,D,20220916,000000,23.94,23.9898,23.92,23.94,15772.096113754,0
TUG.US,D,20220919,000000,23.9997,24.0097,23.8901,23.9465,24162.534057804,0
TUG.US,D,20220920,000000,23.9898,23.9898,23.8603,23.93,7648.65858759,0
TUG.US,D,20220921,000000,24,24,23.78,23.895,9122,0
TUG.US,D,20220922,000000,23.85,23.92,23.73,23.862,37217,0
TUG.US,D,20220923,000000,23.91,23.96,23.77,23.81,66316,0
TUG.US,D,20220926,000000,23.93,23.93,23.71,23.77,32793,0
TUG.US,D,20220927,000000,23.84,23.89,23.76,23.805,9217,0
TUG.US,D,20220928,000000,23.89,23.89,23.79,23.86,7262,0
TUG.US,D,20220929,000000,23.84,23.86,23.72,23.81,16340,0
TUG.US,D,20220930,000000,23.88,23.88,23.72,23.755,9167,0
TUG.US,D,20221003,000000,23.88,23.88,23.75,23.805,27928,0
TUG.US,D,20221004,000000,23.89,23.98,23.7,23.92,34006,0
TUG.US,D,20221005,000000,23.89,23.99,23.86,23.925,24837,0
TUG.US,D,20221006,000000,23.89,23.89,23.8,23.865,12784,0
TUG.US,D,20221007,000000,23.7,23.89,23.66,23.66,36074,0
TUG.US,D,20221010,000000,23.84,23.84,23.67,23.68,14116,0
TUG.US,D,20221011,000000,23.73,23.82,23.6,23.6,31730,0
TUG.US,D,20221012,000000,23.74,23.85,23.62,23.675,16001,0
TUG.US,D,20221013,000000,23.68,24.04,23.6,23.76,31319,0
TUG.US,D,20221014,000000,23.82,23.87,23.68,23.7261,20076,0
TUG.US,D,20221017,000000,23.85,23.89,23.77,23.79,11273,0
TUG.US,D,20221018,000000,23.8584,23.88,23.7,23.78,4855,0
TUG.US,D,20221019,000000,23.88,23.93,23.75,23.79,20624,0
TUG.US,D,20221020,000000,23.82,23.91,23.79,23.825,3296,0
TUG.US,D,20221021,000000,23.77,23.92,23.75,23.875,26733,0
TUG.US,D,20221024,000000,23.89,23.95,23.81,23.905,25961,0
TUG.US,D,20221025,000000,24.02,24.3381,24.02,24.3381,16103,0
TUG.US,D,20221026,000000,23.92,24.26,23.77,23.84,12127,0
TUG.US,D,20221027,000000,23.55,23.72,23.32,23.37,10702,0
TUG.US,D,20221028,000000,23.65,24.1,23.65,24.04,9331,0
TUG.US,D,20221031,000000,23.84,23.86,23.77,23.78,2795,0
TUG.US,D,20221101,000000,24.05,24.05,23.56,23.58,7332,0
TUG.US,D,20221102,000000,23.49,23.68,22.83,22.83,8379,0
TUG.US,D,20221103,000000,22.62,22.62,22.31,22.36,16508,0
TUG.US,D,20221104,000000,22.39,22.46,22.32,22.32,5480,0
TUG.US,D,20221107,000000,22.37,22.42,22.34,22.365,1499,0
TUG.US,D,20221108,000000,22.51,22.59,22.05,22.37,6497,0
TUG.US,D,20221109,000000,22.48,22.51,22.36,22.3916,6173,0
TUG.US,D,20221110,000000,22.39,22.62,22.39,22.41,18728,0
TUG.US,D,20221111,000000,22.59,22.7,22.54,22.66,5176,0
TUG.US,D,20221114,000000,22.6699,22.7,22.55,22.63,16824,0
TUG.US,D,20221115,000000,22.72,22.74,22.6,22.63,12457,0
TUG.US,D,20221116,000000,22.46,22.53,22.41,22.42,17115,0
TUG.US,D,20221117,000000,21.84,22.44,21.84,22.29,8656,0
TUG.US,D,20221118,000000,22.25,22.48,22.25,22.26,18152,0
TUG.US,D,20221121,000000,22.4,22.43,22.295,22.295,37191,0
TUG.US,D,20221122,000000,22.38,22.52,22.2901,22.515,20549,0
TUG.US,D,20221123,000000,22.65,22.69,22.58,22.5918,3777,0
TUG.US,D,20221125,000000,22.64,22.64,22.53,22.55,7781,0
TUG.US,D,20221128,000000,22.42,22.5,22.27,22.27,12638,0
TUG.US,D,20221129,000000,22.32,22.32,22.21,22.245,9013,0
TUG.US,D,20221130,000000,22.36,22.7362,22.26,22.7362,21974,0
TUG.US,D,20221201,000000,22.21,22.86,22.21,22.77,9418,0
TUG.US,D,20221202,000000,22.72,22.81,22.61,22.74,13648,0
TUG.US,D,20221205,000000,22.72,22.74,22.4576,22.4576,23484,0
TUG.US,D,20221206,000000,22.46,22.49,22.34,22.3903,10505,0
TUG.US,D,20221207,000000,22.315,22.33,22.23,22.23,18688,0
TUG.US,D,20221208,000000,22.36,22.47,22.22,22.4109,4408,0
TUG.US,D,20221209,000000,22.47,22.54,22.405,22.405,6841,0
TUG.US,D,20221212,000000,22.45,22.46,22.33,22.3865,52530,0
TUG.US,D,20221213,000000,22.8,22.84,22.5201,22.615,32116,0
TUG.US,D,20221214,000000,22.68,22.69,22.35,22.57,20305,0
TUG.US,D,20221215,000000,22.27,22.28,22.08,22.1552,9204,0
TUG.US,D,20221216,000000,22.13,22.13,22.02,22.0813,8682,0
TUG.US,D,20221219,000000,22.03,22.03,21.85,21.89,13684,0
TUG.US,D,20221220,000000,21.89,21.95,21.73,21.895,14424,0
TUG.US,D,20221221,000000,21.84,22.07,21.75,21.905,6993,0
TUG.US,D,20221222,000000,21.65,21.68,21.46,21.64,10994,0
TUG.US,D,20221223,000000,21.63,21.68,21.55,21.68,36935,0
TUG.US,D,20221227,000000,21.57,21.67,21.46,21.46,16747,0
TUG.US,D,20221228,000000,21.47,21.49,21.33,21.4,16821,0
TUG.US,D,20221229,000000,21.66,21.7,21.58,21.64,5469,0
TUG.US,D,20221230,000000,21.58,21.6191,21.47,21.6191,2387,0
TUG.US,D,20230103,000000,21.55,21.6,21.51,21.6,9244,0
TUG.US,D,20230104,000000,21.525,21.66,21.4,21.5878,10912,0
TUG.US,D,20230105,000000,21.51,21.55,21.39,21.43,3843,0
TUG.US,D,20230106,000000,21.66,21.7202,21.57,21.7202,21370,0
TUG.US,D,20230109,000000,22.03,22.03,21.7847,21.7847,1765,0
TUG.US,D,20230110,000000,21.57,21.89,21.57,21.83,7511,0
TUG.US,D,20230111,000000,22,22.07,21.91,22.07,27903,0
TUG.US,D,20230112,000000,21.97,22.14,21.97,22.1156,10951,0
TUG.US,D,20230113,000000,22.14,22.2125,22.05,22.2125,12917,0
TUG.US,D,20230117,000000,22.23,22.23,22.03,22.21,20406,0
TUG.US,D,20230118,000000,22.22,22.25,22.05,22.0913,22307,0
TUG.US,D,20230119,000000,22.02,22.04,21.95,21.9778,13722,0
TUG.US,D,20230120,000000,22.1,22.2872,22,22.2872,14349,0
TUG.US,D,20230123,000000,22.58,22.6,22.47,22.525,15301,0
TUG.US,D,20230124,000000,22.57,22.64,22.44,22.4919,24570,0
TUG.US,D,20230125,000000,22.4,22.5499,22.26,22.5499,31993,0
TUG.US,D,20230126,000000,22.66,22.8,22.5,22.8,20219,0
TUG.US,D,20230127,000000,22.85,22.915,22.78,22.9126,3836,0
TUG.US,D,20230130,000000,22.76,22.76,22.49,22.68,8275,0
TUG.US,D,20230131,000000,22.74,22.81,22.57,22.7862,34361,0
TUG.US,D,20230201,000000,22.76,23.05,22.69,23.043,51211,0
TUG.US,D,20230202,000000,23.52,23.62,23.46,23.55,7679,0
TUG.US,D,20230203,000000,23.55,23.61,23.23,23.23,22575,0
TUG.US,D,20230206,000000,23.28,23.29,23.17,23.175,4737,0
TUG.US,D,20230207,000000,23.19,23.49,23.12,23.4438,37906,0
TUG.US,D,20230208,000000,23.3,23.31,23.17,23.2,8755,0
TUG.US,D,20230209,000000,23.2843,23.2843,23.14,23.14,688,0
TUG.US,D,20230210,000000,23.08,23.08,22.94,22.99,4803,0
TUG.US,D,20230213,000000,23.23,23.25,23.11,23.1878,14128,0
TUG.US,D,20230214,000000,23.19,23.3341,23.08,23.3341,14936,0
TUG.US,D,20230215,000000,23.28,23.41,23.24,23.3987,18553,0
TUG.US,D,20230216,000000,23.38,23.39,23.08,23.1653,20752,0
TUG.US,D,20230217,000000,23,23.0946,22.89,23.0946,13333,0
TUG.US,D,20230221,000000,22.86,22.92,22.72,22.74,16815,0
TUG.US,D,20230222,000000,22.88,22.89,22.61,22.78,11629,0
TUG.US,D,20230223,000000,22.84,22.94,22.74,22.94,7068,0
TUG.US,D,20230224,000000,22.64,22.73,22.63,22.65,24380,0
TUG.US,D,20230227,000000,22.89,22.93,22.81,22.85,30563,0
TUG.US,D,20230228,000000,22.87,22.87,22.75,22.7824,26984,0
TUG.US,D,20230301,000000,22.73,22.74,22.61,22.6657,21294,0
TUG.US,D,20230302,000000,22.68,22.785,22.58,22.785,2631,0
TUG.US,D,20230303,000000,22.94,22.97,22.79,22.97,13423,0
TUG.US,D,20230306,000000,23.22,23.25,22.9,22.9853,15927,0
TUG.US,D,20230307,000000,22.89,22.99,22.75,22.8325,6891,0
TUG.US,D,20230308,000000,22.84,22.98,22.65,22.9392,13922,0
TUG.US,D,20230309,000000,23.02,23.08,22.7429,22.7429,4867,0
TUG.US,D,20230310,000000,22.82,22.82,22.53,22.582,24029,0
TUG.US,D,20230313,000000,22.75,22.83,22.58,22.707,34629,0
TUG.US,D,20230314,000000,23.03,23.03,22.76,22.964,27100,0
TUG.US,D,20230315,000000,22.83,22.94,22.58,22.76,29548,0
TUG.US,D,20230316,000000,23.32,23.7,23.24,23.7,43790,0
TUG.US,D,20230317,000000,23.63,23.72,23.43,23.5377,9496,0
TUG.US,D,20230320,000000,23.55,23.72,23.38,23.6515,18983,0
TUG.US,D,20230321,000000,23.79,23.98,23.7,23.98,10111,0
TUG.US,D,20230322,000000,23.89,24.06,23.49,23.49,15511,0
TUG.US,D,20230323,000000,23.77,24.17,23.69,23.89,34865,0
TUG.US,D,20230324,000000,23.64,23.97,23.58,23.9241,11465,0
TUG.US,D,20230327,000000,23.9,23.9,23.75,23.78,1862,0
TUG.US,D,20230328,000000,23.5673,23.68,23.44,23.6473,12518,0
TUG.US,D,20230329,000000,24.01,24.17,23.9,24.0867,19414,0
TUG.US,D,20230330,000000,24.37,24.43,24.2501,24.3243,5305,0
TUG.US,D,20230331,000000,24.48,24.68,24.48,24.68,57062,0
TUG.US,D,20230403,000000,24.42,24.7,24.38,24.6894,44786,0
TUG.US,D,20230404,000000,24.69,24.69,24.48,24.5581,45021,0
TUG.US,D,20230405,000000,24.39,24.4,24.24,24.3647,31825,0
TUG.US,D,20230406,000000,24.19,24.59,24.19,24.5282,18383,0
TUG.US,D,20230410,000000,24.19,24.53,24.19,24.47,32154,0
TUG.US,D,20230411,000000,24.3,24.61,24.29,24.3375,35157,0
TUG.US,D,20230412,000000,24.34,24.49,24.0883,24.0883,74803,0
TUG.US,D,20230413,000000,24.34,24.5108,24.21,24.5108,4273,0
TUG.US,D,20230414,000000,24.55,24.56,24.28,24.5352,37153,0
TUG.US,D,20230417,000000,24.47,24.5354,24.34,24.5354,8644,0
TUG.US,D,20230418,000000,24.53,24.65,24.48,24.55,34440,0
TUG.US,D,20230419,000000,24.45,24.64,24.45,24.54,9356,0
TUG.US,D,20230420,000000,24.39,24.52,24.33,24.33,6319,0
TUG.US,D,20230421,000000,24.3854,24.54,24.304,24.4073,14405,0
TUG.US,D,20230424,000000,24.44,24.44,24.22,24.38,5958,0
TUG.US,D,20230425,000000,24.21,24.24,23.84,23.84,22514,0
TUG.US,D,20230426,000000,24.06,24.26,23.995,24.07,4618,0
TUG.US,D,20230427,000000,24.39,24.75,24.38,24.68,23594,0
TUG.US,D,20230428,000000,24.64,24.88,24.64,24.88,2677,0
TUG.US,D,20230501,000000,24.8168,24.87,24.72,24.85,7036,0
TUG.US,D,20230502,000000,24.55,24.72,24.48,24.6274,34297,0
TUG.US,D,20230503,000000,24.65,24.7,24.51,24.51,7978,0
TUG.US,D,20230504,000000,24.48,24.5,24.32,24.3822,13845,0
TUG.US,D,20230505,000000,24.72,24.94,24.72,24.94,11842,0
TUG.US,D,20230508,000000,24.81,24.98,24.81,24.945,13238,0
TUG.US,D,20230509,000000,24.78,24.9,24.75,24.7932,9874,0
TUG.US,D,20230510,000000,24.96,25.06,24.87,25.06,1072,0
TUG.US,D,20230511,000000,25.12,25.16,25.04,25.135,4446,0
TUG.US,D,20230512,000000,25.1,25.1,24.89,25.06,3659,0
TUG.US,D,20230515,000000,25.12,25.15,25.06,25.1497,20650,0
TUG.US,D,20230516,000000,25.26,25.32,25.15,25.197,14000,0
TUG.US,D,20230517,000000,25.34,25.57,25.26,25.5103,3424,0
TUG.US,D,20230518,000000,25.7999,26.03,25.7,25.9826,52735,0
TUG.US,D,20230519,000000,25.97,25.97,25.82,25.9209,2021,0
TUG.US,D,20230522,000000,25.97,26.06,25.95,25.96,9637,0
TUG.US,D,20230523,000000,25.96,25.96,25.6634,25.6634,4699,0
TUG.US,D,20230524,000000,25.37,25.57,25.37,25.57,19192,0
TUG.US,D,20230525,000000,26,26.27,26,26.19,4399,0
TUG.US,D,20230526,000000,26.36,26.87,26.36,26.87,16337,0
TUG.US,D,20230530,000000,27.02,27.16,26.79,26.97,25490,0
TUG.US,D,20230531,000000,27.21,27.21,26.57,26.86,28566,0
TUG.US,D,20230601,000000,26.8742,27.05,26.87,27.05,4763,0
TUG.US,D,20230602,000000,27.19,27.22,26.9,27.15,66653,0
TUG.US,D,20230605,000000,27.22,27.33,27.14,27.1593,76206,0
TUG.US,D,20230606,000000,27.16,27.16,27.05,27.1154,14966,0
TUG.US,D,20230607,000000,26.98,27.08,26.87,26.93,80926,0
TUG.US,D,20230608,000000,27.05,27.19,27.02,27.08,17208,0
TUG.US,D,20230609,000000,27.555,27.555,27.11,27.11,8340,0
TUG.US,D,20230612,000000,27.6,27.6,27.11,27.42,9374,0
TUG.US,D,20230613,000000,27.4096,27.52,27.3,27.4657,14805,0
TUG.US,D,20230614,000000,27.59,27.65,27.37,27.5573,20647,0
TUG.US,D,20230615,000000,27.6,27.75,27.59,27.7417,2972,0
TUG.US,D,20230616,000000,27.76,27.8,27.68,27.6913,7283,0
TUG.US,D,20230620,000000,27.64,27.72,27.49,27.6551,17252,0
TUG.US,D,20230621,000000,27.52,27.58,27.34,27.4294,24187,0
TUG.US,D,20230622,000000,27.445,27.565,27.445,27.565,9719,0
TUG.US,D,20230623,000000,27.4388,27.53,27.38,27.38,6719,0
TUG.US,D,20230626,000000,27.52,27.52,27.29,27.29,8770,0
TUG.US,D,20230627,000000,27.31,27.56,27.23,27.45,4218,0
TUG.US,D,20230628,000000,27.27,27.62,27.27,27.48,42749,0
TUG.US,D,20230629,000000,27.49,27.49,27.3908,27.445,3826,0
TUG.US,D,20230630,000000,27.66,27.76,27.63,27.6888,27719,0
TUG.US,D,20230703,000000,28.13,28.13,27.66,27.765,6922,0
TUG.US,D,20230705,000000,27.7553,27.81,27.68,27.69,5572,0
TUG.US,D,20230706,000000,27.55,27.66,27.48,27.58,7673,0
TUG.US,D,20230707,000000,27.64,27.69,27.5507,27.5507,14709,0
TUG.US,D,20230710,000000,27.49,27.61,27.4402,27.56,13852,0
TUG.US,D,20230711,000000,27.71,27.71,27.55,27.69,13261,0
TUG.US,D,20230712,000000,27.79,27.9,27.77,27.9,4656,0
TUG.US,D,20230713,000000,27.97,28.18,27.96,28.08,23992,0
TUG.US,D,20230714,000000,28.12,28.25,28.12,28.1316,18505,0
TUG.US,D,20230717,000000,28.03,28.26,28.03,28.21,15946,0
TUG.US,D,20230718,000000,28.17,28.39,28.15,28.39,62360,0
TUG.US,D,20230719,000000,28.3854,28.46,28.31,28.31,21458,0
TUG.US,D,20230720,000000,28.31,28.31,27.97,27.97,19913,0
TUG.US,D,20230721,000000,28.06,28.08,27.98,28,5649,0
TUG.US,D,20230724,000000,27.95,28.05,27.93,27.95,9718,0
TUG.US,D,20230725,000000,28.03,28.14,28,28.08,7587,0
TUG.US,D,20230726,000000,27.93,28.12,27.93,28.0344,26001,0
TUG.US,D,20230727,000000,28.255,28.255,28.04,28.06,43444,0
TUG.US,D,20230728,000000,28.24,28.33,28.2,28.28,12693,0
TUG.US,D,20230731,000000,28.24,28.3,28.23,28.24,10613,0
TUG.US,D,20230801,000000,28.16,28.28,28.16,28.26,28566,0
