<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UPTD.US,D,20210917,000000,9.78,9.8,9.78,9.8,401200,0
UPTD.US,D,20210920,000000,9.82,9.88,9.81,9.82,128000,0
UPTD.US,D,20210921,000000,9.83,9.855,9.8282,9.83,43605,0
UPTD.US,D,20210922,000000,9.8,9.8,9.8,9.8,496,0
UPTD.US,D,20210924,000000,9.83,9.84,9.83,9.83,120600,0
UPTD.US,D,20210927,000000,9.83,9.84,9.83,9.83,297464,0
UPTD.US,D,20210928,000000,9.84,9.89,9.84,9.89,23499,0
UPTD.US,D,20210929,000000,9.9,9.9,9.9,9.9,110,0
UPTD.US,D,20210930,000000,9.9,9.9,9.87,9.9,6590,0
UPTD.US,D,20211004,000000,10.06,10.06,9.89,9.9,110742,0
UPTD.US,D,20211005,000000,9.9,9.9,9.89,9.89,21893,0
UPTD.US,D,20211006,000000,9.91,9.91,9.895,9.9,142163,0
UPTD.US,D,20211007,000000,9.8806,9.892,9.8806,9.89,66884,0
UPTD.US,D,20211008,000000,9.9,9.9,9.9,9.9,2700,0
UPTD.US,D,20211011,000000,9.9,9.9,9.9,9.9,101,0
UPTD.US,D,20211014,000000,9.9,9.9,9.88,9.88,12900,0
UPTD.US,D,20211015,000000,9.89,9.89,9.88,9.88,25055,0
UPTD.US,D,20211018,000000,9.8,9.89,9.8,9.88,83521,0
UPTD.US,D,20211027,000000,9.91,9.91,9.91,9.91,5000,0
UPTD.US,D,20211028,000000,9.93,9.94,9.93,9.93,38000,0
UPTD.US,D,20211029,000000,9.92,9.92,9.885,9.92,34729,0
UPTD.US,D,20211101,000000,9.92,9.925,9.92,9.925,26395,0
UPTD.US,D,20211102,000000,9.93,9.93,9.9042,9.9042,505,0
UPTD.US,D,20211103,000000,9.9,9.915,9.9,9.9,890,0
UPTD.US,D,20211104,000000,9.9013,9.93,9.9013,9.92,63277,0
UPTD.US,D,20211105,000000,9.95,9.95,9.93,9.93,34590,0
UPTD.US,D,20211108,000000,9.93,9.93,9.91,9.93,29438,0
UPTD.US,D,20211110,000000,9.89,9.89,9.89,9.89,197202,0
UPTD.US,D,20211115,000000,9.93,9.93,9.93,9.93,600,0
UPTD.US,D,20211116,000000,9.92,9.92,9.92,9.92,600,0
UPTD.US,D,20211117,000000,9.92,9.92,9.92,9.92,10000,0
UPTD.US,D,20211118,000000,9.89,9.92,9.89,9.92,13300,0
UPTD.US,D,20211119,000000,9.92,9.92,9.92,9.92,7230,0
UPTD.US,D,20211122,000000,9.92,9.92,9.92,9.92,2958,0
UPTD.US,D,20211124,000000,9.92,9.92,9.92,9.92,2972,0
UPTD.US,D,20211126,000000,9.97,9.98,9.97,9.98,550,0
UPTD.US,D,20211202,000000,9.9299,9.9299,9.9299,9.9299,100,0
UPTD.US,D,20211208,000000,9.8801,9.8801,9.8801,9.8801,100,0
UPTD.US,D,20211209,000000,9.94,9.94,9.94,9.94,1582,0
UPTD.US,D,20211210,000000,9.92,9.92,9.92,9.92,714,0
UPTD.US,D,20211213,000000,9.91,9.91,9.88,9.88,1045,0
UPTD.US,D,20211222,000000,9.9,9.91,9.85,9.85,5301,0
UPTD.US,D,20211227,000000,9.88,9.88,9.85,9.85,12133,0
UPTD.US,D,20211228,000000,9.86,9.86,9.85,9.85,5001,0
UPTD.US,D,20211229,000000,9.85,9.9,9.85,9.9,7191,0
UPTD.US,D,20211231,000000,9.86,9.91,9.83,9.91,91299,0
UPTD.US,D,20220104,000000,10.15,10.15,10.15,10.15,100,0
UPTD.US,D,20220105,000000,9.93,9.93,9.93,9.93,258,0
UPTD.US,D,20220106,000000,10,10,10,10,551,0
UPTD.US,D,20220107,000000,10.0531,10.0531,10.035,10.035,234,0
UPTD.US,D,20220111,000000,9.92,9.92,9.92,9.92,300,0
UPTD.US,D,20220112,000000,9.96,10.05,9.96,10.05,2392,0
