<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UPWD.US,D,20221003,000000,45.4971,45.4971,45.4971,45.4971,1,0
UPWD.US,D,20221004,000000,47.0485,47.0485,47.0485,47.0485,1,0
UPWD.US,D,20221005,000000,46.784,46.784,46.784,46.784,1,0
UPWD.US,D,20221006,000000,46.37,46.37,46.0647,46.0647,500,0
UPWD.US,D,20221007,000000,44.963,44.963,44.963,44.963,1,0
UPWD.US,D,20221010,000000,44.74,44.83,44.58,44.7568,400,0
UPWD.US,D,20221011,000000,44.4259,44.4259,44.4259,44.4259,1,0
UPWD.US,D,20221012,000000,44.42,44.42,44.2528,44.2528,300,0
UPWD.US,D,20221013,000000,43.63,45.2,43.63,45.0972,600,0
UPWD.US,D,20221014,000000,44.2957,44.37,44.2957,44.2957,100,0
UPWD.US,D,20221017,000000,45.25,45.3695,45.25,45.3695,700,0
UPWD.US,D,20221018,000000,45.7212,45.7212,45.7212,45.7212,200,0
UPWD.US,D,20221019,000000,45.2549,45.2549,45.2549,45.2549,1,0
UPWD.US,D,20221020,000000,45.0576,45.0576,45.0576,45.0576,200,0
UPWD.US,D,20221021,000000,45.9686,45.9686,45.9686,45.9686,200,0
UPWD.US,D,20221024,000000,46.342,46.342,46.342,46.342,5,0
UPWD.US,D,20221025,000000,47.3608,47.3608,47.3608,47.3608,5,0
UPWD.US,D,20221026,000000,47.2385,47.2385,47.2385,47.2385,200,0
UPWD.US,D,20221027,000000,46.8185,46.8185,46.8185,46.8185,200,0
UPWD.US,D,20221028,000000,47.7145,47.7145,47.7145,47.7145,200,0
UPWD.US,D,20221031,000000,47.4355,47.4355,47.4355,47.4355,15,0
UPWD.US,D,20221101,000000,47.4628,47.4628,47.4628,47.4628,20,0
UPWD.US,D,20221102,000000,46.4692,46.4692,46.4692,46.4692,15,0
UPWD.US,D,20221103,000000,45.9628,45.9628,45.9628,45.9628,15,0
UPWD.US,D,20221104,000000,46.9404,46.9404,46.9404,46.9404,15,0
UPWD.US,D,20221107,000000,47.4155,47.4155,47.4155,47.4155,35,0
UPWD.US,D,20221108,000000,47.8409,47.8409,47.8409,47.8409,15,0
UPWD.US,D,20221109,000000,47.255,47.255,47.255,47.255,15,0
UPWD.US,D,20221110,000000,49.4859,49.4859,49.4859,49.4859,15,0
UPWD.US,D,20221111,000000,49.9214,49.9214,49.9214,49.9214,15,0
UPWD.US,D,20221114,000000,49.4507,49.4507,49.4507,49.4507,1,0
UPWD.US,D,20221115,000000,49.7022,49.7022,49.7022,49.7022,15,0
UPWD.US,D,20221116,000000,49.4935,49.4935,49.4935,49.4935,15,0
UPWD.US,D,20221117,000000,49.3795,49.3795,49.3795,49.3795,15,0
UPWD.US,D,20221118,000000,49.603,49.603,49.603,49.603,15,0
UPWD.US,D,20221121,000000,49.4386,49.4386,49.4386,49.4386,15,0
UPWD.US,D,20221122,000000,50.0642,50.0642,50.0642,50.0642,15,0
UPWD.US,D,20221123,000000,50.539,50.539,50.539,50.539,15,0
UPWD.US,D,20221125,000000,50.7165,50.7165,50.7165,50.7165,15,0
UPWD.US,D,20221128,000000,50.0602,50.0602,50.0602,50.0602,15,0
UPWD.US,D,20221129,000000,49.9881,49.9881,49.9881,49.9881,15,0
UPWD.US,D,20221130,000000,51.2396,51.2396,51.2396,51.2396,15,0
UPWD.US,D,20221201,000000,51.4987,51.4987,51.4987,51.4987,15,0
UPWD.US,D,20221202,000000,51.5475,51.5475,51.5475,51.5475,15,0
UPWD.US,D,20221205,000000,50.8381,50.8381,50.8381,50.8381,15,0
UPWD.US,D,20221206,000000,50.4191,50.4191,50.4191,50.4191,15,0
UPWD.US,D,20221208,000000,50.8679,50.8679,50.8679,50.8679,15,0
UPWD.US,D,20221209,000000,50.5926,50.5926,50.5926,50.5926,2,0
UPWD.US,D,20221212,000000,51.0162,51.0162,51.0162,51.0162,2,0
UPWD.US,D,20221213,000000,51.4077,51.4077,51.4077,51.4077,15,0
UPWD.US,D,20221214,000000,51.2763,51.2763,51.2763,51.2763,20,0
UPWD.US,D,20221215,000000,50.1069,50.1069,50.1069,50.1069,20,0
UPWD.US,D,20221216,000000,49.7639,49.7639,49.7639,49.7639,15,0
UPWD.US,D,20221219,000000,49.4231,49.4231,49.4231,49.4231,15,0
UPWD.US,D,20221220,000000,49.3134,49.3134,49.3134,49.3134,15,0
UPWD.US,D,20221221,000000,49.9425,49.9425,49.9425,49.9425,15,0
UPWD.US,D,20221222,000000,49.4822,49.4822,49.4822,49.4822,15,0
UPWD.US,D,20221223,000000,49.65,49.65,49.65,49.65,15,0
UPWD.US,D,20221227,000000,49.5455,49.5455,49.5455,49.5455,1,0
UPWD.US,D,20221228,000000,49.0977,49.0977,49.0977,49.0977,1,0
UPWD.US,D,20221229,000000,49.8494,49.8494,49.8494,49.8494,15,0
UPWD.US,D,20221230,000000,49.5334,49.5334,49.5334,49.5334,1,0
UPWD.US,D,20230103,000000,49.68,49.68,49.68,49.68,1,0
UPWD.US,D,20230104,000000,50.0791,50.0791,50.0791,50.0791,15,0
UPWD.US,D,20230105,000000,49.4507,49.4507,49.4507,49.4507,15,0
UPWD.US,D,20230106,000000,50.509,50.509,50.509,50.509,15,0
UPWD.US,D,20230109,000000,50.5881,50.5881,50.5881,50.5881,15,0
UPWD.US,D,20230110,000000,50.67,50.67,50.67,50.67,15,0
UPWD.US,D,20230111,000000,51.0893,51.0893,51.0893,51.0893,1,0
