<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UXIN.US,D,20180627,000000,104,104.9,81.6,96.7,1994241.2000000002,0
UXIN.US,D,20180628,000000,102,103.7,90.927,97.7,360546.2,0
UXIN.US,D,20180629,000000,100.1,100.6,88.1,90.4,235580.2,0
UXIN.US,D,20180702,000000,86,87.692,80.1,81.5,236347.30000000002,0
UXIN.US,D,20180703,000000,84.2,86.9,82,85,128852.6,0
UXIN.US,D,20180705,000000,83.8,84.7,76.5,78,265022.60000000003,0
UXIN.US,D,20180706,000000,74.4,78.722,70.5,73.4,279696,0
UXIN.US,D,20180709,000000,75.5,78,71.1,76.6,184037.80000000005,0
UXIN.US,D,20180710,000000,77,77,73.4,74.7,125311.70000000001,0
UXIN.US,D,20180711,000000,73.5,78,71.8,77.3,158760.7,0
UXIN.US,D,20180712,000000,78.3,86,77,84.5,205034.40000000002,0
UXIN.US,D,20180713,000000,87,87.5,80.1,86.4,169574.1,0
UXIN.US,D,20180716,000000,85.8,86,82.8,83.9,119220,0
UXIN.US,D,20180717,000000,83.3,84.59,82.1,83.5,80139.3,0
UXIN.US,D,20180718,000000,83.2,84,79.3,80,113332.20000000001,0
UXIN.US,D,20180719,000000,79.1,79.49,75.4,75.4,126736.20000000001,0
UXIN.US,D,20180720,000000,75.4,76.9,74,75.6,71088.6,0
UXIN.US,D,20180723,000000,76.8,79,76,76.5,60772.100000000006,0
UXIN.US,D,20180724,000000,76.8,78,74.4,76.6,105736.6,0
UXIN.US,D,20180725,000000,76.5,77.7,74.9,76.1,67940.40000000001,0
UXIN.US,D,20180726,000000,75.3,75.7,69.1,69.8,183026.40000000002,0
UXIN.US,D,20180727,000000,69.7,69.75,65,65.1,138726.4,0
UXIN.US,D,20180730,000000,65.1,65.9,54.701,57.5,243129.6,0
UXIN.US,D,20180731,000000,58.3,61.6,50.8,61.6,210981.30000000002,0
UXIN.US,D,20180801,000000,60,63,58.501,61.6,94967.40000000002,0
UXIN.US,D,20180802,000000,60.9,67.8,56.2,67.5,154001.7,0
UXIN.US,D,20180803,000000,64.3,69.9,63.9,68.8,83238,0
UXIN.US,D,20180806,000000,68,68,62.2,65.1,39705.20000000001,0
UXIN.US,D,20180807,000000,64.8,68.1,63.01,67.3,48446.20000000001,0
UXIN.US,D,20180808,000000,67.1,67.3,64.6,66.2,47714.100000000006,0
UXIN.US,D,20180809,000000,66.2,70.8,65.3,67.1,39844.4,0
UXIN.US,D,20180810,000000,66.8,69.8,65.2,65.7,28629.600000000002,0
UXIN.US,D,20180813,000000,64.5,65.7,59.1,61.4,43930.100000000006,0
UXIN.US,D,20180814,000000,60.4,60.6,54.55,56.7,145765.4,0
UXIN.US,D,20180815,000000,53.5,56,52.2,52.6,45457.4,0
UXIN.US,D,20180816,000000,55.8,56.9,53.5,55.7,94573.1,0
UXIN.US,D,20180817,000000,55.2,56.4,52.4,52.6,79963.90000000002,0
UXIN.US,D,20180820,000000,53.3,55.5,51.3,52,82139.70000000001,0
UXIN.US,D,20180821,000000,53,65.8,52.6,62.4,375468.4,0
UXIN.US,D,20180822,000000,63,67,56.4,66.3,357179.5,0
UXIN.US,D,20180823,000000,66.2,70.673,63.5,66.4,178708.40000000002,0
UXIN.US,D,20180824,000000,66.3,66.3,61.1,61.9,65087.600000000006,0
UXIN.US,D,20180827,000000,62,64,59.4,62.1,100121.40000000002,0
UXIN.US,D,20180828,000000,62.1,63.9,61.3,62.7,43393,0
UXIN.US,D,20180829,000000,62.7,63.3,61,61.7,40214.5,0
UXIN.US,D,20180830,000000,61.8,62.25,58.066,59.3,74026.8,0
UXIN.US,D,20180831,000000,58.8,60.521,57.9,59.3,31202.2,0
UXIN.US,D,20180904,000000,59.3,59.5,58,59.2,26805,0
UXIN.US,D,20180905,000000,58.3,58.6,53.4,54.4,115484,0
UXIN.US,D,20180906,000000,54.9,55.773,53.01,53.4,61526.600000000006,0
UXIN.US,D,20180907,000000,53.3,56.6,52.6,53.8,46566.70000000001,0
UXIN.US,D,20180910,000000,53.9,54.4,52.8,53.3,46939.20000000001,0
UXIN.US,D,20180911,000000,53.4,54.1,51.8,52,71079.90000000001,0
UXIN.US,D,20180912,000000,52,52.7,48.8,50.4,110725.8,0
UXIN.US,D,20180913,000000,53,54,50.7,51.4,78013.8,0
UXIN.US,D,20180914,000000,51.6,56.7,51.6,52.2,130523.1,0
UXIN.US,D,20180917,000000,52,53,50.3,50.6,36666.1,0
UXIN.US,D,20180918,000000,52.4,52.7,50.2,50.3,32953.6,0
