<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VBNK.US,D,20210922,000000,10.847,14.1401,10.3824,10.3824,556622.55661553,0
VBNK.US,D,20210923,000000,10.3824,11.0759,10.3824,10.9266,125142.22306648,0
VBNK.US,D,20210924,000000,11.046,11.046,10.6998,10.867,20331.339325026,0
VBNK.US,D,20210927,000000,11.1147,11.1147,10.857,11.0062,38299.551208853,0
VBNK.US,D,20210928,000000,10.8769,10.9764,10.7585,10.9167,49992.559087828,0
VBNK.US,D,20210929,000000,11.0361,11.1057,10.659,11.1057,53595.046858674,0
VBNK.US,D,20210930,000000,11.0062,11.0162,10.7386,10.9515,14389.847915018,0
VBNK.US,D,20211001,000000,10.9167,10.9963,10.8371,10.9565,17016.326861787,0
VBNK.US,D,20211004,000000,11.0062,11.1157,11.0062,11.0062,18788.421153082,0
VBNK.US,D,20211005,000000,11.056,11.2639,11.056,11.2639,84356.91508941,0
VBNK.US,D,20211006,000000,11.2341,11.2539,11.056,11.2042,45641.22829542,0
VBNK.US,D,20211007,000000,11.3435,11.5415,11.2141,11.5117,26659.816726043,0
VBNK.US,D,20211008,000000,11.5087,11.7991,11.5017,11.7991,31850.454797652,0
VBNK.US,D,20211011,000000,11.5813,11.8439,11.5713,11.6807,3655.7611670104,0
VBNK.US,D,20211012,000000,11.6509,11.8887,11.6409,11.6409,46166.926148141,0
VBNK.US,D,20211013,000000,11.6011,11.6609,11.1256,11.5514,19092.984153798,0
VBNK.US,D,20211014,000000,11.6011,11.8111,11.6011,11.6509,9425.3704875053,0
VBNK.US,D,20211015,000000,11.8489,11.8489,11.6509,11.6609,9332.8959130305,0
VBNK.US,D,20211018,000000,11.7007,11.7494,11.6509,11.7494,10295.83767767,0
VBNK.US,D,20211019,000000,11.7394,11.7494,11.7007,11.7007,1611.2689443821,0
VBNK.US,D,20211020,000000,11.7106,11.8051,11.7007,11.7444,11621.641631283,0
VBNK.US,D,20211021,000000,11.7007,11.8091,11.6807,11.7991,44279.238638753,0
VBNK.US,D,20211022,000000,11.7007,11.9384,11.7007,11.9384,44653.157570325,0
VBNK.US,D,20211025,000000,11.9185,11.9185,11.6857,11.7007,7198.9445911819,0
VBNK.US,D,20211026,000000,11.8489,12.1264,11.8489,11.8986,36721.452492271,0
VBNK.US,D,20211027,000000,11.8986,12.0866,11.8986,11.9484,29676.297139075,0
VBNK.US,D,20211028,000000,11.9484,11.9872,11.8986,11.9672,8815.239327655,0
VBNK.US,D,20211029,000000,11.9772,11.9772,11.8996,11.9284,14543.637153004,0
VBNK.US,D,20211101,000000,11.9672,12.007,11.819,11.9086,23897.641392816,0
VBNK.US,D,20211102,000000,11.8986,11.9772,11.829,11.8986,63989.390061328,0
VBNK.US,D,20211103,000000,11.9672,12.2658,11.8986,12.1562,50600.679930841,0
VBNK.US,D,20211104,000000,12.206,12.5721,12.1772,12.3941,58474.085820639,0
VBNK.US,D,20211105,000000,12.404,12.5304,12.216,12.3543,22175.805022432,0
VBNK.US,D,20211108,000000,12.2458,12.7911,12.2458,12.7911,31344.860113295,0
VBNK.US,D,20211109,000000,12.6617,13.1373,12.3941,12.9691,48595.388886523,0
VBNK.US,D,20211110,000000,12.9989,13.0387,12.6418,12.7164,43747.509835522,0
VBNK.US,D,20211111,000000,12.7115,12.9791,12.6418,12.9105,61328.735728341,0
VBNK.US,D,20211112,000000,12.7513,13.2069,12.7513,13.0487,117372.34849376,0
VBNK.US,D,20211115,000000,13.0587,13.0885,12.5721,12.8009,49673.923869257,0
VBNK.US,D,20211116,000000,12.8209,12.8905,12.7413,12.8457,16703.722593725,0
VBNK.US,D,20211117,000000,12.7413,12.8707,12.7413,12.7413,18696.951737025,0
VBNK.US,D,20211118,000000,12.8109,12.8109,12.6319,12.6617,59217.903050111,0
VBNK.US,D,20211119,000000,12.6418,12.7115,12.6418,12.6717,37167.742829955,0
VBNK.US,D,20211122,000000,12.7313,12.7413,12.6418,12.7015,29667.250713311,0
VBNK.US,D,20211123,000000,12.6517,12.8805,12.6517,12.8357,36961.685354223,0
VBNK.US,D,20211124,000000,12.8009,12.9203,12.7811,12.8009,50182.534028869,0
VBNK.US,D,20211126,000000,12.8009,12.8009,12.007,12.5433,26903.065063248,0
VBNK.US,D,20211129,000000,12.8905,12.8905,12.2966,12.5622,48660.724183706,0
