<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WWAC.US,D,20211220,000000,9.76,9.76,9.76,9.76,1231,0
WWAC.US,D,20211221,000000,9.73,9.73,9.73,9.73,4906,0
WWAC.US,D,20211222,000000,9.73,9.73,9.72,9.72,90590,0
WWAC.US,D,20211223,000000,9.7215,9.7215,9.7215,9.7215,239,0
WWAC.US,D,20211227,000000,9.7,9.74,9.7,9.74,32773,0
WWAC.US,D,20211228,000000,9.74,9.74,9.74,9.74,315,0
WWAC.US,D,20211229,000000,9.7201,9.7201,9.72,9.72,1053,0
WWAC.US,D,20211230,000000,9.73,9.741,9.71,9.73,10539,0
WWAC.US,D,20211231,000000,9.74,9.81,9.74,9.74,11444,0
WWAC.US,D,20220103,000000,9.735,9.74,9.735,9.74,70613,0
WWAC.US,D,20220105,000000,9.7401,9.75,9.74,9.75,362097,0
WWAC.US,D,20220106,000000,9.76,9.76,9.74,9.75,10584,0
WWAC.US,D,20220107,000000,9.76,9.76,9.76,9.76,2591,0
WWAC.US,D,20220110,000000,9.76,9.77,9.76,9.77,37717,0
WWAC.US,D,20220111,000000,9.7401,9.755,9.74,9.755,1504,0
WWAC.US,D,20220114,000000,9.75,9.75,9.75,9.75,20052,0
WWAC.US,D,20220118,000000,9.75,9.75,9.75,9.75,101,0
WWAC.US,D,20220119,000000,9.8182,9.8182,9.71,9.71,1027,0
WWAC.US,D,20220121,000000,9.73,9.75,9.72,9.72,52228,0
WWAC.US,D,20220124,000000,9.71,9.75,9.7,9.75,121249,0
WWAC.US,D,20220125,000000,9.74,9.74,9.74,9.74,1713,0
WWAC.US,D,20220127,000000,9.73,9.73,9.73,9.73,269,0
WWAC.US,D,20220128,000000,9.75,9.75,9.73,9.73,1524,0
WWAC.US,D,20220131,000000,9.71,9.71,9.71,9.71,2018,0
WWAC.US,D,20220201,000000,9.72,9.75,9.72,9.75,26971,0
WWAC.US,D,20220202,000000,9.75,9.77,9.75,9.77,32150,0
WWAC.US,D,20220204,000000,9.79,9.8,9.79,9.8,10531,0
WWAC.US,D,20220208,000000,9.8,9.8,9.8,9.8,2314,0
WWAC.US,D,20220210,000000,9.73,9.75,9.73,9.75,150335,0
WWAC.US,D,20220211,000000,9.81,9.81,9.81,9.81,200,0
WWAC.US,D,20220222,000000,9.8,9.8,9.77,9.8,100048,0
WWAC.US,D,20220223,000000,9.77,9.77,9.77,9.77,14605,0
WWAC.US,D,20220228,000000,9.81,9.81,9.81,9.81,1035005,0
WWAC.US,D,20220303,000000,9.8,9.8,9.8,9.8,25100,0
WWAC.US,D,20220308,000000,9.79,9.79,9.79,9.79,7434,0
WWAC.US,D,20220309,000000,9.79,9.79,9.79,9.79,176716,0
WWAC.US,D,20220314,000000,9.8,9.8,9.8,9.8,81490,0
WWAC.US,D,20220315,000000,9.795,9.8,9.79,9.795,89080,0
